time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1717516800,70492.1,71066.8,70445,70858,26660.878,8804.747299999966,64.12614711311123,47.008522187601976,17.117624925509254,10.872862652458439,0,,,0,100,60,-60,53,-53,-93,-103
1717520400,70858.1,70893,70405.4,70606.3,11461.794,9164.796949999965,68.67407015817176,60.33800843778394,8.336061720387818,12.07707244570936,0,,,0,100,60,-60,53,-53,-93,-103
1717524000,70606.3,71146.4,70606.2,70740.7,11522.427,9533.873249999964,71.51187436254769,68.10403054461024,3.4078438179374473,11.995727012101092,0,,,0,100,60,-60,53,-53,-93,-103
1717527600,70740.7,70783.2,70117.8,70459,12732.641,9992.758499999965,66.48928171908645,68.89174207993531,-2.4024603608488633,13.602938821266038,0,,68.89174207993531,0,100,60,-60,53,-53,-93,-103
1717531200,70459.1,70600,70207.2,70444.5,5019.315,9911.347849999966,61.04655299494244,66.34923635885887,-5.302683363916437,14.559778224838512,0,,,0,100,60,-60,53,-53,-93,-103
1717534800,70444.5,70665.3,70380.5,70650,2906.194,9853.577499999967,58.60518995441825,62.04700822281573,-3.4418182683974763,18.146304059576885,0,,,0,100,60,-60,53,-53,-93,-103
1717538400,70650,70776.3,70535.8,70608.9,4750.991,9939.632699999967,57.051466418248154,58.90106978920297,-1.8496033709548172,20.918553466282596,0,,,0,100,60,-60,53,-53,-93,-103
1717542000,70608.9,70663.8,70442.1,70580,3596.283,9971.065299999967,53.22070890028064,56.292455090982365,-3.071746190701724,18.867008642492475,0,,,0,100,60,-60,53,-53,-93,-103
1717545600,70580,70954.1,70462.8,70820.1,7594.333,10146.116349999967,53.547478055692046,54.60655112474029,-1.059073069048246,19.15515384520553,0,,,0,100,60,-60,53,-53,-93,-103
1717549200,70820.2,71389.8,70685.9,71020.7,11482.253,10541.043699999967,58.116881492243046,54.96168948273859,3.1551920095044537,21.07854336669875,0,54.96168948273859,,0,100,60,-60,53,-53,-93,-103
1717552800,71020.7,71216,70700,70892.1,7826.568,10548.984649999966,57.62483299911189,56.42973084901568,1.1951021500962113,20.9175880851951,0,,,0,100,60,-60,53,-53,-93,-103
1717556400,70892.2,71057,70819.1,70994,5420.605,10655.376549999968,56.45440776763895,57.39870741966464,-0.9442996520256912,21.470762073215237,0,,57.39870741966464,0,100,60,-60,53,-53,-93,-103
1717560000,70994,71327.9,70875.9,71220.2,7956.967,10768.808649999966,58.41297824864049,57.49740633846378,0.915571910176709,22.69837120333746,0,57.49740633846378,,0,100,60,-60,53,-53,-93,-103
1717563600,71220.2,71245,70922,71038.4,5061.321,10555.789649999966,56.644989940227056,57.17079198550218,-0.5258020452751211,24.182492337476447,0,,57.17079198550218,0,100,60,-60,53,-53,-93,-103
1717567200,71038.4,71199.3,70872.4,71163.4,7092.232,10675.859149999966,54.50834604111879,56.52210474332879,-2.013758702209998,26.814412428765493,0,,,0,100,60,-60,53,-53,-93,-103
1717570800,71163.4,71430,71071.3,71244.1,9042.628,10934.276649999967,56.30482771907502,55.8193879001403,0.4854398189347222,30.309726556251697,0,55.8193879001403,,0,100,60,-60,53,-53,-93,-103
1717574400,71244,71282.2,70923,70972,5467.869,10913.068349999967,50.78518386430375,53.86611920816586,-3.080935343862116,30.02846431615613,0,,53.86611920816586,0,100,60,-60,53,-53,-93,-103
1717578000,70971.9,71078.8,70860,70947.9,5000.476,10173.268749999967,42.03209098672118,49.70736752336666,-7.675276536645484,28.023513306761764,0,,,0,100,60,-60,53,-53,-93,-103
1717581600,70948,70965,70766.4,70840.7,4968.193,8923.118999999966,29.88467921097899,40.900651354001326,-11.015972143022335,25.25052270637137,0,,,0,100,60,-60,53,-53,-93,-103
1717585200,70840.8,71156,70737.4,71008.4,6002.566,8078.326699999966,25.944596759491326,32.620455652397176,-6.67585889290585,24.246042435273072,0,,,0,100,60,-60,53,-53,-93,-103
1717588800,71008.4,71178.9,70686.1,70992.4,11074.747,7299.020149999966,21.55900535216328,25.79609377421121,-4.237088422047933,24.822820443348355,0,,,0,100,60,-60,53,-53,-93,-103
1717592400,70992.3,71224.7,70632,70773.1,11909.3,7321.395449999965,12.005291880233216,19.836297997295954,-7.8310061170627385,21.275571336915064,0,,,0,100,60,-60,53,-53,-93,-103
1717596000,70773.2,71111,70423.6,70907.4,17736.655,7632.106849999966,0.22946926954663738,11.26458883398106,-11.035119564434423,17.70799227044909,0,,,0,100,60,-60,53,-53,-93,-103
1717599600,70907.4,71792,70802.6,71625.1,24191.119,8205.030749999965,24.99916944996491,12.411310199914936,12.587859250049974,20.490675581587308,0,12.411310199914936,,0,100,60,-60,53,-53,-93,-103
1717603200,71625.2,71824.4,71302.6,71355.8,12187.148,8563.422399999965,40.216270950834854,21.81496989011548,18.401301060719373,22.031398796594374,0,,,0,100,60,-60,53,-53,-93,-103
1717606800,71355.9,71754.6,71280,71660,7301.269,8783.176149999967,49.69855001966326,38.304663473487686,11.393886546175573,22.806643689902728,0,,,0,100,60,-60,53,-53,-93,-103
1717610400,71660,71792.7,70940,71134.5,13306.739,9210.963549999966,45.58884206072532,45.167887677074496,0.42095438365082316,21.253104695307915,0,,,0,100,60,-60,53,-53,-93,-103
1717614000,71134.5,71434,70909.2,71314.8,7857.808,9424.039799999966,38.61816122494685,44.635184435111825,-6.017023210164972,19.231980459933837,0,,44.635184435111825,0,100,60,-60,53,-53,-93,-103
1717617600,71314.8,71390.5,71186.4,71228.6,3621.708,9225.408549999966,35.61715443173745,39.94138590580322,-4.324231474065776,17.444551321682745,0,,,0,100,60,-60,53,-53,-93,-103
1717621200,71228.6,71249.5,71071.5,71177.2,2622.216,8782.406699999965,25.906710284616665,33.380675313767,-7.473965029150335,16.061841424314924,0,,,0,100,60,-60,53,-53,-93,-103
1717624800,71177.2,71316,71123.4,71180,2020.477,8492.102149999966,21.118734657156363,27.547533124503506,-6.428798467347143,15.91746601292576,0,,,0,100,60,-60,53,-53,-93,-103
