time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1567900800,10000,10412.65,10000,10391.63,3096.291,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1567987200,10316.62,10475.54,10077.22,10307,14824.373,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568073600,10307,10382.97,9940.87,10102.02,9068.955,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568160000,10094.27,10293.11,9884.31,10159.55,10897.922,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568246400,10163.06,10450.13,10042.12,10415.13,15609.634,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568332800,10414.96,10440.55,10153.51,10341.34,19252.721,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568419200,10343.01,10419.97,10222.77,10332.25,20656.624,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568505600,10333.47,10359.2,10024.81,10302.22,20536.255,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568592000,10302,10353.81,10080.7,10249.27,20185.637,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568678400,10257.3,10270.63,10136.77,10186.52,22519.607,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568764800,10183.87,10256.65,10097.92,10155.16,20832.895,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568851200,10154.7,10331.62,9530.02,10245.3,26228.754,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1568937600,10247.7,10279.3,10070.5,10166.35,23265.91,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1569024000,10166.56,10175.3,9912.63,9983.33,23642.387,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1569110400,9992.7,10089.52,9857,10023.04,23916.354,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
