time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1625007600,35923.42,36029.99,35860,36000,2687.1,2231.671099999985,-26.042069502490893,-26.086253819778026,0.04418431728713301,-10.560688790133261,0,,,0,100,60,-60,53,-53,-93,-103
1625007900,36000,36048.36,35947.77,36042.5,1594.37,2224.064299999985,-19.84518504319193,-23.87813991460385,4.0329548714119205,-10.067937602864454,0,,,0,100,60,-60,53,-53,-93,-103
1625008200,36042.54,36048.83,35860,35861.61,1553.419,2258.523099999985,-26.476206098666623,-24.121153548116478,-2.3550525505501447,-11.001339796395408,0,,-24.121153548116478,0,100,60,-60,53,-53,-93,-103
1625008500,35861.61,35948.99,35858,35929.66,1448.034,2301.672049999985,-31.789185788857765,-26.036858976905435,-5.752326811952329,-10.443388357372216,0,,,0,100,60,-60,53,-53,-93,-103
1625008800,35929.68,35980.89,35881.97,35955.77,1134.305,2280.695799999985,-31.38298010464573,-29.882790664056703,-1.5001894405890255,-9.021791697792487,0,,,0,100,60,-60,53,-53,-93,-103
1625009100,35955.77,36000,35933.44,35999.7,894.105,2250.890349999985,-24.04315542314301,-29.071773772215497,5.028618349072488,-7.117353315592955,0,-29.071773772215497,,0,100,60,-60,53,-53,-93,-103
1625009400,35998.76,36116.95,35998.59,36104.57,1814.646,2277.829449999985,-4.116702373493052,-19.847612633760594,15.730910260267542,-3.9992924351912134,0,,,0,100,60,-60,53,-53,-93,-103
1625009700,36104.5,36104.57,36030,36044.87,1150.333,2290.9157499999847,7.301447437631687,-6.952803453001454,14.254250890633141,-3.3203890433351444,0,,,0,100,60,-60,53,-53,-93,-103
1625010000,36044.88,36046.55,35971.33,35979.01,1086.842,2292.817799999985,5.580336021270922,2.9216936951365216,2.6586423261344003,-5.149641829215061,0,,,0,100,60,-60,53,-53,-93,-103
1625010300,35979,35986.82,35900.71,35921,1304.819,2277.679549999985,-6.953373760536415,1.9761365661220658,-8.92951032665848,-7.473589881753768,0,,1.9761365661220658,0,100,60,-60,53,-53,-93,-103
1625010600,35921.01,35921.01,35830.53,35864.12,1644.16,2151.906599999985,-23.148622376364113,-8.173886705209867,-14.974735671154246,-10.754332914535334,0,,,0,100,60,-60,53,-53,-93,-103
1625010900,35864.12,35936.18,35829.66,35911.26,1857.402,2154.455149999985,-30.257712371402782,-20.1199028361011,-10.137809535301681,-12.159282224484128,0,,,0,100,60,-60,53,-53,-93,-103
1625011200,35910.64,35971.8,35829,35851.63,2869.897,2007.9239999999852,-35.44323379493364,-29.61652284756684,-5.826710947366799,-13.319744498115966,0,,,0,100,60,-60,53,-53,-93,-103
1625011500,35851.63,35871.26,35611.08,35760.58,5516.736,2103.9955999999847,-50.830533263304595,-38.843826476547,-11.986706786757594,-16.50363919095885,0,,,0,100,60,-60,53,-53,-93,-103
1625011800,35760.58,35840.21,35719.91,35725.32,1834.755,2037.8305999999848,-56.81719119102962,-47.696986083089286,-9.120205107940336,-18.325432547608838,0,,,0,100,60,-60,53,-53,-93,-103
1625012100,35726.85,35892,35722.75,35873.43,2361.366,2078.283499999985,-52.902730602227535,-53.51681835218725,0.6140877499597153,-18.221091796572498,0,-53.51681835218725,,0,100,60,-60,53,-53,-93,-103
1625012400,35873.42,35977.6,35862.01,35947.93,2568.163,2130.794499999985,-36.85601623963289,-48.858646010963355,12.002629771330461,-16.250932543651466,0,,,0,100,60,-60,53,-53,-93,-103
1625012700,35947.94,36040,35912.03,36019.92,2474.718,2044.7761499999851,-18.33922027689763,-36.03265570625269,17.69343542935506,-15.04227846068087,0,,,0,100,60,-60,53,-53,-93,-103
1625013000,36019.92,36089.96,35933.32,36051.02,2387.83,2038.5163999999852,-2.3885313674109145,-19.194589294647148,16.806057927236232,-11.151136056505884,0,,,0,100,60,-60,53,-53,-93,-103
1625013300,36051.02,36067.99,36012,36051.22,1171.927,1967.7463499999853,9.947171911709194,-3.5935265775331175,13.540698489242311,-8.219941700809285,0,,,0,100,60,-60,53,-53,-93,-103
1625013600,36051.22,36060,35950,35950,1495.904,1908.1865499999853,12.815715654505102,6.791452066267791,6.024263588237311,-5.992765954252708,0,,,0,100,60,-60,53,-53,-93,-103
1625013900,35950,36000,35911.64,35982.69,1675.167,1912.2263999999855,12.075685150962311,11.6128575723922,0.4628275785701117,-5.6012492438044035,0,,,0,100,60,-60,53,-53,-93,-103
1625014200,35982.7,36034.99,35956.06,35956.6,1147.077,1891.9092999999853,14.218334559405212,13.03657845495754,1.1817561044476719,-7.713800622891044,0,,,0,100,60,-60,53,-53,-93,-103
1625014500,35956.59,36007,35866,35878.59,1608.191,1899.9171499999852,4.253673570114964,10.182564426827492,-5.928890856712528,-11.271068142113045,0,,10.182564426827492,0,100,60,-60,53,-53,-93,-103
1625014800,35878.6,35880.06,35807.89,35811.1,2159.031,1951.1534499999852,-13.54912447712463,1.6409612174651798,-15.19008569458981,-14.217239452955685,0,,,0,100,60,-60,53,-53,-93,-103
1625015100,35811.11,35869.4,35788.04,35803.15,1284.243,1970.660349999985,-25.554377908711583,-11.616609605240418,-13.937768303471165,-17.202475440709197,0,,,0,100,60,-60,53,-53,-93,-103
1625015400,35803.14,35889.83,35780.76,35857.41,1343.041,1947.0800999999851,-30.316691092809968,-23.14006449288206,-7.176626599927907,-18.890159039292353,0,,,0,100,60,-60,53,-53,-93,-103
1625015700,35857.41,35860,35775,35782.72,1186.981,1948.9124999999851,-37.16420241879575,-31.01175714010577,-6.1524452786899815,-19.95650585746155,0,,,0,100,60,-60,53,-53,-93,-103
1625016000,35782.71,35827.99,35731,35771.56,1675.527,1978.3467499999854,-43.771479350465476,-37.08412428735707,-6.687355063108406,-20.973164826729995,0,,,0,100,60,-60,53,-53,-93,-103
1625016300,35771.56,35820,35751.88,35798.55,888.733,1957.5424499999851,-45.59914065256044,-42.17827414060723,-3.4208665119532142,-20.53540765401256,0,,,0,100,60,-60,53,-53,-93,-103
1625016600,35798.55,35850,35750,35845.39,1410.858,1945.877349999985,-42.76708868556517,-44.04590289619703,1.2788142106318574,-18.84015421788542,0,-44.04590289619703,,0,100,60,-60,53,-53,-93,-103
1625016900,35845.39,35950,35789,35916.28,2110.579,1958.5361999999848,-28.751322882063132,-39.03918407339625,10.287861191333118,-15.556930900286154,0,,,0,100,60,-60,53,-53,-93,-103
1625017200,35916.28,35916.28,35804.84,35889,1350.455,1882.564099999985,-20.212784594468275,-30.577065387365526,10.364280792897251,-12.308073970969986,0,,,0,100,60,-60,53,-53,-93,-103
1625017500,35889,35889,35783.4,35848.46,1224.183,1667.9364499999851,-19.59157428011074,-22.851893918880716,3.2603196387699747,-10.436621759297646,0,,,0,100,60,-60,53,-53,-93,-103
1625017800,35848.46,35858,35770,35813.24,1096.142,1631.005799999985,-24.684257193283646,-21.49620535595422,-3.188051837329425,-9.394907704680763,0,,-21.49620535595422,0,100,60,-60,53,-53,-93,-103
1625018100,35813.23,35855.55,35782.22,35848.34,864.129,1556.1439499999851,-24.486755978844055,-22.920862484079482,-1.5658934947645733,-8.27880646700836,0,,,0,100,60,-60,53,-53,-93,-103
1625018400,35846.95,35846.95,35751.55,35812.7,1092.907,1482.3811499999852,-30.323693994147796,-26.498235722091835,-3.825458272055961,-9.15007564650902,0,,,0,100,60,-60,53,-53,-93,-103
1625018700,35812.7,35814.06,35700,35700,1284.691,1422.879799999985,-45.20024136485989,-33.336897112617244,-11.863344252242648,-11.178075578591407,0,,,0,100,60,-60,53,-53,-93,-103
1625019000,35700,35758,35700,35716.05,1209.978,1363.9871999999848,-54.12068493193893,-43.21487343031554,-10.90581150162339,-11.8587467745353,0,,,0,100,60,-60,53,-53,-93,-103
1625019300,35716.05,35777.51,35712.01,35746.77,803.01,1345.5413499999847,-55.015773300962906,-51.445566532587236,-3.5702067683756695,-12.064181261398515,0,,,0,100,60,-60,53,-53,-93,-103
1625019600,35746.77,35834.39,35746.76,35796.85,1287.237,1335.107999999985,-45.01020535842667,-51.382221197109494,6.372015838682827,-12.039294688278797,0,-51.382221197109494,,0,100,60,-60,53,-53,-93,-103
1625019900,35796.85,35827,35755.64,35808.2,896.177,1296.1584999999848,-35.4942539036049,-45.173410854331486,9.679156950726586,-10.618349346512625,0,,,0,100,60,-60,53,-53,-93,-103
1625020200,35809.09,35840,35786.28,35839.96,1202.189,1298.9140999999847,-21.065870472599745,-33.856776578210436,12.790906105610691,-9.391107787060635,0,,,0,100,60,-60,53,-53,-93,-103
1625020500,35839.99,35840,35761.45,35811.14,778.516,1257.4303499999846,-15.086139293480468,-23.882087889895033,8.795948596414565,-10.309198414869833,0,,,0,100,60,-60,53,-53,-93,-103
1625020800,35811.15,35911.04,35776.01,35886.35,1932.475,1246.1025499999846,3.714142471780484,-10.812622431433233,14.526764903213717,-11.713352362993586,0,,,0,100,60,-60,53,-53,-93,-103
1625021100,35885.72,35890,35820.72,35873.4,1337.378,1248.7592999999847,16.299819192142515,1.642607456814184,14.65721173532833,-13.1259488244395,0,,,0,100,60,-60,53,-53,-93,-103
1625021400,35873.4,35873.4,35770,35796.73,1507.563,1256.9853999999846,11.82084408731151,10.611601917078177,1.209242170233333,-15.437142235489572,0,,,0,100,60,-60,53,-53,-93,-103
1625021700,35797.7,35800.06,35765,35799.58,704.263,1232.8494999999846,0.5726728474799163,9.564445375644654,-8.991772528164738,-16.844875350050184,0,,9.564445375644654,0,100,60,-60,53,-53,-93,-103
1625022000,35799.58,35799.59,35700,35700.18,1851.755,1241.6608999999846,-18.75048413302659,-2.118989066078388,-16.6314950669482,-17.838230997275044,0,,,0,100,60,-60,53,-53,-93,-103
1625022300,35700.17,35709.59,35620,35640.58,3481.297,1371.2890999999845,-39.0940344986046,-19.090615261383757,-20.003419237220843,-18.225092416163946,0,,,0,100,60,-60,53,-53,-93,-103
1625022600,35640.57,35641.93,35400,35460.35,8409.637,1721.2280499999845,-59.7550077103331,-39.1998421139881,-20.555165596345006,-18.093937851467732,0,,,0,100,60,-60,53,-53,-93,-103
1625022900,35460.36,35533.16,35305,35327.21,6365.065,1933.9523499999843,-73.238636693768,-57.36255963423523,-15.876077059532768,-18.537813802424246,0,,,0,100,60,-60,53,-53,-93,-103
1625023200,35327,35375,35118.01,35251.38,8975.775,2315.218349999984,-82.72222915551632,-71.90529118653915,-10.816937968977172,-18.122385511954853,0,,,0,100,60,-60,53,-53,-93,-103
1625023500,35251.46,35295.29,35218.81,35242.02,2996.645,2403.8414499999844,-84.6404633718864,-80.20044307372358,-4.440020298162821,-17.543440733719695,0,,,0,100,60,-60,53,-53,-93,-103
1625023800,35242.02,35320,35178,35266.64,3860.864,2542.0775499999845,-82.91109960876923,-83.42459737872399,0.5134977699547534,-17.468729669345016,1,-83.42459737872399,,0,100,60,-60,53,-53,-93,-103
1625024100,35265.53,35299.82,35153.56,35277.57,2648.161,2631.2791499999844,-79.82978737176774,-82.46045011747445,2.630662745706715,-17.771504249927457,0,,,0,100,60,-60,53,-53,-93,-103
1625024400,35277.57,35332.45,35260.77,35308.99,2309.43,2692.1052999999843,-73.25340017045612,-78.66476238366437,5.41136221320825,-18.135403180295395,0,,,0,100,60,-60,53,-53,-93,-103
1625024700,35308.99,35335,35237.84,35253.37,1599.943,2707.8678999999843,-68.38151054673689,-73.82156602965358,5.440055482916691,-19.849307096886307,0,,,0,100,60,-60,53,-53,-93,-103
1625025000,35254.16,35276.82,35187,35195,2090.608,2751.8993999999843,-66.41400609818977,-69.34963893846093,2.935632840271154,-22.635511200259593,0,,,0,100,60,-60,53,-53,-93,-103
1625025300,35195,35250,34936.42,35113.99,7399.467,3081.722249999984,-69.0630281568876,-67.95284826727142,-1.1101798896161768,-25.163877142814343,0,,-67.95284826727142,0,100,60,-60,53,-53,-93,-103
1625025600,35114,35199,35046.69,35167.99,4280.166,3231.3686999999836,-67.02539717903923,-67.50081047803887,0.4754132989996407,-25.91159995293996,1,-67.50081047803887,,0,100,60,-60,53,-53,-93,-103
1625025900,35168,35170,35033.82,35101.53,3010.633,3337.091499999983,-65.85715220359796,-67.31519251317494,1.4580403095769725,-26.857107457401206,0,,,0,100,60,-60,53,-53,-93,-103
1625026200,35101.54,35233.7,35101.53,35179.35,2420.294,3397.996749999983,-59.52583782856915,-64.13612907040212,4.610291241832968,-25.07826305441572,0,,,0,100,60,-60,53,-53,-93,-103
