direction,t_signal,t_entry,t_exit,entry,stop_d,gross_r,net_r,n_swaps,exit_reason,t_momentum,path
short,1578398400,1578399300,1578403800,0.213,0.0024000000000000132,2.0,1.9112500000000006,0,tp,1578398400,old
short,1578501000,1578501900,1578699900,0.2049,0.007099999999999995,-1.0,-1.0494934507042253,13,sl,1578501000,old
long,1578667500,1578668400,1578669300,0.2091,0.0015000000000000013,-1.0,-1.1394,0,sl,1578666600,new
long,1578679200,1578680100,1578699900,0.2092,0.0015000000000000013,2.0,1.8528626666666668,1,tp,1578679200,old
long,1578808800,1578809700,1578816000,0.2167,0.0025000000000000022,-1.0,-1.0914473999999998,1,sl,1578808800,old
short,1578823200,1578824100,1578831300,0.2127,0.0020000000000000018,-1.0,-1.11219925,1,sl,1578823200,old
short,1578883500,1578884400,1578912300,0.2117,0.001700000000000007,-1.0,-1.138227647058823,2,sl,1578882600,new
long,1579007700,1579008600,1579011300,0.2226,0.0013999999999999846,2.0,1.8409999999999982,0,tp,1579007700,old
long,1579020300,1579021200,1579137300,0.2393,0.015600000000000003,-1.0,-1.0220892307692309,8,sl,1579020300,old
long,1579048200,1579049100,1579050000,0.2398,0.003500000000000003,-1.0,-1.0685142857142857,0,sl,1579048200,old
short,1579061700,1579062600,1579068900,0.2329,0.0040999999999999925,-1.0,-1.0568048780487806,0,sl,1579060800,new
long,1579095000,1579095900,1579095900,0.2394,0.001700000000000007,2.0,1.8591764705882359,0,tp,1579094100,new
short,1579133700,1579134600,1579137300,0.2296,0.0039000000000000146,2.0,1.9411282051282053,0,tp,1579133700,old
short,1579166100,1579167000,1579167900,0.224,0.0013999999999999846,-1.0,-1.1600000000000017,0,sl,1579166100,old
long,1579238100,1579239000,1579239000,0.235,0.0015999999999999903,-1.0,-1.146875000000001,0,sl,1579236300,new
long,1579383000,1579383900,1579384800,0.2476,0.0014999999999999736,-1.0,-1.1650666666666696,0,sl,1579383000,old
long,1579395600,1579396500,1579398300,0.2486,0.002799999999999997,-1.0,-1.0887857142857145,0,sl,1579393800,new
short,1579801500,1579802400,1579813200,0.2235,0.0025000000000000022,-1.0,-1.094317,1,sl,1579800600,new
short,1579857300,1579858200,1579866300,0.217,0.002799999999999997,-1.0,-1.0775000000000001,0,sl,1579857300,old
short,1579911300,1579912200,1579941000,0.2202,0.001899999999999985,-1.0,-1.1286431578947378,2,sl,1579911300,old
long,1580079600,1580080500,1580101200,0.2322,0.0041999999999999815,-1.0,-1.0613671428571432,2,sl,1580079600,old
long,1580171400,1580172300,1580172300,0.234,0.001700000000000007,-1.0,-1.1376470588235288,0,sl,1580170500,new
long,1580217300,1580218200,1580221800,0.2404,0.0029000000000000137,-1.0,-1.0828965517241376,0,sl,1580217300,old
short,1580311800,1580312700,1580313600,0.2352,0.001700000000000007,-1.0,-1.1459623529411758,1,sl,1580310900,new
short,1580342400,1580343300,1580356800,0.2332,0.002799999999999997,-1.0,-1.0878664285714286,1,sl,1580341500,new
long,1580368500,1580369400,1580382900,0.2372,0.001700000000000007,-1.0,-1.147203529411764,1,sl,1580368500,old
long,1580424300,1580425200,1580427000,0.2475,0.0022999999999999965,-1.0,-1.107608695652174,0,sl,1580424300,old
short,1580724000,1580724900,1580727600,0.2492,0.0024999999999999745,-1.0,-1.099680000000001,0,sl,1580724000,old
short,1580744700,1580745600,1580756400,0.2477,0.0033999999999999864,-1.0,-1.072852941176471,0,sl,1580742900,new
long,1580800500,1580801400,1580805000,0.2527,0.0015999999999999903,-1.0,-1.166624062500001,1,sl,1580799600,new
