time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1767225600,87608.3,87791.9,87600,87705,752.615,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767226500,87705,87754,87705,87746.4,236.9,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767227400,87746.3,87747,87701.7,87715,243.217,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767228300,87715,87819,87714.9,87773.4,338.308,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767229200,87773.4,87983.3,87773.3,87960.8,906.403,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767230100,87960.9,88021.4,87833.6,87837.5,779.436,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767231000,87837.4,87866.5,87797.9,87858.6,311.436,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767231900,87858.7,87980,87841.2,87916.5,443.861,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767232800,87916.6,87997.5,87869.3,87963.1,335.889,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767233700,87963.1,88065,87904.2,87925.6,558.376,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767234600,87925.6,88029.2,87913.9,87928.4,564.321,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767235500,87928.3,87938.5,87866,87884.6,437.236,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767236400,87884.6,87968.5,87854.8,87962.4,413.902,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767237300,87962.3,87995,87863.4,87900,317.124,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767238200,87900.1,87925,87875,87907.6,167.466,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767239100,87907.6,87907.7,87801.9,87824.6,296.06,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767240000,87824.6,87831.6,87608.3,87625.7,841.767,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767240900,87625.7,87668,87508.4,87605.6,978.272,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1767241800,87605.6,87639.7,87528,87528.2,483.248,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
