time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1706486400,42021.2,42061,41910.1,41936.3,1173.196,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706486700,41936.3,41940,41887.7,41905,465.275,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706487000,41904.9,41905,41870,41903.3,337.188,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706487300,41903.4,41955.6,41865.4,41871,750.048,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706487600,41871,41912.9,41866,41910.1,294.658,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706487900,41910.1,41980.5,41886.5,41959.9,363.215,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706488200,41959.9,41998.9,41950.5,41991.4,488.244,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706488500,41991.3,42049.5,41948.6,41963.8,666.647,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706488800,41963.8,41993.9,41956,41980.7,163.672,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706489100,41980.6,41982.5,41938.2,41963,299.757,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706489400,41963.1,41982.6,41935,41935.1,161.642,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706489700,41935.1,41977.1,41933.8,41952.1,310.378,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706490000,41952.1,42022.5,41950,42008.8,403.04,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706490300,42008.8,42061.2,41997.8,42024,475.794,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706490600,42024.1,42072.5,42022.1,42070.3,359.916,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706490900,42070.4,42070.4,42012.1,42035.2,324.607,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706491200,42035.2,42140,42026.5,42114.9,1182.583,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706491500,42114.9,42240,42105.5,42182.3,2476.047,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706491800,42182.3,42230,42147.9,42218.1,1034.391,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706492100,42218,42310.6,42206.9,42225.5,1631.467,668.08825,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706492400,42225.5,42246.3,42184.6,42207,799.215,649.3892,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706492700,42207,42207,42148.5,42148.5,723.559,662.3034,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706493000,42148.5,42155.2,42127.7,42141.5,406.119,665.74995,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706493300,42141.4,42150,42123.1,42144.3,325.63,644.5290499999999,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706493600,42144.4,42152.9,42108,42123.8,538.675,656.7298999999999,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706493900,42123.9,42194.6,42123.9,42188.4,380.338,657.5860499999999,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706494200,42188.4,42247.8,42179.5,42241.9,657.83,666.0653499999999,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706494500,42241.8,42264.1,42218.8,42253.6,516.25,658.5454999999998,69.19449348797464,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706494800,42253.5,42287,42248.2,42267.1,499.832,675.3534999999998,72.85038149285732,,,,0,,,0,100,60,-60,53,-53,-93,-103
1706495100,42267.1,42283.7,42223.4,42248.8,351.563,677.9437999999998,70.86841930127616,70.97109809403604,-0.10267879275987468,,0,,,0,100,60,-60,53,-53,-93,-103
1706495400,42248.7,42318.6,42220,42274.9,629.098,701.3165999999999,70.40586525068879,71.37488868160743,-0.9690234309186394,,0,,,0,100,60,-60,53,-53,-93,-103
1706495700,42274.9,42277.8,42183,42214.6,670.581,719.3267499999998,60.719523744340364,67.33126943210176,-6.611745687761399,,0,,,0,100,60,-60,53,-53,-93,-103
1706496000,42214.7,42262,42194,42230.5,488.951,723.6222999999998,53.35459684781592,61.493328614281694,-8.138731766465774,,0,,,0,100,60,-60,53,-53,-93,-103
1706496300,42230.4,42230.5,42195.7,42227.7,347.096,717.1873999999998,43.938305074975474,52.670808555710586,-8.732503480735112,,0,,,0,100,60,-60,53,-53,-93,-103
1706496600,42227.7,42249.8,42220.1,42220.1,196.602,709.0216999999999,40.13345611788353,45.80878601355831,-5.675329895674778,,0,,,0,100,60,-60,53,-53,-93,-103
1706496900,42220.2,42220.8,42190.3,42220.7,335.106,709.5466499999999,29.16058771823803,37.74411630369901,-8.583528585460979,,0,,,0,100,60,-60,53,-53,-93,-103
1706497200,42220.8,42277,42219.9,42257.4,295.037,665.1693499999999,36.20377707021363,35.16594030211173,1.0378367681019043,,0,35.16594030211173,,0,100,60,-60,53,-53,-93,-103
1706497500,42257.4,42280,42236.8,42276.9,368.841,559.8090499999998,43.77033914733308,36.37823464526158,7.392104502071504,,0,,,0,100,60,-60,53,-53,-93,-103
1706497800,42277,42372.1,42276.9,42327.7,1529.555,584.5672499999998,59.38562478481623,46.45324700078765,12.932377784028581,,0,,,0,100,60,-60,53,-53,-93,-103
1706498100,42327.6,42439.5,42315.7,42419.6,1652.752,585.6314999999998,73.50784841229951,58.88793744814961,14.619910964149902,,0,,,0,100,60,-60,53,-53,-93,-103
1706498400,42419.7,42476.8,42367,42452.3,999.15,595.6282499999999,81.79406780004845,71.5625136657214,10.231554134327055,,0,,,0,100,60,-60,53,-53,-93,-103
1706498700,42452.4,42455,42405.3,42446.7,824.601,600.6803499999999,83.69275256553,79.66488959262598,4.027862972904018,,0,,,0,100,60,-60,53,-53,-93,-103
1706499000,42446.8,42493,42368.8,42391.7,1227.32,641.7403999999999,80.47502316356695,81.9872811763818,-1.5122580128148542,,0,,81.9872811763818,0,100,60,-60,53,-53,-93,-103
1706499300,42391.7,42450.6,42390,42444,580.1,654.4639,77.27429674557563,80.48069082489086,-3.2063940793152312,,0,,,0,100,60,-60,53,-53,-93,-103
1706499600,42444,42465,42414.3,42439.9,481.363,651.5982999999999,74.38858939936162,77.37930310283473,-2.990713703473105,,0,,,0,100,60,-60,53,-53,-93,-103
1706499900,42440,42440,42353.9,42354.2,578.271,661.49495,63.081341688778174,71.58140927790514,-8.500067589126964,,0,,,0,100,60,-60,53,-53,-93,-103
1706500200,42354.2,42380,42323.2,42331.8,554.15,656.3109499999999,47.08736584500339,61.51909897771441,-14.431733132711017,,0,,,0,100,60,-60,53,-53,-93,-103
1706500500,42331.8,42356.3,42306.4,42306.4,380.891,649.5429999999999,30.814815301410984,46.99450761173085,-16.17969231031987,,0,,,0,100,60,-60,53,-53,-93,-103
1706500800,42306.5,42316.6,42276.6,42278.1,487.959,648.94935,13.78405477194502,30.562078639453137,-16.778023867508118,,0,,,0,100,60,-60,53,-53,-93,-103
1706501100,42278.1,42326.9,42277.7,42321,301.563,646.44935,4.353809927347726,16.317560000234582,-11.963750072886857,,0,,,0,100,60,-60,53,-53,-93,-103
1706501400,42321.1,42321.1,42276.6,42276.6,259.848,627.98685,-5.456059743306859,4.227268318661969,-9.68332806196883,,0,,,0,100,60,-60,53,-53,-93,-103
1706501700,42276.7,42280.5,42233.5,42240.5,519.116,620.4136,-18.096335025462544,-6.399528280473885,-11.69680674498866,,0,,,0,100,60,-60,53,-53,-93,-103
1706502000,42240.6,42257.2,42222.2,42257.1,403.189,616.1255,-26.7650243112319,-16.772473026667097,-9.992551284564804,,0,,,0,100,60,-60,53,-53,-93,-103
1706502300,42257.2,42271.3,42213.3,42214.2,373.148,617.4281,-33.661938932138995,-26.17443275627781,-7.487506175861185,,0,,,0,100,60,-60,53,-53,-93,-103
1706502600,42214.3,42253.9,42209.7,42250.9,527.719,633.98395,-36.82487714852022,-32.41728013063037,-4.407597017889856,,0,,,0,100,60,-60,53,-53,-93,-103
1706502900,42251,42258.1,42223.5,42230.4,312.109,632.8341,-38.46353741914436,-36.31678449993452,-2.1467529192098382,,0,,,0,100,60,-60,53,-53,-93,-103
