run,cost_per_side_pct,expectancy,profit_factor,trades
s1_flat,0.0,1327.75,1.924,64
s1_flat,0.05,1258.57,1.895,64
s1_flat,0.1,1193.3,1.868,64
s1_flat,0.15,1131.71,1.841,64
s1_flat,0.2,1073.6,1.815,64
s1_flat,0.3,967.01,1.766,64
s1_flip,0.0,162.15,1.172,129
s1_flip,0.05,143.71,1.161,129
s1_flip,0.1,127.33,1.151,129
s1_flip,0.15,112.76,1.141,129
s1_flip,0.2,99.81,1.132,129
s1_flip,0.3,78.01,1.114,129
s1_flat_4h,0.0,5.03,1.044,343
s1_flat_4h,0.05,-1.82,0.982,343
s1_flat_4h,0.1,-6.68,0.927,343
s1_flat_4h,0.15,-10.1,0.877,343
s1_flat_4h,0.2,-12.5,0.833,343
s1_flat_4h,0.3,-15.3,0.761,343
s1_flip_4h,0.0,-10.34,0.838,686
s1_flip_4h,0.05,-11.07,0.791,686
s1_flip_4h,0.1,-11.27,0.752,686
s1_flip_4h,0.15,-11.23,0.72,686
s1_flip_4h,0.2,-11.07,0.693,686
s1_flip_4h,0.3,-10.67,0.65,686
s2_mid,0.0,117.85,3.363,54
s2_mid,0.05,116.68,3.327,54
s2_mid,0.1,115.51,3.292,54
s2_mid,0.15,114.35,3.258,54
s2_mid,0.2,113.2,3.224,54
s2_mid,0.3,110.92,3.159,54
s2_band,0.0,19.57,1.503,187
s2_band,0.05,18.64,1.483,187
s2_band,0.1,17.73,1.462,187
s2_band,0.15,16.84,1.442,187
s2_band,0.2,15.97,1.422,187
s2_band,0.3,14.29,1.382,187
s3_atr,0.0,255.05,7.976,40
s3_atr,0.05,253.25,7.847,40
s3_atr,0.1,251.45,7.722,40
s3_atr,0.15,249.67,7.6,40
s3_atr,0.2,247.89,7.481,40
s3_atr,0.3,244.37,7.254,40
s3_nostop,0.0,3077.88,3.87,40
s3_nostop,0.05,2972.88,3.796,40
s3_nostop,0.1,2871.53,3.725,40
s3_nostop,0.15,2773.71,3.656,40
s3_nostop,0.2,2679.31,3.589,40
s3_nostop,0.3,2500.25,3.462,40
s4,0.0,13.62,1.267,4
s4,0.05,12.67,1.246,4
s4,0.1,11.72,1.225,4
s4,0.15,10.77,1.205,4
s4,0.2,9.82,1.185,4
s4,0.3,7.93,1.146,4
