side,entry_dt,entry_px,exit_dt,exit_px,pnl,r_multiple,reason,cost
-1,2019-10-25,7410.07,2019-10-25,8650.0,-1679.1406828815384,-0.16791406828815383,reverse,10.836652015433053
1,2019-10-26,8650.0,2019-11-09,8811.15,150.68954763498533,0.018120742774566434,reverse,8.393321787000176
-1,2019-11-10,8811.3,2019-12-01,7387.38,1363.988316312832,0.1611823805794831,reverse,7.778623063140676
1,2019-12-02,7388.0,2019-12-17,6618.96,-1026.8179403747163,-0.10454107742284786,reverse,9.310939018247954
-1,2019-12-18,6618.96,2019-12-18,7277.44,-879.3376911246515,-0.10003364879074651,reverse,9.22767165603218
1,2019-12-19,7278.11,2020-01-23,8409.6,1224.643522517899,0.15488707920050682,reverse,8.52129187655407
-1,2020-01-24,8410.0,2020-01-28,9398.98,-1078.4407428101124,-0.11815451724137925,reverse,9.664046512568376
1,2020-01-29,9399.72,2020-02-04,9198.35,-176.2704252303861,-0.02191226706752956,reverse,7.958204686124764
-1,2020-02-05,9198.32,2020-02-05,9630.0,-373.1802421024019,-0.0474537741674567,reverse,8.048611113508162
1,2020-02-06,9630.0,2020-02-15,9914.99,217.71486218784685,0.029079180166147436,reverse,7.597751561578267
-1,2020-02-16,9914.31,2020-03-21,6183.69,2895.356773518564,0.3759745413447835,reverse,6.252059193380102
1,2020-03-22,6183.84,2020-05-11,8561.09,4064.7150764197263,0.3837372013182747,reverse,12.628468340683618
-1,2020-05-12,8560.73,2020-06-01,10232.48,-2869.9906798255042,-0.19587888416057977,reverse,16.082480599049887
1,2020-06-02,10232.41,2020-06-05,9617.29,-713.3587218280138,-0.06058481286422251,reverse,11.420634241437213
-1,2020-06-06,9616.64,2020-07-07,9258.51,406.38488222266113,0.0367592781886396,reverse,10.849447586998835
1,2020-07-08,9258.51,2020-07-17,9151.69,-137.83734299710187,-0.012031724867176222,reverse,11.39007048263448
-1,2020-07-18,9151.7,2020-07-21,9388.01,-297.90969507255033,-0.02633434279969836,reverse,11.458646408870932
1,2020-07-22,9388.0,2020-08-11,11392.64,2344.1014523537874,0.21292540264167015,reverse,12.1844174231165
-1,2020-08-12,11392.64,2020-09-15,10776.78,715.2288951447482,0.05358473628588271,reverse,12.986852715886261
1,2020-09-16,10776.88,2020-11-26,17155.34,8308.174977961928,0.5910692454587971,reverse,18.21586014155835
-1,2020-11-27,17155.37,2020-12-16,21346.8,-5476.29075636647,-0.2449439096912512,reverse,25.088516107320253
1,2020-12-17,21346.81,2021-01-12,34056.9,10031.012762590357,0.5946116328388177,reverse,21.892091199418118
-1,2021-01-13,34065.53,2021-02-03,37652.51,-2846.540388057468,-0.10584911654097276,reverse,28.30827323698245
1,2021-02-04,37651.92,2021-02-24,49702.03,7675.475907247052,0.31937970188505665,reverse,27.878116365901437
-1,2021-02-25,49702.05,2021-03-09,54917.78,-3343.6775389466125,-0.10549240705363251,reverse,33.35899040053593
1,2021-03-10,54917.78,2021-03-20,58145.61,1650.4892350974167,0.05824629464264582,reverse,29.169126742459863
-1,2021-03-21,58144.44,2021-04-01,58794.01,-349.9986616915538,-0.011677247299999787,reverse,30.140125145171602
1,2021-04-02,58797.56,2021-04-03,57134.65,-851.7493432475662,-0.028767814939939622,reverse,29.18903560493758
-1,2021-04-04,57134.65,2021-04-05,59243.39,-1075.6870866759075,-0.037426705073016084,reverse,29.271557541777874
1,2021-04-06,59243.4,2021-04-06,58059.99,-565.8910158963624,-0.020465401968826968,reverse,27.374936000518115
-1,2021-04-07,58060.0,2021-04-11,60090.2,-960.6217552248082,-0.035484758870134296,reverse,27.544696624727393
1,2021-04-12,60093.26,2021-04-18,56140.05,-1728.985773854303,-0.06625168987337346,reverse,25.23883501990006
-1,2021-04-19,56140.05,2021-04-30,57684.16,-682.3926945828858,-0.02801835908589323,reverse,24.690138484914378
1,2021-05-01,57688.29,2021-05-12,49595.76,-3329.2905066840967,-0.14071014897477457,reverse,22.001068237225255
-1,2021-05-13,49596.75,2021-05-31,37243.38,5053.476452370586,0.24870073764914033,reverse,17.788954466141046
1,2021-06-01,37244.36,2021-06-21,31606.0,-3850.3961670445665,-0.15181259659180613,reverse,23.443006705292945
-1,2021-06-22,31606.0,2021-06-28,34487.22,-1971.6583117328316,-0.09170611940770744,reverse,22.479710649564886
1,2021-06-29,34486.58,2021-07-15,31866.43,-1491.865174886603,-0.07643794238222523,reverse,18.77591426261224
-1,2021-07-16,31865.53,2021-07-22,32268.11,-236.72704716441524,-0.013140031093159343,reverse,18.129517077120283
1,2021-07-23,32268.12,2021-08-17,44704.84,6836.563677800559,0.38472546835700366,reverse,21.194416031170697
-1,2021-08-18,44704.85,2021-08-21,48848.29,-2293.256716575033,-0.0932306929785024,reverse,25.737567156436697
1,2021-08-22,48846.11,2021-08-24,47719.36,-525.1085309328074,-0.023555809868994682,reverse,22.034992826818602
-1,2021-08-25,47719.37,2021-09-06,52683.97,-2275.4318717648503,-0.10458943579934099,reverse,22.887559157596854
1,2021-09-07,52683.98,2021-09-07,46864.39,-2159.308087262305,-0.11090700047718496,reverse,18.394213922268023
-1,2021-09-08,46864.38,2021-10-01,48123.94,-473.86300577932275,-0.027390140870315684,reverse,17.532985521090755
1,2021-10-02,48123.93,2021-10-24,60902.82,4455.226587655081,0.264908509965832,reverse,19.050916390131178
-1,2021-10-25,60902.82,2021-11-09,67009.98,-2144.071673902558,-0.10082726858953323,reverse,22.33098627397709
1,2021-11-10,67010.65,2021-11-12,64156.08,-823.2142229770944,-0.04307745171849538,reverse,18.70306255233607
-1,2021-11-13,64156.08,2021-12-19,46668.63,4975.324901577855,0.27221294825057896,reverse,15.786340096416517
1,2021-12-20,46668.65,2022-01-04,45833.42,-427.40349007664474,-0.018388076578174067,reverse,23.035517759727792
-1,2022-01-05,45833.41,2022-01-14,43042.4,1377.963637925981,0.06042510910709026,reverse,22.11015160473265
1,2022-01-15,43042.4,2022-01-21,36425.98,-3725.7689530529265,-0.15414179948144152,reverse,22.31327817225744
-1,2022-01-22,36426.46,2022-01-29,38150.01,-977.5145679688674,-0.04783953766026133,reverse,20.916601576221808
1,2022-01-30,38150.0,2022-02-18,39966.8,915.8566433939327,0.04709873132372223,reverse,19.90848432741412
-1,2022-02-19,39966.8,2022-02-28,43155.0,-1634.4590578129364,-0.08031109570943874,reverse,21.16333280293034
1,2022-03-01,43155.0,2022-03-06,38401.1,-2069.0583129011375,-0.11060365079365084,reverse,17.67659458512731
-1,2022-03-07,38401.1,2022-03-16,41105.8,-1180.0965382613358,-0.07096809466395505,reverse,17.214148723204744
1,2022-03-17,41105.9,2022-04-05,45477.4,1633.4755220227212,0.10579409038605163,reverse,16.261147877436947
-1,2022-04-06,45477.5,2022-05-04,39684.0,2166.6239649254753,0.1269563630366665,reverse,15.97886009086448
1,2022-05-05,39684.1,2022-05-05,36534.7,-1534.4985255560684,-0.07982207861586886,reverse,18.461161368420335
-1,2022-05-06,36533.7,2022-05-20,29188.9,3547.3308677173786,0.2006422987543007,reverse,15.902678724107698
1,2022-05-21,29188.9,2022-06-12,26564.7,-1917.27221751627,-0.09035908684465671,reverse,20.26455803704527
-1,2022-06-13,26564.7,2022-06-25,21481.9,3683.1765205541105,0.1909322917254853,reverse,17.444996920181282
1,2022-06-26,21481.9,2022-08-06,22943.3,1549.9643101850615,0.06749534957336165,reverse,23.745130051713765
-1,2022-08-07,22943.2,2022-08-08,23804.4,-932.441222936201,-0.038054944384392796,reverse,24.962363691978048
1,2022-08-09,23804.3,2022-08-17,23333.1,-477.86646062583094,-0.0202848455951236,reverse,23.324645806490437
