side,entry_dt,entry_px,exit_dt,exit_px,pnl,r_multiple,reason,cost
-1,2021-01-09 12:00:00,40639.69,2021-01-13 16:00:00,36035.43,1128.5131075064799,0.11285131075064798,reverse,9.433526682905306
1,2021-01-13 20:00:00,36035.42,2021-01-15 16:00:00,35255.64,-246.14605124064477,-0.022128445290772215,reverse,11.003160784001281
-1,2021-01-15 20:00:00,35255.38,2021-01-18 12:00:00,36448.42,-373.5211096187185,-0.03435686156268918,reverse,11.055755927882426
1,2021-01-18 16:00:00,36448.41,2021-01-20 00:00:00,35097.16,-394.0527401883403,-0.03755441128982032,reverse,10.298347879217085
-1,2021-01-20 04:00:00,35098.12,2021-01-22 20:00:00,32986.34,602.56448338582,0.0596979789800709,reverse,9.789895321038795
1,2021-01-23 00:00:00,32990.08,2021-01-26 04:00:00,31640.7,-442.4193024337023,-0.04138214730003689,reverse,10.472420624323037
-1,2021-01-26 08:00:00,31640.71,2021-01-26 20:00:00,32474.14,-275.06956683777264,-0.02685360315871548,reverse,10.378208500753571
1,2021-01-27 00:00:00,32474.81,2021-01-27 00:00:00,31817.08,-206.66896583902235,-0.020743417436468438,reverse,9.862216625949127
-1,2021-01-27 04:00:00,31817.42,2021-01-28 12:00:00,31937.9,-41.81912025039818,-0.004288498250329637,reverse,9.769922720851106
1,2021-01-28 16:00:00,31937.9,2021-01-31 04:00:00,33632.41,509.7900834010975,0.052529871876360115,reverse,9.962215364674393
-1,2021-01-31 08:00:00,33631.01,2021-02-02 08:00:00,34821.61,-366.72795938956097,-0.03591955177676788,reverse,10.390424300662229
1,2021-02-02 12:00:00,34821.6,2021-02-05 08:00:00,37745.41,820.7088797579223,0.08342342956670587,reverse,10.250890714059604
-1,2021-02-05 12:00:00,37745.4,2021-02-05 12:00:00,38006.64,-79.09883366163564,-0.0074245688216311905,reverse,10.690527808994009
1,2021-02-05 16:00:00,38006.64,2021-02-05 16:00:00,37638.22,-107.68699866828352,-0.010188722549533404,reverse,10.518007773133416
-1,2021-02-05 20:00:00,37638.77,2021-02-06 00:00:00,39441.31,-506.23430554859266,-0.04841445815046562,reverse,10.706640859353337
1,2021-02-06 04:00:00,39440.83,2021-02-07 04:00:00,39056.38,-101.86100332303441,-0.010242639163526843,reverse,9.896331988440815
-1,2021-02-07 08:00:00,39056.38,2021-02-08 12:00:00,43785.81,-1196.8174858755558,-0.1216529259752184,reverse,10.433618546098911
1,2021-02-08 16:00:00,43785.81,2021-02-10 12:00:00,44397.24,116.2188870005046,0.013457130974623978,reverse,8.696529301706438
-1,2021-02-10 16:00:00,44397.24,2021-02-17 04:00:00,51181.48,-1341.8242728867147,-0.1533841009035698,reverse,9.416522331026602
1,2021-02-17 08:00:00,51188.71,2021-02-18 20:00:00,51619.7,58.58941077797319,0.00791542021668446,reverse,7.433093853339455
-1,2021-02-19 00:00:00,51612.46,2021-02-19 12:00:00,53944.7,-340.85229500503334,-0.045710131817006935,reverse,7.625299231799447
1,2021-02-19 16:00:00,53939.51,2021-02-22 00:00:00,55954.31,261.9742475562702,0.03683427685939297,reverse,7.245072422545116
-1,2021-02-22 04:00:00,55949.88,2021-02-25 04:00:00,50406.0,727.0129269569828,0.09863608286559322,reverse,7.005492404962791
1,2021-02-25 08:00:00,50414.54,2021-02-25 20:00:00,47089.37,-537.6316358620289,-0.06642358900825036,reverse,7.827060763202057
-1,2021-02-26 00:00:00,47087.97,2021-02-27 04:00:00,47198.4,-21.496568835672097,-0.0028463575728577867,reverse,7.561163697801093
1,2021-02-27 08:00:00,47198.02,2021-02-28 00:00:00,44646.33,-410.49789136338086,-0.05453646498306487,reverse,7.323566274114297
-1,2021-02-28 04:00:00,44646.32,2021-03-01 00:00:00,46351.91,-275.4162306705667,-0.038721353854024344,reverse,7.248635777389897
1,2021-03-01 04:00:00,46351.91,2021-03-04 16:00:00,48019.76,242.35628118873066,0.03546434483498088,reverse,6.956749233851927
-1,2021-03-04 20:00:00,48019.76,2021-03-07 00:00:00,49582.55,-233.83187378234229,-0.033060999784255495,reverse,7.187830756187596
1,2021-03-07 04:00:00,49582.55,2021-03-12 04:00:00,56718.79,979.8812331773089,0.14335447864218354,reverse,7.327267712848732
-1,2021-03-12 08:00:00,56714.76,2021-03-13 08:00:00,59905.92,-443.6729646020746,-0.05679496765921244,reverse,8.031609489024243
1,2021-03-13 12:00:00,59914.58,2021-03-14 16:00:00,60019.15,9.164415898277854,0.0012444454254707236,reverse,7.370683455410615
-1,2021-03-14 20:00:00,60019.15,2021-03-17 20:00:00,58959.0,126.5558216883,0.017172360821504494,reverse,7.3046514556319355
1,2021-03-18 00:00:00,58959.01,2021-03-21 00:00:00,57813.98,-149.1858882386934,-0.019911070250331522,reverse,7.419854039797349
-1,2021-03-21 04:00:00,57812.51,2021-03-24 08:00:00,56591.65,151.4038580584511,0.02062813351297151,reverse,7.262179916622232
1,2021-03-24 12:00:00,56589.25,2021-03-24 20:00:00,52311.54,-569.4512007845049,-0.0760544762476972,reverse,7.204416790150173
-1,2021-03-25 00:00:00,52307.89,2021-03-26 08:00:00,52759.34,-63.160989455887936,-0.009134944460577497,reverse,6.944054150288944
1,2021-03-26 12:00:00,52759.33,2021-03-31 08:00:00,58076.84,686.3872771537629,0.10023765616432193,reverse,7.1926771077071425
-1,2021-03-31 12:00:00,58076.84,2021-03-31 12:00:00,59367.07,-171.1472487214626,-0.022727020530042674,reverse,7.614211667126748
1,2021-03-31 16:00:00,59367.07,2021-03-31 16:00:00,58644.25,-93.1912962052358,-0.012669348933676525,reverse,7.310870852826435
-1,2021-03-31 20:00:00,58644.26,2021-04-05 16:00:00,59082.46,-57.89536923581989,-0.007975908128092964,reverse,7.285900286491769
1,2021-04-05 20:00:00,59082.45,2021-04-06 16:00:00,58301.21,-98.71947969151823,-0.013716266082398376,reverse,7.149671879208244
-1,2021-04-06 20:00:00,58296.91,2021-04-08 16:00:00,57778.71,59.55081811073109,0.008393423339247386,reverse,7.0634046125343115
1,2021-04-08 20:00:00,57778.71,2021-04-12 12:00:00,60075.19,280.50464756442346,0.039226254878310766,reverse,7.293052453188803
-1,2021-04-12 16:00:00,60075.19,2021-04-13 04:00:00,61133.17,-134.5910530348966,-0.018119736034126498,reverse,7.493276371370408
1,2021-04-13 08:00:00,61133.16,2021-04-14 20:00:00,63019.1,221.12372860745924,0.030334280936892433,reverse,7.402006003040662
-1,2021-04-15 00:00:00,63018.34,2021-04-20 08:00:00,56293.57,797.733616811688,0.10626467176063345,reverse,7.1065011750859455
1,2021-04-20 12:00:00,56292.06,2021-04-22 20:00:00,51714.61,-678.8198376595968,-0.08177542809767482,reverse,7.963521153141187
-1,2021-04-23 00:00:00,51714.62,2021-04-24 16:00:00,50698.61,145.93372020810196,0.019156298450999004,reverse,7.543220260912825
1,2021-04-24 20:00:00,50698.62,2021-04-29 04:00:00,54469.06,572.9533495523506,0.07383249228479975,reverse,8.048739910696089
-1,2021-04-29 08:00:00,54469.07,2021-04-30 12:00:00,57138.23,-412.5289102111552,-0.04952772490883365,reverse,8.53333227280112
1,2021-04-30 16:00:00,57139.14,2021-05-02 04:00:00,56682.01,-67.22743451176505,-0.008496295271507366,reverse,7.880907231193786
