side,entry_dt,entry_px,exit_dt,exit_px,pnl,r_multiple,reason,cost
1,2020-07-30,11113.01,2020-09-23,10237.91,-792.0616961561271,-0.07920616961561272,signal,9.60627228806597
1,2020-09-27,10726.5,2020-09-27,10768.0,30.986185594707063,0.003366988300004661,signal,9.220741032581557
1,2020-09-29,10691.94,2020-09-29,10836.98,120.52181515891179,0.013058575899228677,signal,9.29192255839024
1,2020-10-01,10773.0,2020-10-01,10612.63,-143.71886178821484,-0.015378846653671289,signal,9.275672271633656
1,2020-10-12,11369.59,2020-10-13,11419.36,35.64030505768999,0.0038752778244422565,signal,9.216968123976816
1,2020-10-15,11417.12,2020-10-17,11356.25,-53.78748322757567,-0.005828801396499363,signal,9.20328151176581
1,2020-10-20,11744.99,2021-02-28,45163.36,26072.562429340465,2.8434071310405544,signal,22.214575291776754
1,2021-03-02,49594.99,2021-05-01,57836.34,5834.968657823537,0.16558994829921325,signal,38.16521442092126
1,2021-05-06,57497.76,2021-05-10,55869.67,-1182.4422311612484,-0.028801553921405,signal,40.47355874050534
1,2021-05-15,49873.26,2021-05-15,46793.41,-2479.687157103419,-0.06222265608865348,signal,38.621341276660516
1,2021-08-08,44601.11,2021-09-28,41006.32,-3027.710301032752,-0.08105836738143964,reverse,35.8469543388205
-1,2021-09-29,41002.96,2021-10-01,48123.94,-5978.023290558103,-0.1742567358551676,reverse,37.28478336812645
1,2021-10-02,48123.93,2021-11-23,57574.23,5542.549446685609,0.19577604915059935,signal,31.090403705566168
1,2022-04-04,46392.3,2022-04-05,45477.4,-683.924014676903,-0.02021108459809066,signal,33.50538648370774
-1,2022-04-15,39915.9,2022-04-15,40529.5,-526.2350210572882,-0.015880006463589662,signal,33.39291762395848
-1,2022-04-18,39649.1,2022-04-18,40785.6,-951.078150664574,-0.029178286518483396,signal,33.062564537206825
-1,2022-04-21,41326.0,2022-04-25,40411.0,684.8131712005028,0.02165209553307845,signal,31.27789351321197
-1,2022-04-28,39209.0,2022-05-01,38440.5,617.1927735427911,0.019109891861562395,signal,31.980518804365765
-1,2022-05-06,36533.7,2022-07-30,23629.9,11609.048546521055,0.35287926079209053,signal,27.08823158049948
-1,2022-09-04,19820.7,2022-12-29,16630.3,7142.689347744843,0.160543515112988,signal,40.90999795537306
-1,2022-12-31,16601.2,2022-12-31,16537.6,172.01799544244122,0.0033329638821291345,signal,51.51225662345789
-1,2023-03-10,20348.4,2023-03-13,24119.5,-9622.685466251773,-0.18591927375125308,reverse,56.553336803281624
1,2023-03-14,24119.5,2023-05-12,26785.1,4630.32758862163,0.1099611289620431,signal,44.43562168708725
1,2023-05-14,26762.8,2023-05-31,27201.1,741.3695912384696,0.015869021552303915,signal,47.10059606226677
1,2023-06-07,27221.5,2023-06-07,26325.9,-1583.605814826805,-0.033384014473853335,signal,46.65571698805337
1,2023-06-11,25826.6,2023-06-11,25909.9,124.82572645956405,0.0027237441242750847,signal,45.9026342079149
1,2023-06-13,25894.8,2023-06-15,25586.1,-570.2450330968611,-0.012415351730849466,signal,45.65686182696038
1,2023-06-22,29988.5,2023-06-24,30524.2,786.8121424593533,0.017354582589992854,signal,45.742371119589905
1,2023-06-26,30458.0,2023-07-24,29163.8,-1980.987016045823,-0.04297005384463854,signal,45.12211380417196
1,2023-07-26,29216.2,2023-07-26,29336.0,158.68120865591172,0.003598414578213431,signal,44.18794403922089
1,2023-07-28,29209.8,2023-08-09,29572.8,527.3209089472257,0.01192112236304254,signal,44.50902271232541
1,2023-10-06,27398.3,2024-04-29,63842.4,59458.35851077044,1.3289940908742517,signal,74.49461183264391
1,2024-06-05,70580.0,2024-06-08,69346.5,-1871.8107610701222,-0.01796788396146217,signal,103.26504224043461
1,2024-06-21,64854.0,2024-06-22,64240.0,-1018.6991343269895,-0.009962685416473925,signal,101.76743178264749
1,2024-06-28,61682.1,2024-06-28,60429.8,-2103.8024857710034,-0.020792335215564898,signal,100.1545162407942
1,2024-07-01,62766.1,2024-07-02,62123.6,-1062.6909684275988,-0.010731299220439059,signal,98.52040023620125
1,2024-09-24,63302.1,2024-10-02,60622.6,-4191.508270835644,-0.04280760511894551,signal,95.84272620953826
1,2024-10-05,62054.3,2024-10-10,60293.2,-2703.990835683009,-0.02886579334550556,signal,92.34533055602896
1,2024-10-12,62509.0,2024-10-12,63176.0,924.2515144132541,0.0101651282215361,signal,91.40884307270704
1,2024-10-16,67044.0,2024-12-31,93548.9,36228.789398325884,0.39463823086331357,end_of_data,109.94895201422176
