signal_bar,wt_conf_bar,mfi_conf_bar,direction,dt
300,300,293,bear,2021-01-10 10:00:00
415,415,406,bull,2021-01-11 14:45:00
423,415,423,bull,2021-01-11 16:45:00
975,975,972,bull,2021-01-17 10:45:00
1193,1193,1191,bear,2021-01-19 17:15:00
1385,1379,1385,bull,2021-01-21 17:15:00
1918,1918,1915,bull,2021-01-27 06:30:00
2057,2053,2057,bear,2021-01-28 17:15:00
2095,2089,2095,bear,2021-01-29 02:45:00
2126,2126,2123,bear,2021-01-29 10:30:00
2208,2198,2208,bull,2021-01-30 07:00:00
2309,2306,2309,bull,2021-01-31 08:15:00
2310,2310,2309,bull,2021-01-31 08:30:00
2572,2571,2572,bear,2021-02-03 02:00:00
2696,2696,2695,bear,2021-02-04 09:00:00
2791,2791,2787,bear,2021-02-05 08:45:00
2867,2867,2861,bear,2021-02-06 03:45:00
2919,2919,2917,bear,2021-02-06 16:45:00
3093,3093,3091,bear,2021-02-08 12:15:00
3171,3171,3162,bear,2021-02-09 07:45:00
3955,3949,3955,bear,2021-02-17 11:45:00
4204,4204,4202,bear,2021-02-20 02:00:00
4545,4534,4545,bull,2021-02-23 15:15:00
4567,4567,4558,bull,2021-02-23 20:45:00
4567,4567,4565,bull,2021-02-23 20:45:00
4634,4634,4631,bear,2021-02-24 13:30:00
4990,4983,4990,bull,2021-02-28 06:30:00
4992,4992,4990,bull,2021-02-28 07:00:00
5060,5060,5058,bear,2021-03-01 00:00:00
5065,5060,5065,bear,2021-03-01 01:15:00
5073,5073,5065,bear,2021-03-01 03:15:00
5116,5107,5116,bear,2021-03-01 14:00:00
5232,5232,5231,bull,2021-03-02 19:45:00
5238,5238,5231,bull,2021-03-02 21:15:00
5524,5524,5516,bear,2021-03-05 20:45:00
5703,5692,5703,bear,2021-03-07 17:30:00
5704,5704,5703,bear,2021-03-07 17:45:00
5794,5794,5794,bear,2021-03-08 16:15:00
5851,5851,5842,bear,2021-03-09 06:30:00
5851,5851,5850,bear,2021-03-09 06:30:00
5886,5886,5882,bear,2021-03-09 15:15:00
5943,5940,5943,bull,2021-03-10 05:30:00
5992,5992,5981,bear,2021-03-10 17:45:00
6011,6001,6011,bear,2021-03-10 22:30:00
6096,6096,6096,bear,2021-03-11 19:45:00
6105,6105,6096,bear,2021-03-11 22:00:00
6595,6589,6595,bear,2021-03-17 00:30:00
6784,6773,6784,bull,2021-03-18 23:45:00
6868,6868,6867,bear,2021-03-19 20:45:00
7120,7120,7117,bear,2021-03-22 11:45:00
7195,7195,7188,bull,2021-03-23 06:30:00
7416,7416,7413,bull,2021-03-25 13:45:00
7490,7482,7490,bear,2021-03-26 08:15:00
7559,7557,7559,bear,2021-03-27 01:30:00
7673,7673,7669,bear,2021-03-28 06:00:00
7982,7982,7973,bull,2021-03-31 11:15:00
8767,8767,8759,bear,2021-04-08 15:30:00
9331,9331,9329,bear,2021-04-14 12:30:00
9530,9520,9530,bull,2021-04-16 14:15:00
9635,9635,9624,bull,2021-04-17 16:30:00
9989,9989,9988,bull,2021-04-21 09:00:00
10169,10169,10167,bull,2021-04-23 06:00:00
10174,10174,10167,bull,2021-04-23 07:15:00
10445,10444,10445,bear,2021-04-26 03:00:00
10455,10444,10455,bear,2021-04-26 05:30:00
10463,10463,10455,bear,2021-04-26 07:30:00
10510,10510,10509,bear,2021-04-26 19:15:00
10620,10620,10614,bear,2021-04-27 22:45:00
10620,10620,10619,bear,2021-04-27 22:45:00
10803,10793,10803,bull,2021-04-29 20:30:00
10804,10804,10803,bull,2021-04-29 20:45:00
10924,10924,10913,bear,2021-05-01 02:45:00
10924,10924,10918,bear,2021-05-01 02:45:00
11049,11046,11049,bull,2021-05-02 10:00:00
11050,11050,11049,bull,2021-05-02 10:15:00
