signal_bar,leg1_osc,leg1_conf_bar,leg2_anchor_bar,direction,dt
422,wt,415,414,bull,2021-01-11 16:30:00
706,mfi,704,677,bear,2021-01-14 15:30:00
794,wt,794,788,bull,2021-01-15 13:30:00
884,wt,876,884,bear,2021-01-16 12:00:00
1049,mfi,1047,1047,bull,2021-01-18 05:15:00
1085,wt,1082,1073,bear,2021-01-18 14:15:00
1128,mfi,1121,1127,bear,2021-01-19 01:00:00
1287,mfi,1286,1239,bull,2021-01-20 16:45:00
1384,wt,1379,1381,bull,2021-01-21 17:00:00
1386,mfi,1385,1359,bull,2021-01-21 17:30:00
1493,mfi,1489,1493,bear,2021-01-22 20:15:00
1758,mfi,1758,1757,bear,2021-01-25 14:30:00
1835,wt,1829,1835,bull,2021-01-26 09:45:00
1853,mfi,1849,1815,bull,2021-01-26 14:15:00
2056,wt,2053,2051,bear,2021-01-28 17:00:00
2125,mfi,2123,2089,bear,2021-01-29 10:15:00
2308,wt,2306,2305,bull,2021-01-31 08:00:00
2571,wt,2571,2564,bear,2021-02-03 01:45:00
2695,mfi,2695,2666,bear,2021-02-04 08:45:00
2902,wt,2895,2900,bear,2021-02-06 12:30:00
2918,mfi,2917,2901,bear,2021-02-06 16:30:00
3092,mfi,3091,3078,bear,2021-02-08 12:00:00
3135,wt,3135,3134,bear,2021-02-08 22:45:00
3170,mfi,3162,3143,bear,2021-02-09 07:30:00
3920,mfi,3912,3912,bear,2021-02-17 03:00:00
3946,wt,3942,3946,bear,2021-02-17 09:30:00
3950,wt,3949,3946,bear,2021-02-17 10:30:00
4364,wt,4364,4360,bear,2021-02-21 18:00:00
4761,mfi,4755,4718,bull,2021-02-25 21:15:00
4989,wt,4983,4985,bull,2021-02-28 06:15:00
4992,mfi,4990,4983,bull,2021-02-28 07:00:00
5023,mfi,5017,4983,bull,2021-02-28 14:45:00
5061,mfi,5058,5060,bear,2021-03-01 00:15:00
5064,wt,5060,5058,bear,2021-03-01 01:00:00
5069,mfi,5065,5066,bear,2021-03-01 02:15:00
5107,wt,5107,5100,bear,2021-03-01 11:45:00
5523,mfi,5516,5501,bear,2021-03-05 20:30:00
5699,wt,5692,5683,bear,2021-03-07 16:30:00
5703,mfi,5703,5670,bear,2021-03-07 17:30:00
5842,mfi,5842,5836,bear,2021-03-09 04:15:00
5850,mfi,5850,5836,bear,2021-03-09 06:15:00
5885,mfi,5882,5851,bear,2021-03-09 15:00:00
5942,wt,5940,5902,bull,2021-03-10 05:15:00
5980,mfi,5977,5979,bear,2021-03-10 14:45:00
5982,mfi,5981,5979,bear,2021-03-10 15:15:00
6104,mfi,6096,6096,bear,2021-03-11 21:45:00
6106,wt,6105,6104,bear,2021-03-11 22:15:00
6650,wt,6644,6649,bull,2021-03-17 14:15:00
7019,mfi,7010,7000,bull,2021-03-21 10:30:00
7194,mfi,7188,7160,bull,2021-03-23 06:15:00
7319,wt,7319,7319,bear,2021-03-24 13:30:00
7425,wt,7416,7424,bull,2021-03-25 16:00:00
7489,wt,7482,7483,bear,2021-03-26 08:00:00
7558,wt,7557,7548,bear,2021-03-27 01:15:00
7858,wt,7853,7858,bull,2021-03-30 04:15:00
8319,wt,8317,8317,bull,2021-04-03 23:30:00
8397,wt,8396,8391,bear,2021-04-04 19:00:00
8658,wt,8649,8658,bull,2021-04-07 12:15:00
8766,mfi,8759,8733,bear,2021-04-08 15:15:00
8851,wt,8850,8829,bear,2021-04-09 12:30:00
9308,mfi,9307,9305,bear,2021-04-14 06:45:00
9497,mfi,9495,9496,bull,2021-04-16 06:00:00
9674,mfi,9666,9672,bull,2021-04-18 02:15:00
9674,mfi,9671,9672,bull,2021-04-18 02:15:00
9758,mfi,9754,9752,bear,2021-04-18 23:15:00
9776,wt,9770,9774,bear,2021-04-19 03:45:00
9776,wt,9774,9774,bear,2021-04-19 03:45:00
10063,mfi,10059,10048,bull,2021-04-22 03:30:00
10171,wt,10169,10167,bull,2021-04-23 06:30:00
10449,mfi,10445,10444,bear,2021-04-26 04:00:00
10449,wt,10444,10445,bear,2021-04-26 04:00:00
10455,mfi,10455,10444,bear,2021-04-26 05:30:00
10509,mfi,10509,10485,bear,2021-04-26 19:00:00
10562,mfi,10556,10560,bear,2021-04-27 08:15:00
10790,wt,10781,10783,bull,2021-04-29 17:15:00
10802,wt,10793,10795,bull,2021-04-29 20:15:00
10919,mfi,10913,10916,bear,2021-05-01 01:30:00
10919,mfi,10918,10916,bear,2021-05-01 01:30:00
11048,wt,11046,11045,bull,2021-05-02 09:45:00
11371,mfi,11371,11361,bear,2021-05-05 18:30:00
11623,wt,11622,11605,bear,2021-05-08 09:30:00
11666,mfi,11663,11622,bear,2021-05-08 20:15:00
