sig,e_bar,x_bar,dir,variant,entry,stop_d,gross_r,cost_r,net_r,n_swaps,t_entry,t_exit
300,301,305,short,A,40847.66,543.2392591158568,2.0,0.07519276141139204,1.924807238588608,0,1610273700,1610277300
415,416,702,long,A,33322.85,3079.682893655401,2.0,0.021532240100632902,1.9784677598993672,18,1610377200,1610634600
975,976,1018,long,A,34819.76,1025.6292192737092,2.0,0.039551350173823815,1.9604486498261762,3,1610881200,1610919000
1193,1194,1235,short,A,37072.85,960.4981118892902,2.0,0.042843252881628956,1.957156747118371,2,1611077400,1611114300
1385,1386,1405,long,A,31770.79,1254.1101711071315,-1.0,0.0267266658242713,-1.0267266658242713,1,1611250200,1611267300
1918,1919,1927,long,A,31631.61,495.22651554008553,-1.0,0.06738602942858539,-1.0673860294285853,1,1611729900,1611737100
2057,2058,2066,short,A,32225.26,514.028229826723,-1.0,0.06269161522678048,-1.0626916152267805,0,1611855000,1611862200
2095,2096,2100,short,A,33991.22,376.38849822558404,2.0,0.09527585797403217,1.9047241420259677,1,1611889200,1611892800
2126,2127,2139,short,A,36342.18,2166.199351899748,-1.0,0.017699663637317176,-1.0176996636373172,1,1611917100,1611927900
2208,2209,2338,long,A,33710.0,923.5028533730074,-1.0,0.052563345985021534,-1.0525633459850214,8,1611990900,1612107000
2309,2310,2315,long,A,33791.48,359.8481182753894,-1.0,0.0939048400807243,-1.0939048400807243,0,1612081800,1612086300
2572,2573,2579,short,A,35950.72,470.55414923589706,-1.0,0.07640081393050745,-1.0764008139305075,0,1612318500,1612323900
2696,2697,2856,short,A,37355.42,1703.502822670358,-1.0,0.0339893190838606,-1.0339893190838607,10,1612430100,1612573200
2791,2792,2805,short,A,37772.47,269.95193998343166,-1.0,0.14761870521266043,-1.1476187052126605,1,1612515600,1612527300
2867,2868,2888,short,A,39440.83,444.8046355974366,-1.0,0.09354685702434662,-1.0935468570243465,1,1612584000,1612602000
2919,2920,2933,short,A,40693.2,467.54896593900776,2.0,0.09182209592481577,1.9081779040751843,1,1612630800,1612642500
3093,3094,3094,short,A,39295.87,401.4491414700242,-1.0,0.09788505178042381,-1.0978850517804237,0,1612787400,1612787400
3171,3172,3191,short,A,47614.65,1129.3071971429745,2.0,0.04448165731794256,1.9555183426820575,1,1612857600,1612874700
3955,3956,3986,short,A,51373.56,652.3466923695087,-1.0,0.08308328444670032,-1.0830832844467002,1,1613563200,1613590200
4204,4205,4226,short,A,56413.99,506.26309629226307,2.0,0.1175609280745229,1.882439071925477,1,1613787300,1613806200
4545,4546,4564,long,A,48638.8,3174.5744972868342,-1.0,0.017006710047643245,-1.0170067100476432,2,1614094200,1614110400
4567,4568,4802,long,A,47864.63,3316.5053198020614,-1.0,0.025545080417677835,-1.0255450804176778,14,1614114000,1614324600
4634,4635,4728,short,A,49498.89,2190.283554870737,-1.0,0.030057078022432245,-1.0300570780224323,6,1614174300,1614258000
4990,4991,5026,long,A,44664.37,1300.3373259742511,-1.0,0.03812660738847523,-1.0381266073884752,2,1614494700,1614526200
5060,5061,5061,short,A,45498.25,585.7465167596529,-1.0,0.07767566464022034,-1.0776756646402204,0,1614557700,1614557700
5073,5074,5093,short,A,46518.13,576.472141982631,-1.0,0.08957089257151954,-1.0895708925715195,2,1614569400,1614586500
5116,5117,5121,short,A,48083.44,510.68960133675137,-1.0,0.09415394375397422,-1.0941539437539742,0,1614608100,1614611700
5232,5233,5250,long,A,47494.92,564.899037785377,2.0,0.0887010549645108,1.9112989450354891,1,1614715200,1614730500
5524,5525,5585,short,A,49179.33,640.1914030917251,2.0,0.09372006920155958,1.9062799307984404,4,1614978000,1615032000
5703,5704,5713,short,A,50996.15,407.6606736286776,2.0,0.13197480583816432,1.8680251941618358,1,1615139100,1615147200
5794,5795,5808,short,A,50985.0,534.4690971261371,-1.0,0.09539372860685211,-1.095393728606852,0,1615221000,1615232700
5851,5852,5880,short,A,54104.04,537.6608561131725,-1.0,0.11169770630904716,-1.1116977063090472,2,1615272300,1615297500
5886,5887,5916,short,A,54425.0,499.2220957629179,-1.0,0.12101177113901171,-1.1210117711390117,2,1615303800,1615329900
5943,5944,5959,long,A,53697.5,840.0839509379584,2.0,0.06743476343852181,1.9325652365614783,1,1615355100,1615368600
5992,5993,6005,short,A,56933.32,582.8305980031146,2.0,0.10305679352764355,1.8969432064723564,1,1615399200,1615410000
6011,6012,6013,short,A,57032.59,474.901062162382,2.0,0.12009362484958805,1.879906375150412,0,1615416300,1615417200
6096,6097,6106,short,A,56906.17,1182.3705454773371,-1.0,0.0481288799164278,-1.048128879916428,0,1615492800,1615500900
6595,6596,6631,short,A,56525.03,772.967666752862,2.0,0.08117129085563746,1.9188287091443625,2,1615941900,1615973400
6784,6785,6785,long,A,57700.01,429.1615018216471,-1.0,0.13444824327224775,-1.1344482432722478,0,1616112000,1616112000
6868,6869,6934,short,A,58415.45,1353.1901687838763,-1.0,0.05266580458831454,-1.0526658045883146,4,1616187600,1616246100
7120,7121,7139,short,A,57779.31,644.1058650055929,2.0,0.09463843657047075,1.9053615634295293,1,1616414400,1616430600
7195,7196,7204,long,A,53440.26,528.7017052459414,2.0,0.1066375873967976,1.8933624126032025,1,1616481900,1616489100
7416,7417,7545,long,A,51669.79,1497.4547901544356,2.0,0.049687308150603,1.950312691849397,8,1616680800,1616796000
7559,7560,7617,short,A,54800.31,693.2582088527197,-1.0,0.09643791785839986,-1.0964379178583998,4,1616809500,1616860800
7673,7674,7685,short,A,56144.0,432.98613908585685,-1.0,0.1367986516267092,-1.1367986516267092,1,1616912100,1616922000
7982,7983,8001,long,A,57995.93,838.3075007482184,2.0,0.07679220601335746,1.9232077939866425,2,1617190200,1617206400
8767,8768,8779,short,A,57638.13,470.23504190917447,-1.0,0.12931453790239872,-1.1293145379023988,1,1617896700,1617906600
9331,9332,9337,short,A,64389.99,705.4825340426978,2.0,0.09127084923140412,1.908729150768596,0,1618404300,1618408800
9530,9531,9631,long,A,61386.88,1145.5289934971079,-1.0,0.07127235614591725,-1.0712723561459172,6,1618583400,1618673400
9635,9636,9640,long,A,60671.2,777.6441646795574,-1.0,0.07801923136014359,-1.0780192313601435,0,1618677900,1618681500
9989,9990,9996,long,A,55564.51,728.2422843652384,-1.0,0.07629948328039203,-1.076299483280392,0,1618996500,1619001900
10169,10170,10175,long,A,49476.01,1091.0952338965217,-1.0,0.04534527185432858,-1.0453452718543286,0,1619158500,1619163000
10445,10446,10449,short,A,52250.0,477.5039912303764,-1.0,0.11544144344838578,-1.1154414434483857,1,1619406900,1619409600
10463,10464,10472,short,A,52936.45,401.8742005585518,-1.0,0.1389687486093378,-1.1389687486093378,1,1619423100,1619430300
10510,10511,10553,short,A,53780.74,784.1590478924918,-1.0,0.07990032413499606,-1.079900324134996,3,1619465400,1619503200
10620,10621,10629,short,A,54944.58,584.2568337741832,-1.0,0.09921412733086528,-1.0992141273308653,1,1619564400,1619571600
10803,10804,10833,long,A,52827.01,594.2475856455203,2.0,0.09867601066700614,1.9013239893329938,2,1619729100,1619755200
10924,10925,11023,short,A,58128.66,652.8037675123487,2.0,0.11842933764707103,1.881570662352929,6,1619838000,1619926200
11049,11050,11134,long,A,56786.0,813.2725456931585,2.0,0.08902569056759575,1.9109743094324043,5,1619950500,1620026100
11396,11397,11433,short,A,57020.08,873.056031262342,-1.0,0.07249510516350983,-1.0724951051635099,2,1620262800,1620295200
11624,11625,11639,short,A,58872.42,613.3490564894018,-1.0,0.10126436560528598,-1.101264365605286,1,1620468000,1620480600
11664,11665,11698,short,A,59097.41,626.3179555050083,2.0,0.10473614004424858,1.8952638599557514,2,1620504000,1620533700
11832,11833,11833,long,A,57747.75,437.606899161241,-1.0,0.13196261327388767,-1.1319626132738876,0,1620655200,1620655200
11889,11890,11984,long,A,55388.45,1255.3481218620436,2.0,0.056255529856729894,1.94374447014327,5,1620706500,1620791100
11976,11977,11983,short,A,57075.29,611.0243631175399,-1.0,0.09340918864313875,-1.0934091886431387,0,1620784800,1620790200
12025,12026,12029,long,A,56653.42,1004.9959926946831,-1.0,0.05637178696414092,-1.056371786964141,0,1620828900,1620831600
12209,12210,12221,short,A,50426.97,774.9269110840542,-1.0,0.0650731950055227,-1.0650731950055228,0,1620994500,1621004400
12301,12302,12325,long,A,48656.65,1124.1030969308922,-1.0,0.048046199363260336,-1.0480461993632604,2,1621077300,1621098000
12336,12337,12351,long,A,48157.36,1450.6289460398038,-1.0,0.033197572771085884,-1.0331975727710858,0,1621108800,1621121400
12468,12469,12518,long,A,43635.46,1334.0939347494132,-1.0,0.03810474628201391,-1.0381047462820139,3,1621227600,1621271700
12662,12663,12670,long,A,39737.75,1051.4006051092365,-1.0,0.03779506099473036,-1.0377950609947304,0,1621402200,1621408500
12672,12673,12686,long,A,40369.92,1973.5399501478096,-1.0,0.020455587938301663,-1.0204555879383017,0,1621411200,1621422900
12833,12834,12835,short,A,40993.86,1119.7940249200838,-1.0,0.03660839322921517,-1.0366083932292152,0,1621556100,1621557000
13143,13144,13148,short,A,34899.12,999.7771422841324,-1.0,0.03490689927183974,-1.0349068992718398,0,1621835100,1621838700
13223,13224,13338,short,A,38677.37,1456.1595170836008,-1.0,0.036787286572343675,-1.0367872865723438,7,1621907100,1622009700
13467,13468,13475,short,A,40056.68,589.9592542705504,2.0,0.07163172218096947,1.9283682778190305,1,1622126700,1622133000
13553,13554,13589,long,A,36529.29,1606.7038241887785,-1.0,0.025236456955887537,-1.0252364569558876,2,1622204100,1622235600
13594,13595,13599,long,A,34885.58,493.43371675968956,2.0,0.07069962755907469,1.9293003724409252,0,1622241000,1622244600
13657,13658,13662,long,A,35065.18,1187.580986267174,-1.0,0.02952655895091206,-1.0295265589509122,0,1622297700,1622301300
13863,13864,13887,short,A,36780.27,703.0334031810271,-1.0,0.055193941958414164,-1.0551939419584142,1,1622483100,1622503800
13961,13962,14038,long,A,36178.39,729.1269794874388,2.0,0.06326394242389254,1.9367360575761075,5,1622571300,1622639700
14049,14050,14075,short,A,38089.37,318.52523680882587,2.0,0.12615730468514813,1.873842695314852,1,1622650500,1622673000
14136,14137,14199,short,A,38460.91,910.2125495549335,2.0,0.05155093744086873,1.9484490625591313,4,1622728800,1622784600
14331,14332,14358,long,A,35826.42,597.8191573076765,-1.0,0.06652066216662433,-1.0665206621666243,2,1622904300,1622927700
14562,14563,14571,long,A,33607.76,404.0969623600613,-1.0,0.08316756405126002,-1.08316756405126,0,1623112200,1623119400
14591,14592,14617,long,A,32938.32,634.7194976174615,-1.0,0.05760266596069693,-1.057602665960697,2,1623138300,1623160800
14753,14754,14793,short,A,37075.56,667.1877289182885,-1.0,0.061682596690923526,-1.0616825966909236,2,1623284100,1623319200
14838,14839,14954,long,A,36618.68,966.3008660210326,-1.0,0.05248559075481165,-1.0524855907548116,7,1623360600,1623464100
15533,15534,15562,long,A,37865.64,732.6656762995481,-1.0,0.05736703896418892,-1.057367038964189,2,1623986100,1624011300
15636,15637,15665,long,A,35155.9,452.57517773180007,2.0,0.08622445710693705,1.913775542893063,2,1624078800,1624104000
15903,15904,15919,long,A,31645.83,781.2025199684431,2.0,0.04273712615692618,1.9572628738430737,1,1624319100,1624332600
16161,16162,16165,short,A,33896.97,781.9887543774021,-1.0,0.04334713230881157,-1.0433471323088115,0,1624551300,1624554000
16288,16289,16309,long,A,31569.18,529.4428035465826,2.0,0.06290667221633062,1.9370933277836695,1,1624665600,1624683600
16326,16327,16336,long,A,30537.73,656.3278089129853,2.0,0.046528167152595286,1.9534718328474048,0,1624699800,1624707900
16650,16651,16686,short,A,36190.01,434.9995185046864,2.0,0.09234702428657339,1.9076529757134266,2,1624991400,1625022900
16739,16740,16747,long,A,34246.18,305.3683789304923,2.0,0.11214710612782565,1.8878528938721744,0,1625071500,1625077800
