sig,e_bar,x_bar,dir,variant,entry,stop_d,gross_r,cost_r,net_r,n_swaps,t_entry,t_exit
422,423,425,long,B,30617.17,837.8890099321179,2.0,0.036540842088954556,1.9634591579110454,0,1610383500,1610385300
706,707,730,short,B,39630.15,612.6811078103055,2.0,0.0717983073726826,1.9282016926273173,2,1610639100,1610659800
794,795,797,long,B,37793.46,664.5375521068127,-1.0,0.05687181992978686,-1.0568718199297868,0,1610718300,1610720100
884,885,885,short,B,37800.91,374.34541656982765,2.0,0.10097869060712514,1.899021309392875,0,1610799300,1610799300
1085,1086,1093,short,B,36865.96,428.60804878149065,2.0,0.09074395105405125,1.9092560489459487,1,1610980200,1610986500
1287,1288,1350,long,B,34716.35,871.2848895276984,-1.0,0.048610905008302174,-1.0486109050083021,4,1611162000,1611217800
1384,1385,1405,long,B,31462.81,946.1301711071319,-1.0,0.035083189991878476,-1.0350831899918784,1,1611249300,1611267300
1386,1387,1405,long,B,31916.14,1399.46017110713,-1.0,0.02406036870157015,-1.0240603687015701,1,1611251100,1611267300
1758,1759,1766,short,B,34621.91,431.1750558750282,2.0,0.0847129595098533,1.9152870404901468,1,1611585900,1611592200
1835,1836,1847,long,B,31813.46,512.9926763390831,-1.0,0.06542627575021179,-1.0654262757502118,1,1611655200,1611665100
1853,1854,1854,long,B,31450.37,331.1846162945476,-1.0,0.09496325750840069,-1.0949632575084007,0,1611671400,1611671400
2056,2057,2066,short,B,32314.83,424.4582298267196,-1.0,0.07613194356766784,-1.0761319435676677,0,1611854100,1611862200
2125,2126,2139,short,B,35803.32,2705.0593518997484,-1.0,0.013963650214725445,-1.0139636502147253,1,1611916200,1611927900
2308,2309,2315,long,B,33800.63,368.9981182753836,-1.0,0.09160109042825676,-1.0916010904282567,0,1612080900,1612086300
2571,2572,2579,short,B,35943.9,566.4606222540388,-1.0,0.06345348394558016,-1.0634534839455803,0,1612317600,1612323900
2695,2696,2856,short,B,37435.19,1623.732822670354,-1.0,0.03573527842134408,-1.035735278421344,10,1612429200,1612573200
2902,2903,2914,short,B,40319.2,418.42076477110095,-1.0,0.09636041849418445,-1.0963604184941844,0,1612615500,1612625400
2918,2919,2933,short,B,40700.5,460.24896593900485,2.0,0.09329521775762241,1.9067047822423775,1,1612629900,1612642500
3092,3093,3094,short,B,39260.59,449.9215499706843,-1.0,0.08726096805667148,-1.0872609680566714,0,1612786500,1612787400
3135,3136,3136,short,B,44762.16,565.208973679386,-1.0,0.07919577020974773,-1.0791957702097477,0,1612825200,1612825200
3170,3171,3191,short,B,47643.65,1100.3071971429745,2.0,0.048063351432507416,1.9519366485674925,2,1612856700,1612874700
3920,3921,3934,short,B,49597.24,825.6779114178862,-1.0,0.06337227564940585,-1.063372275649406,1,1613531700,1613543400
4364,4365,4367,short,B,57510.86,641.1648695942931,-1.0,0.08969745961969326,-1.0896974596196933,0,1613931300,1613933100
4761,4762,4763,long,B,48944.0,639.4372037870417,-1.0,0.07654230894000394,-1.076542308940004,0,1614288600,1614289500
4989,4990,5026,long,B,44889.66,1525.627325974252,-1.0,0.03266035010757335,-1.0326603501075733,2,1614493800,1614526200
4992,4993,5026,long,B,44400.0,1035.9673259742485,-1.0,0.04757292895666584,-1.0475729289566658,2,1614496500,1614526200
5064,5065,5069,short,B,46069.76,636.080425164866,-1.0,0.07242757075578793,-1.072427570755788,0,1614561300,1614564900
5107,5108,5112,short,B,47720.01,388.5376089817437,-1.0,0.12281953895032652,-1.1228195389503266,0,1614600000,1614603600
5523,5524,5585,short,B,49170.09,649.4314030917303,2.0,0.09236927797827314,1.9076307220217268,4,1614977100,1615032000
5703,5704,5713,short,B,50996.15,407.6606736286776,2.0,0.13197480583816432,1.8680251941618358,1,1615139100,1615147200
5842,5843,5846,short,B,53921.5,336.681661201168,-1.0,0.16015573823541815,-1.1601557382354182,0,1615264200,1615266900
5885,5886,5921,short,B,54313.92,806.7618388729679,-1.0,0.07843171770295315,-1.0784317177029532,3,1615302900,1615334400
5942,5943,5959,long,B,53653.12,795.703950937961,2.0,0.07113706238768353,1.9288629376123165,1,1615354200,1615368600
5980,5981,5988,short,B,56136.55,604.5067748386573,-1.0,0.09797087926071116,-1.0979708792607112,1,1615388400,1615394700
6104,6105,6154,short,B,57640.14,746.6813723608939,2.0,0.08993228649548257,1.9100677135045174,3,1615500000,1615544100
6106,6107,6130,short,B,57764.29,622.5313723608924,2.0,0.10299619384134341,1.8970038061586565,2,1615501800,1615522500
6650,6651,6653,long,B,54891.14,516.5572366710185,-1.0,0.10626342272106953,-1.1062634227210695,0,1615991400,1615993200
7019,7020,7038,long,B,56269.1,648.1746810454933,2.0,0.09158626869572745,1.9084137313042726,1,1616323500,1616339700
7194,7195,7222,long,B,53728.16,816.6017052459429,2.0,0.07303224719820815,1.9269677528017919,2,1616481000,1616505300
7319,7320,7330,short,B,56837.4,453.6205817551454,2.0,0.1321885721498567,1.8678114278501434,1,1616593500,1616602500
7425,7426,7488,long,B,51372.5,1096.2626726349117,2.0,0.05459363343654728,1.9454063665634527,3,1616688900,1616744700
7489,7490,7505,short,B,53483.79,440.9673944077149,2.0,0.12795820998463558,1.8720417900153645,1,1616746500,1616760000
7558,7559,7617,short,B,54857.48,923.4403787644624,-1.0,0.07247476625350227,-1.0724747662535024,4,1616808600,1616860800
7858,7859,7879,long,B,57481.92,489.13431136217696,2.0,0.12398113195354411,1.8760188680464558,1,1617078600,1617096600
8658,8659,8759,long,B,56194.95,730.1668525490895,2.0,0.10235918439611066,1.8976408156038893,6,1617798600,1617888600
8766,8767,8779,short,B,57710.01,398.3550419091698,-1.0,0.15283868445145063,-1.1528386844514507,1,1617895800,1617906600
8851,8852,8909,short,B,58493.96,552.4644743352546,-1.0,0.12334813651501321,-1.1233481365150133,3,1617972300,1618023600
9308,9309,9316,short,B,64667.56,504.1716413056929,2.0,0.13531954241479,1.86468045758521,1,1618383600,1618389900
9758,9759,9765,short,B,56230.0,747.639399425716,-1.0,0.07934660752973624,-1.0793466075297362,1,1618788600,1618794000
9776,9777,9789,short,B,57018.74,418.3549121327742,-1.0,0.136292746532647,-1.136292746532647,0,1618804800,1618815600
10063,10064,10074,long,B,53565.28,624.5279417412166,2.0,0.09048653650698692,1.909513463493013,1,1619063100,1619072100
10171,10172,10175,long,B,49112.0,936.7211305727178,-1.0,0.05242969160946821,-1.0524296916094682,0,1619160300,1619163000
10449,10450,10459,short,B,52220.01,649.9431287779444,-1.0,0.08034550668792619,-1.0803455066879262,0,1619410500,1619418600
10449,10450,10459,short,B,52220.01,649.9431287779444,-1.0,0.08034550668792619,-1.0803455066879262,0,1619410500,1619418600
10509,10510,10553,short,B,53885.85,679.0490478924912,-1.0,0.09244842540437376,-1.0924484254043738,3,1619464500,1619503200
10790,10791,10793,long,B,53128.18,519.7855591222178,-1.0,0.10221172763960513,-1.102211727639605,0,1619717400,1619719200
10802,10803,10852,long,B,53061.02,828.2575856455151,2.0,0.07463389333382645,1.9253661066661736,3,1619728200,1619772300
11048,11049,11107,long,B,56521.47,548.7425456931596,2.0,0.1256621961267757,1.8743378038732244,4,1619949600,1620001800
11371,11372,11433,short,B,57166.92,812.349305004609,-1.0,0.08585425256146959,-1.0858542525614696,4,1620240300,1620295200
11623,11624,11666,short,B,58840.84,695.8944870311534,-1.0,0.09850570722646236,-1.0985057072264623,3,1620467100,1620504900
11975,11976,11983,short,B,57157.38,528.9343631175434,-1.0,0.10806138527872143,-1.1080613852787213,0,1620783900,1620790200
