sig,e_bar,x_bar,dir,tag,entry,stop_d,gross_r,net_r,t_entry,t_exit
36366,36367,36846,short,cmp_lo=39610,38925.51,5471.169999999998,0.32786771385279573,0.3090138669608147,1642735800,1643166900
37758,37759,38238,long,cmp_hi=39260,39483.85,4012.3199999999997,1.1231182956494012,1.0970405644365369,1643988600,1644419700
39018,39019,39498,short,cmp_lo=41100,40962.6,4884.9000000000015,0.6903928432516528,0.66817112121026,1645122600,1645553700
43621,43622,44101,short,cmp_lo=43575,43556.1,4643.9000000000015,0.6039966407545383,0.5791417418549065,1649265300,1649696400
45039,45040,45405,long,cmp_hi=42400,42432.5,3966.800000000003,-1.0,-1.02422849967228,1650541500,1650870000
46396,46397,46876,short,cmp_lo=37350,37218.2,3581.800000000003,1.7552627170696273,1.7277267770394749,1651763700,1652194800
48405,48406,48815,short,cmp_lo=28602,28232.6,3229.4000000000015,-1.0,-1.021243951817675,1653571800,1653941700
49855,49856,50335,short,cmp_lo=29190,28957.0,3470.5,2.235672093358306,2.2135611439273886,1654878600,1655309700
55793,55794,56273,long,cmp_hi=24700,24851.6,2481.5999999999985,-0.37403288201160445,-0.4005708978078649,1660222800,1660653900
58306,58307,58547,short,cmp_lo=19508,19159.9,1414.0999999999985,-1.0,-1.0247272593875965,1662484500,1662700500
61126,61127,61606,long,cmp_hi=20375,20386.4,2041.2000000000007,-0.6865079365079377,-0.7129747011561839,1665022500,1665453600
63010,63011,63490,long,cmp_hi=19948,20092.0,1492.0,0.33786863270777384,0.30218243967828323,1666718100,1667149200
66407,66408,66887,long,cmp_hi=17007,17012.4,1569.2000000000007,0.1516696405811878,0.12293980372164154,1669775400,1670206500
70030,70031,70510,long,cmp_hi=16968,16974.4,654.4000000000015,0.8348105134474298,0.7660724938875279,1673036100,1673467200
72544,72545,73024,long,cmp_hi=23963,24207.5,1920.5,-0.7513668315542827,-0.7847695261650611,1675298700,1675729800
79049,79050,79529,long,cmp_hi=29185,29264.8,2098.7999999999993,0.4874690299218613,0.45051852487135624,1681153200,1681584300
83254,83255,83655,short,cmp_lo=26335,26323.2,1326.7999999999993,-1.0,-1.047119083509195,1684937700,1685297700
88075,88076,88545,long,cmp_hi=31568,31691.3,2191.2999999999993,-1.0,-1.0383251699904166,1689276600,1689698700
89837,89838,90317,short,cmp_lo=28830,28820.1,1599.9000000000015,-0.1458841177573606,-0.1926296390399407,1690862400,1691293500
93816,93817,93920,short,cmp_lo=25312,25241.8,1209.2000000000007,-1.0,-1.0289115886536553,1694443500,1694536200
95120,95121,95600,short,cmp_lo=26107,26101.2,1378.7999999999993,-0.5976211198143316,-0.6477866115462725,1695617100,1696048200
