dir,entry,stop_d,gross_r,net_r,t_entry,t_exit,n_swaps
short,35469.47,2968.6900485287656,-1.0,-1.023776225926644,1610337600,1610607600,18
short,35255.38,2742.56475420019,-1.0,-1.0149759518483923,1610740800,1610791200,3
short,32247.14,2180.912164749968,-1.0,-1.0343037037480036,1611230400,1611579600,24
short,30318.63,1831.424421435564,-1.0,-1.021107206389494,1611763200,1611842400,5
long,37069.44,2434.571194518513,-1.0,-1.0160637155684964,1611921600,1611945900,1
long,39440.83,1585.7506619108362,-1.0,-1.0358157159030046,1612584000,1612710900,8
long,43785.81,2197.6588865137046,2.0,1.9767887232349688,1612800000,1612853100,3
long,49036.02,2217.11423934887,2.0,1.9572035139119102,1613491200,1613747700,17
long,48632.45,3769.526476659864,-1.0,-1.0235451911001416,1614096000,1614324600,15
short,52307.89,2243.897442628393,-1.0,-1.0374144387595807,1616630400,1616795100,11
long,57892.33,1922.9166399996934,-1.0,-1.1178670293008834,1617019200,1617795000,53
long,60614.66,1608.488061205127,-1.0,-1.043902146744622,1618041600,1618087500,3
long,63069.52,1642.0640093343027,-1.0,-1.0531960293286085,1618315200,1618428600,7
short,54849.47,2766.5859310356764,2.0,1.9485523391652915,1618718400,1619144100,29
short,50319.32,2940.8898124005714,-1.0,-1.0349904334960456,1619150400,1619430300,19
long,57139.14,2024.100406030399,-1.0,-1.0592817399979306,1619798400,1620089100,20
short,55519.14,1893.5095579104081,-1.0,-1.0422218949283923,1620100800,1620227700,8
short,55828.13,2207.074571039968,-1.0,-1.0364249166090111,1620676800,1620792000,8
short,54468.97,2201.7424215081746,2.0,1.975260970825693,1620849600,1620863100,0
short,49596.75,2716.079748543306,2.0,1.958640154505681,1620864000,1621197000,23
short,40369.92,3128.611233777421,2.0,1.9863868462977494,1621411200,1621428300,1
short,37304.85,4303.5955025937965,-1.0,-1.0110520804572207,1621440000,1621512900,5
short,33307.0,3644.309367178882,-1.0,-1.0111501346087575,1621785600,1621854000,4
short,33550.97,1620.7215287162778,-1.0,-1.0309483765479004,1623110400,1623240000,9
long,40676.17,1763.5461002396066,-1.0,-1.0357507317168708,1623686400,1623843000,10
short,33856.01,1535.698021731558,-1.0,-1.0232585378404842,1624190400,1624217400,1
short,32985.72,1745.292249504996,2.0,1.973823740858898,1624262400,1624364100,7
short,32779.05,892.5608028471387,2.0,1.8925801794744281,1626192000,1626697800,35
short,30672.99,870.8029435459132,-1.0,-1.054596892273244,1626710400,1626861600,10
short,31618.46,1021.7385631650221,-1.0,-1.0428598554255872,1626897600,1627003800,7
long,38276.53,2267.165285417766,2.0,1.9190460605009747,1627272000,1628265600,69
long,48200.43,1279.8232365970264,2.0,1.9416242303127336,1630526400,1630672200,10
long,50589.99,1356.1992664522465,-1.0,-1.0844907752013113,1630684800,1631025900,23
short,46640.55,2135.2748399486104,-1.0,-1.0975284548170914,1631030400,1631943900,63
short,45552.92,1269.1678200143847,2.0,1.9601599249503294,1632110400,1632140100,2
short,42668.98,1817.2942162957725,-1.0,-1.04284990718714,1632196800,1632417300,15
short,41510.06,2037.661735072104,-1.0,-1.032696126718816,1632484800,1632649500,11
short,41443.37,1561.5883383497323,-1.0,-1.0382165077276817,1632844800,1632964500,8
long,47482.28,1752.2410385350286,2.0,1.9356421790610028,1633089600,1633463100,25
long,55014.04,1885.8851898568878,2.0,1.8906069939413144,1633536000,1634264100,50
long,61571.45,1901.0106625873975,2.0,1.9408904439825392,1634515200,1634736600,15
long,66918.39,2019.3350744285206,-1.0,-1.0367840948442009,1634745600,1634780700,2
long,61347.51,2137.3496789764413,2.0,1.87500014214897,1635451200,1636333200,61
long,65274.99,1535.4748195031584,2.0,1.9457981262910389,1636344000,1636428600,5
long,68398.96,1845.0017379906926,-1.0,-1.0391115635904968,1636560000,1636574400,1
short,60943.68,1796.74807150698,2.0,1.9380980462627044,1637035200,1637252100,15
short,57952.31,2173.322329097282,2.0,1.9058714616046062,1637265600,1637928000,46
short,57260.01,1850.2755769176276,2.0,1.9367139025608977,1638288000,1638561600,19
short,53611.86,2135.690562493615,2.0,1.973516522808454,1638576000,1638593100,1
short,47241.92,3285.947729905209,-1.0,-1.0262379414058687,1638604800,1638827100,15
short,47973.4,2076.020319020683,-1.0,-1.038359857690394,1639152000,1639328400,12
short,47239.07,1793.3582147268867,-1.0,-1.0437262648120427,1639411200,1639594800,12
short,46490.5,1666.4824258547346,-1.0,-1.0447753011627043,1639756800,1639922400,11
short,49826.47,1193.445339585952,2.0,1.9513611259564356,1640664000,1640718000,3
short,47676.66,1362.8248866075169,2.0,1.8745834275704536,1640721600,1641411900,47
short,44671.93,1388.7468174554242,2.0,1.9554485941768964,1641412800,1641526200,7
short,41297.14,1657.0809732209748,-1.0,-1.0578181551464978,1641571200,1641920400,24
short,41574.09,935.2891389242839,-1.0,-1.0468953002067853,1642521600,1642545000,1
short,41971.31,1051.3081134756487,-1.0,-1.0509017476076385,1642608000,1642689900,5
short,40662.06,1221.264849098889,2.0,1.9667049616387449,1642723200,1642735800,0
