open_time,open,high,low,close,volume,quote_volume,trades
1776771900000,2322.63000000,2322.80000000,2318.30000000,2320.45000000,1342.99090000,3117548.22144400,17279
1776772800000,2320.45000000,2324.68000000,2315.65000000,2316.76000000,2370.18800000,5498943.80627700,29841
1776773700000,2316.77000000,2318.45000000,2315.00000000,2318.00000000,1633.59780000,3784067.77889400,26835
1776774600000,2318.00000000,2321.21000000,2294.51000000,2298.52000000,7220.84840000,16649692.99126900,81030
1776775500000,2298.52000000,2311.87000000,2294.39000000,2308.54000000,5110.20870000,11772940.11049900,60626
1776776400000,2308.54000000,2309.59000000,2303.63000000,2305.47000000,1832.28160000,4226578.57014200,32289
1776777300000,2305.46000000,2310.96000000,2304.69000000,2307.78000000,1430.79720000,3301577.77029000,33002
1776778200000,2307.78000000,2317.37000000,2301.00000000,2311.15000000,4052.12880000,9350760.45845200,95649
1776779100000,2311.14000000,2314.71000000,2308.00000000,2312.77000000,1907.38970000,4407847.05874600,59539
1776780000000,2312.77000000,2313.91000000,2304.69000000,2306.22000000,1814.54330000,4187909.88037800,54476
1776780900000,2306.23000000,2323.40000000,2306.23000000,2314.22000000,3365.72220000,7794487.17753300,65122
1776781800000,2314.21000000,2327.50000000,2313.81000000,2322.20000000,3150.61760000,7312358.51618600,66097
1776782700000,2322.20000000,2322.45000000,2295.00000000,2299.35000000,5660.87070000,13051365.41388000,83831
1776783600000,2299.35000000,2307.69000000,2290.35000000,2305.25000000,4742.35740000,10901967.54426100,105794
1776784500000,2305.26000000,2310.72000000,2297.01000000,2301.99000000,2840.25970000,6545423.44713700,63569
1776785400000,2301.99000000,2309.65000000,2295.52000000,2304.18000000,2996.81170000,6900052.89142600,49477
1776786300000,2304.18000000,2310.24000000,2302.76000000,2310.24000000,1989.42240000,4589014.81128600,43145
1776787200000,2310.25000000,2317.31000000,2308.15000000,2315.21000000,4017.18380000,9292938.88571800,63266
1776788100000,2315.22000000,2317.30000000,2309.35000000,2312.33000000,3017.30360000,6981695.59171800,44670
1776789000000,2312.33000000,2324.73000000,2311.53000000,2313.33000000,3084.69310000,7153329.25946500,47482
1776789900000,2313.34000000,2316.88000000,2306.51000000,2307.45000000,2161.28860000,4996948.17424900,33033
1776790800000,2307.44000000,2308.99000000,2296.13000000,2300.81000000,3178.53110000,7318455.06753700,63011
1776791700000,2300.80000000,2301.04000000,2284.19000000,2295.81000000,5715.55600000,13104460.81406500,71155
1776792600000,2295.80000000,2319.61000000,2293.61000000,2314.61000000,6418.12290000,14816107.28703900,84579
1776793500000,2314.60000000,2315.58000000,2303.10000000,2306.21000000,3346.37830000,7729553.40462100,46756
1776794400000,2306.20000000,2308.55000000,2301.75000000,2305.69000000,1586.51170000,3658678.14121600,32253
1776795300000,2305.70000000,2309.82000000,2300.29000000,2305.40000000,2571.72200000,5927137.81459800,43788
1776796200000,2305.40000000,2310.32000000,2304.21000000,2305.84000000,1371.36540000,3164042.28290200,24915
1776797100000,2305.84000000,2313.33000000,2300.93000000,2312.72000000,2462.10850000,5680336.43141000,54792
1776798000000,2312.72000000,2321.95000000,2312.65000000,2315.34000000,4003.52490000,9280584.89180000,53749
1776798900000,2315.35000000,2332.00000000,2312.34000000,2324.55000000,5241.90520000,12181111.99502800,61947
1776799800000,2324.56000000,2324.70000000,2287.30000000,2289.15000000,7729.54480000,17799889.36494700,107211
1776800700000,2289.15000000,2299.61000000,2288.58000000,2298.41000000,6380.86890000,14644249.74080200,78761
1776801600000,2298.42000000,2321.77000000,2296.04000000,2318.93000000,9577.73090000,22140373.55022200,95113
1776802500000,2318.93000000,2324.85000000,2316.38000000,2318.07000000,4890.61160000,11348434.11377700,54588
1776803400000,2318.06000000,2325.88000000,2316.03000000,2316.16000000,2756.26490000,6397778.36934000,29731
1776804300000,2316.16000000,2320.71000000,2311.03000000,2314.56000000,2338.82160000,5418415.11442300,24233
1776805200000,2314.55000000,2318.00000000,2309.41000000,2313.48000000,1742.55520000,4030455.97865000,21150
1776806100000,2313.48000000,2317.05000000,2311.85000000,2312.76000000,869.04010000,2011327.83678100,12691
1776807000000,2312.77000000,2315.34000000,2310.07000000,2310.08000000,837.74680000,1937828.49318200,17096
1776807900000,2310.07000000,2313.81000000,2310.01000000,2312.56000000,773.19260000,1787463.31826700,16535
1776808800000,2312.56000000,2316.76000000,2309.83000000,2315.60000000,1268.76120000,2934184.41570500,35275
1776809700000,2315.59000000,2315.59000000,2304.34000000,2306.87000000,1340.15100000,3093980.55790300,27725
1776810600000,2306.88000000,2311.75000000,2301.90000000,2311.54000000,1641.27280000,3785308.24423000,24868
1776811500000,2311.54000000,2312.34000000,2307.45000000,2311.35000000,998.57430000,2306745.47946100,17476
1776812400000,2311.35000000,2321.58000000,2310.92000000,2317.98000000,2420.14780000,5609643.89950100,28589
1776813300000,2317.98000000,2320.62000000,2315.01000000,2316.16000000,768.82200000,1782027.60276200,18724
1776814200000,2316.15000000,2326.02000000,2315.54000000,2323.80000000,1715.24070000,3982168.66685100,27275
1776815100000,2323.79000000,2329.47000000,2323.48000000,2327.14000000,1935.45700000,4503938.23762900,34275
1776816000000,2327.15000000,2330.82000000,2325.01000000,2327.71000000,2519.50410000,5866683.30254200,37310
1776816900000,2327.70000000,2329.61000000,2322.72000000,2324.57000000,1268.46470000,2950193.51901500,25388
1776817800000,2324.57000000,2328.74000000,2322.62000000,2326.53000000,1000.08110000,2325419.91017300,20033
1776818700000,2326.54000000,2327.49000000,2322.92000000,2325.58000000,788.58580000,1833070.51706700,19931
1776819600000,2325.57000000,2328.73000000,2322.50000000,2327.38000000,2275.60590000,5292590.55275000,23156
1776820500000,2327.38000000,2327.38000000,2314.19000000,2314.24000000,1797.02450000,4166843.69892600,32657
1776821400000,2314.23000000,2321.71000000,2312.95000000,2319.73000000,991.08780000,2297106.41420100,24266
1776822300000,2319.73000000,2326.25000000,2317.76000000,2322.37000000,1542.41990000,3583318.13583200,19695
1776823200000,2322.37000000,2341.80000000,2320.22000000,2334.90000000,6025.13950000,14063565.62089600,59861
1776824100000,2334.90000000,2357.80000000,2334.90000000,2355.17000000,10717.61190000,25145396.79136000,97335
