open_time,open,high,low,close,volume,quote_volume,trades
1677762000000,1634.99000000,1637.99000000,1626.19000000,1628.33000000,36153.01970000,59020769.24214600,43950
1677765600000,1628.33000000,1631.35000000,1619.18000000,1626.88000000,33609.56910000,54603138.02088300,47113
1677769200000,1626.87000000,1631.93000000,1622.78000000,1628.31000000,18768.83350000,30559205.91257900,27603
1677772800000,1628.31000000,1631.00000000,1621.45000000,1625.03000000,18309.44010000,29786514.67500800,26085
1677776400000,1625.02000000,1628.95000000,1621.72000000,1625.05000000,10319.69390000,16770227.62056800,18631
1677780000000,1625.05000000,1638.97000000,1622.86000000,1638.00000000,15203.77480000,24784264.21983200,23432
1677783600000,1637.99000000,1652.48000000,1637.96000000,1648.48000000,34174.74090000,56222685.51748400,37009
1677787200000,1648.47000000,1651.51000000,1642.37000000,1644.33000000,15229.94660000,25102001.16285600,23121
1677790800000,1644.33000000,1647.42000000,1640.51000000,1640.51000000,22894.46060000,37639285.39936700,26158
1677794400000,1640.52000000,1658.00000000,1640.51000000,1648.78000000,12070.01580000,19918435.65904400,20486
1677798000000,1648.78000000,1650.86000000,1644.30000000,1647.86000000,11003.47300000,18135845.22248400,16011
1677801600000,1647.86000000,1649.25000000,1642.11000000,1643.06000000,10830.22510000,17817652.35021200,18472
1677805200000,1643.07000000,1643.63000000,1544.39000000,1552.79000000,215067.09370000,339162585.95476700,212321
1677808800000,1552.83000000,1570.34000000,1549.19000000,1564.33000000,66354.47310000,103706542.77048300,83722
1677812400000,1564.32000000,1568.92000000,1560.48000000,1565.44000000,25546.54970000,39965993.48546200,36323
1677816000000,1565.43000000,1573.31000000,1562.39000000,1571.13000000,21988.59900000,34474698.58967200,29828
1677819600000,1571.12000000,1576.52000000,1566.20000000,1566.43000000,23345.45380000,36682760.58235900,32449
1677823200000,1566.42000000,1570.18000000,1563.87000000,1565.32000000,22335.89640000,34994893.36196100,31236
1677826800000,1565.33000000,1571.46000000,1563.15000000,1568.08000000,15375.58710000,24105456.74154700,27369
1677830400000,1568.09000000,1573.15000000,1566.13000000,1571.95000000,17515.39110000,27485944.01803200,35017
1677834000000,1571.95000000,1574.42000000,1565.90000000,1566.83000000,18451.87470000,28954315.31384300,32340
1677837600000,1566.82000000,1569.78000000,1565.08000000,1565.40000000,12521.86110000,19627146.70883900,24686
1677841200000,1565.41000000,1566.80000000,1563.91000000,1564.57000000,11697.77200000,18308998.21447900,21600
1677844800000,1564.57000000,1566.28000000,1561.45000000,1565.54000000,13679.87460000,21402969.48849100,22230
1677848400000,1565.54000000,1574.43000000,1560.56000000,1573.32000000,30031.90170000,47075042.54583900,38558
1677852000000,1573.31000000,1580.87000000,1570.15000000,1571.35000000,35607.78940000,56059516.33790300,53001
1677855600000,1571.35000000,1575.87000000,1564.09000000,1566.50000000,36710.58170000,57584509.66383200,52771
1677859200000,1566.51000000,1569.48000000,1565.41000000,1569.08000000,33606.25880000,52668413.58429300,35489
1677862800000,1569.07000000,1574.66000000,1569.07000000,1572.15000000,13670.30700000,21486789.30130800,25521
1677866400000,1572.16000000,1573.38000000,1550.75000000,1559.82000000,31412.82420000,49049238.97843800,44757
1677870000000,1559.81000000,1568.58000000,1557.06000000,1565.39000000,14781.76760000,23082607.50586200,28412
1677873600000,1565.40000000,1567.16000000,1558.02000000,1559.31000000,12228.42100000,19107378.97730800,25543
1677877200000,1559.31000000,1562.32000000,1547.21000000,1559.44000000,30021.72520000,46709836.83115200,47546
1677880800000,1559.44000000,1568.29000000,1558.72000000,1566.97000000,11396.86630000,17816282.18626500,22621
1677884400000,1566.97000000,1571.29000000,1566.61000000,1569.45000000,18637.50330000,29244423.25188900,26321
1677888000000,1569.45000000,1575.59000000,1568.19000000,1574.76000000,17015.16800000,26746690.65345000,27249
1677891600000,1574.76000000,1577.53000000,1570.96000000,1571.18000000,9864.81990000,15522979.20267800,17113
1677895200000,1571.19000000,1573.11000000,1571.18000000,1571.85000000,5468.64580000,8597748.82918300,13152
1677898800000,1571.85000000,1571.91000000,1569.48000000,1570.84000000,4873.18730000,7653796.14656100,11603
1677902400000,1570.85000000,1572.91000000,1568.43000000,1570.39000000,7763.13510000,12189792.43118300,15729
1677906000000,1570.40000000,1570.40000000,1562.71000000,1566.99000000,9178.60650000,14381316.80786500,17760
1677909600000,1566.99000000,1572.57000000,1565.28000000,1570.18000000,8380.25020000,13154369.13828300,22071
1677913200000,1570.19000000,1571.00000000,1568.36000000,1568.83000000,4274.53290000,6709962.32276600,12483
1677916800000,1568.83000000,1569.49000000,1567.09000000,1567.96000000,5635.34160000,8837190.54406100,18172
1677920400000,1567.96000000,1570.68000000,1567.90000000,1569.42000000,6803.90030000,10677523.23144000,13562
1677924000000,1569.43000000,1571.23000000,1566.62000000,1567.90000000,7011.05330000,11000136.15238500,18309
1677927600000,1567.89000000,1570.40000000,1567.60000000,1569.24000000,6119.31100000,9598981.93162300,15027
1677931200000,1569.24000000,1572.12000000,1567.50000000,1571.28000000,6819.47710000,10702829.38320900,16066
1677934800000,1571.29000000,1571.29000000,1568.07000000,1568.26000000,7638.24200000,11989258.79434100,16860
1677938400000,1568.25000000,1570.39000000,1566.17000000,1567.30000000,7044.86370000,11045035.94761300,19197
1677942000000,1567.30000000,1569.00000000,1561.64000000,1561.87000000,12102.68680000,18945013.22463200,19989
1677945600000,1561.88000000,1565.64000000,1560.00000000,1564.33000000,9840.99600000,15383666.52373800,17987
1677949200000,1564.32000000,1565.14000000,1561.81000000,1562.19000000,6772.45570000,10589584.16009200,12990
1677952800000,1562.20000000,1564.70000000,1557.10000000,1563.51000000,12881.08430000,20114190.69874500,17010
1677956400000,1563.51000000,1564.54000000,1558.00000000,1559.47000000,10076.82830000,15730714.52980600,16167
1677960000000,1559.48000000,1560.79000000,1549.12000000,1557.65000000,32298.32170000,50256105.41906600,36826
1677963600000,1557.65000000,1560.64000000,1549.27000000,1557.07000000,19216.29090000,29894546.91676300,31262
1677967200000,1557.08000000,1568.67000000,1553.70000000,1561.55000000,12828.80860000,20043016.88861800,23088
1677970800000,1561.56000000,1567.33000000,1560.86000000,1566.73000000,7732.25360000,12101186.91635500,12486
1677974400000,1566.74000000,1570.42000000,1564.57000000,1570.15000000,13475.27480000,21121755.62297400,25270
1677978000000,1570.15000000,1588.77000000,1567.70000000,1582.11000000,43125.13700000,68180057.27127900,50111
1677981600000,1582.11000000,1583.23000000,1553.05000000,1566.39000000,32641.53420000,51124239.37222800,43501
1677985200000,1566.40000000,1569.72000000,1566.39000000,1567.85000000,8453.99350000,13259060.91084000,18701
1677988800000,1567.86000000,1573.57000000,1567.71000000,1571.87000000,7449.83420000,11697501.40890200,16646
1677992400000,1571.88000000,1572.05000000,1569.04000000,1570.35000000,5194.80820000,8158548.28784200,13528
