open_time,open,high,low,close,volume,quote_volume,trades
1713765600000,3227.66000000,3235.00000000,3219.70000000,3220.34000000,15853.27780000,51168824.46057500,46820
1713769200000,3220.35000000,3231.45000000,3203.34000000,3203.60000000,10533.28380000,33837129.93918700,38431
1713772800000,3203.59000000,3218.49000000,3194.61000000,3204.62000000,15266.57700000,48977763.96615400,41106
1713776400000,3204.62000000,3218.00000000,3200.10000000,3215.40000000,7984.57040000,25644954.54087700,26800
1713780000000,3215.39000000,3224.00000000,3208.60000000,3209.80000000,8244.94270000,26516349.44484100,27717
1713783600000,3209.80000000,3212.82000000,3187.99000000,3194.54000000,10910.09500000,34901335.91892900,31593
1713787200000,3194.55000000,3208.78000000,3185.19000000,3204.46000000,9143.57830000,29247851.72407900,30474
1713790800000,3204.47000000,3211.64000000,3177.54000000,3192.60000000,15975.85780000,51006372.90299100,69304
1713794400000,3192.60000000,3207.90000000,3178.29000000,3183.79000000,13990.19650000,44695855.35651800,69051
1713798000000,3183.79000000,3186.20000000,3166.80000000,3183.32000000,12911.59950000,41012302.05012100,51162
1713801600000,3183.33000000,3199.73000000,3169.30000000,3185.15000000,13335.29770000,42468294.01675300,39694
1713805200000,3185.16000000,3216.99000000,3184.45000000,3199.07000000,14989.82720000,48030985.78527800,50323
1713808800000,3199.07000000,3204.90000000,3190.15000000,3191.41000000,7834.23200000,25050482.54961000,32043
1713812400000,3191.40000000,3196.18000000,3175.75000000,3188.23000000,8187.08190000,26074178.17052600,33984
1713816000000,3188.24000000,3203.99000000,3184.02000000,3190.12000000,7922.83280000,25295280.01585900,26552
1713819600000,3190.12000000,3198.22000000,3184.47000000,3197.36000000,3829.44020000,12221653.75428700,17623
1713823200000,3197.35000000,3224.20000000,3197.10000000,3218.79000000,9971.02220000,32005018.65157300,29593
1713826800000,3218.79000000,3223.40000000,3195.37000000,3200.20000000,9598.67040000,30816445.18528000,30030
1713830400000,3200.19000000,3218.20000000,3194.60000000,3218.08000000,7193.96920000,23077231.92841600,24723
1713834000000,3218.09000000,3223.36000000,3204.31000000,3206.37000000,7490.54940000,24079105.83110000,26565
1713837600000,3206.36000000,3216.37000000,3190.23000000,3194.79000000,7319.36280000,23463531.83038600,24560
1713841200000,3194.79000000,3200.00000000,3181.37000000,3183.90000000,8999.08610000,28709766.07588000,28125
1713844800000,3183.90000000,3193.49000000,3168.52000000,3176.17000000,9552.74780000,30390367.96366500,29534
1713848400000,3176.18000000,3187.56000000,3172.26000000,3185.00000000,7481.28310000,23795498.36938500,22318
1713852000000,3184.99000000,3191.40000000,3169.33000000,3174.59000000,7451.79060000,23720761.38109600,22353
1713855600000,3174.60000000,3177.72000000,3152.00000000,3160.48000000,14386.31140000,45506237.68996600,37132
1713859200000,3160.49000000,3171.31000000,3152.45000000,3169.14000000,9916.59070000,31355529.22520200,28701
1713862800000,3169.14000000,3172.70000000,3163.00000000,3166.58000000,6137.66620000,19441435.50882500,22533
1713866400000,3166.58000000,3185.55000000,3166.57000000,3181.20000000,9805.26020000,31151800.25222300,34674
1713870000000,3181.20000000,3183.33000000,3163.74000000,3179.80000000,8815.87440000,27983217.34427900,30318
1713873600000,3179.79000000,3189.89000000,3173.11000000,3187.21000000,11982.70990000,38131036.13532100,73257
1713877200000,3187.22000000,3207.90000000,3175.00000000,3207.90000000,16621.94440000,53054207.26030700,54590
1713880800000,3207.90000000,3263.61000000,3204.61000000,3247.84000000,44320.66100000,143587736.13937500,126529
1713884400000,3247.84000000,3249.15000000,3220.36000000,3226.13000000,17880.29990000,57787832.66864900,45127
1713888000000,3226.12000000,3241.56000000,3217.80000000,3233.54000000,9893.32280000,31982800.33219000,38037
1713891600000,3233.53000000,3246.22000000,3225.03000000,3237.40000000,8311.46820000,26896093.84592300,31675
