open_time,open,high,low,close,volume,quote_volume,trades
1641787200000,3155.04000000,3185.00000000,3152.00000000,3163.24000000,37150.89920000,117715680.50960500,78054
1641801600000,3163.24000000,3169.91000000,3094.39000000,3104.50000000,53386.36690000,167205596.14771300,99619
1641816000000,3104.42000000,3110.94000000,2928.83000000,3006.26000000,229791.23700000,690482360.91557400,365662
1641830400000,3006.27000000,3095.00000000,2970.68000000,3029.75000000,130708.94060000,396690377.97552900,223266
1641844800000,3029.75000000,3096.15000000,3019.17000000,3082.68000000,44323.27510000,135937167.42190500,93490
1641859200000,3082.87000000,3128.50000000,3051.80000000,3120.20000000,45638.91110000,141188594.87499200,82483
1641873600000,3119.79000000,3137.01000000,3097.57000000,3129.59000000,31768.86370000,98937825.02726000,70355
1641888000000,3129.59000000,3146.98000000,3088.00000000,3110.93000000,53502.80760000,166649417.90194800,106114
1641902400000,3110.92000000,3158.56000000,3075.48000000,3133.56000000,65918.73390000,205591636.21659200,136964
1641916800000,3133.55000000,3263.54000000,3130.00000000,3237.18000000,137059.46950000,441039058.96579700,201329
1641931200000,3237.17000000,3249.06000000,3223.22000000,3239.72000000,28557.92290000,92446050.63639100,71716
1641945600000,3239.73000000,3259.99000000,3217.52000000,3234.52000000,37172.05490000,120294350.10278000,79533
1641960000000,3234.51000000,3260.89000000,3206.20000000,3217.52000000,45127.45290000,145671074.28112600,85314
1641974400000,3217.53000000,3295.96000000,3215.78000000,3272.51000000,64712.11080000,210867587.59320200,124411
1641988800000,3272.50000000,3388.02000000,3268.25000000,3361.76000000,134728.01770000,449968331.96351500,241491
1642003200000,3361.75000000,3392.94000000,3336.34000000,3382.02000000,50746.51630000,170951351.55210300,108485
1642017600000,3382.01000000,3411.43000000,3355.51000000,3371.26000000,37979.64890000,128286001.98017600,97962
1642032000000,3371.60000000,3384.56000000,3310.00000000,3338.04000000,43018.48990000,143977135.12281500,93996
1642046400000,3338.03000000,3352.67000000,3324.10000000,3339.99000000,31671.68370000,105750803.63371500,73278
1642060800000,3339.99000000,3379.00000000,3328.86000000,3333.99000000,42080.28600000,141108913.53516600,92693
1642075200000,3334.00000000,3410.00000000,3272.59000000,3301.43000000,106627.91280000,356220713.41269800,177459
1642089600000,3301.42000000,3318.97000000,3247.52000000,3271.50000000,69821.56550000,229164000.47646800,139057
1642104000000,3271.49000000,3278.73000000,3233.43000000,3240.61000000,43014.94200000,140072041.50706200,90003
