open_time,open,high,low,close,volume,quote_volume,trades
1776771900000,9.39000000,9.42000000,9.37000000,9.42000000,57138.99000000,537247.65510000,960
1776772800000,9.41000000,9.46000000,9.41000000,9.44000000,98680.74000000,931423.28950000,1198
1776773700000,9.44000000,9.45000000,9.40000000,9.45000000,40275.04000000,379941.90940000,737
1776774600000,9.45000000,9.47000000,9.34000000,9.36000000,197610.56000000,1861305.67180000,2649
1776775500000,9.36000000,9.42000000,9.34000000,9.40000000,33682.33000000,315539.46690000,992
1776776400000,9.40000000,9.41000000,9.37000000,9.38000000,26530.75000000,248961.95060000,458
1776777300000,9.37000000,9.41000000,9.37000000,9.39000000,20923.99000000,196309.91140000,529
1776778200000,9.39000000,9.43000000,9.38000000,9.40000000,32281.55000000,303302.84020000,1160
1776779100000,9.41000000,9.41000000,9.38000000,9.39000000,14994.10000000,140877.31590000,462
1776780000000,9.39000000,9.40000000,9.35000000,9.38000000,48284.27000000,452749.37560000,810
1776780900000,9.38000000,9.44000000,9.38000000,9.42000000,30681.39000000,288934.06640000,1257
1776781800000,9.42000000,9.47000000,9.41000000,9.46000000,24469.78000000,231002.43420000,939
1776782700000,9.46000000,9.46000000,9.36000000,9.38000000,25579.09000000,240957.17890000,964
1776783600000,9.37000000,9.42000000,9.35000000,9.41000000,30780.35000000,288496.30570000,1467
1776784500000,9.42000000,9.43000000,9.37000000,9.39000000,16343.79000000,153821.65800000,748
1776785400000,9.40000000,9.41000000,9.36000000,9.39000000,18564.05000000,174275.24310000,795
1776786300000,9.39000000,9.42000000,9.37000000,9.42000000,5788.99000000,54419.29000000,423
1776787200000,9.42000000,9.44000000,9.39000000,9.41000000,35273.37000000,332363.51490000,892
1776788100000,9.42000000,9.42000000,9.39000000,9.39000000,16543.46000000,155522.58310000,488
1776789000000,9.39000000,9.44000000,9.39000000,9.40000000,24663.35000000,232041.90310000,604
1776789900000,9.40000000,9.41000000,9.36000000,9.37000000,7418.17000000,69653.72460000,362
1776790800000,9.36000000,9.38000000,9.32000000,9.33000000,35277.79000000,329792.15020000,1017
1776791700000,9.34000000,9.34000000,9.27000000,9.29000000,46488.69000000,432422.79780000,1289
1776792600000,9.29000000,9.39000000,9.28000000,9.36000000,52661.20000000,491829.77200000,1400
1776793500000,9.37000000,9.38000000,9.34000000,9.34000000,29024.65000000,271562.60510000,753
1776794400000,9.34000000,9.36000000,9.32000000,9.34000000,15947.07000000,148971.35250000,325
1776795300000,9.34000000,9.35000000,9.30000000,9.31000000,78137.70000000,728047.11090000,1479
1776796200000,9.31000000,9.33000000,9.30000000,9.30000000,3757.99000000,35019.61260000,339
1776797100000,9.31000000,9.35000000,9.28000000,9.33000000,33110.04000000,308181.56240000,885
1776798000000,9.33000000,9.38000000,9.32000000,9.33000000,27257.27000000,254830.02880000,1203
1776798900000,9.33000000,9.40000000,9.33000000,9.37000000,23844.73000000,223246.81230000,904
1776799800000,9.37000000,9.37000000,9.24000000,9.25000000,40040.91000000,371929.02390000,1388
1776800700000,9.24000000,9.28000000,9.24000000,9.27000000,19955.44000000,184756.42540000,726
1776801600000,9.26000000,9.37000000,9.26000000,9.36000000,64901.95000000,604419.11190000,1905
1776802500000,9.37000000,9.40000000,9.36000000,9.37000000,31426.69000000,294530.08120000,882
1776803400000,9.38000000,9.41000000,9.37000000,9.37000000,88748.00000000,834077.86940000,1138
1776804300000,9.38000000,9.39000000,9.36000000,9.37000000,8023.40000000,75176.31720000,346
1776805200000,9.37000000,9.38000000,9.33000000,9.36000000,13547.58000000,126729.39570000,369
1776806100000,9.35000000,9.38000000,9.35000000,9.36000000,10148.19000000,94983.67180000,162
1776807000000,9.35000000,9.36000000,9.34000000,9.34000000,9809.13000000,91761.20070000,183
1776807900000,9.34000000,9.36000000,9.34000000,9.35000000,6872.10000000,64249.41400000,209
1776808800000,9.35000000,9.36000000,9.33000000,9.35000000,34648.99000000,323794.66100000,419
1776809700000,9.35000000,9.35000000,9.30000000,9.31000000,12297.96000000,114707.47110000,346
1776810600000,9.31000000,9.32000000,9.28000000,9.32000000,22866.20000000,212663.67560000,484
1776811500000,9.31000000,9.31000000,9.29000000,9.29000000,19964.21000000,185618.78400000,344
1776812400000,9.29000000,9.35000000,9.29000000,9.35000000,52979.51000000,494021.52290000,899
1776813300000,9.35000000,9.37000000,9.35000000,9.36000000,17386.45000000,162722.89610000,364
1776814200000,9.37000000,9.39000000,9.33000000,9.39000000,55318.29000000,517556.96520000,969
1776815100000,9.38000000,9.42000000,9.37000000,9.40000000,33795.69000000,317682.11910000,719
1776816000000,9.40000000,9.43000000,9.40000000,9.42000000,73266.99000000,689899.73800000,857
1776816900000,9.42000000,9.43000000,9.39000000,9.41000000,23026.16000000,216646.06050000,412
1776817800000,9.41000000,9.42000000,9.39000000,9.42000000,13290.60000000,125026.63830000,310
1776818700000,9.42000000,9.42000000,9.40000000,9.41000000,11761.72000000,110652.08940000,185
1776819600000,9.42000000,9.43000000,9.40000000,9.42000000,27746.18000000,261183.91560000,415
1776820500000,9.41000000,9.41000000,9.37000000,9.37000000,15331.85000000,143934.69570000,358
1776821400000,9.38000000,9.40000000,9.38000000,9.40000000,12341.21000000,115923.47890000,249
1776822300000,9.40000000,9.42000000,9.38000000,9.40000000,20498.91000000,192736.57550000,427
1776823200000,9.40000000,9.47000000,9.39000000,9.45000000,40782.34000000,384917.13810000,1087
1776824100000,9.45000000,9.53000000,9.45000000,9.51000000,78832.67000000,748255.10190000,2018
1776825000000,9.52000000,9.53000000,9.48000000,9.50000000,47696.40000000,453201.63180000,1016
1776825900000,9.50000000,9.52000000,9.48000000,9.52000000,45142.66000000,429024.15800000,1065
1776826800000,9.52000000,9.52000000,9.49000000,9.50000000,34562.81000000,328518.99060000,1131
