open_time,open,high,low,close,volume,quote_volume,trades
1677762000000,7.25200000,7.26600000,7.20100000,7.21100000,164961.68000000,1193633.76232000,4457
1677765600000,7.21200000,7.22700000,7.16300000,7.22000000,235203.79000000,1693007.27277000,5213
1677769200000,7.22000000,7.25000000,7.19900000,7.23100000,152475.80000000,1101285.77919000,3054
1677772800000,7.23000000,7.23300000,7.16800000,7.17700000,113226.96000000,815381.95358000,2764
1677776400000,7.17700000,7.21700000,7.17300000,7.18900000,200757.24000000,1443588.33033000,2758
1677780000000,7.19000000,7.26100000,7.17800000,7.25900000,82025.26000000,592373.05517000,2073
1677783600000,7.25900000,7.30200000,7.24100000,7.27400000,202266.02000000,1471483.46829000,4199
1677787200000,7.27400000,7.28200000,7.23400000,7.23900000,84345.61000000,612808.25285000,2050
1677790800000,7.23900000,7.25400000,7.23000000,7.23300000,40979.53000000,296725.61162000,1353
1677794400000,7.23300000,7.28200000,7.22900000,7.26200000,72044.72000000,523669.18466000,2020
1677798000000,7.26200000,7.28200000,7.24300000,7.27500000,64091.07000000,465627.41553000,2164
1677801600000,7.27500000,7.27600000,7.22200000,7.23200000,95969.30000000,695463.28170000,2944
1677805200000,7.23400000,7.23700000,6.65500000,6.72400000,1802358.33000000,12395256.89038000,44202
1677808800000,6.72300000,6.81500000,6.70000000,6.79900000,688276.95000000,4654792.31185000,15445
1677812400000,6.79900000,6.84600000,6.77500000,6.81400000,293187.63000000,1996956.86979000,6303
1677816000000,6.81300000,6.87300000,6.79300000,6.86800000,129256.18000000,883419.67631000,3517
1677819600000,6.86700000,6.88500000,6.83500000,6.83600000,205322.26000000,1406902.50956000,3807
1677823200000,6.83700000,6.86700000,6.82300000,6.83500000,117593.64000000,804331.44383000,3197
1677826800000,6.83600000,6.87500000,6.82800000,6.86700000,102981.15000000,705659.13519000,2223
1677830400000,6.86700000,6.88800000,6.84900000,6.88800000,88752.54000000,609441.74642000,2238
1677834000000,6.88700000,6.90000000,6.87800000,6.88600000,119401.07000000,822617.27116000,2830
1677837600000,6.88700000,6.91000000,6.88100000,6.88200000,105262.40000000,725889.35640000,2643
1677841200000,6.88300000,6.90300000,6.86400000,6.89400000,97820.43000000,673478.17786000,2396
1677844800000,6.89300000,6.89800000,6.85300000,6.86700000,117739.77000000,808912.21660000,2698
1677848400000,6.86700000,6.93100000,6.84700000,6.92400000,219581.01000000,1513146.82418000,4230
1677852000000,6.92300000,6.95200000,6.91500000,6.93000000,136535.81000000,946711.62441000,3487
1677855600000,6.93100000,6.93800000,6.88000000,6.89800000,181309.73000000,1252231.93180000,3992
1677859200000,6.89800000,6.91500000,6.88500000,6.90800000,144329.26000000,995958.16988000,2355
1677862800000,6.90800000,6.93700000,6.90600000,6.93400000,80130.51000000,554651.28591000,1777
1677866400000,6.93400000,6.94600000,6.86600000,6.89700000,146414.65000000,1010584.87114000,3415
1677870000000,6.89600000,6.93500000,6.88300000,6.91900000,62055.81000000,428369.64401000,1395
1677873600000,6.92300000,6.93700000,6.89100000,6.89600000,97027.56000000,670899.98211000,2133
1677877200000,6.89500000,6.92300000,6.85700000,6.90900000,153806.11000000,1060772.99593000,3477
1677880800000,6.90800000,6.95200000,6.90400000,6.94800000,43634.71000000,302212.75016000,1367
1677884400000,6.94800000,6.96300000,6.93800000,6.95800000,80787.70000000,561535.81555000,1621
1677888000000,6.95800000,7.00400000,6.94300000,6.98400000,145143.92000000,1013142.63783000,2686
1677891600000,6.98600000,7.01100000,6.90700000,6.91100000,203724.37000000,1418046.42760000,4820
1677895200000,6.91100000,6.94700000,6.90700000,6.92800000,85762.23000000,594048.27072000,2370
1677898800000,6.92700000,6.93100000,6.91000000,6.91500000,44544.69000000,308227.01723000,1334
1677902400000,6.91500000,6.93400000,6.88200000,6.90300000,53018.12000000,365855.09513000,1494
1677906000000,6.90300000,6.91300000,6.85800000,6.87800000,42748.94000000,294527.56234000,1276
1677909600000,6.87700000,6.92100000,6.86800000,6.91300000,99901.40000000,689354.85467000,1646
1677913200000,6.91200000,6.93300000,6.90200000,6.91300000,57836.86000000,400258.16971000,1629
1677916800000,6.91300000,6.93500000,6.89600000,6.92000000,47375.33000000,327453.54641000,1411
1677920400000,6.91900000,6.95200000,6.91900000,6.93000000,60556.24000000,420021.81473000,1311
1677924000000,6.93000000,6.94900000,6.90000000,6.92000000,56783.32000000,393386.97803000,1732
1677927600000,6.91900000,6.97000000,6.90900000,6.96900000,58218.75000000,404120.68088000,1924
1677931200000,6.96900000,6.96900000,6.93200000,6.96200000,61460.85000000,427211.84249000,1711
1677934800000,6.96300000,6.96300000,6.91200000,6.91800000,84128.01000000,583271.28861000,2646
1677938400000,6.91700000,6.93900000,6.90500000,6.93300000,96100.46000000,665070.41710000,2458
1677942000000,6.93400000,6.96200000,6.91900000,6.92400000,129042.65000000,895025.53617000,2336
1677945600000,6.92300000,6.94500000,6.91500000,6.92700000,76084.91000000,527286.09879000,1589
1677949200000,6.92700000,6.93200000,6.88000000,6.88800000,80501.58000000,555745.83453000,1999
1677952800000,6.88800000,6.90600000,6.85600000,6.90500000,84753.99000000,583362.94236000,2075
1677956400000,6.90500000,6.90900000,6.81900000,6.83900000,185087.44000000,1267959.52637000,4289
1677960000000,6.83800000,6.84400000,6.75900000,6.83400000,292249.85000000,1988585.53274000,6452
1677963600000,6.83300000,6.83300000,6.72400000,6.74400000,443136.88000000,3001492.50921000,8305
1677967200000,6.74100000,6.86200000,6.70800000,6.81800000,209302.50000000,1420885.82675000,5521
1677970800000,6.81800000,6.85900000,6.81100000,6.85700000,41001.22000000,280314.07877000,1285
1677974400000,6.85700000,6.88100000,6.80700000,6.87900000,127997.03000000,875372.57523000,3654
1677978000000,6.87900000,6.99400000,6.86200000,6.99000000,269141.90000000,1869543.36171000,6254
1677981600000,6.98900000,6.99800000,6.83900000,6.92200000,182991.84000000,1266448.34758000,5546
1677985200000,6.92200000,6.95200000,6.92000000,6.94100000,155355.09000000,1077450.18848000,2617
1677988800000,6.94200000,6.97500000,6.94200000,6.96400000,54663.01000000,380186.46128000,1566
1677992400000,6.96500000,6.97300000,6.93200000,6.93200000,40177.87000000,279152.04570000,981
1677996000000,6.93200000,6.95100000,6.92000000,6.92900000,33281.31000000,230667.85983000,886
1677999600000,6.92800000,6.93900000,6.90300000,6.91900000,65664.41000000,453926.84399000,1706
1678003200000,6.91700000,6.92600000,6.89000000,6.90000000,64093.28000000,442534.89420000,1532
1678006800000,6.90100000,6.95600000,6.89900000,6.93300000,80929.57000000,560771.93896000,2082
1678010400000,6.93300000,6.96900000,6.92700000,6.96700000,84187.23000000,585129.61342000,2102
1678014000000,6.96800000,6.96900000,6.92900000,6.93300000,51609.35000000,358692.78924000,1301
1678017600000,6.93300000,6.95900000,6.93000000,6.95300000,40394.46000000,280566.08355000,1052
1678021200000,6.95300000,6.97800000,6.94900000,6.97300000,62518.58000000,435412.37882000,1751
1678024800000,6.97400000,6.97800000,6.93900000,6.95100000,65067.34000000,452620.40098000,1495
1678028400000,6.95200000,6.97000000,6.94700000,6.95000000,41423.68000000,288263.04640000,955
1678032000000,6.94900000,6.96700000,6.94200000,6.95800000,31581.85000000,219599.39997000,1061
1678035600000,6.95900000,6.95900000,6.91500000,6.91900000,33520.07000000,232638.41710000,1280
1678039200000,6.92000000,6.96000000,6.91900000,6.95000000,41899.62000000,290769.72141000,1131
1678042800000,6.95000000,6.96400000,6.93200000,6.95900000,56946.62000000,395756.51957000,1489
1678046400000,6.96000000,6.99100000,6.95600000,6.98300000,56804.24000000,396170.50632000,1975
1678050000000,6.98300000,7.01700000,6.94500000,6.99200000,155771.09000000,1088466.77657000,4435
1678053600000,6.99100000,6.99600000,6.95000000,6.96500000,56617.54000000,394708.14036000,2110
1678057200000,6.96300000,6.96300000,6.90400000,6.94500000,115857.18000000,803153.48281000,3215
1678060800000,6.94600000,6.97300000,6.91100000,6.94100000,101168.20000000,702484.68787000,3317
1678064400000,6.94100000,6.95800000,6.85900000,6.87100000,195673.75000000,1350581.61566000,5905
1678068000000,6.87100000,6.88300000,6.81900000,6.87500000,174113.65000000,1192591.98462000,4869
1678071600000,6.87400000,6.88600000,6.85100000,6.87200000,107159.43000000,735715.29004000,2237
1678075200000,6.87100000,6.89100000,6.84300000,6.85100000,47905.62000000,328711.01699000,1483
1678078800000,6.85000000,6.87000000,6.82200000,6.86900000,76259.96000000,521771.78725000,1918
1678082400000,6.86900000,6.89400000,6.86400000,6.88800000,35184.20000000,242108.52202000,1249
1678086000000,6.88900000,6.90200000,6.87100000,6.88600000,70050.94000000,482545.00980000,1652
1678089600000,6.88500000,6.90100000,6.84700000,6.89300000,58748.44000000,404060.32275000,2086
