open_time,open,high,low,close,volume,quote_volume,trades
1713765600000,153.18000000,156.64000000,152.82000000,154.91000000,581486.31000000,90065074.94230000,81761
1713769200000,154.91000000,155.86000000,153.46000000,153.62000000,207264.53000000,31986918.96740000,36267
1713772800000,153.63000000,154.28000000,152.23000000,152.63000000,174685.46000000,26813123.96000000,30755
1713776400000,152.64000000,153.95000000,152.46000000,153.89000000,121064.95000000,18558074.94110000,23445
1713780000000,153.89000000,154.64000000,153.51000000,154.08000000,142987.19000000,22026007.18960000,24242
1713783600000,154.08000000,154.22000000,152.50000000,153.28000000,155834.80000000,23857070.21930000,24248
1713787200000,153.29000000,154.91000000,153.20000000,154.17000000,203068.17000000,31255420.56290000,32603
1713790800000,154.18000000,154.86000000,152.82000000,154.26000000,281616.59000000,43386975.70970000,39158
1713794400000,154.26000000,154.95000000,153.01000000,153.38000000,162498.15000000,25045239.02140000,31500
1713798000000,153.37000000,153.87000000,151.55000000,153.45000000,243718.40000000,37184299.47400000,41506
1713801600000,153.44000000,154.77000000,152.41000000,153.47000000,181092.15000000,27831305.27640000,31887
1713805200000,153.48000000,156.11000000,153.47000000,154.97000000,252823.24000000,39114199.87920000,44543
1713808800000,154.97000000,155.30000000,153.83000000,154.15000000,135821.79000000,21004564.89830000,22093
1713812400000,154.15000000,154.78000000,153.37000000,154.55000000,116464.40000000,17948867.98070000,20472
1713816000000,154.55000000,155.64000000,154.12000000,154.83000000,102171.50000000,15813791.78320000,18215
1713819600000,154.83000000,155.73000000,154.25000000,155.55000000,75004.95000000,11629721.49810000,12502
1713823200000,155.55000000,158.50000000,155.55000000,158.03000000,235572.03000000,37002024.00790000,42649
1713826800000,158.03000000,158.32000000,156.74000000,156.95000000,165674.23000000,26114955.57860000,26298
1713830400000,156.94000000,159.33000000,156.61000000,158.88000000,181673.17000000,28722764.07790000,32907
1713834000000,158.89000000,159.09000000,157.50000000,157.65000000,159542.44000000,25232712.66610000,29171
1713837600000,157.65000000,158.46000000,156.78000000,157.01000000,129640.79000000,20468149.08340000,26129
1713841200000,157.01000000,157.71000000,155.43000000,155.51000000,199297.65000000,31162120.24990000,31424
1713844800000,155.50000000,156.82000000,154.31000000,154.75000000,275414.50000000,42839068.07480000,36427
1713848400000,154.75000000,156.16000000,154.65000000,155.69000000,127220.95000000,19776070.43880000,24527
1713852000000,155.69000000,155.89000000,153.70000000,154.37000000,124633.79000000,19300252.84280000,23409
1713855600000,154.37000000,154.77000000,153.04000000,153.62000000,165651.28000000,25475033.45320000,28209
1713859200000,153.62000000,154.68000000,153.16000000,154.25000000,135571.07000000,20858747.38580000,21841
1713862800000,154.25000000,154.58000000,153.42000000,153.84000000,93004.24000000,14318964.42080000,16992
1713866400000,153.84000000,155.60000000,153.81000000,155.11000000,159442.19000000,24694333.17730000,26379
