open_time,open,high,low,close,volume,quote_volume,trades
1641787200000,140.62000000,143.86000000,140.30000000,143.05000000,158596.71000000,22626138.95820000,34310
1641801600000,143.05000000,143.48000000,138.96000000,139.44000000,155875.84000000,21984352.54650000,38702
1641816000000,139.45000000,139.76000000,130.00000000,133.16000000,800570.62000000,107019287.26580000,167003
1641830400000,133.17000000,138.55000000,130.96000000,132.64000000,422227.66000000,56712893.77830000,102080
1641844800000,132.65000000,136.10000000,131.87000000,135.86000000,186598.67000000,25128949.28470000,42646
1641859200000,135.84000000,137.50000000,133.58000000,137.28000000,186714.88000000,25332994.64670000,36082
1641873600000,137.28000000,137.89000000,135.03000000,137.25000000,132074.94000000,18007308.59800000,29089
1641888000000,137.26000000,138.52000000,134.27000000,135.40000000,155512.65000000,21194909.37020000,40269
1641902400000,135.40000000,138.03000000,135.00000000,137.08000000,217661.00000000,29755473.30190000,52193
1641916800000,137.09000000,143.50000000,136.94000000,142.39000000,486881.21000000,68728948.66930000,101132
1641931200000,142.41000000,143.17000000,139.68000000,140.20000000,149734.89000000,21159128.29930000,36109
1641945600000,140.19000000,141.53000000,139.07000000,140.07000000,162379.86000000,22784854.34390000,32745
1641960000000,140.06000000,140.88000000,138.22000000,138.95000000,148564.60000000,20753769.97380000,33078
1641974400000,138.94000000,144.10000000,138.72000000,141.42000000,295995.94000000,41875263.78520000,73397
1641988800000,141.40000000,148.50000000,141.23000000,147.70000000,570425.00000000,83037140.13220000,131137
1642003200000,147.70000000,153.20000000,147.59000000,152.71000000,540280.27000000,81387547.22980000,125711
1642017600000,152.71000000,153.39000000,151.30000000,151.51000000,229143.09000000,34866032.67660000,57382
1642032000000,151.50000000,152.22000000,148.12000000,148.65000000,193043.05000000,28951934.33520000,45105
1642046400000,148.66000000,151.69000000,148.62000000,151.41000000,144358.07000000,21656619.75490000,33127
1642060800000,151.39000000,152.80000000,149.90000000,150.32000000,208862.36000000,31672139.60820000,52707
1642075200000,150.33000000,157.80000000,150.25000000,154.95000000,579656.23000000,89477126.20870000,157805
1642089600000,154.90000000,155.25000000,146.50000000,147.65000000,593930.06000000,89644858.64920000,122699
1642104000000,147.63000000,149.89000000,145.41000000,146.14000000,264271.82000000,38955907.64120000,60106
1642118400000,146.13000000,147.99000000,144.39000000,147.52000000,201101.41000000,29557553.31140000,45423
1642132800000,147.52000000,150.56000000,146.71000000,147.71000000,216155.34000000,32101553.40130000,54182
1642147200000,147.71000000,147.79000000,141.84000000,143.45000000,325330.63000000,47110447.52200000,69648
1642161600000,143.45000000,148.40000000,142.02000000,147.34000000,278954.23000000,40518015.95390000,73733
1642176000000,147.34000000,149.80000000,145.59000000,148.36000000,252169.31000000,37195001.27670000,59321
1642190400000,148.34000000,149.00000000,145.39000000,146.17000000,154434.38000000,22707640.85810000,37463
1642204800000,146.18000000,147.29000000,145.06000000,145.98000000,112478.85000000,16449094.09480000,29868
