label,tf,stop,variant,n,win_rate,avg_pct,avg_R,profit_factor,total_return_pct,max_dd_pct,max_losing_streak,trades_per_year,breakeven_bps,survives_costs
S5 EMA meter + SMI,4h,nbar,-,164,39.024,0.724,0.159,1.229,75.156,-45.478,7,30.223,72.4,True
S5 EMA meter + SMI,4h,swing,-,171,39.766,0.513,0.186,1.174,30.459,-59.478,8,31.512,51.3,True
S6 Impulse MACD,4h,nbar,-,593,31.366,0.251,0.184,1.157,95.436,-58.05,13,109.06,25.1,True
S6 Impulse MACD,4h,swing,-,594,30.135,0.23,0.149,1.15,78.767,-57.913,13,109.244,23.0,True
S5 EMA meter + SMI,4h,atr,-,372,38.172,0.23,0.14,1.135,70.323,-34.394,8,68.553,23.0,True
S6 Impulse MACD,4h,atr,-,602,28.904,0.212,0.229,1.14,67.818,-56.684,16,110.715,21.2,True
S7 Smoothed HA,1h,swing,flip,2060,31.796,0.067,0.099,1.09,107.715,-55.83,18,378.098,6.7,False
S7 Smoothed HA,1h,nbar,-,671,40.537,0.058,0.013,1.036,-14.847,-66.962,10,123.157,5.8,False
S2 Donchian+LWTI+vol,5m,atr,-,2302,35.274,0.036,0.056,1.039,16.304,-66.257,16,453.509,3.6,False
S2 Donchian+LWTI+vol,5m,nbar,-,2302,35.274,0.036,0.056,1.039,16.304,-66.257,16,453.509,3.6,False
S2 Donchian+LWTI+vol,5m,swing,-,2302,35.274,0.036,0.056,1.039,16.304,-66.257,16,453.509,3.6,False
S3 Raschke 3/10,1h,swing,-,1014,34.024,0.035,0.006,1.027,-25.997,-87.647,18,186.3,3.5,False
S3 Raschke 3/10,1h,nbar,-,942,33.864,0.012,0.016,1.008,-45.121,-87.235,16,173.071,1.2,False
S2 Donchian+LWTI+vol,5m,swing,mid,2316,35.32,0.007,0.057,1.007,-41.415,-77.433,13,456.267,0.7,False
S7 Smoothed HA,1h,atr,-,1584,40.909,-0.01,0.023,0.988,-33.36,-57.747,12,290.878,-1.0,False
S8 ABC + RSI,4h,stated,-,58,41.379,-0.013,0.045,0.996,-19.643,-46.805,5,10.764,-1.3,False
S4 RSI 80/20 + VWAP,15m,swing,-,1139,44.601,-0.026,0.004,0.961,-40.961,-65.801,15,209.16,-2.6,False
S1 Fib ABCD 0.88,30m,stated,-,513,17.544,-0.063,-0.133,0.845,-29.955,-32.351,22,94.442,-6.3,False
S7 Smoothed HA,1h,swing,-,735,39.864,-0.1,-0.003,0.935,-71.362,-83.449,9,134.904,-10.0,False
S9 SMC sweep->FVG,15m,stated,nobos,1872,28.312,-0.103,-0.154,0.891,-92.656,-96.481,20,343.592,-10.3,False
S3 Raschke 3/10,1h,atr,-,1864,31.921,-0.119,-0.043,0.875,-92.812,-96.36,16,342.468,-11.9,False
S9 SMC sweep->FVG,15m,stated,mid,1467,28.834,-0.133,-0.138,0.879,-92.813,-94.168,14,269.257,-13.3,False
S4 RSI 80/20 + VWAP,15m,atr,-,1183,34.742,-0.177,-0.183,0.693,-88.818,-90.299,14,217.24,-17.7,False
S9 SMC sweep->FVG,15m,stated,liq,2881,48.039,-0.195,-0.21,0.706,-99.789,-99.811,16,528.787,-19.5,False
S9 SMC sweep->FVG,15m,stated,-,1339,27.184,-0.239,-0.188,0.81,-98.009,-98.102,16,245.764,-23.9,False
S4 RSI 80/20 + VWAP,15m,nbar,-,971,35.324,-0.287,-0.189,0.654,-95.018,-95.423,15,178.31,-28.7,False
S9 SMC sweep->FVG,15m,stated,nosweep,642,30.685,-0.311,-0.085,0.848,-94.43,-95.465,14,117.775,-31.1,False
