strategy,is,oos,chosen,n_oos,oos_net_avg,oos_net_total
S1 Fib ABCD 0.88,2021-01-08..2022-07-08,2022-07-08..2023-01-08,stated,36,0.029,1.04
S1 Fib ABCD 0.88,2021-07-08..2023-01-08,2023-01-08..2023-07-08,stated,37,-0.0726,-2.68
S1 Fib ABCD 0.88,2022-01-08..2023-07-08,2023-07-08..2024-01-08,stated,40,-0.133,-5.32
S1 Fib ABCD 0.88,2022-07-08..2024-01-08,2024-01-08..2024-07-08,stated,51,-0.1194,-6.09
S1 Fib ABCD 0.88,2023-01-08..2024-07-08,2024-07-08..2025-01-08,stated,46,0.1444,6.64
S1 Fib ABCD 0.88,2023-07-08..2025-01-08,2025-01-08..2025-07-08,stated,47,0.3828,17.99
S1 Fib ABCD 0.88,2024-01-08..2025-07-08,2025-07-08..2026-01-08,stated,50,-0.0166,-0.83
S1 Fib ABCD 0.88,2024-07-08..2026-01-08,2026-01-08..2026-06-16,stated,39,-0.1116,-4.35
S5 EMA meter + SMI,2021-01-16..2022-07-16,2022-07-16..2023-01-16,nbar,6,-2.1837,-13.1
S5 EMA meter + SMI,2021-07-16..2023-01-16,2023-01-16..2023-07-16,nbar,10,-0.3212,-3.21
S5 EMA meter + SMI,2022-01-16..2023-07-16,2023-07-16..2024-01-16,nbar,11,1.2738,14.01
S5 EMA meter + SMI,2022-07-16..2024-01-16,2024-01-16..2024-07-16,atr,37,0.9383,34.72
S5 EMA meter + SMI,2023-01-16..2024-07-16,2024-07-16..2025-01-16,nbar,19,0.3221,6.12
S5 EMA meter + SMI,2023-07-16..2025-01-16,2025-01-16..2025-07-16,swing,13,-0.2118,-2.75
S5 EMA meter + SMI,2024-01-16..2025-07-16,2025-07-16..2026-01-16,nbar,15,-0.551,-8.26
S5 EMA meter + SMI,2024-07-16..2026-01-16,2026-01-16..2026-06-21,atr,23,0.2778,6.39
S6 Impulse MACD,2021-01-12..2022-07-12,2022-07-12..2023-01-12,nbar,45,0.9109,40.99
S6 Impulse MACD,2021-07-12..2023-01-12,2023-01-12..2023-07-12,swing,51,0.5355,27.31
S6 Impulse MACD,2022-01-12..2023-07-12,2023-07-12..2024-01-12,nbar,53,-0.0512,-2.72
S6 Impulse MACD,2022-07-12..2024-01-12,2024-01-12..2024-07-12,atr,65,-0.1688,-10.97
S6 Impulse MACD,2023-01-12..2024-07-12,2024-07-12..2025-01-12,nbar,45,0.8728,39.28
S6 Impulse MACD,2023-07-12..2025-01-12,2025-01-12..2025-07-12,swing,67,-0.3317,-22.22
S6 Impulse MACD,2024-01-12..2025-07-12,2025-07-12..2026-01-12,swing,51,-0.047,-2.4
S6 Impulse MACD,2024-07-12..2026-01-12,2026-01-12..2026-06-21,swing,50,-0.183,-9.15
