ts,open,high,low,close,vol
1787184000000,6.778,6.79,6.741,6.752,139738.9
1787184900000,6.751,6.811,6.744,6.802,91422.2
1787185800000,6.802,6.822,6.791,6.791,59664.9
1787186700000,6.791,6.804,6.779,6.786,39695.8
1787187600000,6.786,6.792,6.748,6.768,36206
1787188500000,6.767,6.772,6.752,6.766,19746.5
1787189400000,6.766,6.796,6.764,6.788,17493.4
1787190300000,6.788,6.803,6.788,6.793,25943.6
1787191200000,6.794,6.808,6.79,6.805,46459
1787192100000,6.805,6.813,6.797,6.8,17101
1787193000000,6.8,6.809,6.799,6.802,13160.4
1787193900000,6.801,6.801,6.769,6.773,43468.1
1787194800000,6.772,6.773,6.693,6.708,123703.8
1787195700000,6.707,6.758,6.707,6.726,49485
1787196600000,6.726,6.763,6.726,6.757,30184
1787197500000,6.757,6.774,6.754,6.754,33931
1787198400000,6.755,6.76,6.742,6.742,31268.2
1787199300000,6.742,6.749,6.739,6.742,11837
1787200200000,6.742,6.745,6.729,6.742,17596.8
1787201100000,6.742,6.772,6.742,6.761,38936
1787202000000,6.761,6.78,6.749,6.75,22710.3
1787202900000,6.749,6.77,6.745,6.758,12196.8
1787203800000,6.758,6.767,6.752,6.754,10815.7
1787204700000,6.754,6.757,6.745,6.75,7837.2
1787205600000,6.75,6.75,6.732,6.732,14786.3
1787206500000,6.732,6.764,6.727,6.76,21953.2
1787207400000,6.759,6.784,6.759,6.784,22313.2
1787208300000,6.783,6.805,6.779,6.804,30943.8
1787209200000,6.805,6.832,6.788,6.801,150152.1
1787210100000,6.802,6.813,6.787,6.803,15727.9
1787211000000,6.804,6.808,6.788,6.806,11932
1787211900000,6.806,6.827,6.801,6.809,28856.7
1787212800000,6.81,6.907,6.797,6.903,150063
1787213700000,6.903,6.912,6.86,6.883,102471.9
1787214600000,6.883,6.925,6.867,6.924,79926.9
1787215500000,6.924,6.95,6.91,6.915,85600
1787216400000,6.916,6.931,6.905,6.911,80708.7
1787217300000,6.911,6.92,6.887,6.889,42547.8
1787218200000,6.889,6.908,6.871,6.893,62902.2
1787219100000,6.892,6.895,6.856,6.872,46130.5
1787220000000,6.871,6.931,6.869,6.929,64531.9
1787220900000,6.928,6.966,6.926,6.941,96519.3
1787221800000,6.94,6.942,6.913,6.919,34479.5
1787222700000,6.92,6.926,6.904,6.917,33684.1
1787223600000,6.917,6.921,6.873,6.886,61191
1787224500000,6.886,6.902,6.876,6.897,27683.5
1787225400000,6.896,6.952,6.892,6.927,75896.3
1787226300000,6.926,6.941,6.888,6.889,60604.8
1787227200000,6.889,6.908,6.715,6.808,328871.3
1787228100000,6.808,6.848,6.806,6.828,104328.8
1787229000000,6.829,6.843,6.802,6.821,72020.6
1787229900000,6.822,6.881,6.797,6.863,102962.8
1787230800000,6.864,6.903,6.861,6.884,43745.3
1787231700000,6.883,6.908,6.871,6.906,47662.2
1787232600000,6.905,6.905,6.827,6.887,104855.5
1787233500000,6.887,6.923,6.863,6.913,81951.6
1787234400000,6.914,6.953,6.901,6.937,70979.4
1787235300000,6.938,6.939,6.902,6.911,79038.9
1787236200000,6.91,6.94,6.91,6.94,41928.4
1787237100000,6.94,6.973,6.913,6.973,91883.6
1787238000000,6.973,7.089,6.958,7.082,275927
1787238900000,7.082,7.138,7.044,7.085,373331.6
1787239800000,7.084,7.109,7.014,7.034,162754.6
1787240700000,7.033,7.071,7.032,7.055,198040.2
1787241600000,7.055,7.109,7.048,7.062,157826.1
1787242500000,7.061,7.132,7.061,7.129,83178.2
1787243400000,7.129,7.219,7.113,7.202,283278.8
1787244300000,7.202,7.238,7.175,7.222,165611.2
1787245200000,7.221,7.286,7.201,7.261,199088.5
1787246100000,7.262,7.296,7.229,7.273,96687.9
1787247000000,7.272,7.301,7.247,7.255,93689.4
1787247900000,7.256,7.323,7.251,7.264,81757.3
1787248800000,7.265,7.281,7.219,7.265,195564.3
1787249700000,7.264,7.275,7.164,7.172,214956.4
1787250600000,7.173,7.23,7.158,7.216,136336.6
1787251500000,7.217,7.232,7.162,7.165,62215.9
1787252400000,7.165,7.202,7.144,7.196,73768.9
1787253300000,7.195,7.204,7.159,7.159,52523
1787254200000,7.16,7.17,7.125,7.151,58755.9
1787255100000,7.152,7.157,7.126,7.141,40947.5
1787256000000,7.142,7.194,7.138,7.184,64938.1
1787256900000,7.185,7.193,7.16,7.175,39213.9
1787257800000,7.176,7.194,7.165,7.19,28779.1
1787258700000,7.19,7.213,7.117,7.212,139208.1
1787259600000,7.212,7.224,7.196,7.208,72507.5
1787260500000,7.207,7.216,7.174,7.183,43917.7
1787261400000,7.183,7.209,7.178,7.196,28068.2
1787262300000,7.196,7.208,7.139,7.208,48918.3
1787263200000,7.209,7.209,7.149,7.167,54496.2
1787264100000,7.167,7.199,7.148,7.198,40092
1787265000000,7.199,7.2,7.166,7.167,26112.4
1787265900000,7.167,7.195,7.167,7.172,32006
1787266800000,7.173,7.217,7.17,7.212,35762.9
1787267700000,7.213,7.284,7.202,7.282,65573.5
1787268600000,7.283,7.301,7.267,7.28,68398.8
1787269500000,7.279,7.31,7.264,7.291,60446
1787270400000,7.292,7.319,7.269,7.318,76622.7
1787271300000,7.317,7.36,7.296,7.301,86115.1
1787272200000,7.3,7.324,7.234,7.239,96390.8
1787273100000,7.238,7.293,7.219,7.272,63036.7
1787274000000,7.271,7.279,7.246,7.257,63086.2
1787274900000,7.258,7.319,7.238,7.259,67540.5
1787275800000,7.259,7.28,7.235,7.261,54178.9
1787276700000,7.262,7.338,7.262,7.302,95715.7
1787277600000,7.303,7.323,7.256,7.28,69933.8
1787278500000,7.279,7.295,7.253,7.289,48593.1
1787279400000,7.289,7.325,7.256,7.315,59270.4
1787280300000,7.315,7.318,7.267,7.27,67331.8
1787281200000,7.271,7.278,7.232,7.251,97620.2
1787282100000,7.25,7.274,7.233,7.268,31041.9
1787283000000,7.267,7.302,7.256,7.277,55687.9
1787283900000,7.276,7.341,7.275,7.304,61668.6
1787284800000,7.304,7.356,7.298,7.299,58689.4
1787285700000,7.299,7.323,7.291,7.306,58599.4
1787286600000,7.306,7.323,7.298,7.316,47345.8
1787287500000,7.316,7.341,7.272,7.314,113348.9
1787288400000,7.313,7.326,7.278,7.322,52250.1
1787289300000,7.322,7.347,7.302,7.321,50778.7
1787290200000,7.321,7.364,7.313,7.356,125856.8
1787291100000,7.356,7.393,7.333,7.393,116319
1787292000000,7.392,7.399,7.359,7.376,81054
1787292900000,7.377,7.444,7.377,7.413,162033.6
1787293800000,7.413,7.425,7.312,7.317,125962.7
1787294700000,7.318,7.373,7.307,7.359,50584.9
1787295600000,7.36,7.437,7.351,7.433,57788.9
1787296500000,7.434,7.479,7.43,7.462,150683.3
1787297400000,7.462,7.495,7.459,7.486,62329.7
1787298300000,7.486,7.491,7.46,7.474,55735.9
1787299200000,7.475,7.539,7.474,7.519,113194.1
1787300100000,7.519,7.541,7.507,7.524,54995.4
1787301000000,7.524,7.597,7.518,7.591,97883.9
1787301900000,7.592,7.697,7.588,7.684,238774
1787302800000,7.684,7.689,7.361,7.443,648302.3
1787303700000,7.442,7.51,7.403,7.507,116368.2
1787304600000,7.507,7.58,7.495,7.577,61945.3
1787305500000,7.576,7.623,7.523,7.592,84428.7
1787306400000,7.592,7.597,7.538,7.566,82035.2
1787307300000,7.565,7.59,7.541,7.583,59759.3
1787308200000,7.584,7.599,7.554,7.582,40210.6
1787309100000,7.582,7.631,7.579,7.621,32115.7
1787310000000,7.62,7.666,7.56,7.603,74672.1
1787310900000,7.604,7.619,7.569,7.583,48701.7
1787311800000,7.584,7.592,7.433,7.479,199679.4
1787312700000,7.479,7.528,7.449,7.493,52578.5
1787313600000,7.493,7.543,7.452,7.54,44495.4
