ts,open,high,low,close,vol
1785456000000,6.43,6.444,6.425,6.441,90547.9
1785459600000,6.441,6.544,6.441,6.478,190225.2
1785463200000,6.478,6.489,6.403,6.413,123641.8
1785466800000,6.413,6.466,6.392,6.45,58210.6
1785470400000,6.45,6.459,6.427,6.447,43875.3
1785474000000,6.448,6.479,6.435,6.454,67582.3
1785477600000,6.455,6.462,6.416,6.437,57578.7
1785481200000,6.436,6.469,6.386,6.451,95849.2
1785484800000,6.451,6.475,6.447,6.46,90556.6
1785488400000,6.46,6.468,6.409,6.418,57563.4
1785492000000,6.418,6.483,6.397,6.478,70663.4
1785495600000,6.478,6.522,6.444,6.458,91105.4
1785499200000,6.459,6.462,6.414,6.446,67229.7
1785502800000,6.447,6.501,6.376,6.384,142549.6
1785506400000,6.383,6.428,6.323,6.406,311019.6
1785510000000,6.405,6.413,6.375,6.398,178331.9
1785513600000,6.399,6.426,6.397,6.415,57797.2
1785517200000,6.415,6.472,6.412,6.457,80173.4
1785520800000,6.458,6.475,6.435,6.453,82487.8
1785524400000,6.452,6.46,6.408,6.418,40552.5
1785528000000,6.418,6.45,6.393,6.396,63056.6
1785531600000,6.397,6.421,6.382,6.393,42088.6
1785535200000,6.393,6.41,6.383,6.387,36085.5
1785538800000,6.387,6.396,6.375,6.381,24250.3
1785542400000,6.382,6.402,6.376,6.383,69813.3
1785546000000,6.383,6.415,6.383,6.409,47122.1
1785549600000,6.41,6.419,6.399,6.411,29106.8
1785553200000,6.411,6.413,6.393,6.405,19659.4
1785556800000,6.405,6.447,6.405,6.44,64667.6
1785560400000,6.44,6.449,6.392,6.405,41063.9
1785564000000,6.405,6.413,6.388,6.408,34273.4
1785567600000,6.409,6.421,6.366,6.373,71383
1785571200000,6.373,6.379,6.355,6.369,53977.6
1785574800000,6.368,6.37,6.334,6.341,80213.3
1785578400000,6.34,6.347,6.317,6.341,88863.7
1785582000000,6.341,6.345,6.324,6.327,55118.1
1785585600000,6.328,6.355,6.32,6.346,38803
1785589200000,6.345,6.362,6.343,6.353,30420.1
1785592800000,6.352,6.364,6.347,6.364,28152.4
1785596400000,6.364,6.375,6.356,6.37,36225.5
1785600000000,6.369,6.384,6.344,6.355,44616.8
1785603600000,6.355,6.361,6.278,6.3,237895.7
1785607200000,6.299,6.299,6.03,6.095,1772212.3
1785610800000,6.094,6.148,6.081,6.123,257149.8
1785614400000,6.122,6.149,6.1,6.143,179947.9
1785618000000,6.143,6.186,6.142,6.18,219818.9
1785621600000,6.18,6.204,6.174,6.177,70262.4
1785625200000,6.178,6.192,6.176,6.185,80090.6
1785628800000,6.185,6.201,6.177,6.192,176901.2
1785632400000,6.193,6.226,6.191,6.217,134270.4
1785636000000,6.216,6.344,6.208,6.321,418094.3
1785639600000,6.321,6.34,6.311,6.318,116735.4
1785643200000,6.319,6.541,6.319,6.478,1218569.2
1785646800000,6.478,6.687,6.478,6.574,1413259.4
1785650400000,6.573,6.633,6.57,6.606,274631.3
1785654000000,6.606,6.628,6.575,6.609,208328.9
1785657600000,6.61,6.615,6.556,6.574,154946.8
1785661200000,6.574,6.653,6.553,6.616,174176.7
1785664800000,6.616,6.616,6.58,6.591,102071.4
1785668400000,6.59,6.63,6.576,6.596,148891.3
1785672000000,6.594,6.603,6.556,6.561,85255.2
1785675600000,6.561,6.599,6.555,6.592,57569.8
1785679200000,6.592,6.608,6.562,6.589,63617.3
1785682800000,6.589,6.613,6.588,6.594,56801.7
1785686400000,6.594,6.606,6.563,6.586,119933.6
1785690000000,6.586,6.646,6.579,6.624,107469.7
1785693600000,6.624,6.673,6.62,6.623,123878.4
1785697200000,6.623,6.624,6.584,6.6,69211.5
1785700800000,6.6,6.605,6.575,6.586,43682.3
1785704400000,6.585,6.672,6.584,6.641,121253
1785708000000,6.641,6.661,6.564,6.597,118358.9
1785711600000,6.597,6.598,6.525,6.551,134385.3
1785715200000,6.55,6.559,6.514,6.534,157135
1785718800000,6.534,6.544,6.503,6.513,65845.7
1785722400000,6.512,6.512,6.463,6.48,296810.6
1785726000000,6.479,6.479,6.385,6.421,325065.5
1785729600000,6.42,6.445,6.4,6.405,158096
1785733200000,6.405,6.424,6.394,6.422,88736.9
1785736800000,6.423,6.424,6.384,6.388,75764.9
1785740400000,6.388,6.413,6.375,6.397,87496.9
1785744000000,6.396,6.427,6.365,6.424,91239.1
1785747600000,6.423,6.454,6.4,6.449,79578.1
1785751200000,6.449,6.458,6.428,6.437,61719.6
1785754800000,6.438,6.454,6.42,6.438,52914.8
1785758400000,6.438,6.451,6.417,6.436,43502.2
1785762000000,6.436,6.546,6.435,6.541,231504.4
1785765600000,6.541,6.548,6.505,6.537,142333.4
1785769200000,6.536,6.541,6.494,6.509,122574
1785772800000,6.51,6.554,6.51,6.526,100384.8
1785776400000,6.527,6.547,6.518,6.533,54044.2
1785780000000,6.533,6.581,6.528,6.565,70868
1785783600000,6.565,6.594,6.561,6.573,79266.3
1785787200000,6.573,6.588,6.556,6.579,66315.8
1785790800000,6.579,6.582,6.558,6.574,28514
1785794400000,6.574,6.582,6.538,6.573,66581.7
1785798000000,6.572,6.572,6.556,6.57,42738.7
1785801600000,6.57,6.614,6.56,6.586,168973.3
1785805200000,6.587,6.934,6.583,6.868,1609534.9
1785808800000,6.869,6.988,6.78,6.918,755183.9
1785812400000,6.918,6.955,6.855,6.865,504234.5
1785816000000,6.866,6.917,6.837,6.878,405139.2
1785819600000,6.877,6.901,6.825,6.84,259370.3
1785823200000,6.84,6.853,6.79,6.803,187479.5
1785826800000,6.804,6.832,6.768,6.832,160227.1
1785830400000,6.832,6.832,6.762,6.767,97734
1785834000000,6.768,6.798,6.755,6.798,91299
1785837600000,6.798,6.85,6.786,6.801,128873
1785841200000,6.801,6.823,6.794,6.818,114303.4
1785844800000,6.817,6.825,6.781,6.8,136475.3
1785848400000,6.8,6.837,6.72,6.745,347472.3
1785852000000,6.746,6.758,6.694,6.738,253546.4
1785855600000,6.737,6.76,6.685,6.755,245498.5
1785859200000,6.756,6.757,6.71,6.717,80791.3
1785862800000,6.718,6.734,6.697,6.7,97407
1785866400000,6.699,6.744,6.696,6.735,111160
1785870000000,6.736,6.745,6.718,6.727,79744.5
1785873600000,6.727,6.737,6.692,6.712,118863.9
1785877200000,6.712,6.718,6.692,6.702,94324.5
1785880800000,6.702,6.715,6.63,6.715,300130
1785884400000,6.716,6.719,6.679,6.683,71985.4
1785888000000,6.683,6.69,6.649,6.662,232024.2
1785891600000,6.661,6.676,6.646,6.666,78955.9
1785895200000,6.666,6.703,6.66,6.691,116665.3
1785898800000,6.691,6.698,6.583,6.621,381469.6
1785902400000,6.621,6.653,6.621,6.649,68275.6
1785906000000,6.649,6.683,6.648,6.677,104361.6
1785909600000,6.676,6.72,6.674,6.689,90370.4
1785913200000,6.689,6.691,6.655,6.679,70867.8
1785916800000,6.678,6.7,6.655,6.659,81655.2
1785920400000,6.659,6.68,6.659,6.664,31227.6
1785924000000,6.663,6.688,6.655,6.663,51119.3
1785927600000,6.663,6.682,6.647,6.657,79403.9
1785931200000,6.656,6.712,6.652,6.666,99057
1785934800000,6.665,6.67,6.522,6.612,696268.5
1785938400000,6.612,6.646,6.602,6.63,150905.8
1785942000000,6.63,6.684,6.617,6.644,301451.8
1785945600000,6.644,6.697,6.639,6.672,142655.9
1785949200000,6.671,6.683,6.65,6.673,89440.3
1785952800000,6.672,6.694,6.664,6.682,56156.6
1785956400000,6.681,6.689,6.657,6.659,30348.3
1785960000000,6.659,6.701,6.658,6.677,87629.3
1785963600000,6.677,6.678,6.638,6.649,61628
1785967200000,6.65,6.668,6.64,6.648,38389.2
1785970800000,6.648,6.667,6.636,6.656,61296.8
1785974400000,6.657,6.674,6.644,6.654,67466.1
1785978000000,6.653,6.663,6.614,6.638,74434.7
1785981600000,6.637,6.649,6.609,6.647,76063.5
1785985200000,6.646,6.666,6.631,6.663,60255.3
