ts,open,high,low,close,vol
1787184000000,69307.9,69647.2,69285.4,69544.7,143459.78
1787184900000,69544.7,69769.1,69528.9,69600,115592.55
1787185800000,69599.9,69666,69452.8,69544.7,84025.97
1787186700000,69544.7,69689,69345.5,69395.7,145656.73
1787187600000,69395.7,69489.9,69255.7,69348.9,94834.52
1787188500000,69348.9,69417.9,69250,69303.3,66446.56
1787189400000,69303.3,69619,69267.2,69610.7,115218.74
1787190300000,69610.7,69859,69608.8,69694.8,159651.99
1787191200000,69694.8,69796.4,69555.3,69662.8,95797.61
1787192100000,69662.7,69696.8,69465,69489.6,76369.17
1787193000000,69489.6,69529.5,69300,69301.2,100836.54
1787193900000,69301.3,69356,69238.9,69292.3,90665.76
1787194800000,69292.2,69295,68878.4,68975.6,218871.14
1787195700000,68975.5,69198.4,68932.6,68958.7,97256.56
1787196600000,68958.6,69200,68955.3,69179,63877.14
1787197500000,69179.1,69339.6,69145.7,69180.1,84200.35
1787198400000,69180.1,69373,69149.2,69362.6,51111.77
1787199300000,69362.6,69392.7,69274.1,69345.9,61883.32
1787200200000,69345.9,69371.3,69212.6,69336,33576.09
1787201100000,69336.1,69600,69331.9,69480,89571.84
1787202000000,69480.1,69549.8,69441.7,69444.9,41740.58
1787202900000,69445,69650,69432.5,69565.3,64373.3
1787203800000,69565.4,69612.7,69498.3,69544.5,55605.47
1787204700000,69544.5,69544.5,69343.1,69402.1,77680.1
1787205600000,69402.2,69430,69334.6,69363.8,46867.41
1787206500000,69363.8,69689,69334,69583.9,103668.23
1787207400000,69584,69768,69575.2,69754.8,105128.02
1787208300000,69754.8,69915,69752.1,69828.4,184079.83
1787209200000,69828.5,70030.3,69733.3,69769.3,248612.78
1787210100000,69769.2,69772.7,69568,69663.9,94695.61
1787211000000,69664,69664,69483,69606,108648.72
1787211900000,69605.9,69820,69555,69819.9,83657.64
1787212800000,69820,71360,69776.9,71279.9,1228812.47
1787213700000,71279.9,71579.5,71000,71327.7,632568.74
1787214600000,71327.8,71672.4,71154.5,71470,341877.76
1787215500000,71469.9,71794.9,71410.6,71549.9,371653.65
1787216400000,71550,71946.8,71456,71904.5,376201.58
1787217300000,71904.6,72059.3,71718,71795,298948.44
1787218200000,71795,72022.2,71704.9,71965.1,173516.89
1787219100000,71965,72000,71651.9,71778.9,187638.63
1787220000000,71778.9,72169.9,71680.1,72119.9,217681.55
1787220900000,72119.9,72492.9,71927.2,72010.3,544855.3
1787221800000,72010.4,72017.7,71726.4,71782.3,165038.32
1787222700000,71782.4,71969.9,71782.4,71969.8,80447.53
1787223600000,71969.9,72119.1,71803.3,71957.7,127109.23
1787224500000,71957.7,72019.9,71836.5,71860.2,61193.4
1787225400000,71860.2,72299.4,71833,72117.6,208462.34
1787226300000,72117.5,72240,71777,71891.3,155839.82
1787227200000,71891.3,71962.7,71452.7,71767,335479.93
1787228100000,71767,71867.4,71658,71812.8,109599.04
1787229000000,71812.8,72003,71621,71647.2,180700.37
1787229900000,71647.1,71929.7,71472.2,71917.9,167715.97
1787230800000,71917.9,72082.3,71866.1,72027.6,148255.65
1787231700000,72027.6,72027.6,71811.5,71928.9,106287.37
1787232600000,71928.9,71935.9,71068.5,71643,651369.45
1787233500000,71643,71824.5,71400.5,71659.9,205246.57
1787234400000,71659.9,71958.9,71575,71781.1,142893.22
1787235300000,71781.1,71792.6,71317.7,71416.7,165916.16
1787236200000,71416.7,71689,71375,71517.6,88935.67
1787237100000,71517.6,71799.2,71382.4,71790.4,106216.51
1787238000000,71790.3,72559.3,71754.4,72209.9,608406.49
1787238900000,72209.9,72390,71936.7,72389.9,219879.16
1787239800000,72390,72845,72146.8,72212.6,462301.04
1787240700000,72212.7,72536.1,72125.6,72438.2,163288.72
1787241600000,72438.3,72488,72243.3,72280,138186.65
1787242500000,72279.9,72403.3,72180,72381.7,71480.59
1787243400000,72381.7,72675.3,72250.1,72600.1,129754.78
1787244300000,72600,72888,72484.7,72817.3,195468.85
1787245200000,72817.3,72852.1,72486,72662.3,177556.54
1787246100000,72662.4,72833.9,72525,72773.1,91300.97
1787247000000,72773.1,72829.5,72629.5,72720.6,99623.88
1787247900000,72720.6,72939,72673.5,72700.4,120243.17
1787248800000,72700.4,72775,72423.4,72578.8,144353.52
1787249700000,72578.8,72720,72457.4,72654.4,79683.81
1787250600000,72654.4,72668.6,72345.3,72468.7,87058.92
1787251500000,72468.8,72590,72379,72393,38745.8
1787252400000,72392.9,72477.2,72284.8,72450.1,49342.58
1787253300000,72450.1,72604.6,72441.3,72565.3,44135.21
1787254200000,72565.3,72737.2,72503.6,72676.1,47462.4
1787255100000,72676,72731,72545.6,72649.9,39464.12
1787256000000,72649.9,72752.3,72592.3,72656.7,32897.19
1787256900000,72656.7,72883.8,72589.2,72792.7,55698.34
1787257800000,72792.7,73070,72665.1,72738.6,172737.94
1787258700000,72738.5,72746.5,72551,72634.3,48847.19
1787259600000,72634.3,72665.3,72520.1,72665.3,31924.87
1787260500000,72665.2,72816.2,72614.6,72626.3,31217.85
1787261400000,72626.2,72796.1,72617.7,72709,26060.3
1787262300000,72709,72741,72670,72700.8,24292.62
1787263200000,72700.9,72719.6,72456,72570.7,51536.09
1787264100000,72570.7,72795.9,72520.1,72755.6,39534.64
1787265000000,72755.7,72770,72635.5,72651.9,23649.43
1787265900000,72652,72846.5,72635.5,72641.8,44117.06
1787266800000,72641.8,72896.7,72624.1,72896.6,34684.92
1787267700000,72896.6,73414.8,72868.6,73183.2,402831.49
1787268600000,73183.2,73360,73039.9,73073.1,104273.81
1787269500000,73073.1,73120.7,72952.4,72996.6,55548.61
1787270400000,72996.6,73482.9,72984.5,73461.6,222049.4
1787271300000,73461.5,73880,73319.6,73689.9,407992.34
1787272200000,73690,73970,73490,73660,239177.18
1787273100000,73660,73826.7,73541.6,73672.4,87857.07
1787274000000,73672.4,73970,73630,73955,125605.12
1787274900000,73954.9,74888,73915.9,74690,1071270.84
1787275800000,74690.1,75053.1,74510.6,74706.2,476030.29
1787276700000,74706.3,75770,74671.5,75101.5,921416.53
1787277600000,75101.5,75164.6,74635.8,74851.9,357042.97
1787278500000,74851.8,74957.7,74630,74945.7,164839.65
1787279400000,74945.7,75079.6,74527.6,74698.6,183853
1787280300000,74698.8,74698.8,74350,74411.1,209146.73
1787281200000,74411.2,74476.2,74209.5,74428.1,146303.72
1787282100000,74428.1,74614.1,74284.9,74579.5,99106.61
1787283000000,74579.5,74717.8,74410,74647.1,139035.31
1787283900000,74647,74866.1,74464.1,74487.8,144724.4
1787284800000,74487.7,74870,74487.7,74842.8,96919.66
1787285700000,74842.8,74919,74736.1,74790,73746.26
1787286600000,74789.9,74967.1,74750,74929.8,73488.77
1787287500000,74929.9,75029.7,74890,74999.9,97327.21
1787288400000,75000,75369.1,74881.4,75290.1,254823.17
1787289300000,75290.2,75494.9,75009.7,75172.2,337795.29
1787290200000,75172.3,75360,75070,75255.6,86473.41
1787291100000,75255.5,75444.4,75181,75442.7,111787.66
1787292000000,75442.7,75513.3,75234.2,75259.2,147649.87
1787292900000,75259.2,75500,75068.1,75306,159663.98
1787293800000,75306.1,75707.9,75275.4,75360.1,236627.38
1787294700000,75360.1,75612.7,75247.3,75609.8,122356.67
1787295600000,75609.9,75988.9,75580,75931.3,388169.96
1787296500000,75931.2,76880.6,75904.2,76372.6,1038067.8
1787297400000,76372.7,76804.4,76250.6,76560.8,352280.24
1787298300000,76560.9,76620,76205,76303.3,233062.78
1787299200000,76303.3,77252.5,76251.1,76881.3,630749.89
1787300100000,76881.4,77420,76827.4,77217.7,580632.36
1787301000000,77217.7,77796,77144,77633.7,681381.65
1787301900000,77633.7,79603.1,77555.2,79275.8,1894307.42
1787302800000,79275.9,79386.9,77250,77875,1769694.47
1787303700000,77874.9,77962.6,77433,77715.5,424337.36
1787304600000,77715.6,78355.3,77614.3,78183.5,327305.56
1787305500000,78183.4,78361.9,77570,77907.6,316470.79
1787306400000,77907.6,78107.6,77611,78039.2,185807.06
1787307300000,78039.2,78252.3,77651.5,77918.4,216256.44
1787308200000,77918.4,77965,77605,77843,127570.16
1787309100000,77843,78000,77735.4,77814.7,78712.21
1787310000000,77814.6,77866.8,77320.1,77559.7,240680.95
1787310900000,77559.8,77688,77200,77424.7,249498.62
1787311800000,77424.7,77453.2,76392.8,76840,695698.33
1787312700000,76840.1,77050.4,76615.2,76759.7,195257.01
1787313600000,76759.7,77029.6,76545.6,76950.3,179715.22
1787314500000,76950.3,76950.3,76661.2,76708.2,105670.65
1787315400000,76708.2,77513,76649.9,77437.7,304320.88
1787316300000,77437.7,77486.1,77117.3,77233.3,124305.55
1787317200000,77233.3,77408.8,77044.4,77203.1,108961.49
1787318100000,77203.1,77233.3,76848.6,77107.5,161564.61
1787319000000,77107.4,77358,76228.4,77314.5,577854.58
1787319900000,77314.4,77720,77088.2,77250.1,376551.71
1787320800000,77250.2,77265,76666.1,76764.8,274747.38
1787321700000,76764.8,77222.2,76539.5,77058.1,297864.79
1787322600000,77058.1,77249.6,76859.5,77156,113989.02
1787323500000,77156,77463.4,77125,77388.3,143934.03
1787324400000,77388.3,77813.6,77324.5,77710,256596.5
1787325300000,77709.9,77888,77516,77613.9,177655.73
1787326200000,77613.9,77750,77472.8,77504.2,92419.18
1787327100000,77504.1,77549.9,77157,77222.8,113244.3
1787328000000,77222.7,77321.4,76844.4,76849.6,200305.2
1787328900000,76849.6,77388,76755,77388,181493.84
1787329800000,77388,77395,77222.2,77343.9,70356.98
1787330700000,77343.9,77571.2,77293.8,77463.1,107092.32
1787331600000,77463.1,77720.2,77445.9,77547.8,142863.79
1787332500000,77547.9,77550.2,77166.7,77549.9,131969.55
1787333400000,77550,77646.2,77325,77363.9,89833.43
1787334300000,77364,77500,77300.1,77378.1,51391.92
1787335200000,77378,77527.3,77257.2,77306.6,69338.1
1787336100000,77306.7,77481.3,77237.5,77377.3,36703.97
1787337000000,77377.3,77432,76831.2,76921.2,104921.93
1787337900000,76921.2,77125.9,76611,77117,244790.17
1787338800000,77117.1,77178.4,76829.2,77110.3,84000.33
1787339700000,77110.4,77314,76929.1,77293.1,82617.64
1787340600000,77293,77330.1,77062.6,77139.9,62690.37
1787341500000,77140,77214.2,76958.7,76999,58826.07
1787342400000,76999,77272.1,76802.7,77239.1,104330.01
1787343300000,77239.1,77497.5,77239.1,77457.5,105656.46
1787344200000,77457.4,77494.9,77310,77436.2,44536.9
1787345100000,77436.2,77515.9,77262.8,77489.9,41419.57
1787346000000,77489.9,77793.1,77349.7,77657.6,85131.22
1787346900000,77657.5,78194.1,77545.9,78074.9,233118.43
1787347800000,78075,78499.9,77967.1,78224.9,213750.23
1787348700000,78225,78696.6,78200.8,78499.8,195039.22
1787349600000,78499.8,78769.9,78160.1,78743,168320.13
1787350500000,78741.8,78741.8,78325.4,78495.4,99428.15
1787351400000,78495.3,78570,78054.1,78500,121307.83
1787352300000,78500,78623.1,78230.2,78449.9,102581.71
1787353200000,78450,78615.5,78320,78529.3,72952.06
1787354100000,78529.3,78720,78332.5,78395.2,102074.59
1787355000000,78395.2,78500,78101.7,78361.9,89544.63
1787355900000,78361.8,78393.3,78104.6,78317.5,55283.02
1787356800000,78317.4,78491.8,77705.3,77901,184487.9
1787357700000,77901,78089.9,77844.4,77900.6,62720.13
1787358600000,77900.6,78049.5,77731.8,77824.1,72237.48
1787359500000,77824.2,77977.8,77666.7,77933.3,88859.93
1787360400000,77933.3,78190,77890.3,78094.7,61165.66
1787361300000,78094.6,78160,77877.6,77997.2,39030.98
1787362200000,77997.3,78234.7,77880.3,77900.3,64056.71
1787363100000,77900.3,78000,77800.6,77813,48116.92
1787364000000,77812.9,78097.7,77777,78041.1,35716.97
1787364900000,78041,78460,78026.2,78368.5,83935.96
1787365800000,78368.5,78499.9,78142.9,78494.5,75741.56
1787366700000,78494.5,78550,78300,78479.6,90920.08
1787367600000,78479.7,78699.8,78360.2,78389.1,86885.82
1787368500000,78389.1,78796,78352.6,78751.9,102343.56
1787369400000,78751.8,78819.9,78545,78639.9,71241.68
1787370300000,78640,78694.3,78370.3,78402.1,74027.76
1787371200000,78402,78464.5,78222,78391.8,94481.32
1787372100000,78391.8,78586,78194,78578.5,65199.35
1787373000000,78578.5,78812.1,78507.9,78649.1,108544.57
1787373900000,78649,78685.9,78450,78455.5,63999.08
1787374800000,78455.4,78580,76438.5,77306.3,820617.65
1787375700000,77306.4,77527.6,76701.9,77290,406766.28
1787376600000,77290,77568,76893,77170,224676.24
1787377500000,77170,77491.4,77051.9,77371.9,133713.74
1787378400000,77371.9,77433,77136.1,77166.9,83308.23
1787379300000,77166.8,77380,77166.8,77238.5,62320.65
1787380200000,77238.4,77550,76966.7,77379.9,133051.98
1787381100000,77380,77529.9,77373.8,77480.1,99266.09
1787382000000,77480,77661.3,77266.3,77364.3,127840.61
1787382900000,77364.3,77486.4,77201.9,77473,59293.7
1787383800000,77473,77497.5,77280,77397.6,48072.83
1787384700000,77397.6,77429.1,77256.9,77282,38171.04
1787385600000,77282,77418.9,77153.5,77412.7,67066.59
1787386500000,77412.8,77425,77086.1,77200.2,53269.3
1787387400000,77200.2,77305.1,77000.4,77272.2,89860.27
1787388300000,77272.2,77272.3,77099,77191.2,33420.11
1787389200000,77191.3,77360,77039.9,77359.9,78262.02
1787390100000,77360,77374.6,77150,77193.3,36239.59
1787391000000,77193.2,77237.5,77135,77179.2,23877.37
