ts,open,high,low,close,vol
1785456000000,64757.6,64878.3,64667.1,64704.2,170673.57
1785459600000,64704.3,65390.8,64426.1,64535.8,1204928.08
1785463200000,64535.7,64586.8,64167,64275.8,603101.78
1785466800000,64275.8,64416,64146.1,64340.2,265057.87
1785470400000,64340.2,64415.8,64200.7,64279.3,150506.77
1785474000000,64279.3,64393,64240,64320.9,143670.43
1785477600000,64320.8,64466.7,64160.7,64203.1,228843.28
1785481200000,64203,64212.3,63819.2,63903.7,757698.67
1785484800000,63903.8,63949.5,63777,63798,314530.41
1785488400000,63797.9,63814.2,63601.3,63689.2,374890.85
1785492000000,63689.2,63927.6,63565,63891.2,369331.62
1785495600000,63891.2,63987.1,63751.5,63778.5,212807.29
1785499200000,63778.6,63807.1,63600,63733.4,232089.89
1785502800000,63733.4,63812,63209,63242.7,909952.61
1785506400000,63242.6,63284.6,62410.5,62664.7,2218773.02
1785510000000,62664.6,62744.5,62463,62691.4,458438.92
1785513600000,62691.3,62909.9,62680,62845.2,292006.19
1785517200000,62845.2,63260,62768.8,63211.9,388842.95
1785520800000,63212,63269.3,62931.1,63065.2,251317.25
1785524400000,63065.1,63134.7,62902.1,62947.3,150990.86
1785528000000,62947.3,63010,62888,62933.1,132670.86
1785531600000,62933.1,63032.9,62815.2,62924.9,117892.92
1785535200000,62924.8,62995.3,62836.5,62916.9,92198.55
1785538800000,62916.9,62986,62830.8,62858,87061.87
1785542400000,62858,63011.1,62858,62910.6,125880.68
1785546000000,62910.5,62970,62895.9,62946.4,86870.9
1785549600000,62946.4,63074,62946.4,63043.1,116790.62
1785553200000,63043.1,63047.1,62938.3,62976.1,71940.64
1785556800000,62976,63073.3,62967.3,63072,43868.24
1785560400000,63072,63108.6,62963.4,63001,109946.17
1785564000000,63001,63050,62961.2,63046.9,51959.45
1785567600000,63046.9,63081,63000,63021,60680.56
1785571200000,63021,63125.4,63020.9,63096.5,52715.66
1785574800000,63096.4,63118.1,63004.4,63019.6,55405.72
1785578400000,63019.6,63092.7,62953,63029.9,92981.09
1785582000000,63029.9,63061.8,63007.5,63042.9,40197.04
1785585600000,63042.9,63090,63042.9,63062.3,68093.16
1785589200000,63062.4,63067.9,63013.2,63031.9,53850.59
1785592800000,63031.9,63099.9,63031.8,63099.8,68932.65
1785596400000,63099.9,63099.9,62974.6,62974.6,63734.06
1785600000000,62974.6,63009.4,62842.5,62906.2,189131.19
1785603600000,62906.2,62973.9,62620.9,62687.9,268613.39
1785607200000,62687.8,62715,62227,62543.2,680239.33
1785610800000,62543.2,62597.2,62414,62496.5,191410.38
1785614400000,62496.5,62640.8,62450,62629.9,142411.86
1785618000000,62630,62830.5,62629.9,62785.7,144990.68
1785621600000,62785.6,62836,62760,62800.1,74966.13
1785625200000,62800.1,62827.7,62734.4,62788.9,96805.36
1785628800000,62788.9,62961.8,62783.4,62809.8,188940.74
1785632400000,62809.7,63075.5,62809.7,62960,151646.25
1785636000000,62960,63556.1,62928.1,63419.5,797075.12
1785639600000,63419.4,63532.7,63350.8,63435,177459.54
1785643200000,63435.1,63587,63435,63549.3,152945.46
1785646800000,63549.3,63618.3,63388,63427.9,208874.19
1785650400000,63427.9,63475.6,63400,63458,76581.6
1785654000000,63458,63512.4,63444,63461.6,79452.91
1785657600000,63461.6,63500,63127.9,63164.1,406871.71
1785661200000,63164.1,63283.8,63040,63238.4,243419.13
1785664800000,63238.3,63238.4,63077.2,63164.1,201599.06
1785668400000,63164.2,63168,62936.5,62998.3,191498.7
1785672000000,62998.4,63200,62998.3,63088.1,213195.12
1785675600000,63088.1,63110.8,62971.5,63097.5,128298.76
1785679200000,63097.6,63154.8,63031,63040.9,111289.22
1785682800000,63040.9,63153.6,63020,63080.6,80114.12
1785686400000,63080.7,63237.4,63036,63157.9,118848.1
1785690000000,63157.9,63318.4,63121.7,63277.3,137359.15
1785693600000,63277.2,63585,63261,63353.6,223484.56
1785697200000,63353.6,63455.6,63303.4,63426.8,81609.42
1785700800000,63426.9,63470,63371.7,63462.8,62585.27
1785704400000,63462.8,63763,63446.5,63546.5,273680.98
1785708000000,63546.6,63779.8,63345,63390.1,284660.88
1785711600000,63390,63569.2,63316.8,63545.7,146102.69
1785715200000,63545.7,63566,63170.9,63290,252010.69
1785718800000,63289.9,63320.9,63080,63186.9,250506.14
1785722400000,63186.9,63276.3,63063.2,63110.8,175995.89
1785726000000,63110.7,63143,62742.5,62838.6,386172.61
1785729600000,62838.5,62975.4,62727,62763.9,243660.24
1785733200000,62763.8,62849.8,62717.4,62800,200661.73
1785736800000,62800,62841.9,62581.1,62599.9,273401.43
1785740400000,62599.9,62673,62520.3,62591.2,249507.96
1785744000000,62591.2,62620,62268,62509.5,538629.94
1785747600000,62509.5,62835,62490.7,62803.8,314242.16
1785751200000,62803.8,62834.6,62573.8,62714.2,287300.76
1785754800000,62714.2,62748.3,62503.2,62524.9,188345.53
1785758400000,62524.9,62772,62410.3,62672.6,325739.81
1785762000000,62672.5,63367,62525.8,63321.8,1003263.18
1785765600000,63321.8,63989.9,63100,63938.1,1714522.11
1785769200000,63938.1,63971.8,63612.7,63659.7,588686.24
1785772800000,63659.8,63915,63630,63741.8,306030.89
1785776400000,63741.8,64050,63680,63879.9,341980.73
1785780000000,63879.9,63987.5,63722.4,63830.7,254398.29
1785783600000,63830.8,64048.1,63805.7,63828.8,179260.07
1785787200000,63828.9,63995.1,63736,63758.1,126970.89
1785790800000,63758.1,63760.1,63520,63559.2,283272.89
1785794400000,63559.1,63656.5,63365,63589.7,263275.87
1785798000000,63589.8,63597.4,63439.8,63503.5,108320.46
1785801600000,63503.5,63570.4,63296,63335.8,217967.54
1785805200000,63335.9,63905.9,63335.8,63815.7,384227.26
1785808800000,63815.8,63958.5,63651,63792.2,238292.91
1785812400000,63792.3,63831.7,63616.2,63764.3,131427.37
1785816000000,63764.2,64249.1,63720.8,64013.2,578951.78
1785819600000,64013.2,64033,63767.3,63785,257124.32
1785823200000,63785,63845.8,63628.8,63653.5,196024.76
1785826800000,63653.5,63747.4,63481.4,63666.2,232644.17
1785830400000,63666.2,63733,63535.1,63558.2,131239.17
1785834000000,63558.3,63591.1,63490,63583.2,93697.4
1785837600000,63583.1,63825.6,63430.5,63741.2,284384.24
1785841200000,63741.2,63929.3,63689,63893.5,221798.82
1785844800000,63893.4,64100,63760.6,63882.8,388081.77
1785848400000,63882.8,64080,63628.1,63662.5,620511.74
1785852000000,63662.6,64178.7,63581.2,64095.6,636756.55
1785855600000,64095.7,64211,63777.6,64088,532833.03
1785859200000,64088.1,64105.5,63860.1,63929.3,223192.31
1785862800000,63929.4,64155,63864.3,63943.4,210351.65
