ts,open,high,low,close,vol
1787184000000,0.07502,0.07521,0.0749,0.07501,42976.19
1787184900000,0.07502,0.0754,0.07496,0.07535,47211.08
1787185800000,0.07536,0.07562,0.07517,0.07544,124669.53
1787186700000,0.07543,0.07567,0.07511,0.07528,69219.37
1787187600000,0.07528,0.07546,0.07484,0.07488,45524.97
1787188500000,0.07488,0.07505,0.07464,0.07498,35410.79
1787189400000,0.07497,0.07533,0.07496,0.07531,21095.69
1787190300000,0.07532,0.07556,0.07532,0.07542,37389.53
1787191200000,0.07543,0.07607,0.07542,0.0758,85832.24
1787192100000,0.07581,0.0759,0.07552,0.07562,45799.49
1787193000000,0.07563,0.07577,0.07554,0.07558,28189
1787193900000,0.07557,0.07562,0.0753,0.07543,44107.18
1787194800000,0.07543,0.07544,0.07472,0.07485,58020.88
1787195700000,0.07486,0.07515,0.07474,0.07479,23693.25
1787196600000,0.07478,0.07491,0.07473,0.07482,26779.52
1787197500000,0.07481,0.07499,0.07476,0.07476,14243.17
1787198400000,0.07477,0.0749,0.07465,0.07484,42738.09
1787199300000,0.07484,0.07484,0.07463,0.07464,18226.2
1787200200000,0.07463,0.07472,0.07442,0.07465,26476.04
1787201100000,0.07466,0.07493,0.07465,0.07481,41602.73
1787202000000,0.07481,0.07487,0.07464,0.07465,25405.77
1787202900000,0.07465,0.07483,0.07464,0.07464,23709.63
1787203800000,0.07463,0.07473,0.07456,0.07466,53631.74
1787204700000,0.07466,0.07475,0.07458,0.07467,27711.09
1787205600000,0.07468,0.07476,0.0745,0.07463,32330.4
1787206500000,0.07462,0.07499,0.07444,0.07491,46878.03
1787207400000,0.07492,0.07525,0.07483,0.07524,55634.21
1787208300000,0.07525,0.07537,0.07513,0.07527,37781.67
1787209200000,0.07527,0.07541,0.07514,0.07526,23906.72
1787210100000,0.07526,0.07527,0.07501,0.07518,41728.46
1787211000000,0.07518,0.07519,0.07498,0.07512,18527.57
1787211900000,0.07512,0.07534,0.07506,0.07529,19038.3
1787212800000,0.07528,0.07649,0.07523,0.07645,146289.04
1787213700000,0.07645,0.07675,0.07623,0.07655,139495.87
1787214600000,0.07655,0.07712,0.07648,0.07702,139204.83
1787215500000,0.07703,0.07708,0.07673,0.07681,78181.44
1787216400000,0.07681,0.07696,0.07658,0.07694,73723.59
1787217300000,0.07695,0.07732,0.07678,0.07679,80003.2
1787218200000,0.07679,0.07685,0.07652,0.07673,63971.3
1787219100000,0.07672,0.07677,0.07635,0.07666,48256.57
1787220000000,0.07666,0.07707,0.07649,0.07703,29853.58
1787220900000,0.07703,0.07783,0.07703,0.07728,90845.55
1787221800000,0.07728,0.07733,0.07707,0.07711,36911.2
1787222700000,0.07711,0.07725,0.07702,0.07716,24672.91
1787223600000,0.07716,0.07735,0.07702,0.07712,34903.35
1787224500000,0.07712,0.07716,0.07691,0.07692,27671.08
1787225400000,0.07691,0.07788,0.07686,0.07753,80131.39
1787226300000,0.07753,0.07762,0.07698,0.07713,57109.78
1787227200000,0.07714,0.07731,0.07661,0.0768,94411.69
1787228100000,0.07679,0.07695,0.07673,0.07681,29833.47
1787229000000,0.07682,0.07707,0.07651,0.07692,66222.6
1787229900000,0.07693,0.07752,0.07677,0.07741,57740.22
1787230800000,0.07741,0.07744,0.07717,0.0773,27499.7
1787231700000,0.07729,0.07791,0.07716,0.07776,83400.24
1787232600000,0.07776,0.07776,0.0768,0.07736,123538.49
1787233500000,0.07736,0.07764,0.0772,0.07744,43531.6
1787234400000,0.07745,0.07818,0.07735,0.07798,117391.68
1787235300000,0.07799,0.07808,0.07751,0.07764,75167.99
1787236200000,0.07764,0.0781,0.07759,0.07796,91482.11
1787237100000,0.07796,0.07853,0.0778,0.07843,113301.24
1787238000000,0.07843,0.07986,0.0783,0.07965,270912.46
1787238900000,0.07966,0.07972,0.07887,0.07946,127640.2
1787239800000,0.07945,0.0796,0.07894,0.07924,89708.62
1787240700000,0.07924,0.08063,0.07907,0.08019,172998.81
1787241600000,0.08019,0.08025,0.07964,0.07983,110550.68
1787242500000,0.07983,0.08054,0.07973,0.08052,93141.54
1787243400000,0.08051,0.08167,0.08027,0.08156,163452.9
1787244300000,0.08155,0.08325,0.08151,0.08318,292734.51
1787245200000,0.08318,0.08348,0.08245,0.08285,172978.89
1787246100000,0.08285,0.08323,0.08247,0.08281,112882.46
1787247000000,0.0828,0.08318,0.08263,0.08274,86964.77
1787247900000,0.08274,0.08351,0.08264,0.08277,80940.2
1787248800000,0.08278,0.08315,0.08121,0.08149,189614.34
1787249700000,0.08149,0.08175,0.08054,0.08072,142295.67
1787250600000,0.08072,0.08085,0.08011,0.08051,115233.96
1787251500000,0.08052,0.08064,0.07958,0.07962,77278.59
1787252400000,0.07962,0.08037,0.07951,0.07996,96288.81
1787253300000,0.07996,0.08031,0.07993,0.08005,49478.87
1787254200000,0.08004,0.0801,0.07968,0.07992,44309.07
1787255100000,0.07993,0.07999,0.07936,0.07965,69386.75
1787256000000,0.07966,0.07989,0.0796,0.07977,30012.5
1787256900000,0.07977,0.08004,0.07964,0.07994,28991.24
1787257800000,0.07993,0.08014,0.07981,0.08001,25746.82
1787258700000,0.08,0.0801,0.07983,0.08006,11901.37
1787259600000,0.08005,0.08032,0.08005,0.08019,35014.11
1787260500000,0.08019,0.08037,0.08012,0.08027,17265.49
1787261400000,0.08027,0.08063,0.08016,0.08027,25571.54
1787262300000,0.08027,0.0804,0.08003,0.08017,16715.12
1787263200000,0.08016,0.08027,0.07945,0.0795,70088.73
1787264100000,0.07949,0.07969,0.07904,0.07951,99277.32
1787265000000,0.07952,0.07954,0.0792,0.07921,30800.55
1787265900000,0.07921,0.07958,0.0792,0.07933,34453.05
1787266800000,0.07934,0.07971,0.07933,0.07966,23182.21
1787267700000,0.07966,0.08062,0.07961,0.08055,64532.01
1787268600000,0.08055,0.08067,0.08017,0.08017,34120.1
1787269500000,0.08018,0.08053,0.08015,0.08043,29855.15
1787270400000,0.08043,0.0807,0.08025,0.08068,50051.53
1787271300000,0.08067,0.08162,0.08051,0.08105,138632.17
1787272200000,0.08105,0.08137,0.08085,0.08111,51081.11
1787273100000,0.08111,0.08142,0.08102,0.08125,34483.21
1787274000000,0.08124,0.0818,0.08114,0.08167,40658.31
1787274900000,0.08168,0.08221,0.08133,0.08189,106365.68
1787275800000,0.0819,0.08245,0.08183,0.08223,61458.96
1787276700000,0.08224,0.083,0.08224,0.0825,102725.47
1787277600000,0.08249,0.08275,0.08182,0.08224,107126.26
1787278500000,0.08223,0.08235,0.08182,0.08207,50149.89
1787279400000,0.08208,0.08213,0.08156,0.08192,42178.48
1787280300000,0.08193,0.08195,0.08137,0.0814,52200.36
1787281200000,0.08141,0.08184,0.08118,0.08159,59507.22
1787282100000,0.08159,0.08197,0.08132,0.08192,39867.03
1787283000000,0.08191,0.08231,0.0819,0.08205,35423.5
1787283900000,0.08205,0.08235,0.08173,0.08175,43075.49
1787284800000,0.08175,0.08244,0.08174,0.08205,48933.37
1787285700000,0.08206,0.08234,0.08191,0.08202,43104.44
1787286600000,0.08202,0.08235,0.08187,0.08213,41953.39
1787287500000,0.08213,0.08241,0.08201,0.0823,43045.86
