ts,open,high,low,close,vol
1787184000000,2252.1,2261.56,2251.1,2258.75,434886.46
1787184900000,2258.75,2269.76,2256.68,2263.25,580433.92
1787185800000,2263.26,2273.75,2260.58,2267.93,399844.8
1787186700000,2267.93,2273.05,2256.98,2261.83,530076.42
1787187600000,2261.84,2267.65,2248.57,2256.73,713378.63
1787188500000,2256.74,2260.74,2252,2254.01,298042.21
1787189400000,2254.01,2267,2251.8,2264.86,347722.87
1787190300000,2264.86,2270.25,2264.01,2265.9,292450.03
1787191200000,2265.91,2269.9,2263.72,2267.38,214993.58
1787192100000,2267.37,2268.19,2256.65,2257.61,295129.07
1787193000000,2257.62,2262,2253.61,2256.68,265135
1787193900000,2256.68,2257.57,2249.35,2251.48,273078.46
1787194800000,2251.47,2251.85,2220.88,2228.34,1568033.06
1787195700000,2228.35,2242.8,2227.77,2234.1,678426.34
1787196600000,2234.1,2253.8,2233.88,2250.51,709103.53
1787197500000,2250.52,2258.67,2249.49,2251.04,428584.24
1787198400000,2251.04,2258.33,2249.1,2255.67,265901.07
1787199300000,2255.67,2257.3,2252.59,2255.85,166997.98
1787200200000,2255.84,2256.27,2247.4,2250.63,207599.46
1787201100000,2250.64,2257.43,2249.74,2249.75,194605.21
1787202000000,2249.75,2254.48,2249.01,2249.01,159763.4
1787202900000,2249.01,2256.44,2249.01,2251.21,198980.15
1787203800000,2251.21,2253.67,2249.66,2251.3,93215.48
1787204700000,2251.3,2251.31,2243.02,2247.91,241146.15
1787205600000,2247.91,2248.4,2238.48,2243.01,398294.47
1787206500000,2243.01,2255.5,2241.72,2250.72,495825.69
1787207400000,2250.73,2262.95,2250.51,2261.47,591010.8
1787208300000,2261.47,2266.94,2260.65,2261.97,393281.78
1787209200000,2261.97,2262.91,2255.56,2255.56,303902.01
1787210100000,2255.56,2257.17,2247.73,2252.21,339071.86
1787211000000,2252.22,2252.22,2244.51,2245.19,346019.42
1787211900000,2245.19,2251.87,2244.25,2251.87,264470.68
1787212800000,2251.86,2287.81,2248.84,2283.75,1689151.55
1787213700000,2283.76,2284.1,2269.91,2277.67,1168592.44
1787214600000,2277.66,2278,2264.74,2274.86,613881.59
1787215500000,2274.86,2286.15,2273.09,2281.7,588797.23
1787216400000,2281.69,2297.2,2275.9,2294.05,1147454.4
1787217300000,2294.04,2297.85,2283.05,2283.66,830740.2
1787218200000,2283.63,2293.64,2277.38,2288.46,653522.1
1787219100000,2288.45,2289.48,2274.47,2278.31,514931.09
1787220000000,2278.3,2289.39,2275.01,2287.71,410391.16
1787220900000,2287.71,2294.98,2281.41,2285.23,593552.13
1787221800000,2285.23,2287.17,2280.12,2280.79,233113.43
1787222700000,2280.8,2286.34,2279.69,2286.15,196111.42
1787223600000,2286.15,2295,2281.28,2287.86,517323.48
1787224500000,2287.85,2295.7,2284.14,2294.11,331989.61
1787225400000,2294.11,2316.35,2292.58,2306.13,1692062.88
1787226300000,2306.12,2318.53,2292.53,2295.6,1323236.45
1787227200000,2295.59,2300.75,2267.27,2273.34,1965143.29
1787228100000,2273.33,2281.32,2272.04,2278,444705.37
1787229000000,2278,2284.64,2273.02,2280.09,482564.22
1787229900000,2280.1,2293.97,2265.9,2289.48,1140888.5
1787230800000,2289.49,2298.65,2285.85,2293.65,662359.45
1787231700000,2293.66,2294.8,2286.36,2287.37,374824.4
1787232600000,2287.37,2287.79,2255,2273.96,1851702.01
1787233500000,2273.95,2281.45,2265.03,2276,555691.28
1787234400000,2275.99,2288.56,2274.58,2280.22,500698.67
1787235300000,2280.22,2281.45,2270.6,2273.17,375341.78
1787236200000,2273.17,2285.32,2272.36,2276.01,290496.17
1787237100000,2276.01,2280.54,2270.4,2280.35,316373.19
1787238000000,2280.34,2306.73,2280.31,2296.99,1450105.47
1787238900000,2296.99,2313.91,2291.39,2312.64,1233929.59
1787239800000,2312.65,2323.99,2296.45,2302.51,1404371.98
1787240700000,2302.52,2337.98,2302,2325.01,1834023.87
1787241600000,2325.01,2330.77,2316.5,2318.55,810930.83
1787242500000,2318.55,2325.94,2312.63,2324.95,405072.66
1787243400000,2324.95,2361.43,2319.28,2348.39,2179519.17
1787244300000,2348.38,2348.85,2336,2343.95,775986.08
1787245200000,2343.95,2344.3,2331.01,2336.75,518713.17
1787246100000,2336.75,2346,2334.39,2343.29,336150.92
1787247000000,2343.3,2347.2,2338.33,2343.55,375180.95
1787247900000,2343.55,2351.88,2341.25,2343.28,369463.85
1787248800000,2343.28,2346.9,2323.54,2330.21,824925.86
1787249700000,2330.21,2333.43,2318.2,2324.92,369440.75
1787250600000,2324.91,2325.79,2308.28,2315.86,695875.53
1787251500000,2315.86,2322.84,2313.05,2315.23,250190.4
1787252400000,2315.23,2322.71,2310.71,2320.16,220398.09
1787253300000,2320.16,2329.26,2319.96,2326.66,260947.9
1787254200000,2326.65,2332,2321.89,2328.77,210092.82
1787255100000,2328.77,2330.72,2319.15,2322.78,204832.26
1787256000000,2322.78,2326.64,2318.96,2319.66,105889.01
1787256900000,2319.67,2328.8,2316.24,2326.24,155431.32
1787257800000,2326.28,2330.51,2316.51,2319.55,143219.88
1787258700000,2319.55,2319.76,2312.63,2317.51,137327.94
1787259600000,2317.5,2322.38,2312.31,2321.05,117950.63
1787260500000,2321.05,2324.92,2313.4,2314,104262.59
1787261400000,2314,2321.76,2313.42,2318.84,105952.45
1787262300000,2318.84,2319.88,2315.2,2317.83,58008.35
1787263200000,2317.84,2318.53,2305.13,2310.6,314639.63
1787264100000,2310.61,2316.95,2306.67,2313.9,159271.3
1787265000000,2313.9,2314.85,2309.2,2311.01,62035.54
1787265900000,2311,2317.86,2310.7,2313.25,107459.02
1787266800000,2313.25,2321.43,2312.03,2321.43,124936.29
1787267700000,2321.42,2340.13,2320.61,2330.61,517990.76
1787268600000,2330.6,2333.87,2323.62,2324.95,215860.35
1787269500000,2324.94,2329.19,2322.54,2326.16,144302.48
1787270400000,2326.15,2339.9,2324.3,2336.81,294356.16
1787271300000,2336.81,2348.57,2330.69,2337,722154.48
1787272200000,2337,2351.68,2331.28,2337.09,592490.57
1787273100000,2337.1,2350,2333.58,2339.98,404596.91
1787274000000,2339.98,2347.8,2337.24,2344.96,225748.22
1787274900000,2344.96,2368.09,2337.43,2352.43,1389486.84
1787275800000,2352.44,2369.98,2347.68,2357,942337.89
1787276700000,2357,2380.53,2356.04,2358.77,1311638.33
1787277600000,2358.77,2362.58,2341.8,2353.28,947372.35
1787278500000,2353.27,2359.77,2345.48,2358.64,388092.46
1787279400000,2358.63,2364.72,2351.69,2355.04,390411.7
1787280300000,2355.04,2355.5,2343.28,2344.71,427766.83
1787281200000,2344.71,2347.07,2335.63,2344.21,420664.26
1787282100000,2344.21,2349.45,2339.69,2348.62,221283.73
1787283000000,2348.62,2353.85,2345,2348.48,246352.62
1787283900000,2348.48,2353.5,2339.4,2340.04,257976.05
1787284800000,2340.04,2349.99,2340.04,2345.35,256236.34
1787285700000,2345.35,2349.36,2343.45,2344.02,124666.81
1787286600000,2344.01,2350.49,2342.48,2349.76,161392.75
1787287500000,2349.75,2355.17,2348.12,2353.5,229733.18
1787288400000,2353.49,2359.85,2348.86,2357.98,266633.57
1787289300000,2357.97,2361.84,2348.32,2352.66,412264.89
1787290200000,2352.66,2357.58,2350.24,2353.66,181387.25
1787291100000,2353.67,2368.38,2351.57,2367.44,501343.86
1787292000000,2367.43,2378.57,2362.62,2364.73,875096.67
1787292900000,2364.73,2367.76,2354.02,2359.73,461009.63
1787293800000,2359.72,2373.61,2359.42,2368.47,482460.49
1787294700000,2368.47,2383.96,2363.6,2371.54,670034.27
1787295600000,2371.53,2387.15,2369.84,2385.72,623063.56
1787296500000,2385.71,2398.47,2376.48,2380.96,1579855.6
1787297400000,2380.96,2388.48,2371.43,2380.1,862007.55
1787298300000,2380.11,2382.68,2368,2371.52,509922.42
1787299200000,2371.52,2391.5,2370.22,2383.31,660677.87
1787300100000,2383.3,2391.66,2378.85,2386.91,587553.33
1787301000000,2386.92,2417.41,2385.7,2409.9,1970141.62
1787301900000,2409.89,2449.95,2409.1,2445.05,2856368.15
1787302800000,2445.05,2447,2375.39,2398.27,4052484.47
1787303700000,2398.27,2400.32,2383.58,2389.01,946966.27
1787304600000,2389.01,2411.91,2385.33,2407.59,706260.96
1787305500000,2407.59,2416.88,2391.22,2403.8,665594.6
1787306400000,2403.79,2406.18,2394.5,2400.9,349209.73
1787307300000,2400.9,2411.99,2390.3,2399.75,454027.22
1787308200000,2399.75,2401.66,2391.11,2397.23,284577.19
1787309100000,2397.24,2405.45,2393.3,2395,237261.8
1787310000000,2395,2399.14,2376.5,2385.9,740133.04
1787310900000,2385.91,2388.82,2372.72,2385.7,796894.01
1787311800000,2385.7,2386.67,2355.7,2373.51,1328615.98
1787312700000,2373.51,2376.99,2361.03,2370.65,469800.67
1787313600000,2370.65,2379.99,2365.2,2378.71,395713.07
1787314500000,2378.7,2378.71,2369.56,2374.9,201643.62
1787315400000,2374.9,2398,2372.7,2394.35,693973.3
1787316300000,2394.34,2397,2384.42,2387.95,449791.3
1787317200000,2387.95,2395.99,2383.4,2390.21,318903.76
1787318100000,2390.2,2391,2381.1,2386.09,245288.79
1787319000000,2386.08,2399.52,2367.14,2394.44,1340536.54
1787319900000,2394.44,2406.92,2381.02,2387,988554.35
1787320800000,2387.01,2387.3,2373.05,2378.49,626661.05
1787321700000,2378.49,2392,2368.6,2391.77,937319.22
1787322600000,2391.76,2397,2375,2385.55,622508.07
1787323500000,2385.55,2393.87,2385.23,2392.98,292478.06
1787324400000,2392.99,2405.93,2390.58,2401.74,572182.15
1787325300000,2401.75,2407.98,2395.83,2397.89,349078.97
1787326200000,2397.89,2402.9,2393.37,2399.3,229673.87
1787327100000,2399.3,2403,2391.77,2393.07,248243.45
1787328000000,2393.07,2396.84,2383.58,2383.95,439855.1
1787328900000,2383.94,2402.76,2383.17,2402.37,428570.9
1787329800000,2402.37,2402.99,2398.08,2400.72,230985.99
1787330700000,2400.71,2413.73,2400.24,2405.33,544034.58
1787331600000,2405.34,2423.02,2404,2414.99,787972.94
1787332500000,2415,2415.86,2401,2415.82,490641.9
1787333400000,2415.82,2425.82,2413.53,2419.2,577753.3
1787334300000,2419.2,2427.18,2416,2422.8,344738.5
1787335200000,2422.81,2426.59,2416,2421.3,260332.88
1787336100000,2421.31,2431.99,2421.3,2423.71,344038.61
1787337000000,2423.72,2425.74,2405.66,2407.76,562096.79
1787337900000,2407.76,2421.53,2394.8,2419.56,839792.71
1787338800000,2419.56,2420.1,2406.48,2414.46,341314.66
1787339700000,2414.47,2418.97,2407,2417.6,212122.19
1787340600000,2417.61,2419.37,2413,2416.33,169514.46
1787341500000,2416.33,2417.68,2411.55,2412.36,126250.03
1787342400000,2412.38,2430.48,2407.5,2424.86,449507.54
1787343300000,2424.87,2447.32,2424.86,2444.54,934397.96
1787344200000,2444.55,2444.55,2432.14,2436.68,302197.05
1787345100000,2436.68,2444.09,2426.3,2440.09,300021.41
1787346000000,2440.1,2460.67,2433.7,2449,858374.33
1787346900000,2449.01,2489.74,2443.84,2479.75,1517602.36
1787347800000,2479.75,2498.78,2476.21,2485,948007.03
1787348700000,2485,2522.96,2482.59,2513.35,1539019.56
1787349600000,2513.35,2548.91,2506.77,2542.84,1847680.54
1787350500000,2542.83,2544.94,2529.43,2534.2,732656.75
1787351400000,2534.21,2536,2510.53,2529.41,859713.88
1787352300000,2529.4,2529.97,2513.79,2521.99,418812.42
1787353200000,2522,2527,2515.02,2524.01,330497.25
1787354100000,2524,2549.34,2522.07,2525.69,834325.64
1787355000000,2525.69,2531.44,2511.21,2523.56,537707.82
1787355900000,2523.56,2525.35,2508.17,2515.9,334169.65
1787356800000,2515.91,2523.18,2490.38,2501.36,923774.5
1787357700000,2501.37,2512.22,2498.48,2506.26,322979.96
1787358600000,2506.25,2515.74,2503.36,2508.7,236843.85
1787359500000,2508.7,2524,2503.53,2521.44,480904.76
1787360400000,2521.45,2529.48,2517.52,2519.47,434605.09
1787361300000,2519.47,2524.87,2515.01,2517.51,239825.86
1787362200000,2517.52,2527.55,2510.64,2513.68,267193.42
1787363100000,2513.69,2523.45,2506.2,2506.4,272303.98
1787364000000,2506.39,2511.98,2503.22,2508.93,300270.69
1787364900000,2508.94,2522.78,2508.08,2518.62,254715.25
1787365800000,2518.62,2521.82,2495.11,2509.82,535765.24
1787366700000,2509.82,2515.64,2504.13,2515.63,205731.59
1787367600000,2515.63,2521.11,2511.89,2512.54,272408.76
1787368500000,2512.54,2526.42,2512.19,2519.44,387475.36
1787369400000,2519.44,2523.77,2513.09,2517.2,254977.66
1787370300000,2517.21,2522.68,2513.8,2514.33,146431.11
1787371200000,2514.33,2519.9,2509.47,2519.15,241744.34
1787372100000,2519.16,2519.4,2505.57,2516.64,306163.88
1787373000000,2516.64,2529.77,2513.81,2527.47,530359.72
1787373900000,2527.46,2527.47,2513.01,2514,410693.5
1787374800000,2514,2517.89,2380.25,2444.03,5025227.91
1787375700000,2444.03,2452.95,2406.35,2437.37,1666031.97
1787376600000,2437.37,2449.59,2422.01,2432.88,810948.77
1787377500000,2432.89,2445.77,2427.01,2439.4,553696.92
1787378400000,2439.38,2443,2426.46,2427.81,394727.43
1787379300000,2427.81,2436.95,2426.34,2429.4,258648.76
1787380200000,2429.4,2439.73,2410.7,2430.66,819378.44
1787381100000,2430.67,2438.89,2430.31,2437.11,219732.68
1787382000000,2437.11,2447.09,2427,2433.38,497722.06
1787382900000,2433.39,2441.55,2426,2441.15,237412.43
1787383800000,2441.15,2441.42,2430.77,2435.99,141328.02
1787384700000,2435.99,2438.25,2430.81,2432.46,144354.45
1787385600000,2432.46,2441.37,2428,2439.09,228825.26
1787386500000,2439.09,2439.34,2423,2425.83,328377.95
1787387400000,2425.83,2426.04,2411,2424.36,593686.06
1787388300000,2424.36,2426.58,2417.2,2425.51,207413.04
1787389200000,2425.51,2427.88,2412.4,2427.45,271540.12
1787390100000,2427.44,2429,2421.42,2424.89,147746.98
1787391000000,2424.89,2426.26,2419.38,2422.74,108467.8
1787391900000,2422.75,2422.94,2413.51,2421.75,241249.42
1787392800000,2421.75,2422.5,2397,2401.08,930664.08
1787393700000,2401.08,2408.42,2386.01,2407.16,947671.24
1787394600000,2407.1,2416,2403,2415.61,356237.17
1787395500000,2415.62,2417.68,2407.53,2412.53,211430
1787396400000,2412.53,2415.75,2405.03,2408.01,213211.09
1787397300000,2408,2415.92,2406.69,2414.34,146606
1787398200000,2414.34,2425.87,2412.93,2424.6,280649.72
1787399100000,2424.6,2426.64,2420.28,2423.7,185666.24
1787400000000,2423.71,2436.1,2418.65,2432.54,477448.99
1787400900000,2432.54,2437.82,2429.04,2435.01,210068.29
1787401800000,2435.01,2437.29,2427.07,2431.11,181245.09
1787402700000,2431.12,2431.99,2426.65,2427.5,96171.02
1787403600000,2427.5,2428.98,2423.72,2426.26,142523.64
1787404500000,2426.27,2429.74,2421.68,2425.86,138450.86
1787405400000,2425.87,2428.12,2420.09,2425.07,85625.43
1787406300000,2425.07,2433,2424,2429.79,151384.6
1787407200000,2429.8,2431.6,2410,2418.21,384800.66
1787408100000,2418.22,2420.64,2413.08,2420.34,183898.7
1787409000000,2420.34,2424.29,2411.56,2411.95,181953.86
1787409900000,2411.95,2415.48,2408.34,2413.47,176758.71
1787410800000,2413.46,2416.5,2405.2,2405.68,190713.11
1787411700000,2405.69,2412,2405.02,2411.01,146699.26
1787412600000,2411,2415,2409.61,2412.53,102024.17
1787413500000,2412.54,2414,2409.11,2410.81,88885.06
1787414400000,2410.81,2417.66,2408.86,2414.5,173075.4
1787415300000,2414.5,2422.97,2414.49,2420.27,198984.47
1787416200000,2420.27,2429.26,2419.02,2425.74,223744.3
1787417100000,2425.73,2430.76,2422.22,2422.27,166600.7
1787418000000,2422.26,2425.84,2421.77,2423.98,76595.89
1787418900000,2424,2429.66,2417.07,2418.92,157894.51
1787419800000,2418.93,2425,2418.93,2424.53,89518.31
1787420700000,2424.53,2431.68,2423.42,2426.11,121252.11
1787421600000,2426.11,2430.88,2424.72,2426.36,68221.22
1787422500000,2426.36,2434.95,2426.33,2430.67,134747.15
1787423400000,2430.68,2434,2426,2426,119072.2
1787424300000,2426,2428.17,2421.31,2426.72,130922.49
1787425200000,2426.67,2429.79,2423.47,2428.98,56594.08
1787426100000,2428.97,2431.08,2426.26,2427.79,46591.04
1787427000000,2427.79,2434.47,2427.79,2433.99,66902.49
1787427900000,2433.99,2444.65,2433.02,2438.22,384381.08
1787428800000,2438.22,2443.48,2435.66,2440.19,77101.15
1787429700000,2440.2,2441.43,2436.4,2437,68642.08
1787430600000,2437.01,2438.75,2434.2,2435.89,66918.7
1787431500000,2435.9,2436.67,2427.39,2430.89,132042.5
1787432400000,2430.89,2431.12,2411.27,2411.85,295335.49
1787433300000,2411.85,2421.32,2411.85,2420.84,113342.53
1787434200000,2420.84,2422.13,2407.41,2415.56,207602.06
1787435100000,2415.55,2415.58,2401.39,2406.68,205532.72
1787436000000,2406.68,2420.7,2403.47,2418.96,210313.95
1787436900000,2418.96,2424.62,2416.44,2422.41,113644.96
1787437800000,2422.42,2423.08,2407.44,2413.82,195762.55
1787438700000,2413.83,2417.64,2411.05,2413.55,57152.33
