ts,open,high,low,close,vol
1785456000000,1917.53,1921.49,1914,1916.16,920997.47
1785459600000,1916.16,1935.44,1906.09,1909.59,2958757.74
1785463200000,1909.59,1911.38,1900.68,1903.44,1628126.86
1785466800000,1903.44,1910.59,1897.9,1907.83,1226823.97
1785470400000,1907.83,1908.46,1902.4,1905.02,505408.69
1785474000000,1905.01,1908.32,1900.69,1905.39,546707.32
1785477600000,1905.39,1910.51,1899.24,1901.75,732840.64
1785481200000,1901.75,1901.75,1883.13,1889.11,2794353.91
1785484800000,1889.1,1892.43,1887.23,1889.55,804740.24
1785488400000,1889.56,1890.36,1880.17,1882.83,1064952.67
1785492000000,1882.83,1889.43,1876.14,1886.05,1329237.43
1785495600000,1886.05,1888.8,1881.67,1883.71,545011.62
1785499200000,1883.7,1884.01,1872.21,1882.02,1793760.66
1785502800000,1882.02,1889.68,1864,1866.43,2852213.02
1785506400000,1866.45,1869.5,1847.56,1859.39,5910748.79
1785510000000,1859.39,1865.84,1853.86,1862.01,1394348.66
1785513600000,1862.01,1866.88,1860.03,1863.8,703258.92
1785517200000,1863.8,1877.49,1862.7,1874.06,1189213.07
1785520800000,1874.05,1875.92,1863.81,1870.91,780492.75
1785524400000,1870.9,1873.3,1864.52,1867.3,578891.71
1785528000000,1867.3,1869.81,1860.48,1861.42,748643.51
1785531600000,1861.42,1864.09,1858,1860.94,948739.01
1785535200000,1860.93,1864.54,1857.22,1860.51,436323.77
1785538800000,1860.51,1863.86,1860,1861.69,241268.51
1785542400000,1861.69,1867,1861.52,1863.99,409558.04
1785546000000,1863.98,1866.56,1863.84,1865.96,300029.95
1785549600000,1865.95,1869,1865.8,1867.18,297095.7
1785553200000,1867.19,1869,1865.41,1868.99,234005.41
1785556800000,1868.99,1869.78,1866.85,1868.68,314543.98
1785560400000,1868.67,1870.19,1864.17,1866.65,414208.39
1785564000000,1866.65,1869.99,1865.41,1869.49,236410.5
1785567600000,1869.49,1871,1867.48,1868.94,245943.54
1785571200000,1868.94,1869.43,1866.51,1868.35,203301.88
1785574800000,1868.35,1869.88,1866.73,1867.16,214821.86
1785578400000,1867.16,1868.19,1861.87,1866.41,622045.75
1785582000000,1866.41,1866.8,1865,1866.15,176724.5
1785585600000,1866.14,1869,1866.14,1868.16,295553
1785589200000,1868.15,1868.68,1866.81,1868.32,181525.01
1785592800000,1868.32,1874.44,1868.32,1874.2,704310.25
1785596400000,1874.21,1874.41,1869.14,1869.14,400549.29
1785600000000,1869.14,1872.7,1865.45,1867.99,415728.89
1785603600000,1867.99,1869.4,1856,1861.17,1151812.22
1785607200000,1861.16,1862.21,1820.77,1835.73,5790935.39
1785610800000,1835.71,1839.5,1833.01,1836.23,941118.56
1785614400000,1836.22,1839.3,1831.41,1837.32,571965.3
1785618000000,1837.31,1845.41,1835.51,1844.82,881983.32
1785621600000,1844.83,1848.5,1844,1846.43,421356.84
1785625200000,1846.43,1848.08,1842.17,1844.06,484711.28
1785628800000,1844.06,1848.87,1843.13,1845.87,553563.87
1785632400000,1845.86,1859.78,1845.86,1856.01,1332906.08
1785636000000,1856.01,1883.98,1855.28,1875.99,3428615.15
1785639600000,1876,1879.52,1873.68,1876.53,706611.34
1785643200000,1876.54,1881.67,1876.54,1880,704056.2
1785646800000,1880,1881.67,1874,1875.56,694373.8
1785650400000,1875.55,1878.45,1874.09,1876.81,336328.27
1785654000000,1876.81,1877.87,1874.48,1875.35,241793.15
1785657600000,1875.34,1878.19,1865.59,1867.33,1081435.94
1785661200000,1867.34,1872.57,1861.29,1869.99,986301.26
1785664800000,1869.98,1870.22,1864.44,1867.54,423136.8
1785668400000,1867.54,1868.68,1848.49,1851.9,1924982.71
1785672000000,1851.89,1859.76,1851.62,1855.84,920742.93
1785675600000,1855.85,1857,1851.5,1854,523413.86
1785679200000,1853.99,1858.8,1851.3,1854.01,695098.05
1785682800000,1854,1863.32,1852.71,1857.87,692253.64
1785686400000,1857.88,1864.93,1855.09,1862.16,640893.09
1785690000000,1862.15,1869.86,1861.3,1867.72,666452.19
1785693600000,1867.73,1887.56,1867.47,1875.25,1731086.4
1785697200000,1875.25,1882.91,1873.91,1881.3,543752.29
1785700800000,1881.31,1884.83,1878.39,1882.77,481981.54
1785704400000,1882.76,1898,1881.14,1889.55,1470500.56
1785708000000,1889.54,1897,1879.25,1881.12,1236067.82
1785711600000,1881.12,1885.41,1875.14,1884.16,768879.8
1785715200000,1884.16,1884.93,1870.01,1873.17,948123.34
1785718800000,1873.16,1874.67,1864.75,1866.09,934898.81
1785722400000,1866.09,1871.29,1861.15,1863.2,917173.54
1785726000000,1863.18,1864.91,1850.1,1856.06,1533843.6
1785729600000,1856.05,1862.29,1853.78,1853.99,1045409.19
1785733200000,1853.99,1859.9,1852.64,1858.88,652054.78
1785736800000,1858.88,1860.55,1845.45,1848.45,1490764.11
1785740400000,1848.45,1849.01,1838.11,1843,1949734.53
1785744000000,1843.01,1844.88,1826.88,1839.58,2684846
1785747600000,1839.58,1853.5,1838.27,1851.56,1364277.91
1785751200000,1851.57,1853.6,1839.37,1845.54,1285504.3
1785754800000,1845.53,1847.3,1837.53,1838.86,1280175.67
1785758400000,1838.86,1844.8,1835.43,1842.71,884512.23
1785762000000,1842.72,1859.86,1837.3,1858.34,2720445.7
1785765600000,1858.35,1873.71,1850.59,1872.79,3572139.85
1785769200000,1872.79,1873,1859.06,1862.61,1659352.56
1785772800000,1862.61,1871.28,1860.37,1865.3,1138469.82
1785776400000,1865.3,1873.78,1862.37,1867.88,921458.96
1785780000000,1867.88,1873.26,1865.5,1867.93,474486.53
1785783600000,1867.93,1875.61,1867.01,1869,715119.74
1785787200000,1869,1874.99,1865.58,1868,444228.55
1785790800000,1868,1868.39,1862.42,1862.8,420625.53
1785794400000,1862.8,1865.46,1850.7,1859.41,1153725.68
1785798000000,1859.42,1859.77,1855.17,1859.77,338883.21
1785801600000,1859.77,1862.33,1847.25,1850.32,1166009.4
1785805200000,1850.32,1868.88,1848.15,1866.59,1322338.73
1785808800000,1866.59,1871.94,1861.11,1865.22,706961.5
1785812400000,1865.23,1866.34,1857.17,1863.4,772330.09
1785816000000,1863.4,1873.91,1860.94,1867.06,799088.01
1785819600000,1867.06,1869.76,1863.74,1863.91,571776.83
1785823200000,1863.9,1868.04,1853.27,1856.55,1060087.98
1785826800000,1856.55,1864.29,1852.38,1862.95,899069.95
1785830400000,1862.94,1865.65,1855.58,1857.09,563352.79
1785834000000,1857.09,1858.31,1852.72,1858.15,480862.05
1785837600000,1858.15,1872.24,1853.23,1865.89,1288372.6
1785841200000,1865.88,1873.99,1865.1,1871.77,1064810.85
1785844800000,1871.78,1881.62,1866.47,1874.08,1563893.73
1785848400000,1874.07,1876.63,1858.36,1860.99,2393545.56
1785852000000,1861,1874.77,1857.33,1871.94,2349225.87
1785855600000,1871.94,1877.1,1860.83,1871.99,1569706.54
1785859200000,1871.99,1872.71,1864.59,1868.86,656443.48
1785862800000,1868.86,1876.98,1866,1868.73,824925.96
1785866400000,1868.72,1880,1868.4,1874.3,1163864.69
1785870000000,1874.3,1880.73,1872.78,1874.08,501402.81
1785873600000,1874.09,1878.82,1864.68,1875.5,894656.3
1785877200000,1875.5,1875.59,1870.59,1871.13,287084.74
1785880800000,1871.14,1875.97,1867.34,1874.76,302158.07
1785884400000,1874.77,1880.36,1868.03,1868.76,737889.35
1785888000000,1868.76,1873,1862.5,1863.2,977617.79
1785891600000,1863.19,1873.61,1860.4,1872.44,842003.5
1785895200000,1872.44,1877,1871.5,1873.49,738739.85
1785898800000,1873.49,1875.2,1862.9,1867.07,987434.89
1785902400000,1867.08,1869.18,1864,1866.52,398487.39
1785906000000,1866.52,1876.88,1866.18,1872.48,681061.46
1785909600000,1872.47,1872.78,1867.37,1869.1,479447.24
1785913200000,1869.1,1872.23,1862.96,1872.12,1303445.16
1785916800000,1872.12,1874,1866.51,1868.76,667528.01
1785920400000,1868.77,1873.66,1867.95,1870.76,497508.83
1785924000000,1870.76,1875,1865.27,1867.49,805423.73
1785927600000,1867.49,1870.25,1866.38,1868.07,384316.81
1785931200000,1868.06,1884,1866.83,1875.01,2465447.88
1785934800000,1875,1879,1855,1877.84,4476224.98
1785938400000,1877.84,1882,1868.36,1874.8,2655511.46
1785942000000,1874.8,1881.8,1872,1872.81,1581362.66
1785945600000,1872.8,1896.46,1872.33,1894.89,3803718.2
1785949200000,1894.9,1917.24,1890.23,1916.13,3800701.87
1785952800000,1916.13,1927.76,1913.2,1917.23,2742948.64
1785956400000,1917.22,1920,1915,1916.08,947122.1
1785960000000,1916.09,1924.11,1916,1916.31,937797.46
1785963600000,1916.3,1916.75,1906.05,1908.03,1061209.49
1785967200000,1908.02,1912.79,1905.5,1906.1,542765.3
1785970800000,1906.09,1911.65,1903.6,1907.99,553379.04
1785974400000,1907.99,1913.33,1906.34,1909.58,693841.05
1785978000000,1909.59,1910.44,1902.6,1906.15,726689.45
