ts,open,high,low,close,vol
1787184000000,10.548,10.591,10.528,10.55,142139.9
1787184900000,10.55,10.607,10.538,10.603,63972.5
1787185800000,10.602,10.621,10.561,10.573,56750.1
1787186700000,10.572,10.588,10.508,10.528,62999.2
1787187600000,10.528,10.591,10.462,10.492,112288.5
1787188500000,10.491,10.495,10.457,10.467,34464
1787189400000,10.466,10.518,10.454,10.514,53223.1
1787190300000,10.513,10.551,10.512,10.531,23224
1787191200000,10.531,10.544,10.5,10.529,50928.6
1787192100000,10.53,10.53,10.485,10.505,36977.7
1787193000000,10.504,10.529,10.497,10.515,23109.8
1787193900000,10.515,10.518,10.482,10.502,34137.8
1787194800000,10.501,10.501,10.359,10.379,88252.7
1787195700000,10.379,10.443,10.376,10.428,55564.1
1787196600000,10.428,10.451,10.422,10.439,31120.2
1787197500000,10.438,10.467,10.433,10.435,23024.1
1787198400000,10.435,10.474,10.424,10.454,55906.4
1787199300000,10.454,10.472,10.445,10.449,31276.6
1787200200000,10.449,10.45,10.405,10.436,39799.7
1787201100000,10.437,10.472,10.43,10.438,35042.8
1787202000000,10.438,10.453,10.423,10.425,32571.3
1787202900000,10.426,10.464,10.426,10.438,18706.7
1787203800000,10.437,10.445,10.422,10.423,19454.3
1787204700000,10.423,10.454,10.408,10.45,16902.7
1787205600000,10.451,10.478,10.447,10.472,32660.5
1787206500000,10.471,10.487,10.451,10.459,57208.1
1787207400000,10.459,10.548,10.458,10.547,73519.2
1787208300000,10.548,10.584,10.545,10.583,76239.3
1787209200000,10.583,10.583,10.534,10.545,70848.7
1787210100000,10.545,10.547,10.521,10.54,45608.4
1787211000000,10.539,10.542,10.508,10.521,22238
1787211900000,10.52,10.552,10.512,10.541,29369.1
1787212800000,10.542,10.664,10.533,10.653,121471
1787213700000,10.653,10.67,10.605,10.646,117219.2
1787214600000,10.646,10.679,10.627,10.679,55564.1
1787215500000,10.679,10.701,10.65,10.654,57952.2
1787216400000,10.655,10.681,10.641,10.673,83266.3
1787217300000,10.673,10.673,10.624,10.624,55100.5
1787218200000,10.624,10.65,10.612,10.642,51079.1
1787219100000,10.641,10.641,10.56,10.576,40903.9
1787220000000,10.576,10.625,10.567,10.62,46870
1787220900000,10.62,10.658,10.62,10.654,36428.4
1787221800000,10.655,10.696,10.645,10.693,41380.6
1787222700000,10.693,10.707,10.67,10.691,36421.6
1787223600000,10.691,10.71,10.662,10.673,49935.8
1787224500000,10.673,10.697,10.659,10.674,36966.7
1787225400000,10.673,10.756,10.669,10.726,91847.8
1787226300000,10.727,10.761,10.652,10.659,83048.6
1787227200000,10.658,10.682,10.575,10.594,87527.7
1787228100000,10.594,10.608,10.557,10.572,77045.7
1787229000000,10.573,10.59,10.534,10.561,63463.6
1787229900000,10.561,10.598,10.521,10.587,49807.5
1787230800000,10.588,10.648,10.586,10.613,56955.4
1787231700000,10.612,10.623,10.588,10.598,39149.8
1787232600000,10.597,10.614,10.514,10.605,143279
1787233500000,10.605,10.61,10.554,10.593,82491.6
1787234400000,10.592,10.668,10.585,10.634,76032
1787235300000,10.634,10.641,10.57,10.582,49550.6
1787236200000,10.581,10.612,10.55,10.552,43947.8
1787237100000,10.553,10.558,10.51,10.546,69704.7
1787238000000,10.545,10.657,10.54,10.625,110987.1
1787238900000,10.626,10.648,10.584,10.647,44527.9
1787239800000,10.647,10.715,10.635,10.651,106363.9
1787240700000,10.65,10.729,10.638,10.707,57400.8
1787241600000,10.707,10.718,10.651,10.66,67526.5
1787242500000,10.66,10.686,10.635,10.684,43206.3
1787243400000,10.683,10.809,10.66,10.788,76725.4
1787244300000,10.787,10.804,10.741,10.766,36633.8
1787245200000,10.767,10.809,10.746,10.793,56468.5
1787246100000,10.794,10.797,10.718,10.77,33209.1
1787247000000,10.77,10.805,10.753,10.79,44586.2
1787247900000,10.79,10.872,10.75,10.78,147252
1787248800000,10.78,10.804,10.633,10.669,141369.1
1787249700000,10.668,10.723,10.628,10.681,44862.9
1787250600000,10.681,10.692,10.616,10.681,66010.5
1787251500000,10.682,10.686,10.603,10.616,51439.1
1787252400000,10.615,10.652,10.606,10.626,30893.3
1787253300000,10.626,10.668,10.625,10.647,20466.2
1787254200000,10.646,10.667,10.635,10.65,16459.1
1787255100000,10.65,10.656,10.625,10.651,43977.3
1787256000000,10.651,10.67,10.621,10.632,32754.3
1787256900000,10.632,10.671,10.61,10.631,55042.6
1787257800000,10.631,10.651,10.607,10.612,30367.2
1787258700000,10.612,10.635,10.584,10.617,37670.9
1787259600000,10.616,10.622,10.585,10.607,45277.9
