ts,open,high,low,close,vol
1785456000000,8.448,8.47,8.422,8.432,97305.1
1785459600000,8.433,8.511,8.389,8.4,169838.1
1785463200000,8.4,8.428,8.349,8.357,224936.7
1785466800000,8.358,8.382,8.317,8.364,139936.6
1785470400000,8.364,8.375,8.337,8.344,70274.9
1785474000000,8.344,8.37,8.341,8.367,41067.2
1785477600000,8.368,8.384,8.333,8.347,102296.6
1785481200000,8.346,8.346,8.243,8.293,292154.8
1785484800000,8.294,8.326,8.287,8.32,73034.7
1785488400000,8.321,8.323,8.243,8.246,188988.8
1785492000000,8.245,8.269,8.209,8.255,162698.2
1785495600000,8.255,8.273,8.241,8.259,71300
1785499200000,8.26,8.261,8.221,8.257,140895.3
1785502800000,8.258,8.272,8.12,8.133,382998.5
1785506400000,8.132,8.143,8.014,8.126,992347.7
1785510000000,8.126,8.13,8.083,8.108,215430.3
1785513600000,8.109,8.148,8.096,8.147,81796.5
1785517200000,8.146,8.203,8.134,8.183,170951.5
1785520800000,8.183,8.194,8.16,8.176,96915.5
1785524400000,8.175,8.185,8.157,8.168,84523
1785528000000,8.168,8.178,8.141,8.15,123194.9
1785531600000,8.15,8.167,8.126,8.142,92365.3
1785535200000,8.142,8.173,8.136,8.156,29416.6
1785538800000,8.156,8.169,8.156,8.167,32726.8
1785542400000,8.168,8.195,8.168,8.178,54242.5
1785546000000,8.179,8.214,8.178,8.208,76421.7
1785549600000,8.208,8.245,8.208,8.216,100358.3
1785553200000,8.216,8.232,8.19,8.205,33602.9
1785556800000,8.206,8.232,8.2,8.227,38213.4
1785560400000,8.227,8.239,8.182,8.2,75825
1785564000000,8.199,8.199,8.157,8.187,67243.2
1785567600000,8.186,8.195,8.128,8.133,45787.8
1785571200000,8.133,8.139,8.117,8.12,34940.8
1785574800000,8.119,8.121,8.095,8.095,49266.5
1785578400000,8.095,8.108,8.08,8.094,61397.1
1785582000000,8.094,8.097,8.077,8.085,35741.6
1785585600000,8.085,8.108,8.082,8.103,53076.9
1785589200000,8.104,8.106,8.09,8.095,26363.3
1785592800000,8.095,8.113,8.093,8.105,44354.1
1785596400000,8.105,8.11,8.086,8.097,36250.2
1785600000000,8.097,8.107,8.071,8.085,45250.4
1785603600000,8.085,8.099,8.025,8.042,124031.9
1785607200000,8.041,8.041,7.878,7.957,635122.1
1785610800000,7.957,8.022,7.953,7.998,213689.5
1785614400000,7.997,8.027,7.989,8.021,72194.8
1785618000000,8.02,8.059,8.02,8.059,139166.3
1785621600000,8.059,8.076,8.053,8.064,33141.8
1785625200000,8.065,8.078,8.05,8.064,26753.5
1785628800000,8.063,8.075,8.051,8.067,99228.7
1785632400000,8.068,8.163,8.068,8.152,208477.4
1785636000000,8.152,8.284,8.145,8.268,457622
1785639600000,8.269,8.304,8.254,8.287,121312.9
1785643200000,8.287,8.382,8.277,8.376,284599.8
1785646800000,8.376,8.416,8.35,8.378,190468.6
1785650400000,8.379,8.388,8.346,8.367,64629.9
1785654000000,8.367,8.395,8.356,8.374,99561.8
1785657600000,8.375,8.386,8.315,8.326,140503.8
1785661200000,8.327,8.388,8.308,8.341,109212.5
1785664800000,8.341,8.342,8.301,8.306,105923
1785668400000,8.307,8.315,8.263,8.276,134705.4
1785672000000,8.277,8.298,8.275,8.293,81913.1
1785675600000,8.292,8.309,8.282,8.282,34531.6
1785679200000,8.282,8.309,8.265,8.286,70800
1785682800000,8.287,8.298,8.269,8.273,38814.1
1785686400000,8.273,8.286,8.247,8.276,125645.2
1785690000000,8.275,8.34,8.273,8.329,65999.1
1785693600000,8.329,8.368,8.311,8.311,101830.1
1785697200000,8.312,8.342,8.309,8.327,49498.6
1785700800000,8.328,8.35,8.316,8.338,32018.3
1785704400000,8.337,8.39,8.336,8.371,93108.7
1785708000000,8.372,8.453,8.356,8.392,297076.1
1785711600000,8.391,8.399,8.349,8.378,72823.5
1785715200000,8.379,8.386,8.335,8.351,109859.9
1785718800000,8.35,8.37,8.319,8.33,134425.8
1785722400000,8.33,8.335,8.287,8.3,89932
1785726000000,8.3,8.306,8.226,8.248,175791.6
1785729600000,8.248,8.28,8.232,8.233,75950.9
1785733200000,8.233,8.267,8.23,8.259,70899.9
1785736800000,8.26,8.269,8.216,8.225,92596.4
1785740400000,8.226,8.248,8.209,8.215,92564.5
1785744000000,8.215,8.223,8.155,8.219,212659
1785747600000,8.219,8.262,8.214,8.25,53420.4
1785751200000,8.251,8.256,8.194,8.206,43430.9
1785754800000,8.207,8.218,8.179,8.183,77133.9
1785758400000,8.184,8.195,8.16,8.177,77792.6
1785762000000,8.177,8.288,8.172,8.282,185783.3
1785765600000,8.282,8.315,8.246,8.301,232233.9
1785769200000,8.301,8.305,8.233,8.242,237862.1
1785772800000,8.243,8.279,8.229,8.239,145610.8
1785776400000,8.24,8.271,8.233,8.245,103928.9
1785780000000,8.245,8.261,8.22,8.232,32693.3
1785783600000,8.233,8.271,8.228,8.229,54436.6
1785787200000,8.228,8.26,8.208,8.219,54823.3
1785790800000,8.219,8.23,8.205,8.207,53386.9
1785794400000,8.208,8.216,8.176,8.19,43221.5
1785798000000,8.19,8.19,8.162,8.182,30352.2
1785801600000,8.182,8.189,8.111,8.119,232243.7
1785805200000,8.118,8.226,8.112,8.212,127711.9
1785808800000,8.212,8.23,8.178,8.198,70320.3
1785812400000,8.197,8.204,8.161,8.192,69793.1
1785816000000,8.191,8.26,8.17,8.221,114751.3
1785819600000,8.22,8.227,8.175,8.182,45370.1
1785823200000,8.182,8.198,8.127,8.139,104489.3
1785826800000,8.139,8.174,8.117,8.17,135292.2
1785830400000,8.17,8.184,8.132,8.147,99971.9
1785834000000,8.146,8.156,8.121,8.155,24589.3
1785837600000,8.156,8.216,8.13,8.193,120404.9
1785841200000,8.194,8.219,8.174,8.212,81699.4
1785844800000,8.211,8.234,8.181,8.205,58109.3
1785848400000,8.204,8.237,8.158,8.179,324232.7
1785852000000,8.18,8.259,8.154,8.233,461145.7
1785855600000,8.234,8.246,8.134,8.189,219908
1785859200000,8.189,8.193,8.161,8.18,120803.4
1785862800000,8.18,8.214,8.155,8.17,95537.4
1785866400000,8.169,8.245,8.166,8.22,91865.5
1785870000000,8.221,8.24,8.203,8.21,86748
1785873600000,8.211,8.22,8.146,8.202,111528.6
1785877200000,8.202,8.206,8.181,8.181,43036.5
1785880800000,8.18,8.188,8.157,8.172,33587
1785884400000,8.173,8.194,8.139,8.143,60099.2
1785888000000,8.143,8.16,8.113,8.118,105691.4
1785891600000,8.118,8.179,8.098,8.173,80346.3
1785895200000,8.173,8.195,8.154,8.168,76183.9
1785898800000,8.167,8.178,8.088,8.12,149013.1
1785902400000,8.121,8.139,8.117,8.129,30085.7
1785906000000,8.128,8.185,8.123,8.175,66932.6
1785909600000,8.174,8.198,8.16,8.175,62256.3
1785913200000,8.175,8.183,8.134,8.182,66491.5
1785916800000,8.183,8.204,8.17,8.177,58807.3
1785920400000,8.178,8.199,8.174,8.183,38067
1785924000000,8.183,8.184,8.139,8.149,46574.3
1785927600000,8.149,8.177,8.141,8.148,50761.1
1785931200000,8.147,8.223,8.141,8.167,152267.3
1785934800000,8.167,8.173,8.061,8.146,231686.3
1785938400000,8.146,8.174,8.112,8.15,124211.3
1785942000000,8.15,8.202,8.103,8.105,105728.2
1785945600000,8.104,8.222,8.097,8.195,93810.7
1785949200000,8.195,8.244,8.171,8.235,83050.4
1785952800000,8.235,8.252,8.202,8.215,68081.3
1785956400000,8.215,8.223,8.182,8.182,55871.3
1785960000000,8.182,8.223,8.173,8.188,84709.5
1785963600000,8.189,8.189,8.127,8.152,54476.8
1785967200000,8.152,8.166,8.142,8.142,13390.2
1785970800000,8.141,8.164,8.121,8.155,38971.3
1785974400000,8.155,8.191,8.148,8.166,56733.2
1785978000000,8.165,8.176,8.123,8.127,64137.2
1785981600000,8.126,8.145,8.092,8.107,86273.6
1785985200000,8.107,8.123,8.097,8.11,61396.4
1785988800000,8.111,8.19,8.099,8.184,165724.4
1785992400000,8.185,8.225,8.173,8.193,114595
1785996000000,8.194,8.199,8.165,8.194,55533.2
1785999600000,8.194,8.197,8.181,8.182,54699.9
1786003200000,8.183,8.207,8.17,8.185,88650.8
1786006800000,8.186,8.186,8.058,8.097,391366.9
1786010400000,8.096,8.104,8.076,8.09,69189.3
1786014000000,8.091,8.182,8.086,8.155,124060.4
1786017600000,8.156,8.157,8.119,8.124,88926.9
1786021200000,8.124,8.144,8.098,8.139,135534.2
1786024800000,8.138,8.245,8.135,8.21,214216.3
1786028400000,8.21,8.268,8.21,8.219,178793.1
1786032000000,8.22,8.264,8.207,8.24,124135.4
1786035600000,8.241,8.338,8.241,8.333,199750.1
1786039200000,8.333,8.334,8.229,8.246,127721.9
1786042800000,8.247,8.257,8.182,8.193,109318.8
1786046400000,8.193,8.222,8.184,8.199,77119.5
1786050000000,8.2,8.234,8.199,8.22,42297.2
1786053600000,8.221,8.232,8.174,8.194,57738.7
1786057200000,8.194,8.197,8.155,8.19,71626.1
1786060800000,8.19,8.219,8.18,8.204,153068.8
1786064400000,8.204,8.244,8.204,8.221,72711.1
1786068000000,8.22,8.243,8.167,8.189,83794.5
1786071600000,8.189,8.203,8.133,8.134,93498
1786075200000,8.133,8.161,8.098,8.136,118711
1786078800000,8.135,8.156,8.116,8.151,67389.2
1786082400000,8.151,8.204,8.147,8.181,91803.2
1786086000000,8.181,8.205,8.169,8.183,79695.6
1786089600000,8.182,8.24,8.182,8.212,96576.7
1786093200000,8.212,8.243,8.206,8.215,90638.6
1786096800000,8.215,8.228,8.192,8.2,56732.5
1786100400000,8.2,8.238,8.197,8.214,46479.9
1786104000000,8.214,8.309,8.213,8.278,258086
1786107600000,8.278,8.307,8.235,8.277,255083.1
1786111200000,8.277,8.296,8.214,8.227,154699
1786114800000,8.228,8.29,8.224,8.275,97745.9
1786118400000,8.276,8.314,8.226,8.228,127897.3
1786122000000,8.228,8.247,8.159,8.195,158671
1786125600000,8.194,8.211,8.156,8.172,73880.7
1786129200000,8.171,8.235,8.171,8.21,48029.8
1786132800000,8.21,8.217,8.184,8.197,40454.8
1786136400000,8.196,8.215,8.179,8.18,40961.8
1786140000000,8.179,8.19,8.15,8.174,37286
1786143600000,8.173,8.193,8.165,8.184,22455.6
1786147200000,8.184,8.184,8.158,8.17,77913.3
1786150800000,8.17,8.191,8.167,8.184,52828.8
1786154400000,8.184,8.189,8.171,8.173,28248.6
1786158000000,8.172,8.269,8.172,8.258,109867.8
1786161600000,8.258,8.279,8.234,8.256,96280.4
1786165200000,8.256,8.31,8.249,8.261,125176.1
1786168800000,8.261,8.267,8.25,8.251,35771.9
1786172400000,8.251,8.259,8.236,8.258,43908.9
1786176000000,8.259,8.271,8.251,8.263,44225.6
1786179600000,8.263,8.309,8.262,8.293,61563.8
1786183200000,8.292,8.357,8.292,8.341,148016.6
1786186800000,8.342,8.357,8.314,8.325,82121.8
1786190400000,8.326,8.338,8.306,8.309,39936.8
1786194000000,8.309,8.332,8.299,8.325,49626.1
1786197600000,8.324,8.374,8.322,8.358,106083.7
1786201200000,8.359,8.397,8.33,8.339,142851.1
1786204800000,8.339,8.363,8.329,8.339,65174.6
1786208400000,8.339,8.35,8.329,8.333,37801.1
1786212000000,8.332,8.335,8.32,8.327,25425.3
1786215600000,8.326,8.336,8.316,8.328,47322.1
1786219200000,8.327,8.341,8.326,8.339,15091.6
1786222800000,8.339,8.345,8.33,8.341,34917.6
1786226400000,8.342,8.345,8.292,8.297,89530.8
1786230000000,8.298,8.309,8.286,8.302,55354.7
1786233600000,8.302,8.324,8.3,8.32,95709.8
1786237200000,8.32,8.332,8.292,8.3,68071.6
1786240800000,8.3,8.307,8.278,8.289,43569.1
1786244400000,8.29,8.291,8.259,8.28,60370.6
1786248000000,8.28,8.307,8.279,8.284,63870.4
1786251600000,8.284,8.297,8.255,8.274,50266.9
