ts,open,high,low,close,vol
1787184000000,85.38,85.68,85.29,85.48,75850.41
1787184900000,85.48,85.79,85.42,85.62,80364.61
1787185800000,85.62,85.7,85.38,85.48,81089.5
1787186700000,85.49,85.67,84.86,84.99,198012.64
1787187600000,84.99,85.13,84.63,84.81,111257.74
1787188500000,84.8,84.97,84.66,84.76,71707.5
1787189400000,84.75,85.06,84.68,85.06,90356.9
1787190300000,85.06,85.39,85.05,85.36,106957.55
1787191200000,85.35,85.44,85.14,85.29,64821.69
1787192100000,85.29,85.35,85.04,85.05,58035.5
1787193000000,85.05,85.11,84.84,84.86,41707.6
1787193900000,84.85,84.87,84.68,84.76,62425.8
1787194800000,84.75,84.77,83.95,84.23,188369.52
1787195700000,84.23,84.59,84.21,84.27,98044.4
1787196600000,84.26,84.56,84.26,84.52,55200.14
1787197500000,84.52,84.72,84.47,84.48,66239.4
1787198400000,84.47,84.71,84.45,84.6,37864.06
1787199300000,84.6,84.7,84.49,84.53,47789.72
1787200200000,84.53,84.65,84.42,84.6,79809.65
1787201100000,84.6,84.99,84.6,84.82,85939.17
1787202000000,84.82,84.99,84.81,84.86,35276.08
1787202900000,84.86,85.07,84.85,84.89,34749.18
1787203800000,84.89,85.02,84.86,84.97,26327.64
1787204700000,84.97,84.98,84.79,84.93,30302.41
1787205600000,84.94,84.95,84.68,84.8,70124.88
1787206500000,84.8,85.46,84.75,85.43,132862.01
1787207400000,85.43,85.8,85.27,85.76,148158.03
1787208300000,85.76,85.91,85.68,85.88,108606.65
1787209200000,85.88,86.01,85.78,85.9,88744.79
1787210100000,85.89,86.08,85.75,86,81991.54
1787211000000,86,86.16,85.76,85.83,97036.08
1787211900000,85.84,86.17,85.77,86.14,61258.89
1787212800000,86.13,87.56,86.01,87.41,345661.38
1787213700000,87.4,87.63,87.01,87.52,305825.32
1787214600000,87.52,87.89,87.33,87.87,271862.91
1787215500000,87.86,87.97,87.43,87.49,163098.32
1787216400000,87.5,87.65,87.24,87.64,185864.73
1787217300000,87.64,87.8,87.5,87.51,182659.12
1787218200000,87.5,87.7,87.31,87.54,125573.59
1787219100000,87.54,87.59,87.07,87.32,138351.68
1787220000000,87.31,87.56,87.19,87.51,73306.38
1787220900000,87.51,87.79,87.32,87.39,104871.83
1787221800000,87.4,87.42,87.03,87.07,87484.14
1787222700000,87.07,87.46,86.94,87.44,81795.02
1787223600000,87.44,87.44,87.05,87.14,63255.56
1787224500000,87.13,87.32,87.07,87.14,42203.68
1787225400000,87.14,88.08,87.11,87.69,237942.81
1787226300000,87.69,87.85,87.17,87.17,170807.65
1787227200000,87.17,87.4,86.53,86.8,349275.97
1787228100000,86.8,86.98,86.71,86.91,87259.35
1787229000000,86.92,87.04,86.63,86.72,91931.18
1787229900000,86.72,87.12,86.46,87.05,127409.54
1787230800000,87.04,87.33,87,87.29,121807.25
1787231700000,87.28,87.48,86.93,87.01,140424.17
1787232600000,87.02,87.02,86.13,86.74,341352.91
1787233500000,86.73,86.8,86.32,86.54,147722.67
1787234400000,86.55,86.87,86.43,86.57,141478.16
1787235300000,86.57,86.59,86.18,86.28,155997.44
1787236200000,86.27,86.57,86.26,86.35,65584.36
1787237100000,86.36,86.59,86.13,86.59,153843.92
1787238000000,86.59,87.32,86.53,87.01,291258.06
1787238900000,87.01,87.11,86.63,87.01,200093.18
1787239800000,87.02,87.32,86.69,86.82,171194.55
1787240700000,86.82,87.47,86.74,87.33,154984.39
1787241600000,87.34,87.35,87.03,87.12,104350.26
1787242500000,87.12,87.21,86.84,87.08,101116.52
1787243400000,87.09,87.67,86.91,87.48,195187.73
1787244300000,87.48,87.84,87.35,87.73,146927.52
1787245200000,87.73,87.85,87.3,87.36,133862.56
1787246100000,87.37,87.66,87.24,87.58,93179.81
1787247000000,87.59,87.77,87.42,87.47,115444.97
1787247900000,87.48,87.93,87.38,87.45,131447.51
1787248800000,87.46,87.62,86.88,86.97,248734.9
1787249700000,86.97,87.33,86.75,87.17,78867.83
1787250600000,87.16,87.21,86.6,86.81,118475.76
1787251500000,86.81,87.06,86.8,86.81,67430.49
1787252400000,86.81,87.38,86.8,87.14,133517.15
1787253300000,87.13,87.44,87.11,87.24,74518.39
1787254200000,87.25,87.49,87.08,87.39,75971.79
1787255100000,87.38,87.43,87.04,87.27,88652.77
1787256000000,87.27,87.43,87.2,87.33,39619.94
1787256900000,87.33,87.44,87.22,87.38,44831.84
1787257800000,87.38,87.65,87.37,87.47,51419.19
1787258700000,87.47,87.55,87.37,87.55,31847.93
1787259600000,87.55,87.85,87.54,87.67,47485.4
1787260500000,87.66,87.78,87.37,87.43,40701.16
1787261400000,87.42,87.68,87.4,87.49,29576.77
1787262300000,87.48,87.56,87.42,87.46,28185.53
1787263200000,87.46,87.48,87.22,87.34,75245.03
1787264100000,87.34,87.56,87.21,87.44,71989.43
1787265000000,87.44,87.46,87.19,87.22,36769.21
1787265900000,87.22,87.4,87.16,87.2,26456.23
1787266800000,87.2,87.43,87.18,87.42,33569.34
1787267700000,87.42,87.9,87.34,87.8,98967.69
1787268600000,87.81,87.97,87.52,87.59,71531.98
1787269500000,87.59,87.7,87.53,87.62,53554.02
1787270400000,87.62,87.92,87.55,87.92,98614.87
1787271300000,87.91,88.78,87.75,88.37,346521.36
1787272200000,88.37,88.65,87.76,87.91,185806.72
1787273100000,87.92,88.42,87.77,88.21,146603.92
1787274000000,88.2,88.42,88.08,88.34,81708.78
1787274900000,88.34,89.1,88.16,88.36,245719.67
1787275800000,88.35,88.7,88.21,88.45,127063.08
1787276700000,88.45,89.48,88.4,88.98,286169.87
1787277600000,88.98,89.78,88.47,89.18,328176.18
1787278500000,89.18,89.42,88.85,89.38,135009.56
1787279400000,89.39,90.18,88.89,89.69,438229.78
1787280300000,89.69,89.69,89.11,89.22,201961.71
1787281200000,89.22,89.36,88.71,89.11,250781.49
1787282100000,89.11,89.39,88.89,89.34,102325.18
1787283000000,89.35,89.45,89.1,89.16,72625.13
1787283900000,89.15,89.53,89.07,89.07,87213.17
1787284800000,89.08,89.44,89.01,89.04,107612.15
1787285700000,89.05,89.37,88.84,88.92,59636.53
1787286600000,88.92,89.22,88.85,89.13,87536.4
1787287500000,89.12,89.48,89.06,89.44,106049.69
1787288400000,89.44,89.64,89.15,89.6,85416.77
1787289300000,89.59,89.96,89.38,89.6,124207.56
1787290200000,89.6,90.11,89.51,90.1,120959.18
1787291100000,90.1,90.72,90.08,90.4,332322.55
1787292000000,90.41,91.33,90.27,90.69,339852.7
1787292900000,90.7,90.83,89.97,90.03,223382.04
1787293800000,90.03,90.44,90,90.04,233748.82
1787294700000,90.04,90.46,89.72,90.19,135226.91
1787295600000,90.19,90.78,90.15,90.77,139937.16
1787296500000,90.78,91.18,90.14,90.25,264900.08
1787297400000,90.26,90.75,89.92,90.54,166763.23
1787298300000,90.55,90.7,90.28,90.39,84981.6
1787299200000,90.39,91.05,90.34,90.72,128763.45
1787300100000,90.72,91.55,90.69,91.37,287493.72
1787301000000,91.37,92.18,91.23,92.13,314363.66
1787301900000,92.13,93.41,92.09,93.27,563820.31
1787302800000,93.27,93.32,90.29,91.38,1081786.82
1787303700000,91.37,91.59,90.84,91.18,255602.52
1787304600000,91.18,91.95,91,91.84,209790.04
1787305500000,91.85,92.18,91.22,91.66,237578.4
1787306400000,91.66,91.74,91.12,91.27,131784.16
1787307300000,91.26,91.69,90.83,91.26,164445.5
1787308200000,91.25,91.38,90.85,91.36,82477.07
1787309100000,91.36,91.67,91.36,91.46,55056.28
1787310000000,91.46,91.6,90.49,91.11,197939.38
1787310900000,91.1,91.14,90.63,90.99,143702.35
1787311800000,90.99,91.02,89.87,90.46,341432.64
1787312700000,90.46,90.62,90.1,90.29,130728.59
1787313600000,90.3,90.51,89.98,90.45,117754.42
1787314500000,90.46,90.47,90.19,90.3,53638.28
1787315400000,90.31,91.12,90.23,91.09,117466.16
1787316300000,91.08,91.14,90.79,90.86,70988.28
1787317200000,90.86,90.99,90.67,90.86,74165.5
1787318100000,90.87,90.87,90.4,90.73,99517.34
1787319000000,90.73,91.04,89.73,90.96,252018.37
1787319900000,90.96,91.38,90.81,91.05,146153.2
1787320800000,91.04,91.08,90.53,90.92,128552.35
1787321700000,90.93,91.35,90.76,91.29,149031.35
1787322600000,91.3,91.68,91.11,91.48,113092.22
1787323500000,91.48,91.95,91.47,91.86,104394.02
1787324400000,91.86,92.15,91.6,91.85,122068.98
1787325300000,91.86,91.99,91.46,91.55,82361.9
1787326200000,91.54,91.78,91.31,91.56,74580.22
1787327100000,91.57,91.68,91.21,91.34,74715.62
1787328000000,91.34,91.51,90.75,90.76,125235.97
1787328900000,90.76,91.5,90.71,91.48,88297.27
1787329800000,91.49,91.58,91.28,91.36,65775.89
1787330700000,91.36,91.92,91.33,91.59,118038.96
1787331600000,91.6,91.91,91.48,91.71,57217.12
1787332500000,91.72,91.73,91.16,91.56,97007.36
1787333400000,91.55,91.98,91.49,91.58,141734.77
1787334300000,91.59,91.93,91.5,91.79,48337.27
1787335200000,91.79,92.04,91.73,91.82,63253.36
1787336100000,91.82,92.06,91.63,91.9,57886.51
1787337000000,91.89,91.98,91.26,91.4,132177.75
1787337900000,91.41,91.61,91.05,91.55,102629.68
1787338800000,91.55,91.61,90.83,91.29,84047.81
1787339700000,91.3,91.39,90.88,91.3,82816.06
1787340600000,91.29,91.35,90.75,90.82,57711.34
1787341500000,90.83,91.06,90.73,90.94,51923.87
1787342400000,90.94,91.32,90.49,91.2,102155.03
1787343300000,91.19,91.97,91.19,91.79,69430.36
1787344200000,91.8,91.91,91.61,91.83,41637.39
1787345100000,91.83,91.84,91.51,91.84,35986.57
1787346000000,91.85,92.44,91.63,92.26,131197.53
1787346900000,92.26,93,92.15,92.78,140559.78
1787347800000,92.78,93.1,92.59,93.03,115226.87
1787348700000,93.03,93.85,93.03,93.71,235554.06
1787349600000,93.72,94.39,93.54,94.09,276290.4
1787350500000,94.09,94.17,93.43,94.17,206946.96
1787351400000,94.17,94.49,93.28,94.36,225794.99
1787352300000,94.35,94.64,93.59,94.29,281961.74
1787353200000,94.3,94.35,93.82,94.06,171074.81
1787354100000,94.07,95,94.05,94.4,247506.68
1787355000000,94.4,94.48,93.57,93.95,225117.22
1787355900000,93.94,93.98,93.37,93.7,122908.11
