ts,open,high,low,close,vol
1785456000000,74.46,74.61,74.39,74.46,136666.51
1785459600000,74.46,75.27,74.23,74.37,626548.21
1785463200000,74.36,74.53,74.04,74.11,319829.35
1785466800000,74.11,74.32,73.83,74.1,266492.39
1785470400000,74.1,74.11,73.69,73.79,229829.67
1785474000000,73.79,74.28,73.79,74.2,201202.38
1785477600000,74.19,74.5,73.96,74.06,208604.62
1785481200000,74.06,74.06,73.46,73.62,348183.35
1785484800000,73.62,73.77,73.47,73.61,188637.87
1785488400000,73.62,73.66,73.34,73.45,268806.69
1785492000000,73.44,73.62,73.24,73.53,218324.62
1785495600000,73.53,73.68,73.42,73.52,86845.13
1785499200000,73.53,73.6,73.32,73.6,168962.96
1785502800000,73.6,73.78,73.12,73.24,368962.03
1785506400000,73.25,73.65,72.74,73,1044518.41
1785510000000,73,73.18,72.83,73.07,280201.54
1785513600000,73.07,73.31,72.94,73.27,194040.85
1785517200000,73.26,73.4,73.13,73.32,120080.66
1785520800000,73.32,73.46,72.9,73.08,190737.9
1785524400000,73.07,73.29,72.87,73.05,197295.9
1785528000000,73.05,73.2,72.9,72.92,152627.59
1785531600000,72.92,73.06,72.49,72.68,344064.64
1785535200000,72.68,72.9,72.62,72.79,109036.7
1785538800000,72.79,72.91,72.74,72.82,68026.55
1785542400000,72.81,73.12,72.81,72.97,187090.2
1785546000000,72.97,73.1,72.94,72.99,65662.83
1785549600000,73,73.12,72.96,73.04,100325.31
1785553200000,73.05,73.06,72.83,73.01,100987.89
1785556800000,73,73.18,73,73.13,75827.87
1785560400000,73.13,73.16,72.82,72.91,138624.78
1785564000000,72.91,73,72.86,72.95,66724.75
1785567600000,72.95,73.08,72.88,72.93,82562.02
1785571200000,72.93,73.05,72.92,73,45518.66
1785574800000,73,73.05,72.78,72.8,106073.97
1785578400000,72.81,72.86,72.61,72.8,139400.97
1785582000000,72.8,72.88,72.74,72.85,85531.45
1785585600000,72.85,72.91,72.82,72.9,54433.1
1785589200000,72.89,72.96,72.87,72.94,59315.9
1785592800000,72.93,73.01,72.82,72.99,111989.4
1785596400000,72.98,72.99,72.68,72.75,207674.32
1785600000000,72.75,72.9,72.43,72.66,199469.34
1785603600000,72.65,72.75,71.58,71.88,993896.54
1785607200000,71.89,71.94,70.51,71.04,1261961.77
1785610800000,71.04,71.31,71,71.22,216003.85
1785614400000,71.21,71.51,71.15,71.51,163128.03
1785618000000,71.51,71.82,71.5,71.8,206352.03
1785621600000,71.8,71.97,71.8,71.86,108108.2
1785625200000,71.87,72.04,71.77,71.9,142285.27
1785628800000,71.89,72.1,71.88,72.07,158503.77
1785632400000,72.07,72.71,72.06,72.6,352572.2
1785636000000,72.6,73.37,72.53,73.09,623500.91
1785639600000,73.1,73.21,73.04,73.15,192243.52
1785643200000,73.16,73.51,73.16,73.49,258621.08
