ts,open,high,low,close,vol
1787184000000,0.7058,0.7094,0.7057,0.7075,1366931
1787184900000,0.7075,0.7114,0.7072,0.7101,1087203
1787185800000,0.7101,0.7122,0.708,0.71,1614355
1787186700000,0.7099,0.7119,0.7062,0.7073,1314316
1787187600000,0.7074,0.7102,0.7042,0.7046,892251
1787188500000,0.7045,0.7061,0.7031,0.7047,590085
1787189400000,0.7046,0.7077,0.7044,0.7074,297225
1787190300000,0.7073,0.7101,0.7073,0.7089,733904
1787191200000,0.709,0.7103,0.7069,0.7077,409425
1787192100000,0.7077,0.7078,0.705,0.7053,412065
1787193000000,0.7053,0.7063,0.7043,0.7051,751792
1787193900000,0.705,0.705,0.7026,0.7033,601079
1787194800000,0.7032,0.7033,0.6936,0.6967,2449699
1787195700000,0.6967,0.7005,0.6966,0.6975,948520
1787196600000,0.6974,0.7002,0.6974,0.6997,385551
1787197500000,0.6996,0.7009,0.6991,0.6991,269536
1787198400000,0.6992,0.7016,0.6989,0.7009,491403
1787199300000,0.701,0.7018,0.6991,0.6995,393434
1787200200000,0.6995,0.6996,0.697,0.6984,624487
1787201100000,0.6985,0.7016,0.6985,0.7005,671073
1787202000000,0.7005,0.7011,0.6985,0.6985,283855
1787202900000,0.6985,0.7011,0.6983,0.7,408656
1787203800000,0.7,0.7004,0.6994,0.7003,252168
1787204700000,0.7002,0.7004,0.6985,0.7001,448668
1787205600000,0.7001,0.7017,0.6993,0.6994,649941
1787206500000,0.6993,0.7044,0.6982,0.7018,1470693
1787207400000,0.7018,0.7049,0.7005,0.7044,1554301
1787208300000,0.7045,0.7054,0.7026,0.7045,972609
1787209200000,0.7044,0.7069,0.703,0.7049,1871354
1787210100000,0.7048,0.7049,0.7017,0.7017,537252
1787211000000,0.7017,0.702,0.6995,0.7002,876846
1787211900000,0.7002,0.7031,0.7001,0.7024,513128
1787212800000,0.7025,0.7162,0.7019,0.7151,3355103
1787213700000,0.715,0.7181,0.7125,0.7167,2662030
1787214600000,0.7167,0.722,0.716,0.722,2197550
1787215500000,0.7221,0.7268,0.7206,0.722,3047825
1787216400000,0.722,0.7271,0.7186,0.727,2692620
1787217300000,0.727,0.7281,0.7229,0.7229,2823738
1787218200000,0.7229,0.728,0.7211,0.7262,2065761
1787219100000,0.7261,0.7264,0.72,0.7218,1252708
1787220000000,0.7219,0.7272,0.7203,0.7267,899499
1787220900000,0.7267,0.7319,0.7261,0.7317,2760730
1787221800000,0.7318,0.7352,0.7272,0.7275,2846162
1787222700000,0.7275,0.7297,0.7273,0.7282,638150
1787223600000,0.7282,0.7297,0.7249,0.7266,996887
1787224500000,0.7266,0.7267,0.7249,0.7257,435158
1787225400000,0.7256,0.735,0.7254,0.7317,1695323
1787226300000,0.7317,0.7332,0.7271,0.7283,935976
1787227200000,0.7283,0.7298,0.7193,0.722,2278285
1787228100000,0.7219,0.723,0.7203,0.7219,1162651
1787229000000,0.7219,0.723,0.7184,0.719,1185002
1787229900000,0.7191,0.7232,0.7164,0.7227,1060418
1787230800000,0.7228,0.7245,0.7215,0.7236,653303
1787231700000,0.7236,0.7263,0.7224,0.7254,745251
1787232600000,0.7254,0.7255,0.7156,0.7218,2168610
1787233500000,0.7218,0.7277,0.721,0.726,1184344
1787234400000,0.726,0.7306,0.7257,0.728,1254856
1787235300000,0.7281,0.7284,0.7217,0.7229,1644341
1787236200000,0.723,0.7258,0.7225,0.7237,655084
1787237100000,0.7236,0.7278,0.7212,0.7278,469026
1787238000000,0.7278,0.7382,0.7271,0.7377,2968933
1787238900000,0.7376,0.7423,0.7338,0.7369,2023270
1787239800000,0.7369,0.7408,0.7355,0.7358,1459082
1787240700000,0.7358,0.7415,0.7348,0.7394,1116226
1787241600000,0.7393,0.7435,0.7348,0.7352,2427202
1787242500000,0.7351,0.7408,0.7328,0.7407,1651234
1787243400000,0.7407,0.7485,0.7393,0.7483,1937074
1787244300000,0.7482,0.7508,0.7447,0.7489,2688627
1787245200000,0.749,0.7532,0.7466,0.751,1527324
1787246100000,0.751,0.7519,0.7458,0.7472,1012619
1787247000000,0.7472,0.7493,0.7452,0.7459,836681
1787247900000,0.7459,0.7478,0.7406,0.7415,1366564
1787248800000,0.7415,0.7448,0.7312,0.7329,2397661
1787249700000,0.7329,0.7342,0.7304,0.7306,661612
1787250600000,0.7306,0.7321,0.7257,0.7282,1282113
1787251500000,0.7283,0.7302,0.7245,0.7249,516908
1787252400000,0.7248,0.7281,0.7238,0.725,900150
1787253300000,0.7249,0.7295,0.7248,0.7264,851735
1787254200000,0.7264,0.7289,0.7231,0.7269,1159200
1787255100000,0.7269,0.7276,0.7216,0.7247,839949
1787256000000,0.7247,0.7266,0.7233,0.7264,457379
1787256900000,0.7264,0.7276,0.7237,0.727,445621
1787257800000,0.7269,0.7295,0.7268,0.729,374282
1787258700000,0.7289,0.7305,0.7281,0.73,348668
1787259600000,0.7301,0.7331,0.7294,0.7319,447989
1787260500000,0.7318,0.7333,0.7296,0.7301,308374
1787261400000,0.7301,0.7375,0.73,0.7346,687308
1787262300000,0.7346,0.7361,0.7322,0.7341,417362
1787263200000,0.7342,0.7354,0.7309,0.7315,814331
1787264100000,0.7314,0.733,0.7284,0.7309,925529
1787265000000,0.731,0.7312,0.7271,0.7292,1106782
1787265900000,0.7293,0.7324,0.7293,0.7306,402086
1787266800000,0.7306,0.7329,0.7296,0.7318,535419
1787267700000,0.7319,0.7371,0.7308,0.7362,1122264
1787268600000,0.7363,0.7385,0.7309,0.7321,1513474
1787269500000,0.7322,0.7349,0.7315,0.7336,796269
1787270400000,0.7337,0.7381,0.733,0.7372,1084250
1787271300000,0.7371,0.7417,0.7351,0.7355,1446847
1787272200000,0.7355,0.7388,0.7334,0.7359,1307158
1787273100000,0.736,0.7397,0.7351,0.7377,664733
1787274000000,0.7376,0.7398,0.737,0.7383,619790
1787274900000,0.7384,0.7448,0.7364,0.7397,1443859
