ts,open,high,low,close,vol
1785456000000,0.6916,0.6933,0.6893,0.6927,2737191
1785459600000,0.6926,0.6966,0.6901,0.692,2401426
1785463200000,0.6919,0.6928,0.6853,0.6876,2518520
1785466800000,0.6877,0.6904,0.6848,0.6896,2249271
1785470400000,0.6895,0.6903,0.6872,0.688,1426247
1785474000000,0.688,0.6913,0.6871,0.69,1271899
1785477600000,0.69,0.691,0.687,0.6886,925269
1785481200000,0.6885,0.691,0.6833,0.6898,2298313
1785484800000,0.6897,0.6913,0.6887,0.6903,1550650
1785488400000,0.6903,0.6905,0.6861,0.6867,1465861
1785492000000,0.6867,0.6892,0.6823,0.6888,2671555
1785495600000,0.6888,0.6908,0.6867,0.6877,1351461
1785499200000,0.6877,0.6896,0.6855,0.6892,1169272
1785502800000,0.6892,0.6901,0.6827,0.6854,4165389
1785506400000,0.6854,0.6903,0.6776,0.6842,8236152
1785510000000,0.6842,0.686,0.6805,0.6829,2119606
1785513600000,0.6828,0.6859,0.6824,0.6839,1021842
1785517200000,0.6838,0.6856,0.6826,0.6835,1273628
1785520800000,0.6835,0.6853,0.681,0.6827,960389
1785524400000,0.6826,0.6833,0.6761,0.6788,1693905
1785528000000,0.6789,0.6819,0.6787,0.6801,995158
1785531600000,0.6801,0.6829,0.6788,0.6798,1128659
1785535200000,0.6797,0.6822,0.6787,0.6813,573742
1785538800000,0.6812,0.6834,0.6812,0.6816,556929
1785542400000,0.6816,0.6847,0.6816,0.6833,843433
1785546000000,0.6834,0.6859,0.6833,0.6856,1035664
1785549600000,0.6857,0.6863,0.6849,0.6853,684117
1785553200000,0.6853,0.6858,0.684,0.6858,929408
1785556800000,0.6858,0.6893,0.6858,0.6887,879109
1785560400000,0.6886,0.6897,0.6826,0.685,1122117
1785564000000,0.6851,0.6852,0.6833,0.6844,641686
1785567600000,0.6843,0.6856,0.6835,0.6843,769439
1785571200000,0.6844,0.6847,0.6832,0.6845,445913
1785574800000,0.6845,0.6849,0.6835,0.6837,648752
1785578400000,0.6838,0.6842,0.682,0.6828,1040826
1785582000000,0.6829,0.6845,0.6824,0.6844,636118
1785585600000,0.6844,0.6854,0.6842,0.6844,351118
1785589200000,0.6845,0.6857,0.6832,0.6842,761657
1785592800000,0.6841,0.6856,0.6834,0.6851,1094770
1785596400000,0.6851,0.6851,0.6823,0.6824,768017
1785600000000,0.6823,0.6845,0.6808,0.6821,841322
1785603600000,0.682,0.6829,0.6772,0.6795,3201015
1785607200000,0.6794,0.68,0.6623,0.6688,13882303
1785610800000,0.6687,0.672,0.6685,0.671,1594454
1785614400000,0.6709,0.6731,0.6704,0.6729,1198380
1785618000000,0.6729,0.6766,0.6728,0.6763,1947112
1785621600000,0.6764,0.6785,0.6753,0.6754,933201
1785625200000,0.6754,0.6765,0.6747,0.6754,1162477
1785628800000,0.6753,0.6777,0.6752,0.6775,1236740
1785632400000,0.6776,0.6836,0.6776,0.6825,2570080
1785636000000,0.6825,0.6902,0.6818,0.6885,4020968
1785639600000,0.6885,0.6905,0.6872,0.6893,1350527
1785643200000,0.6893,0.6924,0.6893,0.691,1547940
1785646800000,0.6911,0.6926,0.6889,0.6922,1393866
1785650400000,0.6922,0.6939,0.6902,0.6913,1241775
1785654000000,0.6914,0.692,0.6903,0.691,1034811
1785657600000,0.691,0.6914,0.6884,0.6892,989258
1785661200000,0.6892,0.6908,0.6865,0.6895,990190
1785664800000,0.6894,0.6896,0.6858,0.6869,828171
1785668400000,0.687,0.6876,0.6832,0.6845,1446938
1785672000000,0.6845,0.6877,0.6845,0.6873,756596
1785675600000,0.6872,0.6883,0.686,0.6871,562891
1785679200000,0.6871,0.6912,0.6861,0.6893,1334353
1785682800000,0.6894,0.6928,0.6883,0.6896,1645812
1785686400000,0.6897,0.692,0.6884,0.6899,767654
1785690000000,0.6898,0.6913,0.6893,0.6905,286029
1785693600000,0.6904,0.6949,0.6902,0.6916,1043473
1785697200000,0.6916,0.6929,0.6906,0.6923,683436
1785700800000,0.6923,0.6925,0.691,0.6914,314920
1785704400000,0.6914,0.6958,0.6907,0.6936,1527803
1785708000000,0.6937,0.6956,0.6895,0.6896,1175371
1785711600000,0.6895,0.6898,0.6872,0.6894,998082
1785715200000,0.6895,0.6899,0.6856,0.6873,796403
1785718800000,0.6872,0.6878,0.6844,0.6864,1436308
1785722400000,0.6864,0.6881,0.6855,0.687,701146
1785726000000,0.687,0.6883,0.6837,0.6858,1192867
1785729600000,0.6858,0.6889,0.6854,0.6862,909278
1785733200000,0.6862,0.6893,0.6861,0.6892,483715
1785736800000,0.6892,0.6896,0.6845,0.6853,836400
1785740400000,0.6853,0.6865,0.6832,0.6845,1028262
1785744000000,0.6844,0.6846,0.6785,0.6843,2718770
1785747600000,0.6843,0.6877,0.6839,0.6866,953589
1785751200000,0.6867,0.6874,0.6838,0.6856,765616
1785754800000,0.6856,0.6875,0.6838,0.6851,636371
1785758400000,0.6852,0.6873,0.6836,0.6867,631974
1785762000000,0.6867,0.6975,0.6862,0.6965,4340328
1785765600000,0.6965,0.6982,0.6927,0.6955,3888512
1785769200000,0.6954,0.6964,0.6925,0.6939,2447563
1785772800000,0.694,0.6955,0.692,0.6946,1291259
1785776400000,0.6947,0.697,0.6934,0.6939,865402
1785780000000,0.694,0.6963,0.6938,0.6939,532613
1785783600000,0.694,0.6958,0.693,0.6933,460718
1785787200000,0.6932,0.6948,0.6926,0.6946,583267
1785790800000,0.6947,0.6954,0.6928,0.6931,884401
1785794400000,0.6931,0.6931,0.6884,0.6903,1301745
1785798000000,0.6902,0.6911,0.6886,0.6909,738081
1785801600000,0.6909,0.6922,0.6874,0.689,1365838
1785805200000,0.6889,0.6958,0.6885,0.6955,806515
1785808800000,0.6956,0.6974,0.6938,0.6961,911278
1785812400000,0.6962,0.697,0.6932,0.6954,629761
1785816000000,0.6953,0.6989,0.695,0.6956,1482554
1785819600000,0.6957,0.6961,0.6936,0.6942,886088
1785823200000,0.6942,0.6952,0.6907,0.6909,1058168
1785826800000,0.6909,0.6937,0.6888,0.6927,966190
1785830400000,0.6926,0.6936,0.6905,0.6922,585328
1785834000000,0.6923,0.6926,0.69,0.6914,444047
1785837600000,0.6915,0.6942,0.6891,0.6925,732335
1785841200000,0.6925,0.6948,0.6909,0.694,840056
1785844800000,0.694,0.6955,0.6924,0.694,1273132
1785848400000,0.6939,0.696,0.6905,0.6907,2220127
1785852000000,0.6908,0.693,0.685,0.6913,4105704
1785855600000,0.6913,0.6942,0.688,0.693,2104806
1785859200000,0.693,0.6942,0.6916,0.6935,626530
1785862800000,0.6936,0.6963,0.6931,0.6936,969489
1785866400000,0.6935,0.6982,0.6935,0.6966,1104914
1785870000000,0.6967,0.7001,0.6966,0.6975,1307784
1785873600000,0.6976,0.6987,0.6938,0.6974,1381333
1785877200000,0.6974,0.6975,0.6942,0.6947,810906
1785880800000,0.6948,0.6958,0.6926,0.6956,749051
1785884400000,0.6956,0.6963,0.6923,0.6928,845410
1785888000000,0.6927,0.6931,0.689,0.6892,1387283
1785891600000,0.6892,0.6938,0.6878,0.6936,1166519
1785895200000,0.6936,0.6954,0.6926,0.6945,850734
1785898800000,0.6945,0.6955,0.6871,0.6886,3268843
1785902400000,0.6885,0.6905,0.6881,0.6896,630644
1785906000000,0.6895,0.6941,0.6892,0.6921,1295744
1785909600000,0.692,0.6931,0.6911,0.6924,395536
1785913200000,0.6925,0.6926,0.6895,0.6916,926951
1785916800000,0.6917,0.6935,0.6904,0.6911,866298
1785920400000,0.6911,0.6932,0.6909,0.6929,678427
1785924000000,0.6929,0.6935,0.6904,0.691,780115
