ts,open,high,low,close,vol
1787184000000,1.1057,1.1089,1.1043,1.1065,43569.42
1787184900000,1.1065,1.1111,1.1057,1.1107,28000.75
1787185800000,1.1107,1.1131,1.1071,1.1084,56125.49
1787186700000,1.1085,1.113,1.1055,1.1078,47309.76
1787187600000,1.1078,1.112,1.1064,1.1109,33716.72
1787188500000,1.1108,1.1146,1.1091,1.1093,25468.08
1787189400000,1.1093,1.112,1.1062,1.1117,25939.17
1787190300000,1.1117,1.1157,1.1116,1.1116,27059.69
1787191200000,1.1116,1.1136,1.1103,1.1109,14562.33
1787192100000,1.111,1.1114,1.108,1.1092,19034.45
1787193000000,1.1091,1.1095,1.102,1.1022,20991.72
1787193900000,1.1022,1.103,1.0988,1.0991,28846.85
1787194800000,1.0991,1.1003,1.0879,1.0899,81137.78
1787195700000,1.0899,1.0957,1.0897,1.0905,34658.27
1787196600000,1.0906,1.0944,1.0905,1.0933,20925.08
1787197500000,1.0933,1.0959,1.0932,1.0938,11280.31
1787198400000,1.0938,1.0963,1.0931,1.0949,13137.7
1787199300000,1.095,1.0976,1.0946,1.0966,19104.6
1787200200000,1.0965,1.0977,1.0943,1.097,12953.48
1787201100000,1.0971,1.102,1.0967,1.1,28269.04
1787202000000,1.1,1.1037,1.0997,1.1037,11168.33
1787202900000,1.1036,1.1099,1.1036,1.1056,23771.65
1787203800000,1.1056,1.1069,1.1044,1.1058,16699.82
1787204700000,1.1058,1.1058,1.1031,1.1044,11348.07
1787205600000,1.1044,1.1045,1.1012,1.1036,28589.49
1787206500000,1.1035,1.1083,1.1004,1.1057,41635.59
1787207400000,1.1057,1.1103,1.104,1.11,29648.39
1787208300000,1.1101,1.112,1.1079,1.1114,29067.98
1787209200000,1.1113,1.1119,1.1088,1.1096,22622.57
1787210100000,1.1096,1.1108,1.1076,1.1102,13764.23
1787211000000,1.1101,1.1127,1.1073,1.1127,14187.99
1787211900000,1.1126,1.1134,1.1105,1.1119,14866.84
1787212800000,1.1119,1.1292,1.1112,1.1283,84936.66
1787213700000,1.1282,1.143,1.1252,1.1405,113906.55
1787214600000,1.1404,1.1529,1.14,1.1514,197705.11
1787215500000,1.1515,1.1561,1.1478,1.1528,89838.14
1787216400000,1.1528,1.1634,1.1528,1.1614,104208.77
1787217300000,1.1613,1.1619,1.1509,1.1535,95311.23
1787218200000,1.1535,1.157,1.1491,1.1505,60313.37
1787219100000,1.1505,1.1526,1.1453,1.1495,58657.54
1787220000000,1.1495,1.1549,1.1471,1.1544,31838.89
1787220900000,1.1544,1.1665,1.1544,1.1609,100974.35
1787221800000,1.1609,1.1616,1.1572,1.159,65282.22
1787222700000,1.1589,1.1629,1.1574,1.1603,31477.49
1787223600000,1.1602,1.1612,1.1566,1.1584,40885.16
1787224500000,1.1584,1.1694,1.1579,1.1675,77622.48
1787225400000,1.1675,1.1957,1.1661,1.1891,177309.54
1787226300000,1.189,1.1959,1.1824,1.1906,121217.21
1787227200000,1.1905,1.1974,1.1776,1.1807,152292.18
1787228100000,1.1806,1.1912,1.1786,1.1904,66988.53
1787229000000,1.1904,1.1971,1.1842,1.1894,137265.62
1787229900000,1.1894,1.1939,1.1847,1.1926,72749.39
1787230800000,1.1926,1.1975,1.1886,1.1934,54436.89
1787231700000,1.1933,1.2133,1.1918,1.2055,185991.52
1787232600000,1.2055,1.208,1.1894,1.2068,172718.29
1787233500000,1.2067,1.223,1.2034,1.2203,150793.63
1787234400000,1.2203,1.2417,1.2147,1.2385,253446.04
1787235300000,1.2386,1.2447,1.2325,1.2361,196462.47
1787236200000,1.2361,1.2465,1.233,1.2356,170908.64
1787237100000,1.2355,1.2355,1.2194,1.2272,157927.51
1787238000000,1.2272,1.2646,1.2254,1.2619,281816.29
1787238900000,1.2619,1.264,1.2342,1.2398,164961.67
1787239800000,1.2398,1.2501,1.2387,1.2452,95633.57
1787240700000,1.2452,1.2627,1.244,1.2607,95098.48
1787241600000,1.2606,1.2675,1.2517,1.253,151767.92
1787242500000,1.253,1.2709,1.253,1.2678,118472.51
1787243400000,1.2679,1.2922,1.2632,1.289,265484.97
1787244300000,1.2889,1.3167,1.2874,1.3146,253288.85
1787245200000,1.3146,1.3256,1.3087,1.3121,246653
1787246100000,1.3121,1.3248,1.3047,1.3195,197852.14
1787247000000,1.3194,1.3443,1.3171,1.33,227794.78
1787247900000,1.3299,1.3363,1.3086,1.3102,205803.73
1787248800000,1.3103,1.3183,1.2681,1.2701,557870.21
1787249700000,1.2702,1.2818,1.2615,1.2641,243991.21
1787250600000,1.264,1.2672,1.2473,1.2566,232679.34
1787251500000,1.2567,1.2614,1.228,1.2296,249792.84
1787252400000,1.2295,1.2398,1.2237,1.2256,248196.66
1787253300000,1.2256,1.2393,1.2239,1.2317,133606.33
1787254200000,1.2317,1.2398,1.2245,1.2364,134989.2
1787255100000,1.2364,1.2386,1.2201,1.2326,169500.6
1787256000000,1.2326,1.2384,1.2303,1.2341,53917.68
1787256900000,1.234,1.2397,1.2312,1.236,37657.36
1787257800000,1.2359,1.2469,1.2353,1.243,99688.78
1787258700000,1.2429,1.2474,1.2383,1.2433,50763.92
1787259600000,1.2433,1.2563,1.2425,1.2536,61093.69
1787260500000,1.2537,1.2596,1.2516,1.259,38464.2
1787261400000,1.259,1.2713,1.2578,1.2639,65217.91
1787262300000,1.2639,1.2705,1.2536,1.2575,69832.98
1787263200000,1.2575,1.2623,1.2533,1.2557,67617.27
1787264100000,1.2556,1.2657,1.254,1.2597,62307.58
1787265000000,1.2598,1.261,1.2535,1.2567,46544.42
1787265900000,1.2567,1.2618,1.256,1.256,20088.49
1787266800000,1.2561,1.267,1.2545,1.2658,40957.59
1787267700000,1.2658,1.2752,1.2617,1.273,65067.59
1787268600000,1.2731,1.2737,1.2648,1.2671,68084.16
1787269500000,1.2672,1.2709,1.266,1.2678,49958.85
1787270400000,1.2677,1.2711,1.2581,1.2699,118214.79
1787271300000,1.2698,1.2736,1.2647,1.2664,56847.38
1787272200000,1.2665,1.2704,1.2607,1.2619,61414.81
1787273100000,1.2618,1.2691,1.2592,1.2651,56416.92
1787274000000,1.265,1.2758,1.2634,1.2749,74925.35
1787274900000,1.275,1.2902,1.2714,1.2887,126384.56
1787275800000,1.2888,1.2939,1.2816,1.2869,93579.27
1787276700000,1.2869,1.3023,1.2852,1.2955,104667.1
1787277600000,1.2955,1.2966,1.2811,1.2875,104686.04
1787278500000,1.2875,1.2968,1.2825,1.2968,46998.38
1787279400000,1.2968,1.3002,1.2892,1.2929,38251.51
1787280300000,1.2929,1.295,1.2881,1.2887,47981.62
1787281200000,1.2887,1.3012,1.2838,1.2928,75076.03
1787282100000,1.2927,1.3064,1.2906,1.306,63473.5
1787283000000,1.306,1.3145,1.3031,1.3074,120894.87
1787283900000,1.3073,1.3188,1.3073,1.308,105338.21
1787284800000,1.308,1.3205,1.3037,1.3063,134223.21
1787285700000,1.3062,1.3141,1.2961,1.3002,104968.52
1787286600000,1.3001,1.3104,1.2987,1.3103,57636.17
1787287500000,1.3103,1.3187,1.3068,1.3142,59960.35
1787288400000,1.3142,1.3142,1.3036,1.3108,99357.16
1787289300000,1.3107,1.314,1.3049,1.3083,42895.38
1787290200000,1.3083,1.3088,1.3036,1.3041,40525.08
1787291100000,1.3041,1.3136,1.3031,1.3094,48117.99
1787292000000,1.3095,1.3207,1.308,1.312,69624.33
1787292900000,1.312,1.3153,1.301,1.3033,84473.86
1787293800000,1.3033,1.31,1.2986,1.3004,70939.43
1787294700000,1.3003,1.3044,1.2962,1.2984,63994.52
1787295600000,1.2984,1.3116,1.2976,1.3116,49972.84
1787296500000,1.3117,1.3215,1.3104,1.3121,107602.87
1787297400000,1.3122,1.3212,1.309,1.3189,63761.19
1787298300000,1.319,1.3201,1.3098,1.3138,56891.04
1787299200000,1.3138,1.3485,1.3123,1.3454,254426.42
1787300100000,1.3455,1.3578,1.3361,1.353,199837.56
1787301000000,1.3529,1.365,1.3511,1.3617,198531.62
1787301900000,1.3618,1.3996,1.3613,1.399,248516.64
1787302800000,1.399,1.3996,1.3378,1.3623,450878.99
1787303700000,1.3622,1.3777,1.3535,1.3748,139449.01
1787304600000,1.3748,1.3946,1.366,1.3883,153888.72
1787305500000,1.3883,1.4299,1.3855,1.4195,444316.31
1787306400000,1.4196,1.4255,1.3879,1.3929,282511.22
1787307300000,1.3929,1.3981,1.3675,1.3782,238079.44
1787308200000,1.3781,1.383,1.3667,1.3731,117476.54
1787309100000,1.3731,1.3893,1.3731,1.3841,110627.77
1787310000000,1.3842,1.4041,1.3749,1.3885,127885.82
1787310900000,1.3886,1.3917,1.3761,1.3885,75740.87
1787311800000,1.3886,1.3894,1.3631,1.3772,140646.32
1787312700000,1.3771,1.3804,1.3553,1.3574,179972.6
1787313600000,1.3574,1.3635,1.347,1.3622,197786.02
1787314500000,1.3623,1.3661,1.3562,1.3633,47462.01
1787315400000,1.3633,1.3845,1.359,1.3845,78647.4
1787316300000,1.3844,1.3873,1.3727,1.381,66695.17
1787317200000,1.381,1.382,1.3743,1.3777,36242.13
1787318100000,1.3777,1.3908,1.3662,1.3872,144933.87
1787319000000,1.3871,1.4125,1.376,1.4116,213522.69
1787319900000,1.4115,1.4218,1.4056,1.4161,154095.08
1787320800000,1.4161,1.418,1.3928,1.4003,301789.09
1787321700000,1.4004,1.4035,1.3881,1.3961,126341.03
1787322600000,1.3961,1.4053,1.3897,1.3944,85320.65
1787323500000,1.3945,1.4047,1.3936,1.3993,67808
1787324400000,1.3993,1.4159,1.3944,1.4063,115620.39
1787325300000,1.4062,1.4191,1.405,1.4055,81251.83
1787326200000,1.4055,1.4134,1.3967,1.4079,108769.11
1787327100000,1.408,1.4117,1.3972,1.4028,75851.84
1787328000000,1.4028,1.4056,1.3906,1.3927,83038
1787328900000,1.3926,1.4076,1.3905,1.4052,95613.88
1787329800000,1.4053,1.4056,1.3854,1.3877,120307.35
1787330700000,1.3877,1.3993,1.3874,1.3992,98392.89
1787331600000,1.3993,1.414,1.3952,1.4014,120648.81
1787332500000,1.4015,1.4035,1.3811,1.3904,78455.86
1787333400000,1.3904,1.3917,1.3767,1.3804,102479.71
1787334300000,1.3805,1.3891,1.3737,1.3864,85347.38
1787335200000,1.3865,1.3916,1.3852,1.3895,26284.99
1787336100000,1.3894,1.3964,1.3851,1.3938,32711.79
1787337000000,1.3937,1.4004,1.3771,1.3799,61188.9
1787337900000,1.3798,1.3803,1.3682,1.3779,109747.07
1787338800000,1.3779,1.3786,1.3616,1.3733,73414.17
1787339700000,1.3732,1.3872,1.369,1.3863,43013.46
1787340600000,1.3863,1.3877,1.3733,1.3737,41264.66
1787341500000,1.3737,1.3738,1.3636,1.3721,60954.16
1787342400000,1.3722,1.3742,1.3662,1.3712,48760.45
1787343300000,1.3712,1.3827,1.3712,1.3738,61471.22
1787344200000,1.3738,1.3776,1.3661,1.3702,27603.69
1787345100000,1.3702,1.3745,1.3662,1.3745,20559.97
1787346000000,1.3745,1.39,1.3721,1.3851,52275.73
1787346900000,1.385,1.396,1.3819,1.3919,68174.35
1787347800000,1.3919,1.4064,1.3916,1.4057,43252.24
1787348700000,1.4057,1.4099,1.4003,1.406,54719.23
1787349600000,1.406,1.4375,1.3987,1.4261,194658.13
