ts,open,high,low,close,vol
1785456000000,1.0825,1.0847,1.0807,1.0814,36212.13
1785459600000,1.0815,1.0895,1.0785,1.0802,70890.67
1785463200000,1.0801,1.0822,1.0782,1.0801,42870.93
1785466800000,1.08,1.0824,1.0773,1.0811,36427.75
1785470400000,1.081,1.0822,1.0802,1.0812,23247.65
1785474000000,1.0812,1.0827,1.0784,1.0798,31592.09
1785477600000,1.0798,1.0839,1.0787,1.0798,38306.95
1785481200000,1.0797,1.0797,1.0733,1.079,61720.61
1785484800000,1.0789,1.0798,1.075,1.0769,35689.69
1785488400000,1.0769,1.0771,1.0705,1.0716,48198.36
1785492000000,1.0715,1.0744,1.0703,1.073,49793.32
1785495600000,1.0731,1.0753,1.0707,1.0721,23092.71
1785499200000,1.0721,1.0723,1.0691,1.0719,61839.76
1785502800000,1.072,1.0739,1.0651,1.0658,86939.29
1785506400000,1.0658,1.0671,1.0566,1.0627,239961.93
1785510000000,1.0627,1.0647,1.0576,1.0601,71049.42
1785513600000,1.06,1.0634,1.0595,1.063,40430.33
1785517200000,1.063,1.0705,1.0628,1.0691,40686.84
1785520800000,1.069,1.0701,1.0628,1.0647,23426.69
1785524400000,1.0648,1.0659,1.0603,1.0613,54545.43
1785528000000,1.0613,1.0645,1.0609,1.0615,41990.38
1785531600000,1.0614,1.0647,1.0582,1.0601,104310.55
1785535200000,1.0601,1.0638,1.0589,1.0613,50353.32
1785538800000,1.0613,1.0629,1.0601,1.0611,22133.04
1785542400000,1.0612,1.0632,1.0612,1.0624,22021.47
1785546000000,1.0624,1.0646,1.0624,1.0644,15820.28
1785549600000,1.0645,1.0662,1.0644,1.0651,12937.76
1785553200000,1.0651,1.066,1.0636,1.0654,15620.4
1785556800000,1.0653,1.0666,1.0647,1.0664,12361.59
1785560400000,1.0664,1.0664,1.0619,1.0634,25945.54
1785564000000,1.0634,1.0646,1.0625,1.0633,11581.79
1785567600000,1.0634,1.0636,1.0608,1.0615,20599.3
1785571200000,1.0615,1.0622,1.0607,1.0618,19535.33
1785574800000,1.0619,1.0627,1.0606,1.0607,24922.84
1785578400000,1.0607,1.0633,1.0592,1.0619,24174.23
1785582000000,1.062,1.0632,1.0611,1.0632,11897.65
1785585600000,1.0632,1.0641,1.0626,1.0638,9331.51
1785589200000,1.0638,1.0641,1.0622,1.0627,9198.85
