n,pair,dir,entry_dt,exit_dt,entry_notional,exit_notional,exit_type,note
1,LINK,S,2026-08-18 20:30,2026-08-19 00:14,6165.25,6210.75,SL,
2,LINK,L,2026-08-19 09:33,2026-08-19 10:50,6739.60,6796.79,TP,
3,LINK,L,2026-08-19 10:01,2026-08-19 10:50,7711.26,7762.01,TP,
4,LINK,L,2026-08-19 10:41,2026-08-19 10:50,13536.60,13581.49,TP,big
5,LINK,L,2026-08-19 14:47,2026-08-19 16:03,7017.07,6987.56,SL,
6,LINK,L,2026-08-19 17:45,2026-08-19 17:55,8734.50,8788.13,TP,
7,SOL,L,2026-08-20 14:15,2026-08-20 14:39,8013.20,8089.56,TP,
8,BTC,L,2026-08-20 15:18,2026-08-20 16:32,10761.46,10715.25,SL,big
9,BTC,L,2026-08-20 15:55,2026-08-20 16:32,8977.58,8929.37,SL,
10,BTC,S,2026-08-20 16:51,2026-08-20 16:51,17181.69,17205.12,SL,big_quick
11,BTC,L,2026-08-20 16:56,2026-08-20 18:03,5736.27,5785.72,TP,
12,ETH,L,2026-08-20 17:10,2026-08-20 18:20,4109.13,4159.45,TP,
13,ETH,L,2026-08-20 18:15,2026-08-20 19:41,2526.45,2574.46,TP,
14,SOL,L,2026-08-20 23:00,2026-08-21 01:02,6542.25,6546.75,SL,sl_above_entry
15,XRP,L,2026-08-20 23:15,2026-08-21 00:07,3702.00,3754.49,TP,
16,SOL,L,2026-08-21 10:37,2026-08-21 11:25,19824.80,19944.80,MKT,scaleout_big
17,LINK,L,2026-08-21 13:20,2026-08-21 14:12,3438.80,3397.72,SL,
18,LINK,L,2026-08-21 13:46,2026-08-21 14:12,5708.50,5662.71,SL,
19,LINK,L,2026-08-21 14:25,2026-08-21 14:34,5698.15,5644.29,SL,
20,LINK,L,2026-08-21 15:20,2026-08-21 15:39,8473.05,8524.69,TP,
21,LINK,L,2026-08-21 15:45,2026-08-21 18:09,3417.39,3468.02,TP,
22,SOL,L,2026-08-21 15:47,2026-08-21 16:35,4098.15,4044.60,SL,
23,SOL,L,2026-08-21 16:50,2026-08-21 21:44,3190.60,3200.88,MKT,manual_win
24,SUI,L,2026-08-21 19:17,2026-08-21 20:16,5672.80,5629.67,SL,
25,SUI,L,2026-08-21 20:39,2026-08-21 21:23,3244.40,3289.13,TP,
26,SOL,S,2026-08-21 21:56,2026-08-21 23:21,5028.10,5038.00,MKT,manual_loss
27,SOL,L,2026-08-21 23:26,2026-08-21 23:48,8073.12,8055.09,MKT,manual_loss
28,DOGE,S,2026-08-21 22:29,2026-08-21 23:18,4243.50,4266.00,SL,
29,SOL,L,2026-08-21 23:52,2026-08-22 00:33,3671.20,3720.40,TP,
30,AVAX,L,2026-08-21 23:51,2026-08-22 00:52,2536.12,2585.50,TP,
31,ETH,S,2026-08-22 10:38,2026-08-22 11:30,8532.09,8468.70,TP,
32,AVAX,S,2026-08-22 10:45,2026-08-22 11:26,3435.21,3392.32,TP,
33,LINK,S,2026-08-23 12:03,2026-08-23 13:05,5676.69,5708.52,SL,
34,ETH,S,2026-08-23 12:46,2026-08-23 14:21,7235.70,7280.73,SL,
35,LINK,S,2026-08-23 14:19,2026-08-23 14:24,3396.58,3441.52,SL,
36,LINK,S,2026-08-23 14:37,2026-08-23 15:55,14808.60,14767.65,MKT,manual_win_big
37,LINK,S,2026-08-23 15:55,2026-08-23 15:58,13805.95,13869.24,MKT,manual_loss_big
38,LINK,L,2026-08-23 16:00,2026-08-23 17:04,6842.40,6958.82,TP,scaleout
39,SUI,L,2026-08-23 17:54,2026-08-24 00:19,1399.10,1443.27,TP,
40,ETH,L,2026-08-23 17:56,2026-08-24 00:33,2435.39,2483.45,TP,
41,SUI,L,2026-08-23 22:46,2026-08-23 23:02,5026.20,4979.69,SL,
42,SUI,L,2026-08-23 23:09,2026-08-24 00:03,5840.10,5888.81,TP,
43,BTC,S,2026-08-24 10:49,2026-08-24 11:26,8513.97,8454.17,TP,
44,SOL,S,2026-08-24 10:50,2026-08-24 14:35,3293.50,3340.75,SL,
45,BTC,L,2026-08-24 16:50,2026-08-24 17:00,9230.10,9282.26,TP,
46,AVAX,S,2026-08-24 18:53,2026-08-25 05:17,3773.50,3825.43,SL,
47,XRP,S,2026-08-25 00:41,2026-08-25 03:11,6651.00,6699.60,SL,
48,ETH,L,2026-08-25 09:29,2026-08-25 10:49,6269.37,6217.67,SL,
49,BTC,L,2026-08-25 11:30,2026-08-25 12:51,4809.76,4758.50,SL,
50,SUI,L,2026-08-25 13:10,2026-08-25 15:06,13611.90,13507.53,SL,big
51,SUI,L,2026-08-25 15:50,2026-08-25 16:15,3201.60,3175.20,SL,
