n,pair,dir,entry_dt,exit_dt,entry_notional,exit_notional,exit_type,note,gross,fees,net,equity,mins,wt1h,wt4h,mkt_drift_pct
1,LINK,S,2026-08-18 20:30:00,2026-08-19 00:14:00,6165.25,6210.75,SL,,-45.5,0.49504,-45.99504,9954.00496,224.0,20.098030235551345,26.20882882048528,
2,LINK,L,2026-08-19 09:33:00,2026-08-19 10:50:00,6739.6,6796.79,TP,,57.1899999999996,0.5414556,56.6485443999996,10010.6535044,77.0,79.90471905710005,50.680194484882996,
3,LINK,L,2026-08-19 10:01:00,2026-08-19 10:50:00,7711.26,7762.01,TP,,50.75,0.6189308000000001,50.1310692,10060.7845736,49.0,80.8555647723136,50.680194484882996,
4,LINK,L,2026-08-19 10:41:00,2026-08-19 10:50:00,13536.6,13581.49,TP,big,44.88999999999942,1.0847236,43.80527639999942,10104.589849999998,9.0,80.8555647723136,50.680194484882996,
5,LINK,L,2026-08-19 14:47:00,2026-08-19 16:03:00,7017.07,6987.56,SL,,-29.50999999999931,0.5601852,-30.070185199999308,10074.5196648,76.0,87.09756924591852,65.01490989167263,
6,LINK,L,2026-08-19 17:45:00,2026-08-19 17:55:00,8734.5,8788.13,TP,,53.6299999999992,0.7009052,52.9290947999992,10127.448759599998,10.0,67.26790706582827,76.37202029622942,
7,SOL,L,2026-08-20 14:15:00,2026-08-20 14:39:00,8013.2,8089.56,TP,,76.36000000000058,0.6441104000000001,75.71588960000058,10203.1646492,24.0,66.00078939292328,105.09383443805272,0.6311682350240932
8,BTC,L,2026-08-20 15:18:00,2026-08-20 16:32:00,10761.46,10715.25,SL,big,-46.20999999999913,0.8590684000000001,-47.069068399999125,10156.0955808,74.0,73.83742421163264,99.16516026262543,-0.005862057414662836
9,BTC,L,2026-08-20 15:55:00,2026-08-20 16:32:00,8977.58,8929.37,SL,,-48.20999999999913,0.7162780000000001,-48.92627799999913,10107.1693028,37.0,73.83742421163264,99.16516026262543,-0.5339619812405272
10,BTC,S,2026-08-20 16:51:00,2026-08-20 16:51:00,17181.69,17205.12,SL,big_quick,-23.43000000000029,1.3754724,-24.80547240000029,10082.3638304,0.0,70.85145237692048,98.34789488177087,
11,BTC,L,2026-08-20 16:56:00,2026-08-20 18:03:00,5736.27,5785.72,TP,,49.44999999999982,0.4608796000000001,48.98912039999982,10131.3529508,67.0,70.85145237692048,98.34789488177087,0.5973717315560512
12,ETH,L,2026-08-20 17:10:00,2026-08-20 18:20:00,4109.13,4159.45,TP,,50.31999999999971,0.3307432,49.98925679999971,10181.3422076,70.0,44.78489880131235,108.22062351370027,1.7363417606250264
13,ETH,L,2026-08-20 18:15:00,2026-08-20 19:41:00,2526.45,2574.46,TP,,48.01000000000022,0.2040364,47.80596360000022,10229.1481712,86.0,44.34491460932269,108.22062351370027,1.5458523592085216
15,XRP,L,2026-08-20 23:15:00,2026-08-21 00:07:00,3702.0,3754.49,TP,,52.48999999999978,0.2982596,52.19174039999978,10281.3399116,52.0,70.68615169292008,105.2926888931588,1.4239482200647302
14,SOL,L,2026-08-20 23:00:00,2026-08-21 01:02:00,6542.25,6546.75,SL,sl_above_entry,4.5,0.52356,3.97644,10285.3163516,122.0,41.99680272667967,96.47065039988873,0.011450818733549362
16,SOL,L,2026-08-21 10:37:00,2026-08-21 11:25:00,19824.8,19944.8,MKT,scaleout_big,120.0,1.590784,118.409216,10403.7255676,48.0,79.8377427093331,84.26529915888737,1.0841907290629615
17,LINK,L,2026-08-21 13:20:00,2026-08-21 14:12:00,3438.8,3397.72,SL,,-41.08000000000038,0.2734608,-41.353460800000384,10362.3721068,52.0,87.55870116609564,82.61892832899387,-0.3065603923973037
18,LINK,L,2026-08-21 13:46:00,2026-08-21 14:12:00,5708.5,5662.71,SL,,-45.78999999999997,0.4548484,-46.24484839999997,10316.1272584,26.0,87.55870116609564,82.61892832899387,
19,LINK,L,2026-08-21 14:25:00,2026-08-21 14:34:00,5698.15,5644.29,SL,,-53.85999999999967,0.4536976,-54.31369759999967,10261.8135608,9.0,81.56320602515807,82.61892832899387,
20,LINK,L,2026-08-21 15:20:00,2026-08-21 15:39:00,8473.05,8524.69,TP,,51.64000000000124,0.6799096,50.96009040000124,10312.7736512,19.0,73.71121490715808,82.61892832899387,
22,SOL,L,2026-08-21 15:47:00,2026-08-21 16:35:00,4098.15,4044.6,SL,,-53.54999999999973,0.32571,-53.87570999999973,10258.897941200004,48.0,68.06099308041559,82.75057145024903,0.11005943209332347
21,LINK,L,2026-08-21 15:45:00,2026-08-21 18:09:00,3417.39,3468.02,TP,,50.63000000000011,0.2754164,50.35458360000011,10309.252524800002,144.0,73.71121490715808,82.61892832899387,1.882477128782556
24,SUI,L,2026-08-21 19:17:00,2026-08-21 20:16:00,5672.8,5629.67,SL,,-43.13000000000011,0.4520988000000001,-43.58209880000011,10265.670426000002,59.0,69.73258699254006,76.04239046079554,-0.2718734552644597
25,SUI,L,2026-08-21 20:39:00,2026-08-21 21:23:00,3244.4,3289.13,TP,,44.73000000000002,0.2613412,44.46865880000002,10310.139084800005,44.0,68.78768276707963,77.1516059497854,0.2212661339889399
23,SOL,L,2026-08-21 16:50:00,2026-08-21 21:44:00,3190.6,3200.88,MKT,manual_win,10.2800000000002,0.2556592,10.0243408000002,10320.163425600002,294.0,58.759362618858596,80.63832833847242,0.5279366476022895
28,DOGE,S,2026-08-21 22:29:00,2026-08-21 23:18:00,4243.5,4266.0,SL,,-22.5,0.34038,-22.84038,10297.323045600002,49.0,50.33663876271685,84.67366823449142,1.1609998815306222
26,SOL,S,2026-08-21 21:56:00,2026-08-21 23:21:00,5028.1,5038.0,MKT,manual_loss,-9.899999999999636,0.402644,-10.302643999999637,10287.020401600004,85.0,53.19280122835809,76.68360487142805,0.5477051155657886
27,SOL,L,2026-08-21 23:26:00,2026-08-21 23:48:00,8073.12,8055.09,MKT,manual_loss,-18.029999999999745,0.6451284,-18.675128399999743,10268.345273200002,22.0,44.510909385036086,76.68360487142805,0.010889687465964748
29,SOL,L,2026-08-21 23:52:00,2026-08-22 00:33:00,3671.2,3720.4,TP,,49.20000000000027,0.295664,48.90433600000027,10317.249609200004,41.0,44.510909385036086,76.68360487142805,0.834597875569032
30,AVAX,L,2026-08-21 23:51:00,2026-08-22 00:52:00,2536.12,2585.5,TP,,49.38000000000011,0.2048648,49.175135200000106,10366.424744400005,61.0,40.46860551369243,83.59298228849532,1.4488970108341048
32,AVAX,S,2026-08-22 10:45:00,2026-08-22 11:26:00,3435.21,3392.32,TP,,42.88999999999987,0.2731012,42.61689879999987,10409.041643200004,41.0,40.15775702324712,78.03362162247834,-1.0911003023530985
31,ETH,S,2026-08-22 10:38:00,2026-08-22 11:30:00,8532.09,8468.7,TP,,63.38999999999942,0.6800316000000001,62.70996839999942,10471.751611600002,52.0,27.519575247493773,69.04088133753038,-0.3329962260427699
