n,pair,dir,entry_dt,exit_dt,entry_notional,exit_notional,exit_type,note,gross,fees,net,equity,size_flag
1,LINK,S,2026-08-18 20:30:00,2026-08-19 00:14:00,6165.25,6210.75,SL,,-45.5,4.9504,-50.4504,9949.5496,std
2,LINK,L,2026-08-19 09:33:00,2026-08-19 10:50:00,6739.6,6796.79,TP,,57.1899999999996,5.414556,51.7754439999996,10001.325044,std
3,LINK,L,2026-08-19 10:01:00,2026-08-19 10:50:00,7711.26,7762.01,TP,,50.75,6.1893080000000005,44.560692,10045.885736,std
4,LINK,L,2026-08-19 10:41:00,2026-08-19 10:50:00,13536.6,13581.49,TP,big,44.88999999999942,10.847236,34.042763999999416,10079.928499999998,std
5,LINK,L,2026-08-19 14:47:00,2026-08-19 16:03:00,7017.07,6987.56,SL,,-29.50999999999931,5.601852000000001,-35.11185199999931,10044.816648,std
6,LINK,L,2026-08-19 17:45:00,2026-08-19 17:55:00,8734.5,8788.13,TP,,53.6299999999992,7.009052,46.6209479999992,10091.437596,std
7,SOL,L,2026-08-20 14:15:00,2026-08-20 14:39:00,8013.2,8089.56,TP,,76.36000000000058,6.441104,69.91889600000059,10161.356491999999,std
8,BTC,L,2026-08-20 15:18:00,2026-08-20 16:32:00,10761.46,10715.25,SL,big,-46.20999999999913,8.590684,-54.80068399999912,10106.555808000001,std
9,BTC,L,2026-08-20 15:55:00,2026-08-20 16:32:00,8977.58,8929.37,SL,,-48.20999999999913,7.162780000000001,-55.372779999999125,10051.183028000001,std
10,BTC,S,2026-08-20 16:51:00,2026-08-20 16:51:00,17181.69,17205.12,SL,big_quick,-23.43000000000029,13.754724,-37.18472400000029,10013.998304,misclick
11,BTC,L,2026-08-20 16:56:00,2026-08-20 18:03:00,5736.27,5785.72,TP,,49.44999999999982,4.608796000000001,44.84120399999982,10058.839508000001,std
12,ETH,L,2026-08-20 17:10:00,2026-08-20 18:20:00,4109.13,4159.45,TP,,50.31999999999971,3.307432,47.01256799999971,10105.852076000001,std
13,ETH,L,2026-08-20 18:15:00,2026-08-20 19:41:00,2526.45,2574.46,TP,,48.01000000000022,2.040364,45.96963600000022,10151.821712,std
15,XRP,L,2026-08-20 23:15:00,2026-08-21 00:07:00,3702.0,3754.49,TP,,52.48999999999978,2.982596,49.50740399999978,10201.329116,std
14,SOL,L,2026-08-20 23:00:00,2026-08-21 01:02:00,6542.25,6546.75,SL,sl_above_entry,4.5,5.2356,-0.7355999999999998,10200.593516,std
16,SOL,L,2026-08-21 10:37:00,2026-08-21 11:25:00,19824.8,19944.8,MKT,scaleout_big,120.0,15.90784,104.09216,10304.685676000001,double
17,LINK,L,2026-08-21 13:20:00,2026-08-21 14:12:00,3438.8,3397.72,SL,,-41.08000000000038,2.734608,-43.81460800000038,10260.871068,std
18,LINK,L,2026-08-21 13:46:00,2026-08-21 14:12:00,5708.5,5662.71,SL,,-45.789999999999964,4.548484,-50.338483999999966,10210.532584,std
19,LINK,L,2026-08-21 14:25:00,2026-08-21 14:34:00,5698.15,5644.29,SL,,-53.85999999999967,4.536976,-58.396975999999675,10152.135608,std
20,LINK,L,2026-08-21 15:20:00,2026-08-21 15:39:00,8473.05,8524.69,TP,,51.64000000000124,6.799096,44.84090400000124,10196.976512000001,std
22,SOL,L,2026-08-21 15:47:00,2026-08-21 16:35:00,4098.15,4044.6,SL,,-53.54999999999973,3.2571000000000003,-56.80709999999973,10140.169412000003,std
21,LINK,L,2026-08-21 15:45:00,2026-08-21 18:09:00,3417.39,3468.02,TP,,50.63000000000011,2.7541640000000003,47.875836000000106,10188.045248000002,std
24,SUI,L,2026-08-21 19:17:00,2026-08-21 20:16:00,5672.8,5629.67,SL,,-43.13000000000011,4.520988000000001,-47.65098800000011,10140.394260000003,std
25,SUI,L,2026-08-21 20:39:00,2026-08-21 21:23:00,3244.4,3289.13,TP,,44.73000000000002,2.6134120000000003,42.11658800000002,10182.510848000002,std
23,SOL,L,2026-08-21 16:50:00,2026-08-21 21:44:00,3190.6,3200.88,MKT,manual_win,10.2800000000002,2.5565919999999998,7.7234080000002,10190.234256000002,std
28,DOGE,S,2026-08-21 22:29:00,2026-08-21 23:18:00,4243.5,4266.0,SL,,-22.5,3.4038000000000004,-25.9038,10164.330456000002,std
26,SOL,S,2026-08-21 21:56:00,2026-08-21 23:21:00,5028.1,5038.0,MKT,manual_loss,-9.899999999999636,4.02644,-13.926439999999637,10150.404016000002,std
27,SOL,L,2026-08-21 23:26:00,2026-08-21 23:48:00,8073.12,8055.09,MKT,manual_loss,-18.029999999999745,6.451284,-24.481283999999746,10125.922732000003,std
29,SOL,L,2026-08-21 23:52:00,2026-08-22 00:33:00,3671.2,3720.4,TP,,49.20000000000027,2.95664,46.24336000000027,10172.166092000003,std
30,AVAX,L,2026-08-21 23:51:00,2026-08-22 00:52:00,2536.12,2585.5,TP,,49.38000000000011,2.048648,47.33135200000011,10219.497444000004,std
32,AVAX,S,2026-08-22 10:45:00,2026-08-22 11:26:00,3435.21,3392.32,TP,,42.88999999999987,2.731012,40.15898799999987,10259.656432000003,std
31,ETH,S,2026-08-22 10:38:00,2026-08-22 11:30:00,8532.09,8468.7,TP,,63.38999999999942,6.8003160000000005,56.589683999999416,10316.246116000002,std
33,LINK,S,2026-08-23 12:03:00,2026-08-23 13:05:00,5676.69,5708.52,SL,,-31.830000000000837,4.554084,-36.38408400000084,10279.862032,std
34,ETH,S,2026-08-23 12:46:00,2026-08-23 14:21:00,7235.7,7280.73,SL,,-45.029999999999745,5.806572,-50.83657199999975,10229.025460000003,std
35,LINK,S,2026-08-23 14:19:00,2026-08-23 14:24:00,3396.58,3441.52,SL,,-44.940000000000055,2.73524,-47.67524000000005,10181.350220000002,std
36,LINK,S,2026-08-23 14:37:00,2026-08-23 15:55:00,14808.6,14767.65,MKT,manual_win_big,40.95000000000073,11.8305,29.119500000000727,10210.469720000003,double
37,LINK,S,2026-08-23 15:55:00,2026-08-23 15:58:00,13805.95,13869.24,MKT,manual_loss_big,-63.289999999999054,11.070076000000002,-74.36007599999905,10136.109644000004,double
