set,thr,n,expR,moR,ddR,ratio,monthly_ret
BASE,0.0,93294,-0.0048529861140685715,-6.901275197720983,1979.654043312314,-0.003486101635300843,-0.00020916609811805055
BASE,0.1,43532,0.02039589839731325,13.533746690300063,882.0803819831175,0.015342985703721378,0.0009205791422232826
BASE,0.2,15948,0.04436883192205107,10.785761323306449,597.92789140867,0.0180385653157876,0.001082313918947256
BASE,0.3,4584,-0.001595972629832315,-0.11151585829244194,223.29576268146357,-0.0004994087525589181,-2.9964525153535085e-05
BASE,0.4,1100,0.007008681449401205,0.11751561825325486,185.52624245776585,0.0006334177671927287,3.800506603156372e-05
BASE,0.5,239,0.09959269127863667,0.3628206128606341,66.91934975290229,0.0054217593894791034,0.0003253055633687462
AUX,0.0,100381,-0.02737026099205144,-41.87907105332822,3799.199227632304,-0.01102313107160417,-0.0006613878642962502
AUX,0.1,57538,-0.019901698993040545,-17.454664216714118,1772.097500944781,-0.009849720011121449,-0.0005909832006672868
AUX,0.2,30678,-0.006939528254971321,-3.2450663030620683,728.8065246248063,-0.004452575811848894,-0.00026715454871093365
AUX,0.3,16272,-0.005429111163139907,-1.3465926910420065,565.619297446844,-0.0023807403621489013,-0.00014284442172893405
AUX,0.4,7977,-0.008201529426682393,-0.9972430601920319,553.4095398529402,-0.0018019983183828626,-0.00010811989910297175
AUX,0.5,4305,0.030633704625683125,2.010199957791159,388.09511241523876,0.005179658010329087,0.0003107794806197452
AUX,0.75,1166,0.13714861843804838,2.437567050659183,201.85589860979908,0.012075778153855998,0.0007245466892313598
AUX,1.0,297,0.2803533012032073,1.2691960356143275,44.9872620525435,0.028212342287733633,0.0016927405372640179
BOTH,0.0,102471,-0.001346891093439505,-2.1037786274706836,1928.7666218337806,-0.0010907377821949811,-6.544426693169886e-05
BOTH,0.1,57735,0.0069270167473389635,6.096098715306861,1419.8926612301882,0.00429335180169551,0.0002576011081017306
BOTH,0.2,27461,0.051720343505640864,21.649323598185184,563.161912780586,0.03844244986542617,0.0023065469919255704
BOTH,0.3,11822,0.11699289521019257,21.08225328913563,329.6274122082227,0.06395782786359454,0.003837469671815672
BOTH,0.4,5036,0.14049740189578755,10.785011137422307,258.8537507299914,0.04166449629185431,0.0024998697775112586
BOTH,0.5,2311,0.09954247554041455,3.5065090636181555,209.26504912870882,0.01675630535637832,0.001005378321382699
BOTH,0.75,336,0.2489451567281481,1.2749981130648085,50.27586029659953,0.025360045666907156,0.0015216027400144292
