tf,atr_mult,rr,n,stop_pct,raw_wr,be_wr,edge_needed_pp,drag_R,timeout_pct,hold_h
5min,1.0,1.0,3954,0.26992008520865696,0.4885534591194969,0.8656990095671737,37.714555044767685,0.7313980191343473,0.0,0.23693306356432306
5min,1.0,2.0,3989,0.26952079403588325,0.32898368883312423,0.5795563725930563,25.057268375993203,0.7386691177791687,0.0,0.4952536141054567
5min,2.0,1.0,4019,0.525795768913329,0.5046008455608058,0.673675892520906,16.907504696010022,0.34735178504181197,0.04976362279173924,1.0229576179812558
5min,2.0,2.0,4024,0.5257467070394755,0.3448447204968944,0.45019675849228613,10.535203799539172,0.35059027547685834,0.34791252485089463,2.079721669980119
5min,4.0,1.0,4004,1.0274416108799382,0.48926073926073926,0.5890460552777302,9.978531601699098,0.17809211055546056,1.4485514485514486,4.1010156510156515
5min,4.0,2.0,4004,1.0274416108799382,0.31543456543456544,0.3930620061605203,7.762744072595485,0.17918601848156074,5.844155844155844,6.747660672660673
15min,1.0,1.0,3991,0.47217742511714506,0.5055110220440882,0.6858375137430783,18.032649169899017,0.3716750274861568,0.0,0.8911550989726886
15min,1.0,2.0,3996,0.47271433845185096,0.33458458458458457,0.4574076284866251,12.282304390204052,0.37222288545987525,0.0,1.7580747414080746
15min,2.0,1.0,3997,0.9037820609568783,0.49862396797598196,0.5936137081477352,9.498974017175321,0.18722741629547038,0.12509382036527394,3.611141689600534
15min,2.0,2.0,3998,0.9041380926783212,0.3304152076038019,0.3956783091743042,6.52631015705023,0.18703492752291262,0.9004502251125562,6.435013340003335
15min,4.0,1.0,4102,1.8130424010604957,0.47172111165285224,0.5461926369619431,7.447152530909085,0.09238527392388624,3.3885909312530473,11.380850804485616
15min,4.0,2.0,4102,1.8130424010604957,0.2618235007313506,0.36407591030446484,10.225240957311426,0.09222773091339459,11.945392491467576,17.836457825451
30min,1.0,1.0,3936,0.6527861849423191,0.5015243902439024,0.6241202379058679,12.259584766196552,0.24824047581173583,0.0,1.923119918699187
30min,1.0,2.0,3939,0.6533726419893926,0.3262249301853262,0.4158086440493392,8.958371386401298,0.24742593214801778,0.0,3.621909113988322
30min,2.0,1.0,3896,1.297053965342529,0.5120636550308009,0.5619237220940868,4.9860067063285936,0.1238474441881737,0.12833675564681724,6.963539527720739
30min,2.0,2.0,3897,1.2971196981500726,0.3371824480369515,0.374575972846836,3.73935248098845,0.12372791854050809,0.4618937644341801,12.407621247113163
30min,4.0,1.0,4017,2.5964295518274003,0.4998755290017426,0.5317636206581021,3.188809165635953,0.0635272413162042,2.539208364451083,22.307381130196667
30min,4.0,2.0,4017,2.5964295518274003,0.28653223798854865,0.35447939405623624,6.794715606768759,0.06343818216870868,12.023898431665422,36.34513318396814
1h,1.0,1.0,4105,0.9517125108931259,0.48989037758830695,0.5828209236679723,9.293054607966539,0.16564184733594475,0.0243605359317905,3.9906414941128707
1h,1.0,2.0,4106,0.9519172874723959,0.32562104237700923,0.3886384082314271,6.301736585441786,0.16591522469428116,0.024354603019970774,7.046095145315799
1h,2.0,1.0,4063,1.8555346855946218,0.49618508491262614,0.5418475243682406,4.566243945561443,0.0836950487364811,0.02461235540241201,13.097456723275084
1h,2.0,2.0,4063,1.8555346855946218,0.3184838789072114,0.36111318178583446,4.2629302878623045,0.08333954535750333,0.49224710804824023,23.44850685043892
1h,4.0,1.0,3997,3.6985935931350986,0.4851138353765324,0.5211946154226094,3.6080780046076955,0.04238923084521881,3.4025519139354516,42.75357351346843
1h,4.0,2.0,3997,3.6985935931350986,0.2779584688516387,0.34752425762319167,6.9565788771552945,0.042572772869574955,13.960470352764572,66.89912017346343
4h,1.0,1.0,3868,1.9460997730854759,0.5051706308169597,0.5375435611960111,3.2372930379051423,0.07508712239202231,0.02585315408479835,14.142899000344707
4h,1.0,2.0,3868,1.9460997730854759,0.3267838676318511,0.35833244695744865,3.154857932559757,0.07499734087234584,0.07755946225439503,25.921591692519822
4h,2.0,1.0,3903,3.8586620051854563,0.5103766333589547,0.5190566129282833,0.8679979569328644,0.03811322585656653,0.3074558032282859,50.169941925014946
4h,2.0,2.0,3903,3.8586620051854563,0.3353830386881886,0.34611033231154686,1.072729362335828,0.03833099693464067,2.58775301050474,95.00124690409088
4h,4.0,1.0,3876,7.63817574008982,0.44659442724458204,0.5095889652402523,6.299453799567028,0.019177930480504677,10.19091847265222,165.31581957344343
4h,4.0,2.0,3876,7.63817574008982,0.22084623323013416,0.33969955146643427,11.885331823630011,0.019098654399302868,22.807017543859647,240.36345459236327
1D,1.0,1.0,1409,4.792279445917548,0.49254790631653655,0.5141642512793844,2.161634496284781,0.02832850255876883,0.35486160397444994,79.25854033593565
1D,1.0,2.0,1409,4.792279445917548,0.31511710432931156,0.34276240325820106,2.764529892888951,0.02828720977460325,0.63875088715401,148.72693399574166
1D,2.0,1.0,1409,9.568855961938645,0.49538679914833217,0.5071033369375741,1.1716537789241976,0.014206673875148183,1.7743080198722498,294.9588833688195
1D,2.0,2.0,1409,9.568855961938645,0.3080198722498226,0.33812857732711027,3.010870507728769,0.014385731981330793,8.729595457771469,494.9219304471256
1D,4.0,1.0,1409,19.116409041405177,0.35628105039034774,0.5035134427446151,14.723239235426732,0.007026885489230084,23.917672107877927,761.4866572036905
1D,4.0,2.0,1409,19.116409041405177,0.14549325762952448,0.33573493769465707,19.02416800651326,0.007204813083971223,43.080198722498224,956.0783770995979
