label,risk,heat,fills,total,cagr,maxDD,mean_mo,med_mo,worst_mo,pos_mo,ge10,n_mo,breach,breach_dt,survived
IS_k8,0.001,0.01,14443,7.265374927278716,0.4715218828361054,0.1333705920951109,0.03367727491731499,0.028157063659935755,-0.07807353184160815,0.7424242424242424,0.12121212121212122,66,,,True
IS_k8,0.001,0.02,15970,11.177703712923217,0.5796075672387868,0.16486667130678304,0.04013038844666049,0.034459456980904246,-0.07955874993451184,0.7575757575757576,0.18181818181818182,66,,,True
IS_k8,0.001,0.03,15979,11.235048565408878,0.580965431797303,0.16486667130678256,0.04020406665318914,0.034459456980905245,-0.07955874993451184,0.7575757575757576,0.18181818181818182,66,,,True
IS_k8,0.001,0.06,15979,11.235048565408878,0.580965431797303,0.16486667130678256,0.04020406665318914,0.034459456980905245,-0.07955874993451184,0.7575757575757576,0.18181818181818182,66,,,True
IS_k8,0.002,0.01,9503,14.160299465500925,0.6441850097611537,0.1472567868988144,0.04397252775522148,0.03696519063413295,-0.11322504450949122,0.7121212121212122,0.15151515151515152,66,,,True
IS_k8,0.002,0.02,6985,10.814591526153125,1.521996897140593,0.24940972111294563,0.08248462727208004,0.07697550076331705,-0.11383762000851594,0.7575757575757576,0.45454545454545453,33,daily_loss,2023-09-04 13:25:00+00:00,False
IS_k8,0.002,0.03,352,0.4265830681632825,18.091540732074453,0.04699910798535005,0.19520031660025827,0.19520031660025827,0.1513741983820649,1.0,1.0,2,daily_loss,2021-02-15 02:14:00+00:00,False
IS_k8,0.002,0.06,359,0.4570513523279962,21.752393538360433,0.04699910798534961,0.20832871905568273,0.20832871905568273,0.1534931378446578,1.0,1.0,2,daily_loss,2021-02-15 02:14:00+00:00,False
IS_k8,0.0035,0.01,4752,9.111836492074389,0.5268021397249458,0.12447528676450784,0.036915790731425806,0.040109108233843616,-0.08100571729012729,0.7575757575757576,0.09090909090909091,66,,,True
IS_k8,0.0035,0.02,340,0.5562880983823515,11.005991104599078,0.06214849747358066,0.16406202899910002,0.15856602979548384,0.032060541893977446,1.0,0.6666666666666666,3,daily_loss,2021-03-08 14:47:00+00:00,False
IS_k8,0.0035,0.03,295,0.6700724455203133,69.6246302135337,0.0650225144929365,0.29232630666862247,0.29232630666862247,0.28642398615467934,1.0,1.0,2,daily_loss,2021-02-15 02:14:00+00:00,False
IS_k8,0.0035,0.06,146,0.33311834224132375,340.81736045956916,0.04158778105818079,0.33311834224132375,0.33311834224132375,0.33311834224132375,1.0,1.0,1,daily_loss,2021-01-19 18:49:00+00:00,False
IS_k8,0.005,0.01,1372,4.114003568231127,1.4879020607255198,0.10166054283120224,0.0793992010075083,0.08361915919946739,-0.041973205896729704,0.8636363636363636,0.3181818181818182,22,daily_loss,2022-10-17 23:38:00+00:00,False
IS_k8,0.005,0.02,271,0.6603251813875752,16.270946944723104,0.06818387528087971,0.18904783977703365,0.18913045261574468,0.056775547377240665,1.0,0.6666666666666666,3,daily_loss,2021-03-08 14:46:00+00:00,False
