label,n,exp_r,monthly_R,maxDD_R,ratio,pos_months,worst_month,risk_pct,monthly_ret,mode,thr
WF thr=-0.2,283570,-0.06440356949601829,-446.1663651271678,18281.929437709823,-0.02440477448768991,0.2682926829268293,-1851.4412636567013,3.281929306446125e-06,-0.0014642864692613945,WF,-0.2
WF thr=-0.1,241983,-0.058693956176760334,-346.98032210958195,14228.082669137046,-0.024387004923877548,0.2682926829268293,-1585.3131138036927,4.217012326625671e-06,-0.0014632202954326528,WF,-0.1
WF thr=0.0,156030,-0.050182950644392155,-191.2894011384549,7859.506127733828,-0.024338603218776338,0.3902439024390244,-1022.6733635599394,7.634067462366126e-06,-0.0014603161931265804,WF,0.0
WF thr=0.1,78918,-0.030608118394611056,-59.011860737128785,2696.775481437965,-0.021882378100553886,0.3902439024390244,-521.4647467290282,2.2248793202468234e-05,-0.001312942686033233,WF,0.1
WF thr=0.2,35169,-0.002829117363765044,-2.430734861602517,843.8358853527959,-0.002880577732939458,0.5365853658536586,-275.54773477509605,7.110387344443741e-05,-0.00017283466397636745,WF,0.2
WF thr=0.3,14722,0.02739938077233568,9.854490315209567,401.4582094749569,0.024546740065666272,0.5121951219512195,-157.44993558101206,0.00014945515768246563,0.0014728044039399764,WF,0.3
WF thr=0.5,2546,-0.03622160718103479,-2.252956059162054,216.54042667282894,-0.010404320771779243,0.4634146341463415,-95.49009898506205,0.0002770845191445662,-0.0006242592463067546,WF,0.5
WF thr=0.75,429,-0.05803717936622433,-0.6082613133390655,85.78655389742721,-0.007090403865229836,0.20512820512820512,-41.25709263553625,0.0006994103070248102,-0.00042542423191379013,WF,0.75
WF thr=1.0,107,-0.2693384616054128,-0.7040585204861621,56.376164402042775,-0.01248858498895414,0.16666666666666666,-29.319861162581557,0.0010642795698571135,-0.0007493150993372484,WF,1.0
IS thr=-0.2,464519,0.33277799652261736,2356.267908840278,692.2567792019399,3.4037484061285372,1.0,454.3799479155789,8.667304070199253e-05,0.20422490436771223,IS,-0.2
IS thr=-0.1,406856,0.4106673454313875,2546.8154697655605,584.3074086883862,4.358691044980039,1.0,1022.666547398251,0.00010268567385562326,0.2615214626988023,IS,-0.1
IS thr=0.0,249148,0.6481639367029473,2461.5510788135753,293.1086378699765,8.398084398677883,1.0,1191.9535822784849,0.00020470225796148696,0.503885063920673,IS,0.0
IS thr=0.1,118110,0.9554176538547157,1720.071557188782,135.4568527067895,12.698298556456619,1.0,711.9318366682818,0.00044294547526418807,0.7618979133873971,IS,0.1
IS thr=0.2,54430,1.2063277901765959,1000.8528963905161,131.37652378637722,7.618202000974981,1.0,233.15703133701362,0.00045670260005936886,0.4570921200584988,IS,0.2
IS thr=0.3,25650,1.4021171424463554,548.1990161152329,98.0034645892265,5.593669758645413,1.0,69.56201079667336,0.0006122232540603038,0.3356201855187248,IS,0.3
IS thr=0.5,5947,1.6592540627251593,150.41024248955802,15.3635046319896,9.790099726098735,0.9696969696969697,-0.020171492974296656,0.0039053589293076485,0.5874059835659241,IS,0.5
IS thr=0.75,1161,1.8439085356861376,32.63158564562748,10.264653371613122,3.1790246065074217,0.5606060606060606,-0.7124214099238735,0.005845302108878793,0.19074147639044528,IS,0.75
IS thr=1.0,269,2.2413095000582186,9.19010969348859,3.0440417862272153,3.019048468739587,0.23333333333333334,0.0,0.01971063612578196,0.1811429081243752,IS,1.0
