variant,n,expR,expR_per_unit_risk,avg_deployed,moR,maxDD_R,ratio,monthly_ret,ltf,mode,conf_rate,r_unconfirmed,r_confirmed
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,15min,stack,0.007765125037554469,0.1502883589308603,-0.429688468567379
C split 50/50,3391,0.0721504429820604,0.14316100184445102,0.5039811265113536,3.7670793684936563,53.96295355463475,0.06980862092138229,0.004188517255282937,15min,stack,0.007765125037554469,0.1502883589308603,-0.429688468567379
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,15min,div,0.10568963175278319,0.18622167567081188,-0.21063802971774045
B precision only,358,0.08009737662558374,0.08009737662558374,1.0,0.441508732283678,21.04385615138714,0.020980410106755804,0.001258824606405348,15min,div,0.10568963175278319,0.18622167567081188,-0.21063802971774045
C split 50/50,3391,0.0766303047094859,0.13862542719117987,0.5527867885579475,4.000979452673112,58.15774342073871,0.0687953008033387,0.004127718048200323,15min,div,0.10568963175278319,0.18622167567081188,-0.21063802971774045
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,15min,cross,1.0,,
B precision only,3391,0.14867082454934327,0.14867082454934327,1.0,7.762319574337528,91.43702589105212,0.08489252027495282,0.005093551216497169,15min,cross,1.0,,
C split 50/50,3391,0.14673763370017656,0.14673763370017656,1.0,7.661384873700038,98.17659707004913,0.07803677355239386,0.004682206413143631,15min,cross,1.0,,
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,15min,cross_ext,0.41904956354632483,0.42094393879076597,-0.23472933201319304
B precision only,1420,0.10836519664517022,0.10836519664517022,1.0,2.3692786808033155,48.629640596628995,0.048720875822544196,0.002923252549352652,15min,cross_ext,0.41904956354632483,0.42094393879076597,-0.23472933201319304
C split 50/50,3391,0.09509148406722444,0.13404914673538063,0.7093777646711884,4.964864426932931,72.83664103203972,0.0681643793094325,0.00408986275856595,15min,cross_ext,0.41904956354632483,0.42094393879076597,-0.23472933201319304
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,5min,stack,0.07435200159705235,0.18037707600036446,-0.3087463366586927
B precision only,251,0.01872869817853557,0.01872869817853557,1.0,0.07238011872089546,33.68014202242067,0.002149044344074097,0.00012894266064444583,5min,stack,0.07435200159705235,0.18037707600036446,-0.3087463366586927
C split 50/50,3391,0.07309536551910746,0.13611553238621277,0.5370097316425833,3.816415145891721,60.78803314919605,0.06278234297406601,0.0037669405784439606,5min,stack,0.07435200159705235,0.18037707600036446,-0.3087463366586927
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,5min,div,0.5258373381261479,0.40438079227548435,-0.08999312009522792
B precision only,1781,0.12191115953139865,0.12191115953139865,1.0,3.34306915266455,56.29063399652753,0.059389438620833054,0.0035633663172499833,5min,div,0.5258373381261479,0.40438079227548435,-0.08999312009522792
C split 50/50,3391,0.10441693318094888,0.136921044244624,0.7626069006192864,5.451759662863548,75.00055365761048,0.07268959223623471,0.004361375534174083,5min,div,0.5258373381261479,0.40438079227548435,-0.08999312009522792
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,5min,cross,1.0,,
B precision only,3391,0.13520110281821354,0.13520110281821354,1.0,7.059045848834472,99.94909363107524,0.07062641183010927,0.004237584709806556,5min,cross,1.0,,
C split 50/50,3391,0.14000277283461168,0.14000277283461168,1.0,7.30974801094851,102.90427229907542,0.0710344463610204,0.004262066781661223,5min,cross,1.0,,
A market only,3391,0.14480444285100985,0.14480444285100985,1.0,7.560450173062546,105.85945096707596,0.07141969945993741,0.004285181967596244,5min,cross_ext,0.927104120758831,0.8642849549337239,0.08729115728683132
B precision only,3142,0.12853381055141613,0.12853381055141613,1.0,6.2181549848192255,97.64768676085967,0.063679490944292,0.00382076945665752,5min,cross_ext,0.927104120758831,0.8642849549337239,0.08729115728683132
C split 50/50,3391,0.1319500292628021,0.1369791976825844,0.963285166617517,6.889302578940886,100.48922556308446,0.06855762436556907,0.004113457461934145,5min,cross_ext,0.927104120758831,0.8642849549337239,0.08729115728683132
