feature,thr,dir,n,frac,exp_r,lift,wr,monthly_R,pos_months,worst_month_R
disp96,7.838890520809438,1,531,0.15659097611324094,0.329490039156912,0.18689000420060756,0.4369114877589454,2.7337376686300043,0.34375,-11.360326482405881
absorb,-0.027989871781558658,-1,763,0.2250073724565025,0.2936346829703501,0.15103464801404567,0.3892529488859764,3.446819432405802,0.6,-10.855852800722621
tbi_ma96,-0.012269636509327555,-1,708,0.2087879681509879,0.2920240253057324,0.14942399034942797,0.3983050847457627,3.1326213623705836,0.42424242424242425,-10.884584667150593
tbi_ma96,-0.01400008780341571,-1,534,0.15747567089354172,0.28763263873161243,0.145032603775308,0.3951310861423221,2.3272095315557735,0.3181818181818182,-8.433427089595169
tbi,-0.026111823842494275,-1,620,0.18283692126216455,0.28550009891382616,0.14290006395752172,0.39838709677419354,2.7232317127164962,0.46153846153846156,-10.36471035623379
to_lo96,9.235004501180814,1,630,0.1857859038631672,0.28348656165513325,0.1408865266988288,0.42063492063492064,2.790570841292718,0.390625,-12.398060761478725
to_lo480,2.6426072417031157,-1,607,0.1790032438808611,0.28345214310072325,0.14085210814441881,0.3953871499176277,2.7750879171312746,0.22580645161290322,-21.873360693751227
dq,-0.05206340829645829,-1,619,0.1825420230020643,0.28289750482161813,0.1402974698653137,0.3974151857835218,2.694054699762794,0.46153846153846156,-10.36471035623379
pos480,0.1363221714693247,-1,647,0.19079917428487173,0.28239380924120056,0.13979377428489612,0.4080370942812983,2.9469160415976896,0.25806451612903225,-25.945731421681312
since_hi480,5.0,-1,536,0.15806546741374225,0.27839500121227373,0.1357949662559693,0.4141791044776119,2.3685669944409327,0.2698412698412698,-9.237724839459766
vol_of_vol,-0.682570745863482,-1,545,0.16071955175464464,0.2774569425365916,0.13485690758028715,0.42935779816513764,2.400222756864165,0.6190476190476191,-11.41194002829671
absorb,-0.03610457442884276,-1,546,0.1610144500147449,0.2753178700356566,0.13271783507935217,0.38278388278388276,2.312670108299515,0.5384615384615384,-10.703383074634125
