exp_r,tpm,risk,cagr_mo,p_bust,mean_dd
0.05,20,0.001,0.0009826219272074867,0.005833333333333334,0.028731600589073758
0.1,20,0.001,0.0019898327243739094,0.0,0.023696878549283876
0.1,60,0.001,0.005987202696647695,0.0033333333333333335,0.032545427370912185
0.1,150,0.001,0.014951690587578224,0.0016666666666666668,0.040840513389265
0.1,300,0.001,0.030176363253807702,0.0033333333333333335,0.047373714222791914
0.2,20,0.003,0.011752254583342454,0.0175,0.05057849704227803
0.2,60,0.003,0.035650561651782216,0.018333333333333333,0.06581402524011078
0.2,150,0.003,0.09097834419151894,0.016666666666666666,0.07795019384153606
0.2,300,0.003,0.19069811049837004,0.019166666666666665,0.0876769386019132
0.3,20,0.004,0.023684604038239333,0.0075,0.05396862559084915
0.3,60,0.004,0.07313937056876378,0.011666666666666667,0.06686412608955022
0.3,150,0.004,0.19207022173777352,0.01,0.07898931012814882
0.3,300,0.005,0.5473164372734952,0.019166666666666665,0.10834536651658098
0.5,20,0.007,0.07027508185478293,0.0125,0.06713333502933981
0.5,60,0.007,0.22774637634328182,0.009166666666666667,0.08232873773379949
0.5,150,0.007,0.6711444221553675,0.009166666666666667,0.0938747396538079
0.5,300,0.007,1.7879736358111276,0.010833333333333334,0.10227237374299376
