exp_r,tpm,risk,mean_mo,p_bust,p_10
0.05,20,0.004,0.0037563333333333368,0.004833333333333334,0.00019444444444444443
0.05,60,0.002,0.006009500000000005,0.0019444444444444444,0.0
0.05,150,0.001,0.007437916666666638,0.00011111111111111112,0.0
0.05,300,0.001,0.014900999999999973,0.0024444444444444444,0.0003611111111111111
0.1,20,0.005,0.009898333333333306,0.01375,0.0022222222222222222
0.1,60,0.002,0.01196500000000001,0.0008055555555555556,2.777777777777778e-05
0.1,150,0.002,0.029960833333333364,0.01425,0.026333333333333334
0.1,300,0.001,0.03011166666666664,0.00038888888888888887,0.0025833333333333333
0.2,20,0.005,0.020134999999999972,0.00675,0.005944444444444444
0.2,60,0.003,0.035793749999999985,0.005583333333333333,0.024277777777777777
0.2,150,0.003,0.0896793333333333,0.016194444444444445,0.39958333333333335
0.2,300,0.003,0.17764283333333336,0.01952777777777778,0.8375555555555556
0.3,20,0.006,0.03623166666666668,0.011777777777777778,0.044
0.3,60,0.005,0.08904374999999996,0.018444444444444444,0.44663888888888886
0.3,150,0.004,0.1789483333333335,0.013416666666666667,0.8548888888888889
0.3,300,0.004,0.3570070000000003,0.011722222222222222,0.9835
0.5,20,0.008,0.07936544444444452,0.013694444444444445,0.41041666666666665
0.5,60,0.007,0.20744025000000002,0.01338888888888889,0.9164444444444444
0.5,150,0.007,0.5193637500000002,0.012611111111111111,0.9871944444444445
0.5,300,0.007,1.0370924166666688,0.01375,0.98625
