feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
atr_pct,short,9,0.007703173336905255,inf,14017,-0.07428474256635775,0.18485368356184018,0.33195405578939857,1303,-0.13387167139154957
to_hi480,long,0,-inf,2.8324595256111467,13970,-0.08987292237983528,1.1853971836837476,0.3634216177523264,5309,-0.2585347701549204
tbi_ma96,long,9,0.00710888421246695,inf,13959,-0.09298608866093966,1.1822840174026432,0.38312200014327674,7006,-0.35203081092799365
vol_of_vol,short,9,1.3811806377779712,inf,13967,-0.09633572730496238,0.16280269882323556,0.3490370158230114,5420,-0.2229007216720905
atr_pct,long,8,0.006008456495269204,0.007703136427696833,14017,-0.10053046280895164,1.1747396432546313,0.33944495969180283,2012,-0.21589500424870406
kyle,long,9,5.760381533967836e-07,inf,14016,-0.1053140793944725,1.1699560266691105,0.3339754566210046,680,-0.183278429603257
atr_rank,long,9,0.9125,inf,14161,-0.1094740603190652,1.1657960457445178,0.3344396582162277,5559,-0.22152617420070608
pos480,long,9,0.8871282312748615,inf,13970,-0.11021701435545524,1.1650530917081277,0.3637795275590551,5275,-0.33775457560616046
kyle,short,9,5.761383404296583e-07,inf,14015,-0.11249833253650726,0.14664009359169067,0.32665001783803066,681,-0.058546539421986704
disp24,long,9,3.6049310974061965,inf,14015,-0.11323770814254291,1.16203239792104,0.36660720656439527,5649,-0.3234755413928596
persist96,long,9,0.2259267688702383,inf,14008,-0.1158973658766126,1.1593727401869702,0.35322672758423757,4470,-0.30547263023521753
atr_pct,long,9,0.007703136427696833,inf,14018,-0.12261184424401673,1.1526582618195662,0.3187330574975032,1303,-0.07929692526273524
pos96,short,1,0.1704130966426945,0.2586447824302103,14007,-0.12288468159849814,0.1362537445296998,0.37052902120368386,4941,-0.25664787351120644
to_lo480,short,0,-inf,3.455808553641158,13969,-0.12301840034298676,0.13612002578521115,0.3434032500536903,6070,-0.17041259207373466
atr_rank,short,9,0.9125,inf,14163,-0.1244602324077379,0.13467819372046003,0.3307208924662854,5559,-0.1292557940318147
to_lo24,long,9,4.904017338649001,inf,14015,-0.1294171629114925,1.1458529431520905,0.360328219764538,5375,-0.32219659565903613
disp24,short,0,-inf,-3.2964913984025603,14014,-0.13100056792386497,0.12813785820433296,0.353717710860568,6499,-0.25602176492793227
avg_trade_usd,short,9,5172.948835086905,inf,14015,-0.1354065919031418,0.12373183422505613,0.35155190866928293,11435,-0.35640469303042804
since_lo480,short,0,-inf,31.0,13931,-0.13644049748652246,0.12269792864167547,0.336946378580145,5860,-0.10201387118798805
flow_eff,short,9,0.13412894148900978,inf,14015,-0.14013470521409152,0.11900372091410641,0.33014627185158757,2896,-0.1668016682043317
to_hi24,short,9,4.567032422929668,inf,14014,-0.14353247378902245,0.11560595233917548,0.3535749964321393,6163,-0.2838778604952468
to_lo96,short,1,1.6449400401243328,2.543524346547266,14007,-0.1442616526086905,0.11487677351950742,0.3588205897051474,5109,-0.31389976510206014
pos480,short,0,-inf,0.15613205971733518,13969,-0.14835580091852463,0.1107826252096733,0.34583721096714154,6216,-0.19289662303143468
atr_pct,long,7,0.005087931901259974,0.006008456495269204,14016,-0.14957088651877506,1.125699219544808,0.3300513698630137,2468,-0.11018754144545473
flow_eff,long,9,0.13414511269650747,inf,14016,-0.1507306627344735,1.1245394433291094,0.3308361872146119,2896,-0.24016609003633893
range_per_trade,short,9,2.0258479914205933e-07,inf,14015,-0.15141287958081087,0.10772554654738706,0.33371387798787017,306,-0.3721891517228078
pos96,long,9,0.8664552247610466,inf,14008,-0.15335453149986825,1.1219155745637146,0.34980011422044544,5926,-0.40880215647128765
since_hi480,long,0,-inf,24.0,13943,-0.15451347012260547,1.1207566359409775,0.33952520978268663,5025,-0.35083253334805026
to_hi96,long,1,1.4198714596163398,2.2600579717380134,14007,-0.15497308963924802,1.1202970164243349,0.35839223245520097,5235,-0.3231654882867473
atr_rank,long,8,0.8083333333333333,0.9125,13940,-0.15608192331643594,1.119188182747147,0.3332137733142037,5083,-0.21791789116741578
pos96,long,8,0.7852123922069616,0.8664552247610466,14008,-0.15641690289748986,1.1188532031660932,0.35993717875499714,5016,-0.29786229441093703
atr_pct,short,7,0.005088189110848681,0.006008275883744218,14016,-0.15643982038904608,0.10269860573915185,0.3270547945205479,2467,-0.1401413331305605
gap,short,2,-0.0002404713405589114,0.0,8256,-0.1596170423520547,0.09952138377614322,0.327156007751938,1838,-0.002968354197259425
disp96,long,2,-4.66473908887788,-2.8497661490632575,14008,-0.16268864689436,1.112581459169223,0.3576527698458024,4922,-0.3133254183335813
disp96,long,9,8.335625828814472,inf,14008,-0.16318736551990676,1.1120827405436762,0.35215591090805254,5047,-0.38553717290003225
trade_intensity,short,9,1.8618869314542148,inf,14007,-0.16388967829645665,0.09524874783174128,0.34268579995716425,5897,-0.24065135120480013
range_z,short,9,1.2001701714283386,inf,13958,-0.16420512680749905,0.09493329932069888,0.34904714142427284,5846,-0.26962852750981653
range_rank,long,9,0.90625,inf,13849,-0.16434873226543809,1.110921373798145,0.3338147158639613,5225,-0.247826695679428
to_lo480,short,1,3.455808553641158,5.7557661824489035,13968,-0.16603526372561578,0.09310316240258215,0.34328465063001146,4952,-0.2392237542796178
to_hi96,long,0,-inf,1.4198714596163398,14008,-0.16611754643465265,1.1091525596289302,0.3460165619645917,6025,-0.3819716992409432
kyle,short,8,4.6469786774120726e-07,5.761383404296583e-07,14015,-0.1669419312260386,0.09219649490215934,0.3294327506243311,1994,-0.16801933944073316
since_lo96,short,0,-inf,7.0,13344,-0.1676942369933191,0.09144418913487884,0.33797961630695444,5763,-0.2321182957128903
range_rank,short,9,0.90625,inf,13851,-0.16779988880129315,0.09133853732690478,0.33304454552017904,5223,-0.23142326498392046
kyle,long,8,4.646508208306363e-07,5.760381533967836e-07,14015,-0.16815908588696904,1.107111020176614,0.32672136996075635,1994,-0.17267014829255753
flow_eff,long,8,0.07120671785040489,0.13414511269650747,14015,-0.16893406210819467,1.1063360439553882,0.3307884409561184,3023,-0.2305239903228199
disp6,long,9,1.7052749024571368,inf,14017,-0.16928050875675282,1.10598959730683,0.3544267674966113,5763,-0.3076494820306492
flow_eff,short,8,0.07120358315130226,0.13412894148900978,14015,-0.17024883439862157,0.08888959172957636,0.3286478772743489,3024,-0.21808858176217163
atr_pct,short,6,0.004428744146482305,0.005088189110848681,14016,-0.17225493288149896,0.08688349324669897,0.3304794520547945,3099,-0.1643073338709858
since_hi480,long,7,382.0,431.0,14025,-0.1728393515059371,1.1024307545576457,0.3623529411764706,5219,-0.27240931552087877
gap,long,2,-0.00024049429671831437,0.0,8261,-0.17286145073040107,1.1024086553331818,0.32405277811402977,1839,-0.2580575250434954
persist96,short,7,0.13718569794022786,0.17301769694039237,14006,-0.17457597200823718,0.08456245411996074,0.34513779808653433,5645,-0.2565108076693083
dow,long,0,-inf,1.0,20055,-0.17636559532434248,1.0989045107392403,0.3482423335826477,7296,-0.2715602680195322
atr_pct,short,5,0.0038758487209130405,0.004428744146482305,14017,-0.17669184595574122,0.08244658017245671,0.341085824356139,4068,-0.1797004893754166
range_per_trade,long,9,2.025880808256588e-07,inf,14016,-0.1769103315025108,1.098359774561072,0.3245576484018265,305,-0.32537984973897266
to_lo96,short,0,-inf,1.6449400401243328,14007,-0.17960048323532396,0.07953794289287397,0.3357606910830299,6704,-0.22751816068380012
since_hi480,short,0,-inf,24.0,13938,-0.1803102640099244,0.07882816211827354,0.33067872004591764,5024,-0.18059676640955372
vol_of_vol,long,9,1.3812204406206545,inf,13967,-0.1805988870099537,1.0946712190536292,0.31681821436242574,5421,-0.24578165900599133
gap,long,4,0.00026311033559758184,0.0011251655999133389,14017,-0.18065497594729527,1.0946151301162876,0.3441535278590283,9728,-0.35425538370509524
disp96,long,3,-2.8497661490632575,-1.287098859393662,14007,-0.18180711057403917,1.0934629954895438,0.36103376882987076,4681,-0.2895188036067764
dow,short,3,3.0,4.0,19956,-0.18249408895802943,0.0766443371701685,0.34115053116857086,7389,-0.13074129214094632
dow,long,2,2.0,3.0,19949,-0.1829477237506533,1.0923223823129296,0.3430247130181964,7386,-0.239162603890077
atr_pct,long,6,0.0044286155396200105,0.005087931901259974,14017,-0.1839223547225879,1.091347751340995,0.3284583006349433,3101,-0.23881161390850775
minofday,short,6,855.0,1005.0,14601,-0.1842632727422522,0.07487515338594572,0.3413464831175947,5367,-0.282289477060036
flow_eff,short,7,0.0453296144918165,0.07120358315130226,14014,-0.18496120284129255,0.07417722328690537,0.3314542600256886,3509,-0.20432131316718236
since_lo480,long,0,-inf,31.0,13925,-0.1853187711106458,1.089951334952937,0.3210771992818671,5860,-0.26703745920739563
flow_eff,long,7,0.045331139723442694,0.07120671785040489,14015,-0.18547865743284322,1.0897914486307396,0.3330003567606136,3509,-0.3006769576074809
range_rank,short,8,0.8083333333333333,0.90625,13635,-0.18571440669803554,0.07342401943016238,0.33443344334433445,5179,-0.1933990571850354
minofday,long,7,1005.0,1140.0,13141,-0.1863423757203023,1.0889277303432807,0.340765542957157,4831,-0.29095274493560186
since_hi96,long,9,94.0,inf,14769,-0.18634988001188876,1.0889202260516941,0.35215654411266845,5903,-0.3668027915566577
persist24,long,9,0.4016930096657836,inf,14015,-0.18745127983512883,1.087818826228454,0.33007491972886194,5151,-0.38145115665215534
kyle,short,7,4.0455602731677725e-07,4.6469786774120726e-07,14015,-0.1875455278365713,0.07159289829162663,0.3263646093471281,2812,-0.18013710730018961
hour,short,6,14.0,16.0,11679,-0.18777114036161893,0.071367285766579,0.34240945286411506,4292,-0.3001951548369158
vol_of_vol,long,8,0.6363618736085868,1.3812204406206545,13967,-0.18802182678092624,1.0872482792826568,0.33364358845850933,5643,-0.2381876823201168
disp6,short,0,-inf,-1.6728991578413475,14016,-0.18927841098034165,0.06986001514785628,0.3411101598173516,6137,-0.25797226674997437
hour,long,7,16.0,19.0,17523,-0.1893014497856293,1.0859686562779536,0.3396678650915939,6442,-0.29954163247148125
disp96,short,0,-inf,-7.161374516030338,14007,-0.1898053024218903,0.06933312370630762,0.33940172770757476,6473,-0.20971354940280948
dow,long,4,4.0,5.0,20046,-0.19025762427752466,1.0850124817860582,0.3359772523196648,7385,-0.2910233783608487
pos480,long,7,0.7329238544554897,0.8152938669174167,13969,-0.19135960597406879,1.0839105000895142,0.3575059059345694,3870,-0.3732462640915817
to_lo480,long,0,-inf,3.457930459649429,13970,-0.19231082479860928,1.0829592812649738,0.3201861130994989,6073,-0.27510595907593377
kyle,long,7,4.045312665332825e-07,4.646508208306363e-07,14016,-0.19236121139275156,1.0829088946708314,0.3257705479452055,2813,-0.23710266558914972
to_hi480,short,6,13.041168681931754,15.772787148530323,13969,-0.1933492140345404,0.06578921209365754,0.3475553010236953,5189,-0.2829609902144615
avg_trade_usd,long,8,4628.707281566427,5172.971426887911,14015,-0.19356271239208137,1.0817073936715016,0.3317160185515519,5537,-0.362557982633256
pos96,short,2,0.2586447824302103,0.3442235045381451,14007,-0.19393457664067554,0.06520384948752239,0.35139573070607555,4465,-0.32052128979374567
since_hi96,short,0,-inf,6.0,12922,-0.1945321187147222,0.06460630741347573,0.3315276273022752,5114,-0.24195719955479233
avg_trade_usd,short,7,4248.305998891608,4628.725017655865,14015,-0.19508259510907414,0.0640558310191238,0.3300035676061363,4392,-0.30345915566558124
minofday,long,8,1140.0,1290.0,14604,-0.19564104807044114,1.0796290579931418,0.33805806628321006,5368,-0.3347365297193096
hour,long,8,19.0,21.0,11685,-0.19610869683942073,1.0791614092241621,0.3377834830979889,4295,-0.32786948809305083
accel,short,0,-inf,-1.5789841439101122,14014,-0.1961172177381271,0.06302120839007083,0.3370914799486228,5730,-0.2657814090614537
to_hi480,long,2,4.785401386079122,6.732620719501043,13969,-0.19678387481236398,1.078486231251219,0.3436895983964493,4562,-0.3484995694499571
to_lo96,long,9,11.301422438990805,inf,14008,-0.19686386377379217,1.0784062422897907,0.35701027984009137,5332,-0.39012112060271154
since_lo96,short,2,18.0,30.0,13739,-0.19689615585678172,0.06224227027141621,0.34180071329791106,4837,-0.2754726861518893
disp96,short,1,-7.161374516030338,-4.665614344967357,14007,-0.1972139333486979,0.06192449277950002,0.3364032269579496,5272,-0.18962746565655042
