feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
tbi_ma96,long,9,0.004727168356526261,inf,3487,0.04606887641440366,0.21360713393195013,0.3966160022942357,1929,-0.14688337948103586
tbi_ma24,long,9,0.008454645175572713,inf,3501,0.020701997198881952,0.1882402547164284,0.3976006855184233,1958,-0.18104183005114383
dq_cum24,long,9,0.4084961669216186,inf,3501,0.02024806147765522,0.1877863189952017,0.39731505284204516,1953,-0.18259808901728022
persist96,long,9,0.24158803569182166,inf,3496,0.012168873462885388,0.17970713098043187,0.38672768878718533,1060,-0.25029893553068844
atr_pct,long,8,0.012094807255301558,0.015125124391696804,3505,-0.002680647802928971,0.1648576097146175,0.36319543509272467,430,-0.2683769068280973
to_lo480,short,0,-inf,3.67598241350325,3458,-0.01292182800678955,0.17193661497371449,0.36957779063042223,1519,-0.05297775273790066
disp24,long,9,3.967506729560891,inf,3503,-0.019133771636842024,0.14840448588070446,0.37510705109905795,1211,-0.2548847737204558
pos480,long,7,0.7656027926285855,0.8485056542124645,3457,-0.020868089837481462,0.14667016768006502,0.3879085912641018,1067,-0.431567405068624
to_lo24,long,9,5.19151202287147,inf,3503,-0.028303049250288384,0.1392352082672581,0.3742506423065943,1197,-0.17571654703823217
pos96,long,8,0.8091362700493583,0.8846720180363059,3496,-0.0415751179147528,0.12596313960279368,0.3732837528604119,1158,-0.22531189111207725
atr_pct,short,9,0.015124676814742086,inf,3506,-0.04164304112700046,0.14321540185350357,0.33685111237877924,258,-0.3988826183148151
disp96,long,9,8.812381329835077,inf,3496,-0.04548755198009892,0.12205070553744755,0.3772883295194508,986,-0.20190187672931156
disp24,short,0,-inf,-3.557982494331823,3503,-0.04588209013598536,0.13897635284451865,0.3608335712246646,1540,-0.10393508314795029
kyle,long,9,5.851425651404679e-07,inf,3506,-0.052881466364535064,0.11465679115301142,0.3428408442669709,139,-0.12434161179316618
since_hi480,long,8,419.0,463.0,3439,-0.05466327675598796,0.11287498076155851,0.3748182611224193,1698,-0.23215441658399352
avg_trade_usd,short,9,5170.536798251279,inf,3506,-0.059230495986067284,0.12562794699443675,0.3585282373074729,3130,-0.28227041788563934
since_hi480,long,6,280.0,356.0,3466,-0.0622517106900851,0.10528654682746137,0.37276399307559144,1187,-0.17267135221674165
vol_of_vol,short,9,1.3853273587886468,inf,3456,-0.062374446746074654,0.12248399623442938,0.3489583333333333,1546,-0.1839390583273683
accel,short,0,-inf,-1.594917431329,3503,-0.06264578006128448,0.12221266291921955,0.3668284327719098,1475,-0.2084862613854216
pos480,short,0,-inf,0.1572028157771889,3458,-0.06664085411015859,0.11821758887034543,0.3597455176402545,1384,-0.06203448416725656
disp96,short,0,-inf,-7.425226839963677,3496,-0.0670225634079715,0.11783587957253253,0.3669908466819222,1605,-0.18004653498209208
disp6,short,0,-inf,-1.6835563673760034,3505,-0.06719821827562271,0.11766022470488131,0.362339514978602,1542,-0.21096471117489707
range_per_trade,short,9,9.801920456758239e-08,inf,3506,-0.07229144293459927,0.11256700004590475,0.33913291500285225,45,-0.1211673560763847
to_hi480,long,1,2.2203358152072457,3.930195002423329,3457,-0.07464825463415607,0.0928900028833904,0.3636100665316749,969,-0.21266276117900415
kyle,short,9,5.851409972842815e-07,inf,3506,-0.07553006964338412,0.10932837333711991,0.32886480319452366,139,-0.1629793955272061
to_hi24,short,9,4.73242607408487,inf,3504,-0.07984703485885912,0.1050114081216449,0.353310502283105,1609,-0.1267208751543057
atr_pct,short,7,0.01024928332853292,0.012094484505518277,3505,-0.07985769373053313,0.1050007492499709,0.3403708987161198,603,0.12123236514318682
persist96,short,7,0.15150004282865992,0.18862354237955942,3496,-0.08015392527362838,0.10470451770687564,0.357837528604119,1387,-0.17319156360223012
disp96,short,1,-7.425226839963677,-4.834122764050597,3496,-0.0806239621626615,0.10423448081784252,0.3555491990846682,1337,-0.12112448527305655
pos480,short,3,0.3298735216597219,0.42943995032960885,3457,-0.08123174859404987,0.10362669438645415,0.353485681226497,1805,-0.12203576561333324
pos24,short,1,0.16884289079273707,0.25732745322226325,3503,-0.08177548179895788,0.10308296118154614,0.36197544961461603,1198,-0.16796577770980445
to_hi24,long,3,1.4064536432365045,1.7425558546033877,3503,-0.08217351628593014,0.08536474123161633,0.36739937196688555,1119,-0.15966977271128938
