tf,feature,h,sign,ic,train_net,train_sh,test_net,test_sh
4h,atr_pct,48,-1.0,-0.06273020257826888,2.9009814520234625,0.19652356691917228,0.5276090753712585,0.0667062659252938
4h,dq_cum24,8,1.0,0.06171165996553704,-3.5769888784661243,-0.26979689895310616,-8.283114802412495,-0.9992832768686525
4h,tbi_ma24,8,1.0,0.061470419299253294,-3.680033545420412,-0.2774288058313157,-8.513785519525657,-1.0254189458562257
4h,atr_pct,8,-1.0,-0.059945004582951426,-1.863275585026709,-0.16516160826775772,-3.51898255488627,-0.42490226498945566
4h,range_per_trade,8,-1.0,-0.058810724106324465,-11.842272121823669,-0.8790123929644054,-5.940049378482996,-0.7902019440170208
4h,range_per_trade,4,-1.0,-0.05747824095281723,-8.501745800733442,-0.6453217050877191,-11.005927692170669,-1.3647957736618932
4h,atr_pct,4,-1.0,-0.05715758131012368,-1.3963017424011235,-0.1334591359149853,-6.498614394520322,-0.7949343963123535
4h,kyle,4,-1.0,-0.05598946404031149,-10.882786469617832,-0.8193437059282573,-11.284675126676103,-1.3643418732347645
4h,tbi_ma96,8,1.0,0.05590177226919958,-4.813347299337898,-0.35416037107642245,4.049652775749406,0.44519314895384493
4h,tbi_ma24,24,1.0,0.05457474968350788,-0.05327536251458365,-0.004496769108585678,-5.09573770714671,-0.6403321900706828
1h,range_per_trade,24,-1.0,-0.06484721784701737,-28.84364061130335,-1.3322499123439875,-20.995115501633418,-1.225430851730567
1h,tbi_ma96,48,1.0,0.061665466071171286,-15.989425115831061,-0.6189839076918657,-9.155315718695718,-0.5108346598315976
1h,kyle,24,-1.0,-0.061482287579827606,-24.229802719809218,-1.094690499281203,-23.956673496860002,-1.362740633618809
1h,atr_pct,24,-1.0,-0.05562714776632302,-14.31778045613922,-0.6470825358650694,-17.221416687318158,-0.9272140522236433
1h,range_per_trade,48,-1.0,-0.05536896403496203,-19.09142734207884,-0.7867359362652224,-16.03426400034735,-0.9317524934239881
1h,tbi_ma96,24,1.0,0.05533703821014138,-9.127251691356259,-0.3745878073116343,-24.31364589695634,-1.3713016395886277
1h,kyle,48,-1.0,-0.04859722023212495,-16.222759138102518,-0.6591066395821372,-24.925376424241104,-1.3570248735237052
1h,avg_trade_usd,24,1.0,0.047982473724906216,-24.028428496931863,-0.9260640917234769,-21.634236073731604,-1.229475361432291
1h,atr_pct,48,-1.0,-0.04389041723979825,-9.36701543748528,-0.3568802897823167,-13.783113678454319,-0.7294134540471858
1h,range_per_trade,8,-1.0,-0.04331032211957026,-24.203469579596604,-1.1959464892441574,-27.68934111215669,-1.6606737210129172
30min,range_per_trade,48,-1.0,-0.06337831624873028,-54.300862980781325,-1.3554900988140428,-37.224622503577955,-1.4138440376907118
30min,kyle,48,-1.0,-0.06115076229559727,-37.65403067722994,-1.1812093078372243,-41.754705115671676,-1.565255575003348
30min,atr_pct,48,-1.0,-0.05373138602520045,-14.595239053486136,-0.44075285797168634,-20.971415628708893,-0.752213660745538
30min,range_per_trade,24,-1.0,-0.049967619529718205,-49.84990216655113,-1.222388517964428,-49.57564034197955,-1.85566969140743
30min,avg_trade_usd,48,1.0,0.04791289564584409,-43.81967193279638,-1.1135677310457293,-27.44475888903338,-1.0301741666488862
30min,kyle,24,-1.0,-0.04708262606931221,-36.023508386743124,-1.1305476161899861,-41.66076394755832,-1.5189696802150832
30min,atr_pct,24,-1.0,-0.0426256727356006,-42.13357150124335,-1.2900245280747398,-42.37398725916776,-1.5241234851743644
30min,tbi_ma96,48,1.0,0.03734755371915757,-43.257190213522236,-1.1156315929167566,-65.01445039662511,-2.5349166558208713
30min,avg_trade_usd,24,1.0,0.03655181641558819,-27.011167854479446,-0.8578840020346906,-33.92494783534911,-1.2176655171150765
30min,to_lo480,48,1.0,0.036373541264837835,8.10789880653362,0.2623495750407244,-1.1803262886477395,-0.04784992836303003
