rule,rr,n,wr,be,expR,ci_lo,ci_hi,R_per_month,tpm,n_tr,e_tr,wr_tr,n_te,e_te,wr_te,hold_h,nights,costR,stop_frac,slip_headroom_bps,lose_streak,years,atr_mult
S_bb_break_dn,0.25,672,0.8586309523809523,0.8432351633473395,0.008523346629993909,-0.02442225441482102,0.04189676984906616,0.09438826194653098,11.074084634124334,482,0.0017513953551675965,0.8506224066390041,190,0.025702717758763816,0.8789473684210526,3.397569444444445,0.09672619047619048,0.06476534384619656,0.017547996062727098,0.8,2,2021:-0.031(62)  2022:+0.006(164)  2023:+0.006(125)  2024:+0.008(131)  2025:+0.024(124)  2026:+0.029(66),1.0
S_bb_break_dn,0.33,653,0.8223583460949464,0.7930649220059801,0.027953784029578863,-0.011000102108618097,0.06572184749138725,0.30081005704240465,10.760978074528557,469,0.023738863858285233,0.8166311300639659,184,0.03869724903140881,0.8369565217391305,4.187850944359368,0.12863705972434916,0.06578281627669987,0.01760465229179296,2.2,3,2021:+0.032(62)  2022:+0.054(161)  2023:-0.001(120)  2024:+0.005(126)  2025:+0.030(119)  2026:+0.055(65),1.0
S_bb_break_dn,0.5,611,0.7283142389525368,0.7044177261007443,0.024528283804940217,-0.021961209445609267,0.07246160069193008,0.24697155605666749,10.068847784895786,439,0.01885702808307487,0.7220956719817767,172,0.03900317486249187,0.7441860465116279,6.030823786142935,0.19967266775777415,0.06794307462386502,0.017656658274272447,2.0,4,2021:-0.112(58)  2022:+0.090(148)  2023:+0.045(111)  2024:-0.030(122)  2025:+0.025(110)  2026:+0.064(62),1.0
S_bb_break_dn,0.75,539,0.6456400742115028,0.6048812078850867,0.059593467575633,-0.014080477161106041,0.1320312584014609,0.5293293643245814,8.882338716953893,388,0.07059944760053377,0.6494845360824743,151,0.03131320102158327,0.6357615894039735,8.5139146567718,0.2764378478664193,0.07027666229449687,0.017734565026121214,4.6000000000000005,6,2021:-0.204(52)  2022:+0.176(132)  2023:+0.172(97)  2024:-0.018(107)  2025:-0.020(97)  2026:+0.124(54),1.0
S_bb_break_dn,1.0,478,0.5836820083682008,0.5301566380002641,0.09511160549196328,0.008653857135258297,0.1822100252043439,0.7492038052631,7.877101867725345,344,0.10041533792359962,0.5843023255813954,134,0.08149605357791184,0.582089552238806,10.748256624825661,0.3619246861924686,0.0722524112444384,0.017922461102705897,7.2,6,2021:-0.106(51)  2022:+0.297(115)  2023:+0.101(82)  2024:-0.026(96)  2025:+0.030(86)  2026:+0.174(48),1.0
S_bb_break_dn,1.5,405,0.47160493827160493,0.42672202621140665,0.10028025755043558,-0.00994213502256551,0.2223626852299273,0.6692818214201641,6.674113507173148,288,0.10655974397020246,0.4722222222222222,117,0.08482306020947093,0.4700854700854701,15.028806584362139,0.5333333333333333,0.07873208812857677,0.017463745562358007,7.6000000000000005,6,2021:-0.138(41)  2022:+0.408(95)  2023:+0.058(69)  2024:-0.078(83)  2025:+0.011(77)  2026:+0.227(40),1.0
S_bb_break_dn,2.0,355,0.39436619718309857,0.35750524374519593,0.09747114877610905,-0.04248830214996271,0.2418507234268471,0.5702207315191137,5.850148876657944,252,0.09818877766523731,0.39285714285714285,103,0.09571539654251379,0.39805825242718446,20.32981220657277,0.7464788732394366,0.08562744277318671,0.01755811345931605,7.2,10,2021:+0.097(39)  2022:+0.467(78)  2023:-0.128(61)  2024:-0.104(74)  2025:-0.086(68)  2026:+0.449(35),1.0
S_dntrend_rsi60,0.25,302,0.8543046357615894,0.8466658269608281,0.000290969202595175,-0.044528703737514726,0.04084029080558745,0.001454510583552546,4.998847199564981,220,-0.00905586421120028,0.8454545454545455,82,0.02536783933716834,0.8780487804878049,2.9638520971302427,0.06291390728476821,0.06758982549939159,0.015968120816532566,0.2,3,2021:+0.006(44)  2022:-0.001(85)  2023:+0.003(44)  2024:-0.049(47)  2025:+0.000(57)  2026:+0.082(25),1.0
S_dntrend_rsi60,0.33,274,0.7883211678832117,0.7961155737300524,-0.019766907036205258,-0.07324334302768719,0.03172452007135173,-0.08965039377373145,4.5353779227841216,196,-0.03476496339869699,0.7755102040816326,78,0.017920516643902207,0.8205128205128205,3.9078467153284673,0.09124087591240876,0.0682340603208768,0.01607276489546479,0.0,3,2021:+0.052(40)  2022:-0.010(76)  2023:-0.092(38)  2024:-0.110(42)  2025:+0.009(54)  2026:+0.038(24),1.0
S_dntrend_rsi60,0.5,226,0.7035398230088495,0.7075566773298995,-0.01514818461401079,-0.09300856160068062,0.059528199303205964,-0.05666208998333143,3.7405201631173535,162,-0.0036399174306036234,0.7098765432098766,64,-0.0442784859220102,0.6875,6.211651917404129,0.18141592920353983,0.07045791912728513,0.016152404112602985,0.0,3,2021:+0.113(31)  2022:+0.022(65)  2023:-0.074(32)  2024:-0.092(34)  2025:-0.078(42)  2026:+0.020(22),1.0
S_dntrend_rsi60,0.75,188,0.5851063829787234,0.6088030149722972,-0.051310254971902294,-0.15834382691278517,0.06042607246489078,-0.159656124512626,3.1115831445400994,131,-0.05828437604231818,0.5801526717557252,57,-0.03528201181006926,0.5964912280701754,9.584663120567376,0.3351063829787234,0.07524642518466824,0.016322126493283625,0.0,3,2021:+0.034(29)  2022:+0.010(52)  2023:-0.169(24)  2024:-0.195(26)  2025:-0.116(38)  2026:+0.125(19),1.0
S_dntrend_rsi60,1.0,168,0.5059523809523809,0.5338561727708218,-0.06530042284160922,-0.19329289649196196,0.06805306873007212,-0.18157198280643166,2.7805636610783866,114,-0.092938660349521,0.49122807017543857,54,-0.006953032547128841,0.5370370370370371,11.818948412698413,0.40476190476190477,0.07720518474637113,0.016280353952633064,0.0,5,2021:+0.027(24)  2022:+0.012(48)  2023:-0.379(19)  2024:-0.201(23)  2025:-0.056(35)  2026:+0.084(19),1.0
