cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h
fund_top_pct90d,-1,0.25,6734,814,12,0.8087318087318087,0.8199216425640599,-1.118983383225114,-0.029601718274569238,-0.05303784000893362,-0.008880999156031041,0.99875,4843,0.8056989469337188,-0.029258354768602904,1891,0.8164992067689053,-0.030481099268432246,5.68484555984556
fund_top_pct90d,-1,0.5,4634,795,12,0.6700474751834269,0.6849991006928947,-1.4951625509467825,-0.038543964715384876,-0.08037565518710782,0.002519511621370438,0.96875,3296,0.6614077669902912,-0.04698580728416896,1338,0.6913303437967115,-0.01774851396298402,11.304596460940871
fund_top_pct90d,-1,0.75,3662,770,12,0.573184052430366,0.5888706069671404,-1.5686554536774477,-0.04428171873815995,-0.09419838587416715,0.010819645531168228,0.93875,2575,0.5619417475728156,-0.05880599817837355,1087,0.5998160073597056,-0.009875077009963047,17.047992900054616
fund_top_pct90d,-1,1.0,3080,747,12,0.5009746588693957,0.516862121778691,-1.5887462909295214,-0.048740113334307424,-0.10954243946187806,0.016187771586107902,0.92125,2149,0.4848766868310842,-0.07559737370662628,931,0.5382131324004306,0.01325371323939098,22.927353896103895
fund_top_pct90d,-1,2.0,2039,653,12,0.3199017199017199,0.3492744492208741,-2.9372729319154187,-0.10474618968175363,-0.21184892703662994,0.013772374939002756,0.96125,1399,0.296137339055794,-0.16841115015468414,640,0.37205651491365777,0.03442143485204292,49.062162824914175
fund_bot_pct90d,1,0.25,9007,1302,12,0.8022649050738314,0.8171736552206642,-1.4908750146832794,-0.032209209223800724,-0.0508817747760282,-0.013043452317210557,1.0,5984,0.8089906417112299,-0.022702492843304056,3023,0.7889513728084684,-0.051027664672326035,7.383396247363162
fund_bot_pct90d,1,0.5,6243,1254,12,0.6697100752843185,0.6830759755778436,-1.3365900293525135,-0.03406804307772265,-0.06755857686287213,-0.002043072698069135,0.97875,4097,0.6814742494508177,-0.015293389790630036,2146,0.6472506989748369,-0.0699113583233976,14.926317475572642
fund_bot_pct90d,1,0.75,4948,1205,12,0.5743734842360549,0.587384435862068,-1.3010951626013068,-0.03725609820145569,-0.08827002810156746,0.009738922889132024,0.94875,3237,0.58758109360519,-0.013108179272215323,1711,0.5493863237872589,-0.08294096878821844,22.52612166531932
fund_bot_pct90d,1,1.0,4224,1173,12,0.5003551977267345,0.5158157329880475,-1.5460535261312969,-0.045698048917478945,-0.1031025668945099,0.009277935332239506,0.93625,2740,0.5131386861313869,-0.019123748486539523,1484,0.47673634524612274,-0.09476380577783881,30.71484375
fund_bot_pct90d,1,2.0,2861,1002,12,0.33718487394957986,0.3492592051523275,-1.2074331202747646,-0.05094921923414864,-0.14664531960869898,0.051133787467081464,0.82,1797,0.3556298773690078,0.004432717272384196,1064,0.3060263653483992,-0.1444843131272309,67.23558196434813
