sym,rr,e_base,e_oi,e_atr,d_oi,d_atr,d_hv,d_lv
BTCUSDT,0.25,0.023575750240040223,0.047436735167409906,0.020794667598074953,0.023860984927369683,-0.00278108264196527,0.04993139544588408,-0.002670767110604339
BTCUSDT,0.5,0.01636214348064321,0.07520361074617998,0.03217401159135374,0.058841467265536775,0.01581186811071053,0.08701109314020677,0.029756416468408237
BTCUSDT,0.75,0.011661490136587686,0.1463110406576438,0.015564174750276789,0.13464955052105612,0.003902684613689103,0.12587373486680034,0.1337550970644519
BTCUSDT,1.0,0.026284722108978652,0.19652710325775463,0.019182827585258893,0.170242381148776,-0.0071018945237197595,0.16871230638801826,0.15548559628918826
BTCUSDT,2.0,0.027160056255496234,0.2328320902618221,-0.02041329888816551,0.2056720340063259,-0.04757335514366175,0.1890449764440083,0.26740998595992205
ETHUSDT,0.25,0.01996384378330608,0.045066806854770894,-0.040655331266101526,0.025102963071464812,-0.06061917504940761,0.0052039046522487,0.043910260120671174
ETHUSDT,0.5,0.017709973712630975,0.03843207245238645,-0.049776189188896806,0.020722098739755477,-0.06748616290152779,0.03630915000993972,-0.0026242693733477367
ETHUSDT,0.75,0.026719526434817776,0.11538735534681495,-0.10610538646020576,0.08866782891199718,-0.13282491289502354,0.1372153972494978,0.007352756812974225
ETHUSDT,1.0,0.04459747298286034,0.17103286155783054,-0.15760975999048318,0.1264353885749702,-0.20220723297334353,0.21955061076504342,0.00429015842761428
ETHUSDT,2.0,0.10385174331082063,0.281622559851122,-0.08189271463268327,0.17777081654030136,-0.18574445794350392,0.18798002351884785,0.2143519970396408
SOLUSDT,0.25,-0.0011633435033732895,0.0760100254521217,-0.05118160563130935,0.07717336895549498,-0.05001826212793606,0.11918605695578648,-0.014200637255010825
SOLUSDT,0.5,0.005516807661858114,0.13566148078700718,-0.06843368037199415,0.13014467312514907,-0.07395048803385226,0.1556145441893188,0.0598694298479406
SOLUSDT,0.75,0.03014522672202383,0.17382618740670228,-0.026243153239863017,0.14368096068467845,-0.05638837996188685,0.15256956522056492,0.14208640381160403
SOLUSDT,1.0,0.05115889486088271,0.28143892625028394,0.0254418465550422,0.23028003138940123,-0.02571704830584051,0.2847460190390766,0.1679663713869788
SOLUSDT,2.0,0.13313110678749626,0.5394944254835198,-0.10589065159876909,0.4063633186960235,-0.23902175838626535,0.6650681025997216,0.2385684261364066
