base,filt,rr,sym,n_all,n_f,e_all,e_f,e_n,delta
S_bb_break_dn,h4b_glob_top_p30,0.25,BTCUSDT,728,353,0.03085710378267232,0.03295211922984354,0.02829326606641922,0.0020950154471712223
S_bb_break_dn,h4b_glob_top_p30,0.25,ETHUSDT,679,288,0.011646048730027787,0.06043730927003484,-0.023039617889325743,0.048791260540007056
S_bb_break_dn,h4b_glob_top_p30,0.25,SOLUSDT,660,208,-0.00567717598220411,-0.01430005003202721,-0.0029886938163183495,-0.0086228740498231
S_bb_break_dn,h4b_glob_top_p30,0.5,BTCUSDT,604,302,0.037142541127480215,0.08635325332783096,-0.0014734888717474195,0.04921071220035075
S_bb_break_dn,h4b_glob_top_p30,0.5,ETHUSDT,580,251,-0.0013475305187862603,0.04590733265924623,-0.025177436528951165,0.04725486317803249
S_bb_break_dn,h4b_glob_top_p30,0.5,SOLUSDT,566,180,0.01036720342856291,0.03684697599991174,0.0038375653459509326,0.02647977257134883
S_bb_break_dn,h4b_glob_top_p30,0.75,BTCUSDT,502,251,0.024782228540880247,0.06570448190034828,0.008681727228745157,0.04092225335946803
S_bb_break_dn,h4b_glob_top_p30,0.75,ETHUSDT,486,207,-0.006401155327448448,0.09502905377049486,-0.062115937979777415,0.10143020909794331
S_bb_break_dn,h4b_glob_top_p30,0.75,SOLUSDT,464,157,0.03860595523510521,0.11984918102609506,-0.004074031571321965,0.08124322579098985
S_bb_break_dn,h4b_glob_top_p30,1.0,BTCUSDT,444,223,0.027892392235558415,0.07617535179966872,0.01759758809231118,0.04828295956411031
S_bb_break_dn,h4b_glob_top_p30,1.0,ETHUSDT,429,179,0.009800819205140431,0.13161826467291357,-0.045131907423690144,0.12181744546777314
S_bb_break_dn,h4b_glob_top_p30,1.0,SOLUSDT,405,139,0.04254484351702232,0.09334135524621949,0.01190670688582072,0.05079651172919717
S_bb_break_dn,h4b_glob_top_p30,2.0,BTCUSDT,319,161,0.04123425854222375,0.17424874792306874,0.006444439302447321,0.13301448938084498
S_bb_break_dn,h4b_glob_top_p30,2.0,ETHUSDT,298,130,0.07602903628164456,0.2382757009068611,-0.03565141508224606,0.16224666462521653
S_bb_break_dn,h4b_glob_top_p30,2.0,SOLUSDT,275,99,0.13712712186347853,0.24564216069902378,0.07362611279217528,0.10851503883554525
