cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h,top3_frac
h1_build_long_6h,1,0.25,4538,1629,2,0.8062596429358607,0.8294281773660226,-2.316853443016187,-0.03516894663817402,-0.0536165026443182,-0.017478792920322807,1.0,3088,0.8115284974093264,-0.027265332316761055,1450,0.7950310559006211,-0.05200091975853485,7.123843102688409,0.005949757602468048
h1_build_long_6h,1,0.5,3290,1489,2,0.6761933718455457,0.6942357903081803,-1.8042418462634546,-0.03356052525136614,-0.06182788790708663,-0.00510828954707221,0.985,2210,0.683710407239819,-0.020990612444002354,1080,0.6607970342910102,-0.059282291273842005,13.716565349544073,0.006686930091185411
h1_build_long_6h,1,0.75,2592,1376,2,0.5777692010806639,0.5971755451197039,-1.9406344039040069,-0.04078495911313563,-0.0872545829393484,0.002850271881272153,0.9675,1750,0.5845714285714285,-0.02770586758191342,842,0.5636147443519619,-0.06796834412458323,19.81886574074074,0.0073302469135802465
h1_build_long_6h,1,1.0,2151,1251,2,0.5065116279069768,0.5247134110283797,-1.820178312140286,-0.04352909903902845,-0.09602030650969844,0.0065971423614636475,0.94125,1458,0.5164609053497943,-0.02250287645551942,693,0.48554913294797686,-0.08776608681212535,26.185262668526267,0.007438400743840074
h1_build_long_6h,1,2.0,1185,847,2,0.34856175972927245,0.3565783526833573,-0.8016592954084856,-0.03132335873541436,-0.12852133444403402,0.07749485743421151,0.675,795,0.35516372795969775,-0.010088033881425054,390,0.33505154639175255,-0.07461075170700796,56.731223628691986,0.010126582278481013
h1_build_short_6h,-1,0.25,3883,1556,2,0.8191187838186035,0.828478027299331,-0.9359243480727475,-0.018704082912337737,-0.03624755115545136,-0.0009511319160278662,0.98,2714,0.8190862196020634,-0.017939049247361005,1169,0.8191945158526135,-0.02048021752888764,7.210983775431368,0.0072109193922225085
h1_build_short_6h,-1,0.5,2919,1448,2,0.6811792937949949,0.6930373395125624,-1.1858045717567545,-0.025258194838991537,-0.05543679913063886,0.005323081862780017,0.9475,2002,0.6773226773226774,-0.030294626007065083,917,0.6896174863387978,-0.014262627556021795,13.566461116820829,0.00856457690990065
h1_build_short_6h,-1,0.75,2332,1327,2,0.5871244635193134,0.5964435889760453,-0.9319125456731969,-0.0241696102556992,-0.0690150104842584,0.01877584477584679,0.86375,1580,0.5816455696202532,-0.0330122376946816,752,0.5986666666666667,-0.005590685583369129,19.896012006861064,0.008576329331046312
h1_build_short_6h,-1,1.0,1949,1226,2,0.522342064714946,0.5243526293772628,-0.20105646623167495,-0.011883629229367209,-0.06852426322839719,0.03894542370980258,0.6575,1300,0.5184615384615384,-0.018927771458051454,649,0.5301391035548686,0.00222636290821294,26.36198050282196,0.008722421754746024
h1_build_short_6h,-1,2.0,1135,835,2,0.34394341290893016,0.3562652060174814,-1.2321793108551249,-0.04266743555419757,-0.16475708175342316,0.06657346421335608,0.7725,748,0.33646112600536193,-0.06449293173050032,387,0.35844155844155845,-0.00048275560620154813,55.41277533039648,0.010572687224669603
h1_cover_rally_6h,1,0.25,3701,1581,2,0.8102702702702703,0.8288797954328906,-1.8609525162620266,-0.030122941177442877,-0.04815119172692329,-0.012305633736356634,0.99875,2488,0.8139067524115756,-0.02428385608487922,1213,0.8028052805280528,-0.042099564186757296,7.900770062145366,0.006214536611726561
h1_cover_rally_6h,1,0.5,2748,1416,2,0.6792864943574809,0.6940760106096636,-1.4789516252182722,-0.029234134878983548,-0.05966145776291334,0.002744459009060097,0.95875,1847,0.6821873308067136,-0.023628283640619568,901,0.6733333333333333,-0.04072581882710593,15.582605531295487,0.006914119359534207
h1_cover_rally_6h,1,0.75,2192,1258,2,0.5814696485623003,0.5976907497529816,-1.622110119068132,-0.0354042790903539,-0.08766094453102813,0.010085318612912179,0.93875,1489,0.5836131631967764,-0.030029277858724716,703,0.5769230769230769,-0.046788883405995234,23.036268248175183,0.007755474452554745
h1_cover_rally_6h,1,1.0,1846,1153,2,0.5100271002710027,0.5249408049831515,-1.4913704712148812,-0.03724590862602627,-0.08817281212675561,0.019760041626828664,0.89875,1267,0.516179952644041,-0.02329223412664766,579,0.49653979238754326,-0.06778011517302572,29.994989165763812,0.008125677139761646
