sym,base,cond,rr,n,ndays,wr,be,lift,expR,e_tr,e_te
BTCUSDT,S_bb_break_dn,h2_oi_top_p30,0.25,172,105,0.8771929824561403,0.8279939524152958,0.04919903004084447,0.05314806244612155,0.07225593753966283,-0.0007786072623172311
BTCUSDT,S_bb_break_dn,h2_oi_top_p30,0.5,147,102,0.7602739726027398,0.6923193751484193,0.06795459745432042,0.09301661129393864,0.09841612779604407,0.07752852448526776
BTCUSDT,S_bb_break_dn,h2_oi_top_p30,0.75,130,101,0.6821705426356589,0.5951424876530723,0.08702805498258659,0.14164467846813755,0.14833680143649158,0.12115005187755332
BTCUSDT,S_bb_break_dn,h2_oi_top_p30,1.0,117,97,0.6379310344827587,0.5229853720130784,0.1149456624696803,0.21770752528474827,0.1961420924177098,0.2831474595019684
BTCUSDT,S_bb_break_dn,h2_oi_top_p30,2.0,89,84,0.5,0.35400176535745015,0.14599823464254985,0.42195287307958257,0.40669213813142563,0.46842874769442366
BTCUSDT,S_bb_break_dn,h2_oi_top_p90,0.25,208,122,0.8792270531400966,0.8275228830566601,0.05170417008343653,0.05665569113976264,0.0862299041028887,-0.036798821823715674
BTCUSDT,S_bb_break_dn,h2_oi_top_p90,0.5,178,118,0.7740112994350282,0.6915887347275632,0.08242256470746501,0.11480665251138018,0.148745695273508,0.008253843839583419
BTCUSDT,S_bb_break_dn,h2_oi_top_p90,0.75,153,115,0.7105263157894737,0.5941577845298591,0.11636853125961455,0.1936595743755591,0.23930497540404766,0.05055507385381113
BTCUSDT,S_bb_break_dn,h2_oi_top_p90,1.0,132,110,0.6335877862595419,0.522188957834303,0.11139882842523896,0.21198255860879303,0.24587264445558518,0.0967562667296995
BTCUSDT,S_bb_break_dn,h2_oi_top_p90,2.0,98,92,0.4845360824742268,0.3532526588029279,0.13128342367129892,0.379596930339873,0.37386202634496923,0.3982977042362981
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p30,0.25,91,53,0.8901098901098901,0.8310740203583669,0.059035869751523196,0.06515725896487384,0.06763926631587996,0.06262009589495644
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p30,0.5,83,52,0.8192771084337349,0.6933888475238329,0.12588826090990202,0.17915922320247982,0.17215826410236545,0.18668525423510268
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p30,0.75,64,51,0.671875,0.5986827078031692,0.07319229219683077,0.1165099788772711,0.1779705442097917,0.046854671500414426
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p30,1.0,58,50,0.603448275862069,0.5264523516555364,0.07699592420653256,0.14217907051793532,0.14780793104977347,0.13474897461590893
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p30,2.0,43,41,0.46511627906976744,0.35872716583768977,0.10638911323207767,0.30594736633946007,0.17548322213424297,0.5054807633592039
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p90,0.25,97,56,0.8854166666666666,0.8319760152468316,0.053440651419835006,0.05895748421853503,0.004347768122165112,0.11470490273357932
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p90,0.5,88,55,0.7586206896551724,0.6948012043919602,0.06381948526321213,0.08646988480795946,-0.01161012364430458,0.18911175411846828
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p90,0.75,69,53,0.6323529411764706,0.599609558072059,0.032743383104411605,0.04717267317985597,0.0005700684142929584,0.09514594279146495
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p90,1.0,63,53,0.5483870967741935,0.5268394318680606,0.021547664906132913,0.031957650842543664,-0.08390881791868356,0.1767907367940777
BTCUSDT,S_bb_break_dn,h4_ttsum_top_p90,2.0,47,44,0.391304347826087,0.3601218268193627,0.03118252100672425,0.0830465467060356,-0.08383592893932788,0.3083378888272764
BTCUSDT,S_bb_break_dn,h4b_glob_top_p30,0.25,353,205,0.8636363636363636,0.831673126770909,0.03196323686545466,0.03295211922984354,0.02509682575512402,0.048796984700217955
BTCUSDT,S_bb_break_dn,h4b_glob_top_p30,0.5,302,198,0.7574750830564784,0.6946773845930253,0.06279769846345307,0.08635325332783096,0.0798811858435821,0.10003133409351152
BTCUSDT,S_bb_break_dn,h4b_glob_top_p30,0.75,251,192,0.64,0.5978422108913012,0.04215778910869883,0.06570448190034828,0.07088572103315348,0.0548302763129794
BTCUSDT,S_bb_break_dn,h4b_glob_top_p30,1.0,223,184,0.5675675675675675,0.5252634319037959,0.04230413566377167,0.07617535179966872,0.055653082618974975,0.12103116872318503
BTCUSDT,S_bb_break_dn,h4b_glob_top_p30,2.0,161,150,0.41875,0.35661404063463004,0.062135959365369975,0.17424874792306874,0.17661073929160048,0.16915425673603943
BTCUSDT,S_bb_break_dn,h4b_glob_top_p90,0.25,262,147,0.8620689655172413,0.8312052245304555,0.030863740986785793,0.03257012267854689,0.03658569523338417,0.026064895139710508
BTCUSDT,S_bb_break_dn,h4b_glob_top_p90,0.5,219,139,0.7477064220183486,0.6947336678776884,0.05297275414066016,0.07263075468914124,0.0831838106788547,0.05465147411407385
BTCUSDT,S_bb_break_dn,h4b_glob_top_p90,0.75,183,137,0.5989010989010989,0.5975429459213154,0.001358152979783478,-0.0038091992307304266,0.03939117240892587,-0.07518372628755389
BTCUSDT,S_bb_break_dn,h4b_glob_top_p90,1.0,163,132,0.5432098765432098,0.5245909458760618,0.018618930667148037,0.030359363137074945,0.05231125990754971,-0.007324726318906769
BTCUSDT,S_bb_break_dn,h4b_glob_top_p90,2.0,123,115,0.38524590163934425,0.3546704812226691,0.03057542041667516,0.0835447253228791,0.09755505603160493,0.060092650006098855
BTCUSDT,S_bb_break_dn,h1_unwind_dn_6h,0.25,297,184,0.8518518518518519,0.8250021261859519,0.026849725665899937,0.024181789492234176,0.018924500338359813,0.040313745252067885
BTCUSDT,S_bb_break_dn,h1_unwind_dn_6h,0.5,258,178,0.7170542635658915,0.6895797014877078,0.027474562078183773,0.03140367329912509,0.0074870723796151605,0.10543124757379861
BTCUSDT,S_bb_break_dn,h1_unwind_dn_6h,0.75,222,170,0.6171171171171171,0.5926616489800642,0.024455468137052905,0.031945859034334265,0.011438488299191705,0.09273556514207835
BTCUSDT,S_bb_break_dn,h1_unwind_dn_6h,1.0,199,168,0.542713567839196,0.5205595642623636,0.022154003576832393,0.03294882298666813,0.0013075270754549517,0.12239633258182833
BTCUSDT,S_bb_break_dn,h1_unwind_dn_6h,2.0,166,156,0.3795180722891566,0.35278061084623635,0.026737461442920274,0.06728199836167381,-0.023299118782603368,0.3108445577940636
BTCUSDT,S_volspike18_dn,h2_oi_top_p30,0.25,119,88,0.8813559322033898,0.8296525606786573,0.05170337152473248,0.056694172990069625,0.04021429259962033,0.09182233908550103
BTCUSDT,S_volspike18_dn,h2_oi_top_p30,0.5,117,88,0.7672413793103449,0.6935905968601359,0.07365078245020895,0.1013776797053469,0.057567500014426176,0.19245673748384
BTCUSDT,S_volspike18_dn,h2_oi_top_p30,0.75,111,87,0.6636363636363637,0.5967787427919216,0.06685762084444213,0.1063898348372207,0.09666808837429067,0.12664347330165826
BTCUSDT,S_volspike18_dn,h2_oi_top_p30,1.0,101,82,0.66,0.5239586514073576,0.13604134859264239,0.25892178169324603,0.22419191092437127,0.33380806553863235
BTCUSDT,S_volspike18_dn,h2_oi_top_p30,2.0,78,74,0.4805194805194805,0.3544392710644441,0.1260802094550364,0.3609369167012824,0.32033164396897407,0.45229878034897625
BTCUSDT,S_volspike18_dn,h2_oi_top_p90,0.25,126,89,0.888,0.8283648763888735,0.05963512361112655,0.06693045285225455,0.05845777365475307,0.09527010396113882
BTCUSDT,S_volspike18_dn,h2_oi_top_p90,0.5,123,89,0.7540983606557377,0.6925632760346564,0.06153508462108126,0.08375920825000062,0.07645753030967083,0.10742671605658682
BTCUSDT,S_volspike18_dn,h2_oi_top_p90,0.75,120,89,0.7058823529411765,0.5952213618019826,0.11066099113919392,0.1840871020885061,0.18776891145976773,0.1725338381993749
BTCUSDT,S_volspike18_dn,h2_oi_top_p90,1.0,103,83,0.6666666666666666,0.5230084030125474,0.14365826365411927,0.27578327589208823,0.25270873620641476,0.35604254436399624
BTCUSDT,S_volspike18_dn,h2_oi_top_p90,2.0,77,73,0.4868421052631579,0.35450781849838475,0.13233428676477316,0.3819980264778518,0.3563980434513503,0.46590908195360675
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p30,0.25,60,44,0.9166666666666666,0.8340514019625773,0.08261526470408931,0.0932655400633944,0.11323164150210137,0.07458757420137815
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p30,0.5,60,44,0.8333333333333334,0.6977453271880666,0.13558800614526678,0.19310178029937905,0.18597306433590244,0.1997705791039218
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p30,0.75,53,44,0.7358490566037735,0.6008745947192179,0.13497446188455564,0.22410657500632777,0.26732338364177527,0.18552013872467826
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p30,1.0,49,42,0.673469387755102,0.5286876568454683,0.14478173090963375,0.2761981004238625,0.21077879597370713,0.3443432092261078
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p30,2.0,38,36,0.5263157894736842,0.357754249345555,0.16856154012812918,0.4908508094546233,0.2602264875091914,0.747100056060659
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p90,0.25,59,43,0.9310344827586207,0.8326317309566804,0.09840275180194025,0.11129126564049441,0.12135532577664429,0.10156267417554951
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p90,0.5,59,43,0.8275862068965517,0.6959659546455564,0.13162025225099527,0.18440177038906333,0.19614375838630171,0.17305118199173297
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p90,0.75,54,43,0.7169811320754716,0.5996958892562699,0.11728524281920172,0.19029374151968512,0.1603308547003704,0.21811642213762023
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p90,1.0,49,41,0.6875,0.5271326299222492,0.16036737007775081,0.3017207717178796,0.17345173143327883,0.4467205563874283
BTCUSDT,S_volspike18_dn,h4_ttsum_top_p90,2.0,36,33,0.4857142857142857,0.35848608798376763,0.12722819773051808,0.3559253814475107,0.2487047753715363,0.46314598752348524
BTCUSDT,S_volspike18_dn,h4b_glob_top_p30,0.25,192,137,0.8900523560209425,0.8336843831728113,0.05636797284813111,0.06218782043158053,0.04636656081760776,0.08915081216806933
BTCUSDT,S_volspike18_dn,h4b_glob_top_p30,0.5,188,137,0.8021390374331551,0.6970389081619178,0.10510012927123724,0.14817501870470157,0.1548352895026621,0.13694770507385387
BTCUSDT,S_volspike18_dn,h4b_glob_top_p30,0.75,173,136,0.6802325581395349,0.6001086907325669,0.08012386740696797,0.13020546116199389,0.1527395984281163,0.09367284468509852
BTCUSDT,S_volspike18_dn,h4b_glob_top_p30,1.0,152,125,0.6357615894039735,0.5277368315215973,0.1080247578823762,0.2050682942337337,0.21552348643248329,0.18662913708321174
BTCUSDT,S_volspike18_dn,h4b_glob_top_p30,2.0,116,108,0.4434782608695652,0.3580700007087673,0.08540826016079789,0.24115926212457695,0.2027079218248308,0.30407963716052505
BTCUSDT,S_volspike18_dn,h4b_glob_top_p90,0.25,170,120,0.8757396449704142,0.8327600300245767,0.042979614945837574,0.047141369048953996,0.017441861075649406,0.09061456187944328
BTCUSDT,S_volspike18_dn,h4b_glob_top_p90,0.5,164,119,0.754601226993865,0.696555297884283,0.05804592910958195,0.07950059615173957,0.07777559729659923,0.08199798255395768
BTCUSDT,S_volspike18_dn,h4b_glob_top_p90,0.75,149,116,0.6216216216216216,0.5989697422474682,0.02265187937415336,0.03218774824636892,0.07278950732415848,-0.02478568787891642
BTCUSDT,S_volspike18_dn,h4b_glob_top_p90,1.0,134,109,0.5714285714285714,0.5260711883211323,0.045357383107439087,0.08239954439071032,0.08803864998097095,0.07350710865222239
BTCUSDT,S_volspike18_dn,h4b_glob_top_p90,2.0,101,94,0.41,0.3550390003116511,0.05496099968834889,0.15331519810835717,0.12481998668010798,0.19501550751555094
BTCUSDT,S_volspike18_dn,h1_unwind_dn_6h,0.25,182,142,0.8516483516483516,0.8265345148853305,0.025113836763021147,0.02248422636921946,0.024275451926021645,0.018931139609005297
BTCUSDT,S_volspike18_dn,h1_unwind_dn_6h,0.5,178,142,0.7134831460674157,0.6910085396468753,0.022474606420540444,0.023619475405815975,0.05069638749921403,-0.029631785044533596
BTCUSDT,S_volspike18_dn,h1_unwind_dn_6h,0.75,168,140,0.6309523809523809,0.5945214862348623,0.03643089471751859,0.05252410265961828,0.0879054198051163,-0.016376357044772645
BTCUSDT,S_volspike18_dn,h1_unwind_dn_6h,1.0,155,138,0.5483870967741935,0.522253555023515,0.0261335417506785,0.04039403307610968,0.06528238969107643,-0.007504313616845207
BTCUSDT,S_volspike18_dn,h1_unwind_dn_6h,2.0,134,127,0.40298507462686567,0.3532170874301246,0.04976798719674108,0.13486397325221913,0.12052471359566122,0.1622956004212865
BTCUSDT,standalone,h2_oi_top_p30,0.25,1361,599,0.8095588235294118,0.8297236984117248,-0.020164874882313,-0.03192625156195884,-0.02805484004130423,-0.04273169541626503
