variant,stop,rr,n,wr,be,expR,e_tr,e_te,lo,hi,p,tpm,level,tf
DIAG_any_two,atr,0.25,3305,0.8151285930408472,0.8197467423004576,-0.02063827953833501,-0.028626832174058234,-0.0010095032398895684,-0.04559415298650978,0.00400589666895793,0.94625,53.206275892463644,primary,4H
DIAG_any_two,atr,0.5,3234,0.6892393320964749,0.6850714509529583,-0.009188006057141008,-0.028295255690670484,0.0377933489241256,-0.04562519829292604,0.02509976793384233,0.6865,52.063266637285146,primary,4H
DIAG_any_two,atr,0.75,3143,0.5806554247534202,0.589310319130005,-0.030996036976384842,-0.04155078252176532,-0.005096315215028138,-0.07826975240293495,0.01696448817158082,0.90175,50.60720444326898,primary,4H
DIAG_any_two,atr,1.0,3057,0.5103042198233563,0.5173549262438725,-0.03023302617127298,-0.04081661541243893,-0.00450457017086285,-0.084918047653022,0.027706197263387983,0.85925,49.222470245966676,primary,4H
DIAG_any_two,atr,2.0,2726,0.33786265148733013,0.34988712141695294,-0.05140263702307112,-0.09290464070345451,0.048867868109484236,-0.1352334337314139,0.03535168604765008,0.875,43.89285374239619,primary,4H
DIAG_any_two,spec,0.25,3242,0.811844540407156,0.8183333048088383,-0.02538668379405755,-0.035218577806189984,-0.0014526875653707353,-0.05086844653017191,0.0002813597315880013,0.97325,52.19205641251653,primary,4H
DIAG_any_two,spec,0.5,3098,0.6856036152356358,0.685207232819916,-0.0164100272267085,-0.02829669577361159,0.012756703511010237,-0.05380237743963517,0.019969576652112634,0.81725,49.8738404583517,primary,4H
DIAG_any_two,spec,0.75,2942,0.5953757225433526,0.5900977379589529,-0.007123299293172481,-0.019075741497264723,0.022637289302781975,-0.053870488096995364,0.040497253614909856,0.604,47.37079079608569,primary,4H
DIAG_any_two,spec,1.0,2797,0.5216612960973863,0.5189611059711248,-0.010173076204055118,-0.043217903996047316,0.07202696300420473,-0.06755559385241804,0.04645030416528389,0.6105,45.03606453319228,primary,4H
DIAG_any_two,spec,2.0,2339,0.347114556416882,0.3526701021970738,-0.028236514617944512,-0.10411069162370319,0.1656000986748827,-0.12046074505057519,0.06474980733128026,0.72425,37.66154985453584,primary,4H
MFI+RSI,atr,0.25,1443,0.8246708246708246,0.8194550044095271,-0.007967339180269083,-0.005854928316287363,-0.013362831953542584,-0.04064664105612576,0.024352917394524838,0.6755,23.253001588141874,primary,4H
MFI+RSI,atr,0.5,1402,0.6997146932952925,0.6850100869721211,0.007142367400134916,-0.006401991388290191,0.04155051119093203,-0.046628951940472244,0.05474865480603651,0.4085,22.592313393329803,primary,4H
MFI+RSI,atr,0.75,1373,0.6001456664238893,0.589287643394529,0.003784141342645874,-0.017334689342707373,0.05759077456165957,-0.0647350745197994,0.06616794026172865,0.49075,22.136716101694915,primary,4H
MFI+RSI,atr,1.0,1349,0.5322461082283173,0.5170757178897544,0.014738922774162956,-0.008663004641749926,0.07376310523831925,-0.06493410720579872,0.09068979091757406,0.35975,21.74976694915254,primary,4H
MFI+RSI,atr,2.0,1262,0.34523809523809523,0.35015745859060887,-0.02870047800070376,-0.10880511027388752,0.17357490628688874,-0.14715301535518685,0.09086988956197259,0.68075,20.347076271186438,primary,4H
MFI+RSI,spec,0.25,1415,0.8162544169611308,0.8177391902651685,-0.01788480134862326,-0.01654716166154689,-0.021326859028246537,-0.05213014016374307,0.014220733727433802,0.85725,22.801799894123874,primary,4H
MFI+RSI,spec,0.5,1361,0.698016164584864,0.6846709483099879,0.004154962873856573,-0.004732422408450702,0.026849121636510653,-0.04649172905730617,0.054556150314249215,0.442,21.931625198517732,primary,4H
MFI+RSI,spec,0.75,1324,0.5978835978835979,0.5896358874146352,-0.0007448752409336383,-0.01572312414643662,0.037730249306086205,-0.06827426542896074,0.06451571191753379,0.5085,21.346694915254236,primary,4H
MFI+RSI,spec,1.0,1277,0.5192156862745098,0.5188160090291424,-0.012711875599172485,-0.056290888863347883,0.10003045927809028,-0.09272981105202002,0.06720981985206692,0.6355,20.588919491525424,primary,4H
MFI+RSI,spec,2.0,1172,0.34995700773860705,0.35255999877705796,-0.01843563919542511,-0.10869273073273149,0.21381126707739986,-0.1384684177497832,0.11065601274769647,0.59725,18.896016949152543,primary,4H
MFI_only,atr,0.25,2625,0.8125714285714286,0.8198770686988828,-0.02423241741551197,-0.030004660465454393,-0.009962149875376535,-0.05408574440264751,0.005981965698255196,0.94875,42.25914499779639,primary,4H
MFI_only,atr,0.5,2572,0.6811819595645412,0.6852565717205338,-0.021799031031032264,-0.043037384832099256,0.03088013340381995,-0.06655124672458529,0.020955267024278117,0.8275,41.405912736888496,primary,4H
MFI_only,atr,0.75,2509,0.5751295336787565,0.5894889182723582,-0.04122353656541617,-0.06244924241668901,0.011209534873551044,-0.09765739373179984,0.011965393390585605,0.9235,40.39881512827294,primary,4H
MFI_only,atr,1.0,2452,0.5101957585644372,0.517326796152631,-0.030692443436176907,-0.0477011136846528,0.011121537160569888,-0.09625800020597954,0.03270415619305919,0.82075,39.481026183549325,primary,4H
MFI_only,atr,2.0,2222,0.3424966200991438,0.3496989214774608,-0.03726614479740675,-0.09138252716942638,0.09389729044325096,-0.1358175882572595,0.06705766594060064,0.7645,35.77766728378736,primary,4H
MFI_only,spec,0.25,2585,0.8108317214700194,0.8184842702522198,-0.026796989345165098,-0.03542139836266065,-0.005656248415763432,-0.056273673295729784,0.0026425213277107827,0.9595,41.61519612163949,primary,4H
MFI_only,spec,0.5,2488,0.6764469453376206,0.685187235938839,-0.030232153207229658,-0.04169820003115947,-0.002021531744737536,-0.07297769062332735,0.012778981705323494,0.91725,40.053620096959015,primary,4H
MFI_only,spec,0.75,2385,0.5817953020134228,0.5900071545651955,-0.030824930523335296,-0.0463016934147215,0.007980776432272777,-0.08370592615781644,0.024589125694869065,0.85875,38.402221634488235,primary,4H
MFI_only,spec,1.0,2285,0.5078878177037687,0.5187882563162707,-0.03739690367369578,-0.07065199175988095,0.04536003309039861,-0.10439915996521167,0.03037064237546296,0.86675,36.79206559111346,primary,4H
MFI_only,spec,2.0,1982,0.3385786802030457,0.35214982292391855,-0.05299785136289394,-0.12202860372407516,0.12229095195424843,-0.15184606646765653,0.054768359687513986,0.82175,31.913292779687914,primary,4H
RSI_only,atr,0.25,3830,0.8221932114882506,0.8205396489922017,-0.012667657698726445,-0.007164466722808758,-0.02541314329230204,-0.03475233408235128,0.009725998924271288,0.87175,61.69073110503572,primary,4H
RSI_only,atr,0.5,3715,0.6899057873485868,0.6859743594192597,-0.009247089286472235,-0.01091146266865076,-0.005395720371779018,-0.04119924942688843,0.022012412798252473,0.7125,59.838398447834905,primary,4H
RSI_only,atr,0.75,3575,0.5972027972027972,0.5901014689347216,-0.0029719509433990903,-0.0047553651789779515,0.0012143968923651635,-0.045656981304794265,0.03753885785688145,0.571,57.58338477819913,primary,4H
RSI_only,atr,1.0,3424,0.5238095238095238,0.5182791508308068,-0.004803528618882973,-0.018748627647467573,0.027971547571586913,-0.05476819304861713,0.04266391900128871,0.58675,55.15119146309198,primary,4H
RSI_only,atr,2.0,2926,0.34108792336640437,0.35091991006950973,-0.04427366244999962,-0.10354237347572023,0.09465219619428952,-0.11768434435748293,0.032330146503752155,0.87675,47.158898693964,primary,4H
RSI_only,spec,0.25,3688,0.8150759219088937,0.8183200066505263,-0.02077692029777047,-0.013433941228033463,-0.038030586831294205,-0.04453792419544157,0.0015705385632678848,0.96425,59.40350295440515,primary,4H
RSI_only,spec,0.5,3431,0.6884290294374817,0.6854064830129247,-0.01171066784655113,-0.011235828514103732,-0.012839345984209069,-0.04620916249962611,0.02074588425567736,0.764,55.26394214657377,primary,4H
RSI_only,spec,0.75,3191,0.5931618569636136,0.590615569236303,-0.010882620942230636,-0.020425467068328356,0.012317782381540302,-0.05373039684101106,0.03155589538687624,0.69025,51.398204427198166,primary,4H
RSI_only,spec,1.0,2978,0.5181818181818182,0.5195632685160199,-0.016632467866747408,-0.05120950031870654,0.06769396693525913,-0.06599455855162634,0.03632325482365787,0.74275,47.967362201252314,primary,4H
RSI_only,spec,2.0,2330,0.3463203463203463,0.353437737890556,-0.03039682637000139,-0.11144684108941721,0.17686847844682535,-0.10553090434255172,0.050431145473193544,0.75975,37.55305330038828,primary,4H
WT+MFI,atr,0.25,266,0.8383458646616542,0.8161672113790601,0.0150380381525551,0.0015825773532663302,0.0691137579685647,-0.03958256919452724,0.06541217681782198,0.285,4.302359192348566,primary,4H
WT+MFI,atr,0.5,261,0.7011494252873564,0.6816648636801488,0.01612442181585584,-0.026901265456480247,0.19328901646665153,-0.06909320504832836,0.0935088151261033,0.37825,4.221487778958555,primary,4H
WT+MFI,atr,0.75,258,0.6124031007751938,0.5855174550662868,0.033941765476698145,-0.02686922521957514,0.2869154867731949,-0.07579383491805143,0.1358322561048336,0.3,4.1729649309245485,primary,4H
WT+MFI,atr,1.0,256,0.4921875,0.5138931263825992,-0.05658719440395751,-0.1370094056511831,0.2747523159346119,-0.20243900758845573,0.08146825399801452,0.7915,4.140616365568544,primary,4H
WT+MFI,atr,2.0,250,0.316,0.346503031431001,-0.10559259357385647,-0.3005297693284968,0.6741561094447052,-0.33446863726219894,0.12047260609729216,0.83075,4.043570669500531,primary,4H
WT+MFI,spec,0.25,265,0.8226415094339623,0.8155571087269509,-0.005386750289614646,-0.01786212276627822,0.04451473961703961,-0.052544595178871153,0.03912802269981278,0.614,4.286184909670563,primary,4H
WT+MFI,spec,0.5,263,0.7072243346007605,0.6818471997295478,0.02419384390354694,-0.018450700973723935,0.19723228561708847,-0.06362364341826775,0.10851111535459614,0.313,4.253836344314559,primary,4H
WT+MFI,spec,0.75,259,0.5945945945945946,0.5870192615863206,0.0008257973339060204,-0.07074986401795255,0.2927422201022704,-0.1130687397844565,0.11010116084326801,0.5295,4.189139213602551,primary,4H
WT+MFI,spec,1.0,255,0.49411764705882355,0.5165636287555273,-0.05570494602289672,-0.1688017626392397,0.4197633034254025,-0.2025489960023474,0.0923054948098203,0.79175,4.124442082890542,primary,4H
WT+MFI,spec,2.0,246,0.30327868852459017,0.3502542359585204,-0.15105836417825874,-0.3628110834217777,0.7002739968620111,-0.3509006084894544,0.047581944057454806,0.93075,3.978873538788523,primary,4H
WT+RSI,atr,0.25,749,0.8237650200267023,0.818408433099458,-0.006780825934215104,-0.021756366426910617,0.03576506859375063,-0.04600555919043245,0.02940940478823207,0.6485,12.125275660343911,primary,4H
WT+RSI,atr,0.5,736,0.7119565217391305,0.683639495329243,0.028489551211120356,-0.0020332466401742806,0.11620243345747232,-0.033604932218978735,0.08903842633110963,0.19475,11.914823612834605,primary,4H
WT+RSI,atr,0.75,724,0.6187845303867403,0.5877404416377916,0.04005274605421327,0.026000090560818884,0.08069967430930029,-0.039593859780605985,0.11143402257098714,0.17075,11.720560184364475,primary,4H
WT+RSI,atr,1.0,713,0.520336605890603,0.5161250281051486,-0.006167168824060672,-0.03554328988527429,0.07828917922692848,-0.10084677376233477,0.08436282071251501,0.56,11.542485374933523,primary,4H
WT+RSI,atr,2.0,688,0.3313953488372093,0.3492840669851142,-0.0691679048977067,-0.16541080437954409,0.2065842228311533,-0.2166597929511108,0.07553493950227425,0.8275,11.137769898954087,primary,4H
WT+RSI,spec,0.25,736,0.8002717391304348,0.8173146330485613,-0.037485951252770364,-0.04832146971965171,-0.007213523371070916,-0.08224997071706609,0.00499671782569676,0.95875,11.914823612834605,primary,4H
WT+RSI,spec,0.5,721,0.7156726768377254,0.6837848898700244,0.03207021708551026,0.014386141099716775,0.08256912925884566,-0.031246061091820918,0.09318348846854604,0.168,11.671994327246942,primary,4H
WT+RSI,spec,0.75,702,0.6367521367521367,0.5888459612777096,0.06832390493207627,0.04196480654413634,0.1430800364257419,-0.016830620313004634,0.1510668902714616,0.06325,11.36441056550257,primary,4H
WT+RSI,spec,1.0,687,0.5451895043731778,0.5182272293550242,0.039531234933558396,-0.020810576339940896,0.20949400335391472,-0.057981998179595685,0.1408398052871141,0.21625,11.12158127991491,primary,4H
WT+RSI,spec,2.0,652,0.33900928792569657,0.35239209823397477,-0.05028340840605539,-0.13868845377254893,0.1983880934727948,-0.196490355992204,0.09966586935626393,0.757,10.554979613543699,primary,4H
WT_only,atr,0.25,900,0.8311111111111111,0.8183778578067912,0.0020954927574251296,-0.01045682516976721,0.03546628919800963,-0.03355860429895313,0.03700055491829459,0.46725,14.556854410201913,primary,4H
WT_only,atr,0.5,887,0.7170236753100339,0.6835935418480177,0.03576381036512428,0.022782036090208485,0.07036399386644941,-0.019234076407429256,0.0890670484118086,0.10075,14.346588735387886,primary,4H
WT_only,atr,0.75,880,0.6068181818181818,0.587762427104806,0.018537349848334935,0.02531409627098503,0.0004660260546013502,-0.05477631203167563,0.08824383774636854,0.323,14.233368756641871,primary,4H
WT_only,atr,1.0,868,0.5080645161290323,0.5164282466053368,-0.03174277575119085,-0.041176901852009035,-0.0066249125882529986,-0.11868638007931585,0.0571652802846906,0.7605,14.039277364505846,primary,4H
WT_only,atr,2.0,844,0.3234597156398104,0.349576596170573,-0.09354745871144116,-0.14353245890697983,0.03830952456299707,-0.23317541773156192,0.03567236264285667,0.917,13.651094580233794,primary,4H
WT_only,spec,0.25,892,0.8217488789237668,0.8171555276873119,-0.011245275091630251,-0.021688043719119646,0.016645082271499852,-0.05031202905724125,0.025755273395843853,0.72275,14.427460148777897,primary,4H
WT_only,spec,0.5,876,0.723744292237443,0.6842122703138437,0.043185633196605705,0.025194570939177735,0.09169318080207604,-0.013793581225060816,0.09825079107555602,0.06425,14.168671625929862,primary,4H
WT_only,spec,0.75,863,0.6349942062572422,0.5894714246749622,0.06425549950149766,0.0487602369101087,0.10664946468659647,-0.006408244927806399,0.13261626298049467,0.04,13.958405951115834,primary,4H
WT_only,spec,1.0,852,0.5464159811985899,0.5187586271410188,0.04078995856442857,-0.001922621705087404,0.15839067516551883,-0.045962700220984386,0.12688108742874796,0.16875,13.780488841657812,primary,4H
WT_only,spec,2.0,810,0.3403990024937656,0.3529704832899687,-0.047414876545971825,-0.12142876748026785,0.15357697406459367,-0.17418909213417635,0.07976605422326469,0.78025,13.113943799308572,primary,4H
DIAG_any_two,atr,0.25,4021,0.8117383735389206,0.8199299727359728,-0.024979153546425062,-0.03241865594320055,-0.006246968158918637,-0.048394358180935966,-0.0027645836890756604,0.98575,64.7329607756721,secondary,4H
DIAG_any_two,atr,0.5,3916,0.6823289070480082,0.685244076221123,-0.01968706962478472,-0.03877999775941118,0.028457328297420863,-0.054419054918425906,0.012676836228941564,0.88575,63.042594975760245,secondary,4H
DIAG_any_two,atr,0.75,3781,0.5807987304945782,0.5893520599600598,-0.030676122329722777,-0.04537902166888859,0.0063823027271876775,-0.07269581235676573,0.01414998360449439,0.914,60.88,secondary,4H
DIAG_any_two,atr,1.0,3657,0.5086136177194421,0.5175110982530412,-0.033789505521227996,-0.048516145280090885,0.003020047636810157,-0.0867778282056254,0.015069620729209554,0.9125,58.88340650621529,secondary,4H
DIAG_any_two,atr,2.0,3187,0.33574120603015073,0.350104140207863,-0.05840083089575669,-0.10343150288808735,0.05307095255308804,-0.13314884007316866,0.021585573651229907,0.926,51.31567310235388,secondary,4H
DIAG_any_two,spec,0.25,3930,0.8083969465648855,0.8184073954824068,-0.02974899368717486,-0.03641834547056402,-0.013057781737302512,-0.052894877700828125,-0.006436415508794849,0.99375,63.267977082415165,secondary,4H
DIAG_any_two,spec,0.5,3726,0.6763285024154589,0.6851786700267756,-0.030244887315521093,-0.04076488077548827,-0.0037511927378700454,-0.06377665725453659,0.004294925867900369,0.95775,59.98383781401499,secondary,4H
DIAG_any_two,spec,0.75,3514,0.5892399658411615,0.5900580456484176,-0.017802492028915776,-0.03329819908311209,0.02159284384878898,-0.059908057899799964,0.02453691525571734,0.7795,56.58088336418937,secondary,4H
DIAG_any_two,spec,1.0,3308,0.5157384987893463,0.5189723553031969,-0.022121608418620955,-0.05220709153387872,0.054234382418284606,-0.0725808347858759,0.030288056880594286,0.789,53.263961914837346,secondary,4H
DIAG_any_two,spec,2.0,2658,0.3443181818181818,0.3527751647464761,-0.03675279915906168,-0.11302850681920999,0.1613163253332585,-0.11598666025243992,0.04809475423990467,0.8025,42.79794763290135,secondary,4H
MFI+RSI,atr,0.25,1443,0.8246708246708246,0.8194550044095271,-0.007967339180269083,-0.005854928316287363,-0.013362831953542584,-0.04200167902490727,0.024011916626467893,0.68225,23.253001588141874,secondary,4H
MFI+RSI,atr,0.5,1402,0.6997146932952925,0.6850100869721211,0.007142367400134916,-0.006401991388290191,0.04155051119093203,-0.04593205213563537,0.057693425247121996,0.40075,22.592313393329803,secondary,4H
