rr,name,side,n,wr,be,expR,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,se,hold,nights,costR,tf
0.25,all,1,11128,0.7999101123595506,0.8342258407105193,-0.05181104770033449,7907,0.8133299607942329,-0.028643883476333745,3221,0.766935985083903,-0.10868244401178243,0.0037930027179505664,9.90383117661155,0.3126347951114306,0.05167515324329579,4H
0.25,trend,1,5413,0.8143358581193423,0.8380111694940735,-0.03701845854979096,3991,0.8248559258331245,-0.01485214692319915,1422,0.7848101265822784,-0.09923065946521145,0.005285021801343447,10.007882258759777,0.31960096065028637,0.05493828119896887,4H
0.25,trend+50,1,4770,0.8113207547169812,0.8383833775500122,-0.041153798569436406,3567,0.823941687692739,-0.01572893148466218,1203,0.7738985868661679,-0.11654074860384175,0.005664990275201144,10.363871418588399,0.33542976939203356,0.055304741965662825,4H
0.25,trend+d1,1,4331,0.8134380050796582,0.8385970528242451,-0.038972463150280336,3346,0.8242677824267782,-0.01582478797221552,985,0.7766497461928934,-0.11760405822216347,0.0059194277808938,10.439890710382516,0.3389517432463634,0.05576996949985318,4H
0.25,trend+macd,1,1727,0.8013896931094383,0.8385200575073055,-0.05361760792309028,1232,0.8108766233766234,-0.03250957935003468,495,0.7777777777777778,-0.10615314570491756,0.009600118608349717,9.639982628836131,0.32136653155761435,0.0553547243098882,4H
0.25,volspike1.8+bar,1,376,0.8164893617021277,0.8390774451928502,-0.03644092192512152,273,0.8315018315018315,-0.008973518759463523,103,0.7766990291262136,-0.10924287400497236,0.019962363785315775,7.277482269503546,0.2872340425531915,0.0570526240527811,4H
0.25,volspike2.5+bar,1,162,0.845679012345679,0.8364651934476246,0.005490778670095281,122,0.8442622950819673,0.00818409070588042,40,0.85,-0.002723823039049433,0.02838296529020379,3.8703703703703702,0.13580246913580246,0.0516079867620035,4H
0.25,trend+run3,1,704,0.8110795454545454,0.8367233878595016,-0.037218666028542714,524,0.8072519083969466,-0.037976631620124636,180,0.8222222222222222,-0.035012143973048644,0.014753154342983346,7.3680160984848495,0.2315340909090909,0.05106809784672453,4H
0.25,trend+pullback_ema20,1,1649,0.8211036992116434,0.8387905862234486,-0.030477443822144207,1208,0.8236754966887417,-0.016475389167861794,441,0.8140589569160998,-0.06883227833999718,0.009438203926658274,10.132049727107338,0.3317161916312917,0.05685706783669847,4H
0.25,trend+rsi<40,1,334,0.7874251497005988,0.8337609730917845,-0.06316880552790334,260,0.8,-0.041756348483230246,74,0.7432432432432432,-0.13840176271188992,0.022386559224029563,6.274451097804392,0.15568862275449102,0.04745024265365185,4H
0.25,trend+bb_lo,1,171,0.7719298245614035,0.8352923933423895,-0.08426034145264538,141,0.7801418439716312,-0.0691379112594308,30,0.7333333333333333,-0.15533576336075375,0.03208670367478522,6.525341130604289,0.1695906432748538,0.04917262215439974,4H
0.25,trend+hammer,1,448,0.8214285714285714,0.8384377176505332,-0.02947472200386256,345,0.8405797101449275,0.0051994917125033095,103,0.7572815533980582,-0.14561650581110747,0.018094720611111108,10.840215773809524,0.3861607142857143,0.056260436289576846,4H
0.25,trend+bull_engulf,1,526,0.8041825095057035,0.8400082059730757,-0.05371238328169585,380,0.8236842105263158,-0.01750078566555216,146,0.7534246575342466,-0.14796174694015202,0.017302552665077506,11.570659062103928,0.39543726235741444,0.05894052016382513,4H
0.25,trend+marubozu,1,122,0.8114754098360656,0.8376754436867937,-0.04218570878011131,82,0.8414634146341463,0.00971626635265855,40,0.75,-0.14858475780228955,0.03541129173752523,8.693306010928962,0.30327868852459017,0.05652997107519329,4H
0.25,trend+lowvol,1,2354,0.7986406117247239,0.848678528912161,-0.07113465256402245,1504,0.8178191489361702,-0.031375780989814236,850,0.7647058823529411,-0.1414844676788567,0.008265295931460323,12.330218068535824,0.40739167374681395,0.06943541721992728,4H
0.25,trend+hivol,1,1403,0.8396293656450463,0.8293620634393349,0.010377706874720626,1275,0.8454901960784313,0.018377131549721485,128,0.78125,-0.06930406234892073,0.00979664560653737,8.346222380612971,0.25089094796863864,0.039159000181587286,4H
0.25,trend+near_ema200,1,667,0.8110944527736131,0.8371748613352686,-0.039996792785987285,430,0.8162790697674419,-0.02821147517932608,237,0.8016877637130801,-0.06137943654490847,0.01515636844458511,8.537231384307846,0.24737631184407796,0.053864858753003786,4H
0.25,trend+far_ema200,1,2629,0.8189425637124382,0.8365608557589382,-0.025907159121482736,2042,0.8241919686581782,-0.015454780920932465,587,0.8006814310051107,-0.06226790236768998,0.007509994381839917,7.865665018384685,0.23126664130848232,0.049585363762030474,4H
0.25,rsi>70,1,804,0.8569651741293532,0.8340284325671397,0.02391356792630093,640,0.8625,0.03467800183068509,164,0.8353658536585366,-0.018093979017637308,0.012347369876180297,6.353026533996684,0.1865671641791045,0.047292899735390616,4H
