feature,bucket,n,winrate,avg_netR
x_trig_wt2,"(-28.749000000000002, 28.655]",145,0.36551724137931035,0.0168140201106308
x_trig_wt2,"(28.655, 41.336]",144,0.375,0.04477447640971328
x_trig_wt2,"(41.336, 49.444]",144,0.3611111111111111,-0.0024493707446059786
x_trig_wt2,"(49.444, 59.76]",144,0.3402777777777778,-0.0574168137462515
x_trig_wt2,"(59.76, 89.768]",144,0.3541666666666667,-0.019416214219985073
x_trig_mfi,"(-8.11, 4.854]",145,0.38620689655172413,0.07844954038167326
x_trig_mfi,"(4.854, 10.766]",144,0.3333333333333333,-0.08145433121733989
x_trig_mfi,"(10.766, 17.29]",144,0.3819444444444444,0.06305751442300406
x_trig_mfi,"(17.29, 24.709]",144,0.3541666666666667,-0.022174200424298462
x_trig_mfi,"(24.709, 51.059]",144,0.3402777777777778,-0.05600044979986415
x_wt_pivot_osc,"(15.757, 45.371]",145,0.3586206896551724,-0.007015609049867783
x_wt_pivot_osc,"(45.371, 53.272]",144,0.4027777777777778,0.12346483181110811
x_wt_pivot_osc,"(53.272, 61.967]",144,0.3680555555555556,0.021356877833110553
x_wt_pivot_osc,"(61.967, 69.197]",144,0.3194444444444444,-0.11897616631595959
x_wt_pivot_osc,"(69.197, 101.142]",144,0.3472222222222222,-0.036358352933053006
x_wt_anchor_osc,"(27.276, 61.448]",145,0.38620689655172413,0.07464192418455748
x_wt_anchor_osc,"(61.448, 69.568]",144,0.3402777777777778,-0.06625798196865815
x_wt_anchor_osc,"(69.568, 76.787]",144,0.3958333333333333,0.11179836571504925
x_wt_anchor_osc,"(76.787, 84.744]",144,0.3611111111111111,0.0015413455836094227
x_wt_anchor_osc,"(84.744, 113.495]",144,0.3125,-0.13981913837223658
x_mfi_pivot_osc,"(2.5220000000000002, 6.938]",145,0.3724137931034483,0.031854615988068914
x_mfi_pivot_osc,"(6.938, 12.764]",144,0.3472222222222222,-0.04007279981416071
x_mfi_pivot_osc,"(12.764, 19.677]",144,0.375,0.04336930462482255
x_mfi_pivot_osc,"(19.677, 27.43]",144,0.3611111111111111,0.00283905173937524
x_mfi_pivot_osc,"(27.43, 56.729]",144,0.3402777777777778,-0.05578852331108673
x_mfi_anchor_osc,"(3.327, 11.307]",145,0.4,0.11267965280107994
x_mfi_anchor_osc,"(11.307, 18.034]",144,0.3263888888888889,-0.10383211430554234
x_mfi_anchor_osc,"(18.034, 24.105]",144,0.3125,-0.1398738561824669
x_mfi_anchor_osc,"(24.105, 31.364]",144,0.3819444444444444,0.06342317761934854
x_mfi_anchor_osc,"(31.364, 60.867]",144,0.375,0.04924350431673191
x_h1_wt2,"(-36.082, 28.975]",145,0.30344827586206896,-0.17587857486320085
x_h1_wt2,"(28.975, 45.437]",144,0.375,0.04555946896645876
x_h1_wt2,"(45.437, 56.207]",144,0.4583333333333333,0.29584428443460115
x_h1_wt2,"(56.207, 68.474]",144,0.3402777777777778,-0.060646051962080644
x_h1_wt2,"(68.474, 97.725]",144,0.3194444444444444,-0.1212348857456253
x_h4_wt2,"(-92.02600000000001, -22.686]",145,0.36551724137931035,0.011008772100084907
x_h4_wt2,"(-22.686, 9.271]",144,0.3819444444444444,0.062414553847245334
x_h4_wt2,"(9.271, 36.765]",144,0.3611111111111111,0.00012843584480398066
x_h4_wt2,"(36.765, 59.6]",144,0.2777777777777778,-0.2469299207895769
x_h4_wt2,"(59.6, 100.25]",144,0.4097222222222222,0.15572457102923973
x_h1_mfi,"(-38.858999999999995, -2.227]",145,0.3724137931034483,0.035181990164239986
x_h1_mfi,"(-2.227, 7.58]",144,0.3819444444444444,0.06244589641615372
x_h1_mfi,"(7.58, 16.18]",144,0.2916666666666667,-0.21141476801955603
x_h1_mfi,"(16.18, 25.737]",144,0.3541666666666667,-0.016967606421362358
x_h1_mfi,"(25.737, 52.053]",144,0.3958333333333333,0.11293303032243175
x_h4_mfi,"(-49.308, -12.882]",145,0.3724137931034483,0.0341680122247526
x_h4_mfi,"(-12.882, -1.159]",144,0.3541666666666667,-0.021374822671828424
x_h4_mfi,"(-1.159, 9.189]",144,0.3402777777777778,-0.06217566234207723
x_h4_mfi,"(9.189, 20.439]",144,0.4097222222222222,0.14736572341359352
x_h4_mfi,"(20.439, 51.556]",144,0.3194444444444444,-0.11579766664906477
x_h1_wt2_wave,"(-95.01, -32.983]",145,0.30344827586206896,-0.17428516232521102
x_h1_wt2_wave,"(-32.983, 7.798]",144,0.3888888888888889,0.08435633016551293
x_h1_wt2_wave,"(7.798, 39.243]",144,0.3541666666666667,-0.021789998744645316
x_h1_wt2_wave,"(39.243, 61.953]",144,0.3472222222222222,-0.03643770359661961
x_h1_wt2_wave,"(61.953, 104.37]",144,0.4027777777777778,0.13178970996626896
x_h4_wt2_wave,"(-102.87, -63.058]",145,0.36551724137931035,0.013996535918201132
x_h4_wt2_wave,"(-63.058, -37.054]",144,0.3472222222222222,-0.042065746161970945
x_h4_wt2_wave,"(-37.054, 5.585]",145,0.3793103448275862,0.0572851140348634
x_h4_wt2_wave,"(5.585, 45.166]",144,0.3402777777777778,-0.06010292232117001
x_h4_wt2_wave,"(45.166, 102.869]",143,0.36363636363636365,0.012904483378019492
